determinedly	断固として
isocarboxazid	a monoamine oxidase inhibitor (trade name Marplan) that is used to treat clinical depression
groomsman	a male attendant of the bridegroom at a wedding
toxemia	妊娠中毒症|毒血症
mevacor	ロバスタチン
mazama	brockets
syncopation	(音楽の)切分音|シンコペーション(普通は弱い拍子にアクセントをつけてリズムを変えること)|(文法で)語の中略
corruptible	(人が)堕落しやすい|(物が)腐敗しやすい
pedlar	=peddler
woodcarver	makes decorative wooden panels
applicative	作用的な
impassive	無表情の|感情を示さない|無神経な|無感覚な
abasement	(品位・地位などの)低下|失墜;屈辱
smilax	サルトリイバラ(ユリ科の植物の一種)|クサナギカズラ(ユリ科のつる草;観賞用)
uneconomical	物体無い|不経済|無駄|物体ない|勿体ない|勿体無い
globule	(glάbjuːl)|液体の小球|小滴
jonquil	キズイセン(黄水仙)
eyecup	洗眼用コップ
nonscheduled	予定外の;(飛行機運航が)不定期の
bloodsucker	吸血動物|ヒル(leech)|搾取者|高利貸し
terroristic	テロリズムの|暴力主義的な
pomade	ポマード|〈髪〉‘に'ポマードをつける
bimetallic	2種の金属から成る|(金・銀)複本位制の
regulative	restricting according to rules or principles; "a regulatory gene"|restricting according to rules or principles
mycosis	真菌症|真菌感染
jodhpurs	乗馬ズボン
subtenant	(家・土地などの)また借り人|転借人
moorage	ドッキング|縛
tollhouse	通行料金徴収事務所
septicaemia	敗血症
agenesis	imperfect development; nondevelopment of a part|imperfect development|nondevelopment of a part
prickle	とげ|針
yeomanry	地方の地主|自作農|義勇農騎兵(現在では英国民義勇軍(Territorial Army)に編入されている)
lepanto	Turkish sea power was destroyed in 1571 by a league of Christian nations organized by the Pope
stochastically	確率的
aneroid	アネロイド気圧計
purana	a body of 18 works written between the first and 11th centuries and incorporating legends and speculative histories of the universe and myths and customary observances
paleobiology	古生物学
outsized	特大の
audiogram	a graphical representation of a person's auditory sensitivity to sound
lanius	type genus of the Laniidae: typical shrikes
parvo	パルボウイルス
verisimilitude	ありそうなこと|本当らしく見えること|迫真性
currentness	the property of belonging to the present time; "the currency of a slang term"|the property of belonging to the present time
pondweed	蛭藻|蛭藻
dishonestly	in a corrupt and deceitful manner; "he acted dishonestly when he gave the contract to his best friend"|in a corrupt and deceitful manner
sideswipe	(すれ違いざまに)〜‘を'横殴りする
pinworm	ギョウチュウ(人間の腸に寄生する蟯虫)
pyrilamine	antihistamine used to treat rhinitis and pruritus
penknife	(壊中用の)小型ナイフ
terrifically	ひどく
prochlorperazine	プロクロルペラジン
lyse	(生命科学)細胞溶解する
protamine	プロタミン
pythium	any fungus of the genus Pythium
truelove	恋人|愛する人
perceiver	見る者|観察者|知覚者
myg	one ten thousandth of a centner
comradeship	僚友関係|同志の交わり;友情|同志愛
inopportune	時機を失った|折の悪い|不適当な|折あしく
bodkin	ひも通し[針]|千枚通し|(先に飾りのついた)ヘアピン
ceftazidime	セフタジジム
gumshoe	ゴム靴;《複数形で》スニーカー|《俗》刑事|探偵(たんてい)
secretase	a set of enzymes believed to snip pieces off a longer protein producing fragments of amyloid protein that bunch up and create amyloid protein plaques in brain tissue (the pathological hallmark of Alzheimer's)
plasticizer	可塑剤
obtainment	入手
europium	ユーロピウム(希土類元素;化学記号は『Eu』)
dapple	まだらにする|まだらの
tastebud	味蕾
poesy	=poetry
cheapness	安っぽさ|安価
cordovan	コードバン皮(柔らかななめし皮)
naivety	素朴|天真爛漫|素樸|純情
enki	water god and god of wisdom; counterpart of the Akkadian Ea|water god and god of wisdom|counterpart of the Akkadian Ea
bionics	生体工学(人や動物の生態をもとにコンピューターなどの設計に応用する学問
intronic	イントロン(遺伝子関連)の|遺伝情報として転写はされるが最終的にはアミノ酸の塩基配列から除去される配列をintronという
soddy	煉瓦住宅
preceptorship	the position of preceptor
undistinguished	区別されない|平凡な
eyedropper	点眼器
categorial	of or relating to the concept of categories
clustal	Clustal|広く用いられている多重整列プログラム|clustalWとclustalXがある
indaba	a council at which indigenous peoples of southern Africa meet to discuss some important question
countersink	(ねじなどの頭を埋めるために)〜‘に'さら穴をあける;〈ねじなどの頭〉'を'さら穴に埋める|(さら穴をあける)さらぎり|さら穴
lackadaisical	気力のない|意欲のない|怠惰な
ribald	下劣(野卑)な|みだら(不敬)な(ことを言う)
otoplasty	reconstructive surgery of the auricle of the external ear
seachange	急激な変化 = sea-change
omnipresence	同時にどこにでもいること|遍在
emend	〈原稿〉‘を'校正する|‘の'誤りを正す
shadowbox	シャドーボクシングをする(相手を予想して一人で動きの練習をする)
foldaway	折り畳み式の
brusque	ぶっきらぼうの|無愛想な
functionalist	機能主義者|機能主義の
empathise	呑込む|会釈|わかる|同情|了解|諒解|分る|事解|領会|理解
indecipherable	解読できない
unserviceable	(壊れたり使い古して)使用できない|役に立たない
coarctation	縮窄|縮窄
etanercept	エンブレル|エタネルセプト
officious	おせっかいな|さしでがましい|非公式の
objectify	客観化
pilchard	ニシン科の魚
tweedle	歌う|唄う|囀る
spawner	a female fish at spawning time
unimodal	単様式
spindrift	(海の)波しぶき
untethered	not confined or restricted with a tether
snippy	痛烈な
controversially	involving controversy; "criticism too polemically stated"|involving controversy
wayfaring	旅をして歩く|徒歩旅行の
recombinase	リコンビナーゼ|酵素(enzyme)の名
pulsate	鼓動する|脈打つ
tektite	テクタイト(天然のガラス質物質)
octahedron	八面体
xxy	(genetics) abnormal complement of sex hormones in a male resulting in Klinefelter's syndrome|abnormal complement of sex hormones in a male resulting in Klinefelter's syndrome
invidia	spite and resentment at seeing the success of another (personified as one of the deadly sins)
gearshift	(特に自動車の)ギヤ転換装置
ellipticity	扁平率
antigravity	反重力(陽の質量の物体が陰の質量の物体と反発する力)
rheostat	加減抵抗器
oilman	石油企業家|石油業者|油田主
equivocation	あいまいな言葉
gustatory	味覚の
glaciate	cover with ice or snow or a glacier; "the entire area was glaciated"|cover with ice or snow or a glacier|become frozen and covered with glaciers
windage	弾丸に与える風の影響|偏流|(弾丸の)偏流度
redbrick	of or relating to British universities founded in the late 19th century or the 20th century
hummock	小さい丘(knoll)|(氷原の)氷の丘
laundress	洗濯女(人の家に行って|あるいは自分の家に持って帰って洗濯する女性);クリーニング屋の女性従業員
frap	make secure by lashing; "frap a sail"|make secure by lashing|take up the slack of; "frap a rope"|take up the slack of
polysemy	多義性
dovecote	a birdhouse for pigeons
kyphosis	脊柱後湾
vitrectomy	硝子体切除
hereinbefore	in the preceding part of the current text
demoiselle	未婚の女性
bottler	瓶詰め業者
orientate	=orient
erigeron	cosmopolitan genus of usually perennial herbs with flowers that resemble asters; leaves occasionally (especially formerly) used medicinally|cosmopolitan genus of usually perennial herbs with flowers that resemble asters|leaves occasionally (especially formerly) used medicinally
demobilisation	復員
unfitness	不向き|不能|不適任|無力
fraulein	a German courtesy title or form of address for an unmarried woman
avaricious	どん欲な|貪欲な
eveningwear	アフターダーク|夜会服|イブニングドレス
popish	ローマカトリック教的な|ローマカトリック教に特有の
asymmetrically	非対称|非対称的
zygotic	of or relating to a zygote
resinous	樹脂の・樹脂質の・ やにの多い
yenta	(Yiddish) a vulgar shrew; a shallow coarse termagant|a vulgar shrew|a shallow coarse termagant|(Yiddish) a woman who talks too much; a gossip unable to keep a secret; a woman who spreads rumors and scandal|a woman who talks too much|a gossip unable to keep a secret|a woman who spreads rumors and scandal
avascular	無血管性
paramour	情夫|情婦|愛人|恋人
terazosin	テラゾシン
enunciation	発表|発音(ぶり)|(理論･主義などの)言明|宣言
returnee	帰国子女
noninstitutional	not institutional
kickstand	キックスタンド(自転車・オートバイなどを倒れないよう支える装置)
lionfish	ミノカサゴ
voiceprint	声紋(声の特徴を表す音響分析図)
glycolytic	解糖|糖分解
dropsy	=edema
kielbasa	キルバサ|ポーランドの豚肉･牛肉の薫製ソーセージ
gayness	同性|同性愛
nutria	ヌートリア(南米原産の水中生活に適応した動物|ビーバーに似る)
hardscrabble	(土地が)苦労してやっと生活できる|不毛の
thoracotomy	surgical incision into the chest walls opening up the pleural cavity
snuffer	a cone-shaped implement with a handle; for extinguishing candles|a cone-shaped implement with a handle|for extinguishing candles
cowpoke	=cowboy
moneyed	金のある|金持ちの|金まみれの
micelle	ミセル
discordance	=discord1|2
vivisect	〈動物〉‘を'生体解剖する|生体解剖をする
coffeepot	コーヒー沸かし器
handbill	広告ビラ|散らし
drizzly	霧雨の[降る]
unpolluted	純粋
angostura	アンゴスツラビターズ(南米産の木の皮から作り|アルコールの香料に用いる)
menander	comic dramatist of ancient Greece (342-292 BC)
mantelpiece	暖炉の前飾り
dreadnaught	battleship that has big guns all of the same caliber
imitator	模倣者|偽造者
cumulation	堆積|山|積み重ねたもの
stegosaurus	剣竜
meerschaum	〈U〉(パイプの火皿に用いる)海泡(かいほう)石|〈C〉火皿が海泡石製のパイプ
floodgate	(水量の調節をする)水門
chemicon	ケミコン(社名|分子生物学|遺伝子学関係)
impiety	不信心|不敬|不孝
hindquarter	(牛・羊などの体の)後四半部の肉・後部・臀部・《複数形で》(動物の足を含めた)腰から下の部分
rabbet	a rectangular groove made to hold two pieces together|join with a rabbet joint|cut a rectangular groove into
caesium	=cesium
suddenness	突然
baneful	有害な|有毒な
suppurative	relating to or characterized by suppuration
allegiant	忠順
butene	ブテン|ブチレン
retrovir	ジドブジン
furtively	ひそかに
betrayer	裏切り者|売国奴|誘惑者
liberalise	自由化|自由化
lovebird	つがい鳥(ボタンインコの俗称)|《複数形で》《話》愛し合っている恋人同士
homogeneously	均一|均質
flunky	事大主義者
cycad	ソテツ(蘇鉄)
pish	くだらんこと|ウイスキー|フンと言う
domesticate	家庭的にする
pastureland	牧草地|牧野|牧場|放牧地|牧地|牧|草原
arrowroot	クズウコン(病人食として用いられた熱帯アメリカ産の植物)
jostle	乱暴に押す|押しのける|競いあう
subbase	the lowest molding of an architectural base or of a baseboard
handsaw	(片手で使う)手のこぎり
densification	圧縮
nostoc	ネンジュモ
misogynistic	hating women in particular
thermometry	温度測定
castrate	去勢する|精巣を除去する|骨抜きにする
humph	ふふん
splenomegaly	巨脾症|脾腫(ひしゅ)
maternally	in a maternal manner; as a mother; "she loved her students almost maternally"|in a maternal manner|as a mother
bandolier	(兵士が肩からかける幅広の)弾薬帯|負い革
flavouring	塩加減|シーズニング|調味料|加味|塩味|香辛料|塩梅
scrunch	ボリボリかむ|(紙などを)丸める|押しつぶす|ばりばり噛む
expwy	expressway
radiopharmaceutical	放射性医薬品
staggeringly	甚|いたく|痛く|とっと|甚く
schmo	うすのろ|まぬけ　馬鹿
thyroidectomy	甲状腺摘除
wrongdoer	悪事を働く人|犯罪者|悪事を働く者|非行者
hydrous	水を含む;(鉱物・化合物が)含水の
ilmenite	チタン鉄鉱
blotchy	シミだらけの
conk	パンチ|一撃|縮れ毛を(アルカリ溶液などで)伸ばすこと
anorectal	肛門直腸
haemodynamic	血行動態
pronominal	代名詞の|代名詞のような
klinefelter	クラインフェルター
cacique	black-and-red or black-and-yellow orioles of the American tropics
animatronic	アニマトロニクス(ロボットや機械を利用し|人の動きを再現すること)
pillion	(馬に堂乗する人の)添え鞍|(オートバイなどの)後部座席
palladian	referring to or relating to or having the style of architecture created by Andrea Palladio; "the much imitated arch and column compositions known as the Palladian motif"|referring to or relating to or having the style of architecture created by Andrea Palladio
recidivist	常習犯
unswerving	(意志などが)確固とした|不動の
sealevel	(満潮時と干潮時の間の)平均海面|海面　海抜 = sea level = sea-level
cooly	クーリー
theretofore	それ以前に
sonority	鳴り響くこと|反響|朗々とした話
cosmopolis	国際都市
dabbler	カモ(鳥)|水遊びをする人|道楽半分に事をする人|素人
straightedge	直[線]定期
skuld	goddess of fate: a dwarf who personified the future
volapuk	one of the first artificial language constructed for use as an auxiliary international language; based largely on English but with some German and French and Latin roots|one of the first artificial language constructed for use as an auxiliary international language|based largely on English but with some German and French and Latin roots
sellotape	接着剤|セロテープ
nitrofurantoin	ニトロフラントイン
vociferously	in a vociferous manner; "he complained vociferously"|in a vociferous manner
monarchical	having the characteristics of or befitting or worthy of a monarch; "monarchical gestures"; "monarchal pomp"|having the characteristics of or befitting or worthy of a monarch|ruled by or having the supreme power resting with a monarch; "monarchal government"; "monarchical systems"|ruled by or having the supreme power resting with a monarch
opthalmic	of or relating to or resembling the eye; "ocular muscles"; "an ocular organ"; "ocular diseases"; "the optic (or optical) axis of the eye"; "an ocular spot is a pigmented organ or part believed to be sensitive to light"|of or relating to or resembling the eye
vanadate	a salt or ester of vanadic acid; an anion containing pentavalent vanadium|a salt or ester of vanadic acid|an anion containing pentavalent vanadium
tetraploid	4倍体(4つで1対から成る染色体のセットを持つ細胞)
perphenazine	ペルフェナジン
immodest	慎みのない
oviduct	卵管
damar	ダマル島
sympatric	同所性の|(種分化について同様か重なった地理的地域において起きる)
freethinker	自由思想家(既成の考え|特キリスト教会の型にはまった考え方にとらわれない人)
inadmissibility	unacceptability as a consequence of not being admissible
phenylbutazone	フェニルブタゾン
wassail	(もと英国で用いた)乾杯のあいさつ|《おもに文》酒宴|酒盛り|乾杯する;酒盛りする|〜‘に'乾杯する
asparaginase	アスパラギナーゼ
dinoflagellate	渦鞭毛藻
acinar	腺房|腺房
redecorate	改装する|模様替えをする|装飾し直す
occident	西洋|新世界|西半球
beatification	幸せにすること
bullring	闘牛場
oppositely	in an opposite position
biochemically	生化学的に
eviscerate	(議論などを)骨抜きにする|(動物の腸を)抜く
icecap	(高山・極地などの)万年雪
puka	South American shrub or small tree having long shining evergreen leaves and panicles of green or yellow flowers|small roundheaded New Zealand tree having large resinous leaves and panicles of green-white flowers
pseudonymous	ペンネームで書かれた|偽名(変名)を用いる
oxime	オキシム
berberis	large genus of shrubs of temperate zones of New and Old Worlds
premeditation	前もって慎重に計画すること
unsettle	動揺させる(する)|乱す|不安にする|取り乱す
bauhinia	mountain ebony, orchid tree
tearfully	めそめそ|泣く泣く
salaat	the second pillar of Islam is prayer; a prescribed liturgy performed five times a day (preferably in a mosque) and oriented toward Mecca|the second pillar of Islam is prayer|a prescribed liturgy performed five times a day (preferably in a mosque) and oriented toward Mecca
agoraphobic	広場(空間)恐怖症にかかった
sinter	温泉沈殿物|湯の花|焼結製品|焼結する
villus	絨毛
victrola	a brand of gramophone
sternal	of or relating to or near the sternum
pugnacious	けんか好きな|けんか早い
parainfluenza	パラインフルエンザウイルスは|関連した数種類のウイルスを含み|感冒からインフルエンザ様症候群|肺炎まで多数の呼吸器疾患を引き起こす
bedeck	《文》(〜で)〜'を'飾りたてる《+『名』+『with』+『名』》
holdback	〈U〉抑制|妨害|〈C〉(馬車のながえに取り付けた)制御用の留め金
trumbo	ダルトン・トランボ
intercalation	閏
thermic	relating to or associated with heat; "thermal movements of molecules"; "thermal capacity"; "thermic energy"; "the caloric effect of sunlight"|relating to or associated with heat
cyanogen	シアン
topicality	〈U〉話題になっていること(状態)|〈C〉《複数形で》時事問題
brolly	コウモリ傘|パラシュート
wintery	wintry
icosahedral	of or relating to an icosahedron
adventuresome	大胆な|勇敢な
versant	山腹|中腹
flaxen	亜麻の|亜麻製の|亜麻色の
pseud	如何様師|ペテン師|騙り|とっこ|詐欺師|欺瞞者|ぺてん師|いかさま師
mender	修理(改良)者
tempter	〈C〉誘惑者|《the T-》悪魔(the Devil)
precedential	having precedence (especially because of longer service); "precedential treatment for senior members of the firm"|having precedence (especially because of longer service)
vampirism	吸血鬼
hierarchic	=hierarchical
labetalol	ラベタロール
regularize	規制|律する|規正|紀律|管する|規定|統制|管理|規律|規整
aquaporin	アクアポリン|細胞膜に存在する細孔(pore)を持ったタンパク質|水分子のみを選択的に通過させることができ|細胞への水の取り込みに関係
holloware	silverware serving dishes
lovelorn	恋人に捨てられた;失恋に悩んでいる
salvageable	capable of being saved from ruin; "their marriage was not salvageable"|capable of being saved from ruin
counterrevolutionary	反革命主義者
unevenness	the quality of being uneven and lacking uniformity|the quality of being unbalanced
emissive	放射性の;放射の
burqa	ブルカ
tractate	論文
hydrolyze	加水分解する
copybook	習字の手本帳|《米》複写薄
hootenanny	フォークソングの集まり(会)
haem	ヘム
encasement	the act of enclosing something in a case
psychosexual	性心理の
brakeman	ブレーキ係|制動手
regretful	(人が)後悔している
yawl	(2本マストの)小型帆船|(オールでこぐ)船載ボート
marginality	周縁性
juristic	法律専門家の|法学者の|法律上の
valgus	外反
presort	並べ替え済み
syncretism	the union (or attempted fusion) of different systems of thought or belief (especially in religion or philosophy); "a syncretism of material and immaterial theories"|the union (or attempted fusion) of different systems of thought or belief (especially in religion or philosophy)|the fusion of originally different inflected forms (resulting in a reduction in the use of inflections)
bowline	もやい結び(船をつなぎ止めるときの結び方)
nixie	宛先不明郵便物
perceivable	感知できる|知覚できる|認知できる
licentious	放縦な|放蕩な
milfoil	鋸草
