poorhouse	(昔の)救貧院
skinner	皮をはぐ人|毛皮商|荷車用家畜の御者|詐欺師
moolah	お金|銭|現なま|金
fingerling	a young or small fish
hafnium	ハフニウム(金属元素;原子記号は『Hf』)
ebullient	沸きこぼれる|沸騰している|あふれるばかりの|ほとばしり出る
ormandy	オーマンディ
tropism	向性|屈性(植物が一定の刺激の方へ|または反対方向に成長する性質)
murex	ホネガイ(熱帯地方の海産巻き貝の総称;古代人はこれから紫色染料を採った)
thermionic	熱イオンの
shantung	山東絹|シャンタン(つむぎ風の平織絹布)
genic	of or relating to or produced by or being a gene; "genic combinations"; "genetic code"|of or relating to or produced by or being a gene
busload	the quantity of cargo or the number of passengers that a bus can carry
grotesquely	恐ろしく|怪奇に|ひどく|気味悪く
spheroidal	having the nature or shape of an ellipsoid
cardura	ドキサゾシン
swelling	膨れる|隆起した|はれ|はれもの|こぶ|腫脹
thioridazine	チオリダジン
tiptop	絶頂|全盛|最高級の|すてきな|優秀な
teensy	ごく小さい
vacationer	休日の行楽客
fillip	活気づけるもの|刺激|指はじき|コツンと打つ|喚起する
niceness	きちょうめんさ
immunochemical	of or relating to immunochemistry
nacre	=mother-of-pearl
nuncio	(外国の宮廷・政府に駐在する)ローマ教皇大使
patois	(仏語)地方なまり
prunella	プルネラ|プルネラ
thereat	そこで|その時|そのために
unchurch	破門
phalarope	ヒレアシシギ(イソシギに似た小型の水鳥)
aragonite	アラレ石
vesey	ビージー
airbed	空気ベッド
rotenone	ロテノン
sachem	(北米インディアンの)首長
entwine	にからみつく|絡み合わせる|絡ませる|絡まる
senescent	初老の|老境にかかった
intemperate	不節制な|酒におぼれた
kelpie	(Scottish folklore) water spirit in the form of a horse that likes to drown its riders|water spirit in the form of a horse that likes to drown its riders|an Australian sheepdog with pointed ears
compunction	良心の呵責|悔恨
teleology	(哲学で)目的論;目的存在説
microbicide	殺菌剤･殺菌薬
velociraptor	ヴェロキラプトル
unceasingly	止め処無く|留処無く|続続|のべつ幕なし|打っ続け|引きも切らず|蜿蜒|留め処なく|縷縷|止めどなく
mycotoxin	マイコトキシン
moviegoer	よく映画を見に行く人|映画ファン
frightfully	恐ろしく
teleostei	large diverse group of bony fishes; includes most living species|large diverse group of bony fishes|includes most living species
catalytically	触媒
karakoram	カラコラム山脈
fierceness	凶暴さ;猛烈さ
temporality	the worldly possessions of a church
unpleasantly	不快に
shrinkable	capable of being shrunk; "a shrinkable fabric"|capable of being shrunk
spectacled	めがねをかけた|(動物が)めがね状の斑紋点のある
habitability	suitability for living in or on
mickle	多量|許多|山積み|百千|山盛り|あまた|数多|洪水|万斛
clubby	社交的な|排他的な
sagacious	賢明な(wise)
flounce	飛び出す|飛び込む
arachnoid	蜘蛛膜|クモ綱
missioner	宣教師
valise	(小型の)旅行かばん|スーツケース
pallette	one of the rounded armor plates at the armpits of a suit of armor
hirsutism	多毛症
distaff	糸巻き棒
bespectacled	めがねをかけた
mugwort	ヨモギ
bibliographer	書誌学者
aerolite	いん石
hepatobiliary	肝胆汁性の
agio	為替打ち歩
monocytic	単球の
appallingly	to an appalling extent; "the prisoners were appallingly thin"|to an appalling extent
misdemeanour	軽科|非行|軽罪|軽犯罪|微罪
mosey	《米話》ぶらつく|うろつく
cambium	形成層(植物の幹や根の木部と樹皮部の間にある柔らかな組織層)
penetrance	浸透度
fallot	French physician who described cardiac anomalies including Fallot's tetralogy (1850-1911)
carrousel	=carousel
stenographic	速記の|速記術の
pubis	恥骨|陰部|陰毛
brandish	振りまわす|大げさに示す
hairstreak	small butterflies having striped markings under the wings
zombi	ゾンビ|ゾンビ|ゾンビ|ゾンビー|自動人形|オートマトン|ゾンビ|ゾンビ|ゾンビー
gallstone	胆石
incomparably	in an incomparable manner or to an incomparable degree; "she is incomparably gifted"|in an incomparable manner or to an incomparable degree
thalassaemia	サラセミア
bearskin	熊の毛皮|熊皮製品(服)|黒い毛皮帽(英国近衛兵がかぶる)|粗いラシャ地
prang	a crash involving a car or plane|crash
leaper	someone who bounds or leaps (as in competition)
valdecoxib	a Cox-2 inhibitor (trade name Bextra) that relieves pain and inflammation without harming the digestive tract
wreathe	〈花など〉‘を'花輪にする|(花輪などで)〜‘を'飾る《+名+with+名》|〜‘を'覆う|包む
teleprompter	a prompter for television performers
destructively	破壊的
recitative	レチタティーヴォ|オペラ|オラトリオ|カンタータなどの中に置かれる独唱|叙唱|朗唱と訳される
factotum	家事いっさいをやる使用人
conterminous	隣接する|(時間・空間が)同一限界の
nociceptive	caused by or in response to pain; "a nociceptive spinal reflex"|caused by or in response to pain
kerf	(のこぎりなどで木につけた)切り込み|ひき目;(枝などの)切り口
blankie	(幼児語)毛布
barleycorn	大麦の粒
wherry	小さなこぎ舟
hankey	汗ふき|ハンケチ|鼻拭|ハンカチ|汗拭|汗手拭い|汗拭き|ハンカチーフ|ハンケチーフ|手巾
determinedly	断固として
calamitous	災難を伴う|不幸な|災難の多い|いたましい
stripy	筋(しま)のある
shantytown	a city district inhabited by people living in huts and shanties
workmanlike	職人らしい|腕利きの|腕のいい
sacrilegious	神聖を汚す|神聖冒涜の|罰当たりの
fatuous	(ひとりよがりで)愚かな|無意味な|まぬけの|頭がからっぽの|愚鈍な|ばかの|低能の
bewray	示す|垣間見せる
elocution	演説法|(特に公の場での)優れた話術
saccharum	tall perennial reedlike grass originally of southeastern Asia: sugarcane
trolleybus	トロリーバス
nondenominational	not restricted to a particular religious denomination; "a nondenominational church"|not restricted to a particular religious denomination
undergarment	下着
suborbital	(人工衛星などが)軌道をはずれた|軌道に乗らない　眼窩下軟骨
schwa	あいまい母音|シュワー(əで示される弱母音)|あいまい母音の発音記号
homogenate	ホモジネート|細胞小器官や構成要素や化学的組成を調べるため機械的に細胞破砕し|生体内の状態のまま均一な分画を得る手法(細胞分画法)
palliation	(罪などの)弁解|取りつくろうこと|(病気などの)一時的な抑え
overreach	打ち負かすこと|克服すること|行き過ぎる|無理をする|人をだます|追いつく|広がる|及ぶ|達する
misanthropy	(mɪsˈænθrəpi)人間嫌い|厭世|人間不信|(反)altruism(利他主義|博愛主義)|philanthropy博愛(主義)|慈善
hoagie	爆撃機
extemporaneous	(演説・演技などが)即席の
renovator	a skilled worker who is employed to restore or refinish buildings or antique furniture
incompetency	不行き届き|不行届き|菲才|不才|不器量|不能|不適任|能無し|無能さ|非才
irregardless	regardless; a combination of irrespective and regardless sometimes used humorously|regardless|a combination of irrespective and regardless sometimes used humorously
homunculus	マネキン|ホムンクルス|ホムンクルス
chambermaid	(ホテル・モーテルの)部屋係メイド
undigested	消化されない
perfidious	不誠実な|裏切りの|背信の
farsightedness	遠視
umbrage	不快
bicentenary	=bicentennial
introversion	内向;内向性
isotropy	等方性
portmanteau	(UK英)旅行かばん
porterage	運搬人(赤帽)の仕事|運搬料|運び賃
moralist	道徳主義者|道徳家
natatorium	スイミングプール|プール|スウィミングプール
whacko	気違
haycock	(畑のあちこちに作った円すい状の)干し草の小山
homogenizer	破砕機|ホモジナイザー
distinctness	明瞭
widgeon	ヒドリガモ
expiation	〈U〉(罪などの)償い|埋め合わせ|〈C〉(罪などの)償いとなること|償いの手段
ornithologist	鳥(類)学者
azurite	藍銅鉱
demoralise	腐敗させる|堕落させる|落胆させる|凹ます|凹ませる
micmac	ミクマク語|(カナダの大西洋岸地域に住むアルゴンキン語族の言語)
maunder	だらだら(とりとめなく)話す|ぶらつく
alehouse	=public house
spelunk	explore natural caves
pocketful	《a~》ポケット一杯(の〜)《+『of』+『名』》|たくさん(の〜)《+『of』+『名』》
practicability	実行できること|実用性
transcriptionally	転写
bluenose	清教従的な人|禁欲的な人
dreamily	夢のように|うとうとと
gibbet	晒す|曝す
exactitude	几帳面|厳正|厳密さ|正確さ|精密さ|精密度
antiparallel	逆平行
pelargonium	ペラルゴニウム
syndromic	症候群の
myristate	ミリスチン酸エステル|ミリスチン酸(化合物名)
uremia	尿毒症
cachexia	カヘキシー|悪液質
semisweet	苦甘い|うそ甘い|甘苦い|薄甘い
unverifiable	(of e.g. evidence) not objective or easily verified
dromedary	ヒトコブラクダ|(=Arabian camel)|背中のこぶはhump
rootless	wandering aimlessly without ties to a place or community; "led a vagabond life"; "a rootless wanderer"|wandering aimlessly without ties to a place or community
inviolate	(約束などが)破られていない|(場所が)汚されていない
cleanable	capable of being cleaned
nasopharynx	上咽頭
zoroaster	ゾロアスター
obsolescent	すたれかかった
militarist	軍国主義者
skywalk	an elevated walkway between buildings (usually enclosed)
cairngorm	黒水晶
pawl	(歯車の)歯止め|つめ
skidder	スリッパ
etodolac	a nonsteroidal anti-inflammatory drug (trade name Lodine)
discrepant	不一致|矛盾
anole	small arboreal tropical American insectivorous lizards with the ability to change skin color
tetrahydrocannabinol	テトラヒドロカンナビノール
novelization	ノベライゼーション
anomie	アノミー
overeat	食べすぎる
pectoralis	胸筋
polycythemia	赤血球増加|多血症
lordly	君主にふさわしい|堂々とした|立派な|横柄な|君主らしい|堂々と
dolorosa	ヴィア･ドロローサ(ラテン語Via Dolorosa「苦難の道」の意)|新約聖書によるイエスの最後の歩みのこと|ヴィア･クルキス(via cruces十字架の道)とも呼ばれる
assiduous	勤勉な|根気強い
dredger	浚渫(しゅんせつ)人夫|=dredge
stokowski	レオポルド・ストコフスキー
putrescine	プトレッシン|プトレシン
hemostatic	止血性
thenceforth	それ以後ずっと|その時以来
neologism	新語|新造語|新表現
oophorectomy	卵巣切除|卵巣摘出
giblet	鳥モツ
frappe	フラッペ|フラッペ|フラッペ|アイス|氷
worryingly	in a manner to cause worry
nonbank	ノンバンク|銀行ではない金融機関
stogy	a cheap cigar
hypokalemia	低カリウム血症
delist	上場廃止にする
ballpen	a pen that has a small metal ball as the point of transfer of ink to paper
portentous	もったいぶった|縁起の悪い|前兆の
conjurer	手品遣い|奇術師|手妻使い|手妻遣い|手妻使|魔術師|手品師|マジシャン|手妻遣|神がかり
ilx	being nine more than fifty
toller	a person who rings church bells (as for summoning the congregation)|someone employed to collect tolls
ptosis	眼瞼下垂
unbend	まっすぐにする|(心を)休める|くつろぐ
algerie	a republic in northwestern Africa on the Mediterranean Sea with a population that is predominantly Sunni Muslim; colonized by France in the 19th century but gained autonomy in the early 1960s|a republic in northwestern Africa on the Mediterranean Sea with a population that is predominantly Sunni Muslim|colonized by France in the 19th century but gained autonomy in the early 1960s
drowning	溺死
novocaine	procaine administered as a hydrochloride (trade name Novocain)
papoose	北米インディアンの赤ん坊|赤ん坊を背負う袋
disgorgement	吐瀉|吐出|嘔吐|反吐
vespucci	ベスプッチ
cordite	コルダイト
criminological	of or relating to or involved in criminology
fireweed	焼け跡の雑草
oilcloth	油布
grus	クレイン
canonically	in a canonical manner; "the deacon was canonically inducted"|in a canonical manner
steelmaker	a worker engaged in making steel
chromite	クロム鉄鉱
boehme	ベーム
wildtype	野生型(遺伝形質の種類)
synchronic	同期的|シンクロニック|シンクロニック|シンクロニック
pinta	1パイント(ヤード･ポンド法)の飲み物|1パイント=約473cc=8分の1ガロン　2|ピンタ島(ガラパゴス諸島)
venal	金で動かされる|買収できる|腐敗した
orthology	異種間の遺伝子が共通の祖先に由来する場合|オーソロガス(相同)という|外見や機能は似ているが|共通の祖先に由来しない相似(analogous)の対義語
corrugation	〈U〉波形にすること;波形のついた状態|うね状|〈C〉(波形を構成する)うね|溝|しわ
unsent	not dispatched or transmitted; "the letter remained unwritten and unsent"|not dispatched or transmitted
kibitzer	(特にカードゲーム)の見物人;おせっかい屋
astronomically	enormously; "the bill was astronomically high"|enormously
wearisome	退屈な|疲れさせる
apologetically	わびて|謝って|済まなそうに
clime	地方|国土(from northern climes|北の国から)|気候|(clime地方･気候|crime犯罪)
triskele	三脚巴
blowhard	《米話》ほら吹き
sociality	社交性|社会性
absurdist	不条理主義の|不条理主義者(作家)
accusatory	告訴の|非難の|非難めいた
licit	合法の
constitutionalist	an advocate of constitutional government
reseed	seed again or anew|maintain by seeding without human intervention; "Some plants reseed themselves indefinitely"|maintain by seeding without human intervention
bipartisanship	2党主義
bogy	おばけ|幽霊|人の悩ますもの|人につきまとうもの
electroencephalogram	脳電気図|脳波図
wrongness	不正行為
untraceable	消息不明
risch	スタイリッシュ
sublethal	致死量以下|亜致死の|亜致死性
inclinometer	傾斜計|伏角計|傾斜計|クリノメーター
mating	交配
abstinent	節度のある|禁欲的な|禁酒の
cumulate	山積み|溜る|積みかさなる|積み重なる|集積|蓄積|集まる|積みあがる|溜まる|堆積
empyrean	最高天(古代天文学で五天のうちで最高の天上界)|天空|大空|最高天の;天空の
unsex	〜‘を'性的能力を奪う|〈特に女性〉‘を'女らしくなくする
prettily	きれいに
disgustingly	in a disgusting manner or to a disgusting degree; "the beggar was disgustingly filthy"|in a disgusting manner or to a disgusting degree
phytochemistry	the branch of organic chemistry dealing with the chemistry of plants
innovativeness	革新
numberplate	ナンバープレート
transpacific	太平洋横断の|太平洋の向こう岸の
lapdog	小さな愛玩犬|吠え声ばかり大きい無力な人|盲信者|心酔者
wunderkind	神童|天才児|(実業界での若手)成功者
protuberance	隆起
mudcat	ナマズ
gassy	ガスが充満した;ガスを含む|ガス状(質)の
frizzle	[髪]‘を'ちぢらせる|カールにする《+『up』+『名』》|ちぢれる|(髪などの)ちぢれ|ちぢれ髪
sext	六度
epistolary	書簡(形式)の|書簡体の
blear	(涙などで)目がかすんだ|曇った(blurred)|(涙などで)〈目・視力〉'を'かすませる(blur)
cornea	角膜
dodder	よぼよぼになる|(老齢などのために)よろよろと歩く
fastidiosa	Xylella fastidiosa|ぶどうのピアース病(PD)を引き起こす細菌|ヨコバイが媒介し北米で広く蔓延|ナパバレーに大きな損失を与えている
shading	陰にすること|陰影法|わずかな変化(相違)
neap	小潮(こしお)(潮の干満の差が最小の日)
historicism	歴史主義
otology	the branch of medicine concerned with the ear
misleadingly	欺いて
dudgeon	立腹
linearize	直線化
ranier	a mountain peak in central Washington; highest peak in the Cascade Range; (14,410 feet high)|a mountain peak in central Washington|highest peak in the Cascade Range
frivol	横着
fulminant	sudden and severe; "fulminant pain"; "fulminant fever"|sudden and severe
unwisely	へらへら|ばかのように
sexless	男女の別のない|性的魅力のない|セックスレス
strop	(かみそりをとぐ)皮砥|〈かみそり〉‘を'皮砥でとぐ
horsefly	ウマバエ|ウシアブ|虻(あぶ)|(=gadfly)
reignite	ignite anew, as of something burning; "The strong winds reignited the cooling embers"|ignite anew, as of something burning
lateran	the site in Rome containing the church of Rome and the Lateran Palace
superintend	〈仕事・人・組織など〉‘を'監督する|指揮する|管理する
invigilator	婦長
tartaric	酒石の
sente	100 lisente equal 1 loti in Lesotho; one sente is worth one-hundredth of a loti|100 lisente equal 1 loti in Lesotho|one sente is worth one-hundredth of a loti
airheaded	浅墓|滅多|浅はか|軽躁
plenitude	豊富|十分
nucleophile	求核試薬|求核剤|試薬|電子密度が低い原子(主に炭素)へ反応し|多くの場合結合を作る化学種のこと
rosebush	バラの木(茂み)
unpardonable	not admitting of pardon; "unpardonable behavior"|not admitting of pardon
lofoten	ローフォテン諸島
arbovirus	アルボウイルス
griseofulvin	グリセオフルビン
tragus	a small cartilaginous flap in front of the external opening of the ear
premedical	医学部進学課程の
scurrilous	(言葉づかいの)下品な|野卑な
uncannily	不思議なほど
pyromania	放火癖
compellingly	強制的に|やむにやまれず
floorboard	床板
ethnographer	民族誌学者
fluphenazine	フルフェナジン
conferral	授与
foreland	崎|岬|地嘴|埼|岬角|碕
anele	administer an oil or ointment to ; often in a religious ceremony of blessing|administer an oil or ointment to|often in a religious ceremony of blessing
phlebitis	静脈炎
baronetage	the collective body of baronets|the state of a baronet
pinna	(動)羽|翼|ひれ|ひれ足(flipper)|耳殻|耳介(auricle|耳穴の周りにある音を集める構造)|(植)(シダの葉など複葉の)羽片
thromboplastin	トロンボプラスチン|トロンボキナーゼ
isocarboxazid	a monoamine oxidase inhibitor (trade name Marplan) that is used to treat clinical depression
toxemia	妊娠中毒症|毒血症
mevacor	ロバスタチン
quantitate	定量|定量化する
mazama	brockets
syncopation	(音楽の)切分音|シンコペーション(普通は弱い拍子にアクセントをつけてリズムを変えること)|(文法で)語の中略
corruptible	(人が)堕落しやすい|(物が)腐敗しやすい
pedlar	=peddler
woodcarver	makes decorative wooden panels
applicative	作用的な
impassive	無表情の|感情を示さない|無神経な|無感覚な
abasement	(品位・地位などの)低下|失墜;屈辱
smilax	サルトリイバラ(ユリ科の植物の一種)|クサナギカズラ(ユリ科のつる草;観賞用)
uneconomical	物体無い|不経済|無駄|物体ない|勿体ない|勿体無い
globule	(glάbjuːl)|液体の小球|小滴
jonquil	キズイセン(黄水仙)
eyecup	洗眼用コップ
nonscheduled	予定外の;(飛行機運航が)不定期の
bloodsucker	吸血動物|ヒル(leech)|搾取者|高利貸し
terroristic	テロリズムの|暴力主義的な
pomade	ポマード|〈髪〉‘に'ポマードをつける
bimetallic	2種の金属から成る|(金・銀)複本位制の
regulative	restricting according to rules or principles; "a regulatory gene"|restricting according to rules or principles
mycosis	真菌症|真菌感染
subtenant	(家・土地などの)また借り人|転借人
moorage	ドッキング|縛
tollhouse	通行料金徴収事務所
septicaemia	敗血症
agenesis	imperfect development; nondevelopment of a part|imperfect development|nondevelopment of a part
prickle	とげ|針
yeomanry	地方の地主|自作農|義勇農騎兵(現在では英国民義勇軍(Territorial Army)に編入されている)
haemorrhoid	痔核
lepanto	Turkish sea power was destroyed in 1571 by a league of Christian nations organized by the Pope
stochastically	確率的
aneroid	アネロイド気圧計
paleobiology	古生物学
outsized	特大の
audiogram	a graphical representation of a person's auditory sensitivity to sound
lanius	type genus of the Laniidae: typical shrikes
parvo	パルボウイルス
verisimilitude	ありそうなこと|本当らしく見えること|迫真性
currentness	the property of belonging to the present time; "the currency of a slang term"|the property of belonging to the present time
pondweed	蛭藻|蛭藻
dishonestly	in a corrupt and deceitful manner; "he acted dishonestly when he gave the contract to his best friend"|in a corrupt and deceitful manner
sideswipe	(すれ違いざまに)〜‘を'横殴りする
pinworm	ギョウチュウ(人間の腸に寄生する蟯虫)
pyrilamine	antihistamine used to treat rhinitis and pruritus
penknife	(壊中用の)小型ナイフ
misclassify	誤って分類する
terrifically	ひどく
prochlorperazine	プロクロルペラジン
protamine	プロタミン
pythium	any fungus of the genus Pythium
truelove	恋人|愛する人
perceiver	見る者|観察者|知覚者
myg	one ten thousandth of a centner
comradeship	僚友関係|同志の交わり;友情|同志愛
inopportune	時機を失った|折の悪い|不適当な|折あしく
bodkin	ひも通し[針]|千枚通し|(先に飾りのついた)ヘアピン
ceftazidime	セフタジジム
gumshoe	ゴム靴;《複数形で》スニーカー|《俗》刑事|探偵(たんてい)
secretase	a set of enzymes believed to snip pieces off a longer protein producing fragments of amyloid protein that bunch up and create amyloid protein plaques in brain tissue (the pathological hallmark of Alzheimer's)
plasticizer	可塑剤
obtainment	入手
europium	ユーロピウム(希土類元素;化学記号は『Eu』)
dapple	まだらにする|まだらの
tastebud	味蕾
poesy	=poetry
cheapness	安っぽさ|安価
cordovan	コードバン皮(柔らかななめし皮)
naivety	素朴|天真爛漫|素樸|純情
enki	water god and god of wisdom; counterpart of the Akkadian Ea|water god and god of wisdom|counterpart of the Akkadian Ea
intronic	イントロン(遺伝子関連)の|遺伝情報として転写はされるが最終的にはアミノ酸の塩基配列から除去される配列をintronという
soddy	煉瓦住宅
preceptorship	the position of preceptor
undistinguished	区別されない|平凡な
eyedropper	点眼器
italicise	イタリック体で印刷する|斜字体で印刷する
categorial	of or relating to the concept of categories
clustal	Clustal|広く用いられている多重整列プログラム|clustalWとclustalXがある
indaba	a council at which indigenous peoples of southern Africa meet to discuss some important question
countersink	(ねじなどの頭を埋めるために)〜‘に'さら穴をあける;〈ねじなどの頭〉'を'さら穴に埋める|(さら穴をあける)さらぎり|さら穴
lackadaisical	気力のない|意欲のない|怠惰な
ribald	下劣(野卑)な|みだら(不敬)な(ことを言う)
otoplasty	reconstructive surgery of the auricle of the external ear
seachange	急激な変化 = sea-change
omnipresence	同時にどこにでもいること|遍在
emend	〈原稿〉‘を'校正する|‘の'誤りを正す
shadowbox	シャドーボクシングをする(相手を予想して一人で動きの練習をする)
steriliser	オートクレーブ
foldaway	折り畳み式の
brusque	ぶっきらぼうの|無愛想な
functionalist	機能主義者|機能主義の
empathise	呑込む|会釈|わかる|同情|了解|諒解|分る|事解|領会|理解
indecipherable	解読できない
unserviceable	(壊れたり使い古して)使用できない|役に立たない
coarctation	縮窄|縮窄
etanercept	エンブレル|エタネルセプト
