parachutist	落下傘で降りる人|落下傘兵
stabbing	突き刺すような|のを刺す|刺す
cremate	〈死体〉'を'火葬にする
emasculate	無力にする|骨抜きにする|弱くする|去勢する
blowpipe	(俗)吹矢筒|トーチ|ライフル銃
wimple	(修道女の着ける)ベール|頭巾(中世には一般の婦人も使用した)
insatiate	満足することない|飽くことのない
marimba	マリンバ
pussycat	プッシーキャット
condole	(人に)悔やみをいう|(人を)慰める《+『with』+『名』〈人〉》
exotica	異国趣味の文学作品|異国風のもの|奇習
preachy	説教じみた
subjoin	〈文など〉‘を'追加する|終わりに付け加える《+名+to+名》
decidual	脱落膜|(decidual cell脱落膜細胞)
hydrofoil	水中翼船
alphabetize	〜'を'アルファベット順に並べる|〜'を'アルファベットで表す
hogwash	豚のえさ(残飯などに水を加えたもの)|くだらないもの|ナンセンス
mummer	無言劇の役者|役者
pigheaded	強情な|がん固な
welkin	空(sky)
folksong	民謡|フォークソング|民謡調の歌
infielder	(野球)内野手
monophonic	単旋律の;単旋律曲の|1チャンネル録音再生の(monaural)
peeper	のぞき見する人;せんさく好き|《複数形で》《俗》目|ピーピー鳴く鳥・ピーピー[チューチュー]鳴く獣[鳥]; ひな・(かん高い声で鳴く) アマガエル科のカエル・めがね・覗(のぞ)き見をする人・(ふつう複数で)目
disproof	反証[すること]|反ばく;〈C〉反証物件
polisher	艶出し器|磨く人|おべっか使い|追従者
waspish	スズメバチのような|怒りっぽい|短気な
weaponless	武器を持たない|武器のない
disbandment	(組織・隊などの)解散|解隊
oof	お金|強さ|現金|効力|ウーン|ウッ
bedevil	(人を)悪魔に取りつかせる|混乱させる|苦しめる
twosome	二人でする舞踏|二人の|2人組|二人でする(試合)
knitter	編む人|編み機
camptothecin	カンプトテシン(CPT)は細胞毒性のあるアルカロイド(Alkaloid)|DNA酵素の働きを阻害する|抗がん剤として中国原生のカンレンボクの樹皮と幹から単離された
fussiness	小うるさいこと|口やかましさ
tarpon	Atlantic tarponターポン|カライワシ目イセゴイ科の魚|体長は250cmを記録|太古よりほとんど形状を変えず現代まで生き延びてきた古代魚
trilobite	三葉虫(甲殻類に属する最古の化石動物)
depolarize	減極させる|脱分極させる
ironmonger	《英》鉄器商|金物屋
extravert	=extrovert
deepness	深さ|深度|深遠
floriculture	草花栽培[法]|花作り
garbanzo	=chickpea
neap	小潮(こしお)(潮の干満の差が最小の日)
oversubscribe	〈公債・寄付など〉‘を'募集額以上に申し込む
travois	昔|平原インディアンが馬か犬に引かせた|おもに2本の長い丸太でできたそり
almoner	《英》(病院の)社会医療事務職員
backbench	《英》(特に下院の|党幹部を除く)平議員
periwig	(17・18世紀に男性が用いた|現在は法律家が用いる白い装飾用)かつら
horsemeat	馬肉
adjudge	〈人〉‘に'判決を下す|宣告する|(法律・審査で)(人に)〜'を'与える《+『名』+『to』+『名』〈人〉》(award)|《『adjudge』+『名』[+『to be』]+『形』(『名』)〈補〉》(〜と)〜'を'考える|見なす
apiary	ミツバチ飼養場
dartboard	投げ矢遊びの標的(盤)
oculist	眼科医
escritoire	書き物机(writing desk)
heartbreaker	人の心を傷つける人(女)|(特に恋人を振って)男の心を痛ませる女
narcosis	(麻酔剤による)昏睡(こんすい)状態
transcendentalist	先験論者;超絶論者
chao	(=ciao)チャオ|イタリア語の挨拶
dayroom	(軍のキャンプ・刑務所・病院などの)読書娯楽室
megalith	(特に|先史時代の遺物である)巨石
strangulate	〈腸・血管など〉‘を'くくる|縛る;〈血行など〉‘を'縛って止める
markdown	値下げ|プライスダウン(和製英語)
slaty	スレートの|スレート状の
manacle	《複数形で》|手錠|束縛|拘束|〈人〉‘に'手錠を掛ける|〜‘を'束縛する
chilblain	しもやけ|凍傷(frostbite)
ducky	かわいい|すてきな|素晴らしい
truckle	(〜に)ぺこぺこする《+to+名》
unblushing	恥知らずの|ずうずうしい|赤面しない
clansman	氏族の一員;同氏族の人
crosswind	(進行方向に対し)直角に吹く風|横風
misdirect	あて先を誤る|誤った指導をする
careerist	出世第一主義者
stereoscope	立体(実体)鏡
trollop	だらしのない女|自堕落な女|身持ちの悪い女
bittern	サンカノゴイ(サギの一種)
hairbreadth	毛ほどの幅(間隔)|毛ほどの|ほんの少しの
quirt	編み皮の乗馬むち
hubcap	ホイールキャップ(和製英語)
hypercritical	酷評の|あら捜しする(overcritical)
naughtily	わんぱくに
phlox	フロックス|ハナシノブ科の植物で花が美しい|67種が知られており|越冬性一年草のものと多年生のものがある
topgallant	トゲルンマスト(帆船でトップマストのすぐ上に付けるマスト);トゲルンスル(トゲルンマストの帆桁にかける帆)|トゲルンマスト(トゲルンスル)の
peekaboo	いないいないバー
purism	(語法・文体などでの)純粋主義
febrifuge	解熱作用のある|解熱剤
potation	《複数形で》酒を飲むこと;酒盛り|〈U〉〈C〉酒
astigmatic	乱視の
painfulness	苦しみ|骨折り
softie	気が弱い人|人の言いなりになる人
matricide	〈U〉〈C〉母殺し|母殺しをする者
photometer	光度計;(写真の)露出計
unmethylated	非メチル化
blather	ばかげたことを言う
steamroller	蒸気ローラー
ethernet	イーサネット|コンピューターネットワークの規格の1つで|世界中で使用されているLAN(Local Area Network)で最も使用されている技術規格
whodunit	推理(探偵(たんてい))小説(映画)|ミステリーもの
embalm	香気を満たす|(死体に)防腐処理する
unlatch	〈戸など〉‘の'掛け金をはずす
ingathering	取入れ|収穫|集会|会合
quintal	キンタル(重量の単位;100kgに相当)
kraut	塩漬けかぶら
wintergreen	ヒメコウジ|冬緑樹|冬緑油(の香味)
gibbous	《名詞の前にのみ用いて》(月が)凸(とつ)状の|せむしの(humpbacked)
gesticulate	身振りで話す|身ぶり手振りで表現する|活発な身ぶりをする
gyroscopic	ジャイロスコープ(回転儀)の
projectionist	テレビ技師|映写技師
crosse	クロス(ラクロス(lacrosse)競技用のラケット)
sulfonylurea	スルホニル尿素薬(SU薬)|糖尿病内服治療薬で最も多く使用されている薬
adorer	礼拝者|崇拝者|賛美者|熱愛者
heavenwards	=heavenward
smudgy	汚れた|しみだらけの|不鮮明な|煙る|くすぶった|すすけた
tripeptide	トリペプチド(アミノ酸の元としてタンパク質proteinを作る) cf|peptide
tush	牙|長くとがった歯|白黒混血児|お尻|危険な|好戦的な|上流の|チェッ!
tantalize	じらす|人をじらす
broncho	=bronco
suborn	(わいろなどを与えて)(人に)偽誓(偽証)させる|悪事を働かせる
bungle	やりそこなう|へま(をする)|しくじる|しくじり
kerf	(のこぎりなどで木につけた)切り込み|ひき目;(枝などの)切り口
syndic	(法人・大学などの)理事|評議員|地方行政長官|ケンブリッジ大学の特別評議員
animalism	獣性;獣欲主義|人間動物説(人間の霊性を否定する説)
catgut	腸線|ガット(小羊などの腸で作った強いひも・糸で弦楽器の弦|テニスのラケット|外科用縫合糸などに用いる)
durbar	(インド土侯・旧インド総督の)公式会見|謁見
bandbox	(帽子・カラーなどを入れる)ボール箱|薄板箱
enrollee	入学者
lychee	=litchi
thespian	悲劇の|(一般に)演劇の|悲劇役者|(しばしばおどけて)俳優|役者
mazy	迷路のような
sectionalism	地域主義|地域偏重[主義];派閥主義
jodhpurs	乗馬ズボン
railhead	鉄道(線路)の終端|レールの頭部
interstice	隙間|割れ目|裂目|穴|間隔
emulsify	〜‘を'乳状(乳剤)にする
homebody	家に引きこもりがちな人・家庭的な[マイホーム主義の]人
lubber	(体の大きな)ぶこつ者|無器用者|未熟な水夫
mefloquine	メフロキン(抗マラリア剤|内服する)
platen	プラテン(印刷機・タイプライターのローラー)
seropositivity	血清反応陽性
overlie	〈覆い・地層などが〉〜‘の'上に横たわる(重なる)
myristate	ミリスチン酸エステル|ミリスチン酸(化合物名)
mesmerize	催眠術をかける
sporangium	(コケ植物の)胞子嚢(のう)
columbine	オダマキ(植物)
phylactery	(ユダヤ教の)経札|聖句箱
quitclaim	(不動産などの)権利放棄|〈財産・権利などの要求〉‘を'放棄する
appointive	任命(任用)による
bleacher	漂白者(器･剤)|屋根なし観覧席
deadwood	枯枝|枯木|無用な人々(もの)
left	左の|左側
motocross	モトクロス(荒地の競走路を走るオートバイレース)
catafalque	棺台|無蓋の霊柩(れいきゅう)車
distend	膨張させる|広げる|膨脹させる|誇張する|膨らませる
masturbatory	自慰の|手淫の
precentor	(聖歌隊の)先唱者
redux	戻ってきた
cerumen	耳あか
jimmy	(食用の)羊の頭|(強盗用の)金てこ|金てこでこじあける
lorn	孤独の|わびしい|見捨てられた
rockery	=rock garden
felicitation	祝賀|祝辞
itchiness	かゆいこと|むずむずすること
churchgoer	(きちんと･熱心に)教会に通う人
preamplifier	プリアンプ(受信した弱い電波を検波・増幅する装置)
rhyolite	流紋岩(二酸化ケイ素を多く含むきめの細かい火山岩)
calla	(サトイモ科)カラ|ミズイモ
dodger	ぺてん師|小さいビラ
ghostwriter	代作者|ゴーストライター
cellblock	(刑務所の)独房棟
retouch	写真修正
intronic	イントロン(遺伝子関連)の|遺伝情報として転写はされるが最終的にはアミノ酸の塩基配列から除去される配列をintronという
murkiness	暗さ;陰気;曇っていること
masterstroke	すばらしいできばえ|みごとな腕前(手腕)
yearend	年末の
cozen	〈人〉'を'だます
negativism	否定論|懐疑論
staging	上演できる|上演|駅馬車業|集結
mutineer	19
hallo	もしもし|ハロー(Hello)
nougat	ヌガー(木の実がはいった砂糖菓子)
sectary	=sectarian
shortchange	サボる
uncrowned	[まだ]王冠を戴かない(いただかない)|王位につかずに実権を持つ
palmistry	手相術
pennon	槍旗(三角形または燕尾(えんび)形で騎士が槍につけた)|(一般に)旗
abeam	(海事用語で)(〜の)真横に《+『of』+『名』》
spanking	(歩調)活発な|威勢のよい|(風)強い|すごく立派な|すてきな
toadstool	(特に)毒きのこ
bookstall	[古]本の露店|《英》(駅の)新聞[雑誌]売店(《米》newsstand)
collectable	収集価値のあるもの|マニアが収集するもの
trilby	フェルトの中折れ帽
civvies	(軍服に対して)平服|背広
lorgnette	(柄の付いた)めがね|オペラグラス
shipmaster	船長
paratyphoid	パラチフス
sociably	社交的;愛想よく
matriculate	(試験の結果によって)〈人〉‘に'大学の入学を許す|(大学に)入学資格を得るための試験を受ける《+『at』(『in』)+『名』》
pannier	(牛馬の背や自転車の両側につける)荷かご|パニエ(婦人服の腰部を広げるための骨のわく)
triumvir	(古代ローマの)三執政官の一人
intangibility	触れることのできないこと|漠然としてつかみどころのないこと
moated	《名詞の前にのみ用いて》堀で囲まれた(守られた)
congener	同種|同類の物(人)|同属の動植物
bullfighter	闘牛士
ectoplasm	(霊媒の体から出る)心霊体
shrike	モズ
turboprop	ターボプロップエンジン(航空機)
trimmer	trimする人･もの|手ごわい人|ごまかしを言う人|素晴らしいもの|一級品
worldclass	ワールドクラス
mimeograph	謄写版|複写器|(謄写版による)写し|〜‘を'謄写する(duplicate)
pacer	ペースメーカー
chessman	チェスのこま
derringer	デリンジャー式ピストル(短い銃身で口径が大きい)
drowning	溺死
foredoom	〜‘を'前もって運命づける|前もって定められた運命|予定された運命
bund	海岸通り|築堤|堤防|(punt平底小船|ラグビー等でボールが地に着く前に蹴ること|bunt野球のバント|band帯|楽団|bund海岸通り)
hyperopia	遠視
nippy	(幼児語)おしゃぶり(=pacifier)|すばしこい|厳しい
inveigle	(ある場所に)〈人〉‘を'おびき寄せる|(ある行為に)〈人〉‘を'そそのかす《+『名』+『into』+『名』(do『ing』)》
basset	バセット犬(basset hound|足の短い犬種)
holmium	ホルミウム(希土類金属元素;化学記号は『Ho』)
damselfly	イトトンボ
brindled	とらぶちの(灰色・黄褐色の地に濃い縞・斑点のある)
glycopeptide	糖ペプチド
moped	ペダル付きのオートバイ|原動機だけでもペダルをこいで人力だけで走行することが可能な車両の総称|Motorと Pedalの合成語
owlish	フクロウに似た
racquetball	ラケットボール|壁に囲まれたコートでボールを壁にはね返らせるスカッシュに似た球技
revalue	〜‘を'再評価する|〈通貨〉‘を'切り上げる
dugong	ジュゴン(インド洋に住むイルカに似た水生哺乳(ほにゅう)動物)
distich	二行連句|対連(ついれん)(同じ韻を持つ2行だけの詞)
hygrometer	湿度計
floodgate	(水量の調節をする)水門
hearten	元気づける|励ます
somite	体節(somite)|脊索動物全般に胚発生時に現れる分節構造
bilabial	両唇(しん)音([b]|[m]|[p]など両唇で発音されるもの)|両唇で発音される
dullard	のろま|ばか
roomie	ルームメイト
remediable	治療できる|取り返しのきく|救済できる
autobahn	アウトバーン|ドイツの高速道路
overqualified	(ある仕事に泌要以上に)教育(経験)がある
patriotically	愛国的に
remunerate	(苦労などに対し)〈人〉‘に'報いる《+『名』+『for』+『名』(do『ing』)》|(サービスに対し)〈人〉‘に'報酬を与える《+『名』+『for』+『名』(do『ing』)》
andiron	(炉の)まき載せ台
lachrymose	(人が)涙もろい;(物語・歌などが)涙を催させる
otiose	(考え・言葉などが)不必要な|よけいな|役に立たない
playgoer	よく劇場へ行く人|芝居の常連
deafen	聴覚を奪う
lightsome	軽快な;快活な|陽気な;上品な|優美な
marketeer	市場商人
osteoclastogenesis	破骨細胞形成
procaine	パロカイン(局所麻酔な用いる薬品)
weatherproof	(布・衣服が)風雨に耐える|〈生地〉‘を'風雨に耐えられるようにする
airbrush	エアブラシ(ペンキ吹き付け用噴霧塗装器)
bagatelle	玉突きの一種|つまらないもの|ささいな事|小曲
congrats	=congratulations
fretwork	雷文飾り
gauss	ガウス(磁力の強さのcgs単位)
commendatory	推薦する|推賞の
peckish	腹のすいた
thymocyte	胸腺細胞
fortissimo	(音楽の演奏で)最も強く(《略》ff)|最も強い|フォルテシモの
pusillanimity	いくじのなさ|おくびょう|優柔不断
slammer	ドア|戸口|刑務所|ブタ箱
bookbinding	製本[術]|製本業
generalissimo	大元帥
guff	(俗)ばか話|くだらない事
tuppence	=twopence
buster	ベビーブームのあとの世代の人|破壊する人|(よびかけで)おい
deliveryman	(客の購入品・注文品の)配達員
traumatize	に外傷を負わせる|を傷つける|に損傷を与える|に精神的ショックを与える|に心の痛手を負わせる
condign	(特に罪が)当然の|妥当な
dogcart	(背中合わせの2座席がある)軽二輪馬車|犬に引かせる二輪車
imperforate	穴のあいていない|(切手に)ミシン目のない|ミシン目のない切手
pennyworth	(〜の)1ペニーで買える分量|1ペニー分(の〜)《+『of』+『名』》|わずか|少量(の)《+『of』+『名』》
sailcloth	帆布|ズック|帆木綿
collocate	〜'を'いっしょに置く|一まとめにする;〜'を'配列する|〈語が〉(他の語と)連語をなす《+『with』+『名』》
gassy	ガスが充満した;ガスを含む|ガス状(質)の
pliancy	(物の)柔軟さ|しなやかさ|(人の)柔順さ|順応性
breaststroke	平泳ぎ
canoeist	カヌーのこぎ手;カヌーこぎの名手
commissionaire	(ホテル・劇場・役所などの制服を着た)守衛|受付|門衛
purblind	半盲の|目がよく見えない|反応(理解)のおそい|鈍感な
antigravity	反重力(陽の質量の物体が陰の質量の物体と反発する力)
oiler	タンカー
parboil	〈肉・野菜など〉'を'さっとゆでる|さっと湯を通す|《まれ》〈部屋など〉'を'熱くしすぎる|〈人〉'を'ひどく暑がられる
caterwaul	(発情期の猫のように)ギャーギャー言う|いがみ合う|ギャーギャー鳴く声
dastard	ひきょう者|卑劣漢
rudiment	《the rudiments》(〜の)初歩|基本|原理《+『of』+『名』》|《the rudiments》(〜の)きざし|芽ばえ|初期《+『of』+『名』》|〈C〉(生物の)痕跡器官|退化器官
cotillion	コティヨン(18世紀に始まった活発な社交ダンス)
meddler	おせっかいをやく人
mercaptoethanol	メルカプトエタノール|劇物取締法による毒物|引火性で炎や酸化剤などに接触すると発火する|還元剤として働く
