clientele,顧客層
defile,汚す
absolve,免除する
scavenger,掃除屋
afore,以前に
unload,荷を降ろす
robin,コマドリ
amnesty,恩赦
setback,挫折
lotion,ローション
enslavement,奴隷化
homo,同性愛者（口語）|ヒト属
liberally,自由に
introspection,内省
analyte,分析対象物
octopus,タコ
convene,招集する
turmeric,ウコン
evocative,喚起する
needful,必要な
primeval,原始の
seamlessly,継ぎ目なく
homology,相同関係
standstill,停止
sedate,落ち着いた
alpine,高山の
caudal,尾の
aeruginosa,緑膿菌
kiln,窯
unequivocally,明確に
veneer,薄板
congruence,一致
knuckle,関節
earshot,聞こえる範囲
uppermost,最上の
athletics,陸上競技
asparagus,アスパラガス
forebode,予感する
shitty,ひどい（俗語）
voluminous,大量の
mislead,誤解させる
twinge,鋭い痛み
condone,見逃す
brokerage,仲介業
undeniably,否定できないほど
cellphone,携帯電話
catapult,カタパルト
desertion,放棄
stipulate,規定する
weaponry,武器類
oeuvre,作品群
molasses,糖蜜
herpes,ヘルペス
sorcery,魔法
approbation,賛同
antiviral,抗ウイルスの
lurk,潜む
wrest,奪い取る
waterproof,防水の
oratory,雄弁術
lineup,整列
consulate,領事館
expropriation,収用
carp,コイ
impasse,行き詰まり
uncompromising,妥協しない
superhuman,超人的な
woollen,羊毛の
impromptu,即席の
airflow,気流
cert,証明書
tether,つなぐ
unrestrained,制限のない
astrology,占星術
clamour,騒音
moat,堀
mason,石工
decompression,減圧
puffy,膨れた
manipulator,操作する人
endow,寄付する
bygone,過ぎ去った
backstage,舞台裏
almighty,全能の
disorderly,無秩序な
punishable,罰せられる
unsuspecting,疑わない
mow,刈る
commensurate,釣り合った
overhang,突出部
annals,年代記
cavalier,無頓着な
epigram,警句
upscale,高級な
verbatim,逐語的に
aghast,恐怖でぞっとして
hamburger,ハンバーガー
deathly,死のような
retraction,撤回
argumentative,議論好きな
tarry,遅れる
slur,中傷
skillfully,巧みに
recede,後退する
interestingly,興味深く
quail,ウズラ|怖がる
unchecked,抑制されていない
inset,挿入物
comin,来る［=coming］（口語）
ethnically,民族的に
interchangeable,交換可能な
insurmountable,克服できない
cramp,けいれん
usefully,役に立って
leaflet,小冊子
mainstay,主柱
ganglion,神経節
homeward,家へ向かう
charger,充電器|戦馬
cockroach,ゴキブリ
appreciable,かなりの
mailbox,郵便箱
salutation,挨拶
subtype,亜型
dab,ちょっとつける
midpoint,中点
visage,顔つき
lymphocyte,リンパ球
rodent,齧歯類
groundbreaking,画期的な
hacker,ハッカー
meddle,干渉する
extermination,根絶
receptacle,容器
improvise,即興で行う
derail,脱線する
autocratic,独裁的な
cypress,ヒノキ科の木
knockout,ノックアウト
exhort,強く促す
fart,おなら（俗語）
poplar,ポプラ
renaissance,ルネサンス
entitle,権利を与える
deciduous,落葉性の
handgun,拳銃
canvass,選挙活動する
helical,螺旋の
inevitability,不可避性
dope,麻薬|情報（俗語）
peal,鳴り響く音
blister,水ぶくれ
brawl,けんか
bulwark,防波堤
thorny,棘の多い|困難な
requisition,要求
inquest,検視
premonition,予感
genealogical,系譜の
drape,覆う
larval,幼虫の
capricious,気まぐれな
shortfall,不足
citizenry,市民全体
radicalism,急進主義
cursory,ぞんざいな
foal,子馬
reproducibility,再現性
contaminant,汚染物質
tumbler,タンブラー|側転者
falter,よろめく
academically,学問的に
torsion,ねじれ
imputation,帰属
filmmaker,映画製作者
selfless,利他的な
unconsciousness,無意識
smith,鍛冶屋
destabilize,不安定にする
froth,泡
savagely,野蛮に
interminable,終わりのない
wearer,着用者
regent,摂政
fortify,強化する
axillary,腋の
sequestration,隔離
cursor,カーソル
coincidentally,偶然に
noxious,有害な
disgraceful,不名誉な
actionable,訴訟可能な
segmental,区分の
oriental,東洋の
randomness,無作為性
flax,亜麻
overdue,期限切れの
biker,バイカー
cilantro,コリアンダー（香草）
skid,滑る
reflectance,反射率
flatten,平らにする
consultancy,コンサルタント業
stammer,どもる
understatement,控えめな表現
screenplay,脚本
cam,カム（機械部品）
intensively,集中的に
macrophage,マクロファージ
nautical,航海の
suppressor,抑制装置
flange,フランジ（輪）
intubation,挿管
squint,斜視|ちらっと見る
unequivocal,明確な
marquis,侯爵
perversion,倒錯
rave,熱狂的な称賛
artisan,職人
devaluation,通貨切り下げ
obituary,死亡記事
archetypal,典型的な
tote,持ち運ぶ
glioma,神経膠腫
insider,内部関係者
tonal,音調の
derision,嘲笑
hydrate,水和させる
unharmed,無傷の
shutdown,停止
originator,創始者
hangover,二日酔い
billet,宿舎
energetically,精力的に
obnoxious,不快な
paramilitary,準軍事的な
parse,構文解析する
oar,オール（櫂）
populate,居住させる
corrosive,腐食性の
congressman,議員
solidly,堅実に
glomerular,糸球体の
overuse,過剰使用
superposition,重ね合わせ
unoccupied,空いている
snowball,雪玉|雪だるま式に増える
spectre,幽霊
profusion,豊富
mammal,哺乳類
relatedness,関連性
empathetic,共感的な
lorry,トラック（英）
interferon,インターフェロン
cytotoxicity,細胞毒性
expressionless,無表情な
airtight,密閉した
liquefaction,液化
proletarian,労働者階級の
boisterous,騒々しい
untold,語り尽くせない
wicket,小門|クリケットの門柱
illustrator,挿絵画家
reunification,再統一
paddy,水田|怒る（俗語）
underpinning,基礎
domestication,家畜化
kosher,ユダヤ教の食事規定の
noninvasive,非侵襲の
hurl,投げつける
tabloid,タブロイド紙
hearer,聞き手
dutifully,義務感をもって
epitome,典型
unproductive,非生産的な
carving,彫刻
oxygenation,酸素供給
spotless,非常に清潔な
disarray,混乱
antipathy,反感
pillage,略奪
placental,胎盤の
whirlpool,渦巻き
conditioner,コンディショナー
trilogy,三部作
legion,軍団
ascension,昇天
vestibule,前庭
deceitful,詐欺的な
cheerfulness,陽気さ
hassle,面倒なこと
steamboat,蒸気船
interconnect,相互接続する
urchin,いたずら小僧
fresco,フレスコ画
nonfiction,ノンフィクション
footpath,歩道
maltreatment,虐待
expound,詳述する
nil,ゼロ
enterprising,進取的な
earthy,土のような
differentially,差異的に
positional,位置の
preservative,防腐剤
initiator,開始者
reassert,再確認する
germinate,発芽する
acculturation,文化順応
navel,へそ
recompense,報酬
rife,蔓延した
ode,頌歌
languid,だるい
feebly,弱々しく
comeback,復帰
parabolic,放物線の
scoff,あざける
undergrowth,低木
chaise,長椅子
erythema,紅斑
saffron,サフラン
aboriginal,先住民の
spec,仕様書
interleukin,インターロイキン
portico,柱廊
abbreviation,略語
statehood,州の地位
snag,障害
babysit,子守をする
parenthood,親であること
radiator,ラジエーター
tranquility,静けさ
reciprocate,報いる
auspicious,縁起の良い
vogue,流行
accuser,告発者
undivided,分割されていない
untenable,支持できない
apricot,アンズ
grandchild,孫
goodly,かなりの
ashen,灰色の
immobile,動かない
stabilizer,安定装置
whoosh,シュッという音
specter,幽霊
frosty,霜の降りた
reload,再装填する
bazaar,バザール
daydream,白昼夢
tau,τ・Τ（ギリシャ文字）
delineation,輪郭描写
vexation,いらだち
forgetfulness,忘れっぽさ
hydro,水の（略）
housework,家事
patrolling,巡回
idyllic,牧歌的な
python,パイソン（ヘビ）
saber,サーベル
commuter,通勤者
rehab,リハビリ
surety,保証人
euphoria,多幸感
programmer,プログラマー
innocuous,無害な
stalwart,頼もしい
espouse,支持する
freeway,高速道路
personification,擬人化
inexhaustible,尽きない
mammoth,マンモス|巨大な
domestically,国内で
skyline,スカイライン
hefty,重い
toothbrush,歯ブラシ
burdensome,負担になる
nag,しつこく言う
merriment,楽しみ
columnist,コラムニスト
bard,吟遊詩人
outlay,支出
extraneous,不必要な
reputable,評判の良い
waver,揺れる
blemish,傷
notoriety,悪名
landing,着陸
toleration,容認
crucifix,十字架像
unrelenting,容赦ない
revocation,取り消し
stasis,停滞
bailiff,執行官
chronically,慢性的に
unilaterally,一方的に
signifier,記号（指示者）
tearful,涙ぐんだ
slider,スライダー
wasteful,無駄遣いの
intercede,仲裁する
straightforwardly,率直に
untie,ほどく
cyberspace,サイバースペース
counterattack,反撃
chubby,ぽっちゃりした
dyspnea,呼吸困難
canister,缶
prefect,長官
incongruous,不釣り合いな
spaceship,宇宙船
donut,ドーナツ
tacitly,暗黙に
misdemeanor,軽犯罪
labourer,労働者
eviction,立ち退き
embolism,塞栓症
strangle,絞め殺す
faux,偽物の
rapist,強姦犯
quarterback,クォーターバック
belittle,軽視する
localize,局地化する
dressing,包帯
arrears,滞納
windmill,風車
purview,範囲
morn,朝
adventurer,冒険者
revitalize,活性化する
numerator,分子
biotic,生物の
finale,終曲
lousy,ひどい
workable,実行可能な
plaid,格子縞
gout,痛風
stuffy,息苦しい
pensive,物思いにふける
insensible,無感覚な
otter,カワウソ
unbelief,不信
distinctively,独特に
jus,（法律の）権利
singly,単独で
spatula,ヘラ
propulsion,推進
prickly,トゲのある
mortification,屈辱
bastion,砦
recidivism,再犯
riverbank,川岸
thrombocytopenia,血小板減少症
dramatist,劇作家
outlier,例外値
inactivity,不活発
separator,分離器
controllable,制御可能な
heredity,遺伝
decor,装飾
ideation,発想
timbre,音色
rightfully,正当に
opiate,アヘン剤
roost,止まり木
seedling,苗木
unconcerned,無関心な
familiarize,慣れさせる
aspirate,吸引する
impassioned,熱烈な
contrive,考案する
audacious,大胆な
aerospace,航空宇宙
decorum,礼儀作法
frankness,率直さ
formaldehyde,ホルマリン
hinterland,内陸部
narcissism,自己愛
omnibus,総合的な
mph,マイル毎時
docile,従順な
sleigh,そり
chloroplast,葉緑体
subclass,下位クラス
grocer,食料雑貨商
libido,性欲
plausibility,もっともらしさ
computationally,計算上
couplet,二行詩
idem,同上
pauper,貧乏人
posttraumatic,外傷後の
mantel,暖炉棚
parenteral,経腸外の
tripod,三脚
bloodshot,充血した
kale,ケール
crore,1千万（インド単位）
tot,幼児
testicular,精巣の
curt,ぶっきらぼうな
hardworking,勤勉な
seniority,年功序列
predilection,偏愛
anecdotal,逸話的な
asbestos,アスベスト
relativistic,相対論の
nanotube,ナノチューブ
lawless,無法の
allay,和らげる
songwriter,作詞家
imperceptible,知覚できない
ulceration,潰瘍化
symbiosis,共生
paprika,パプリカ
quartet,四重奏
incipient,初期の
hypoglycemia,低血糖症
nibble,少しずつかじる
obliterate,消し去る
kink,ねじれ
hemodynamic,血行力学の
nullify,無効にする
medallion,メダリオン
ruffian,ならず者
interlude,合間
drab,地味な
condenser,凝縮器
incest,近親相姦
aphasia,失語症
lethargy,無気力
etymology,語源学
regurgitation,逆流
disuse,廃用
colt,子馬
maroon,孤立させる
hypocritical,偽善的な
thereupon,その上で
gritty,勇敢な
mic,マイク
positivism,実証主義
virulent,有害な
infinitesimal,極微の
clipboard,クリップボード
stockpile,備蓄
politic,賢明な
novella,中編小説
glossary,用語集
blizzard,吹雪
judgmental,批判的な
butter,バター
nanoscale,ナノスケール
pantomime,パントマイム
daresay,おそらく～と思う
smoker,喫煙者
vagueness,曖昧さ
mindless,考えなしの
arbitrage,裁定取引
unplanned,計画外の
optimally,最適に
fern,シダ
superstructure,上部構造
refutation,反証
highness,殿下
selenium,セレン
hairpin,ヘアピン
unfounded,根拠のない
dismantle,解体する
dishwasher,食器洗い機
multicenter,多施設の
decadent,退廃的な
percussion,打楽器
doorknob,ドアノブ
unforgettable,忘れられない
nu,ν・Ν（ギリシャ文字）
moot,議論の余地がある
sympathetically,共感的に
dependable,頼りになる
rooster,おんどり
diminution,減少
confidant,信頼できる人
inconclusive,結論の出ない
supranational,超国家の
sideline,副業
intermittently,断続的に
customize,カスタマイズする
falcon,ハヤブサ
divisible,割り切れる
afferent,求心性の
misconception,誤解
instill,教え込む
rainforest,熱帯雨林
bunny,ウサギ
rudder,舵
hypnosis,催眠
pneumatic,空気の
echocardiography,心エコー検査
mimetic,模倣の
callus,たこ
treadmill,ランニングマシン
retard,遅らせる
rookie,新人
boo,ブーイングする
ceaseless,絶え間ない
standardize,標準化する
curative,治療の
hectic,非常に忙しい
chaff,もみ殻
cerebellum,小脳
washer,ワッシャー|洗濯機
gloomily,陰鬱に
asunder,引き裂かれて
supple,しなやかな
ecumenical,全教会的な
gong,ゴング
ordinate,縦座標
afflict,苦しめる
cysteine,システイン（アミノ酸の一種）
unfaithful,不誠実な
preclinical,前臨床の
valor,勇気
unwarranted,不当な
exaltation,高揚
sanctification,神聖化
