abortus	流産児
cosmetically	for cosmetic purposes to improve appearance; "it is used cosmetically by many women"|for cosmetic purposes to improve appearance
viscometer	粘度計
quoin	(建物の外壁の)かど;(そのかどを造る)すみ石|くさび石|くさび;くさび型の物
parttime	involving less than the standard or customary time for an activity; "part-time employees"; "a part-time job"|involving less than the standard or customary time for an activity
singalong	informal group singing of popular songs
durbar	(インド土侯・旧インド総督の)公式会見|謁見
brazenly	厚かましく
catechol	カテコール|フェノール類の有機化合物|ウルシオール(漆の主成分)|カテキンなどのポリフェノールほか多くの生体物質の骨格に含まれる
earwax	耳あか|耳くそ
unhurried	優々たる|優優たる
shriveled	(used especially of vegetation) having lost all moisture; "dried-up grass"; "the desert was edged with sere vegetation"; "shriveled leaves on the unwatered seedlings"; "withered vines"|(used especially of vegetation) having lost all moisture
fractious	怒りっぽい|気むずかしい|手に負えない|面倒を起こす
conformable	一致した|適合した;(慣例・規範などに)準拠した《+『to』+『名』》|従順な;(〜に)よく従う《+『to』+『名』》
toothy	歯を見せる
cheesecloth	チーズを作るときに用いる目のあらい綿布
uselessly	徒らに|むだに|徒に
hemline	裾の線 (hemはヘリ)
gallantly	優しく|勇敢に|雄々しく|慇懃に
prejudgment	a judgment reached before the evidence is available
earthman	地球人
ulama	ウラマー
ectoderm	外胚葉
bended	曲がった
confidante	confidant(親友)の女性形
habitus	体質|背格好|身なり|筋骨|からだ付き|体つき|スタイル|柄|体格|体形|造り
watchband	腕時計のバンド
megabuck	100万ドル|巨額な資金力
scarey	おっかない|怖い|恐い|悍ましげ
poignantly	感動的
depopulation	過疎
untiring	疲れない|疲れを知らない|たゆまない|不屈の
eosin	エオシン
mechanize	機械化|単調化|機械化
bwr	沸騰水型原子炉
unionize	労働組合を組織する|労働組合に加入する|を合体させる|統一する
numberless	(比較変化なし)《おもに文》無数の|数えきれない|番号のない
intemperance	不節制;暴飲[暴食]
submergence	水中に沈めること|水没|浸水
fuller	円型溝づけ器|丸溝|縮充工|洗い張り屋|に丸溝をつける
pennines	ペンニン山脈
expansionist	of or involving or guided by expansionism
definiteness	the quality of being predictable with great confidence
numeration	数えること|計算|数え方|計算法
sulfa	スルホンアミド|サルファ剤
forgivable	許してよい
peevish	気難しい|怒りっぽい|不平を言う
greaser	(機械に)油を差す人|《俗》《軽べつして》ラテンアメリカ人|(特に)メキシコ人
splashdown	(宇宙船の)着水
facing	上塗り|向く
multiform	多くの形態を持っている;多様な
unmapped	(of unknown regions) not yet surveyed or investigated; "uncharted seas"|(of unknown regions) not yet surveyed or investigated
scrounge	くすねる|行商する
resh	the 20th letter of the Hebrew alphabet
lacklustre	lacking brilliance or vitality; "a dull lackluster life"; "a lusterless performance"|lacking brilliance or vitality|lacking luster or shine; "staring with lackluster eyes"; "lusterless hair"|lacking luster or shine
sampling	サンプリング抽出
locknut	ゆるみ止めナット
leaker	a surreptitious informant; "the president wanted to know who the leakers were"|a surreptitious informant
nonfood	食料品以外の商品
flattop	=crew-cut|《まれ》航空母艦
indelibly	消えないように|永久に
aphelion	遠日点(月・遊星が太陽から最も離れる点)
expositor	説明者|解説者
stakeout	張り込み
ashy	灰の(ような)|灰まみれの|灰色の|蒼白な
handhold	手づかみ|手がかり
goner	死者|死に体|落ちぶれた人|見込みのない人
weaving	製織
submersion	=submergence
overpressure	a transient air pressure greater than the surrounding atmospheric pressure; "the overpressure of the blast kills by lethal concussion"|a transient air pressure greater than the surrounding atmospheric pressure
rosehip	ローズヒップ
traumatology	災害外科
uninvolved	not involved; "being uninvolved he remained objective"|not involved
picaresque	悪漢を題材とした
naturalize	市民権を与える|帰化させる|ナチュラライズ
gourmand	大食家|美食家|食道楽|食通
slavish	独創性のない|卑屈な|卑劣な|奴隷の|奴隷のような|すっかり模倣する
awestruck	打たれた
felicitous	適切な|ぴったりの|うまい|表現の巧みな|幸運な
caravel	キャラベル(15-16世紀の軽快な帆船)
quicky	応急処置
carboy	カーボイ|大きなガラス製の酒入れ|箱入り大型ガラスビン
necromancy	交霊による占い|いかがわしい魔術
plaudit	拍手かっさい|賞賛|拍手|喝采
benefice	(牧仕|特にvicar|rectorの)聖職禄;受禄職者の地位
pemphigus	a skin disease characterized by large thin-walled blisters (bullae) arising from normal skin or mucous membrane
cxl	being ten more than one hundred thirty
demander	a person who makes demands
mentha	薄荷
conspecific	an organism belonging to the same species as another organism|belonging to the same species; "cultivated cabbage and wild cabbage are conspecific"|belonging to the same species
winterize	prepare for winter; "winterize cars"; "winterize your houses"|prepare for winter
underachievement	poorer than expected performance (poorer than might have been predicted from intelligence tests)
trilobite	三葉虫(甲殻類に属する最古の化石動物)
geosynchronous	of or having an orbit with a fixed period of 24 hours (although the position in the orbit may not be fixed with respect to the earth)
stigmatization	the act of stigmatizing
marginalia	《複数形》(本の)欄外の注|傍注
cuniculus	pacas
terahertz	テラヘルツ
grading	スケーリング
jackdaw	=daw
monovalent	containing only one kind of antibody|having a valence of 1
uncrowded	having or allowing sufficient room; "an uncrowded train"; "an uncrowded view"|having or allowing sufficient room
revitalisation	返り咲き|復活|甦り|復興|リバイバル|再現|中興|再燃|再興|返咲き
snood	(女性が後ろの髪を束ねる)ヘアネット;ヘアネット式の帽子
hardboiled	(卵など)堅ゆでの|(人が)非情な|冷酷な;(物の見方などが)現実的な|ちゃっかりした;(文学の作風が)非情派の|ハードボイル派の
billow	大きく波うつ|大波|大きなうねり|もくもく|煙が上がる様子
cleft	裂け目|分裂|cleaveの過去･過去分詞|裂けた|割った
helianthus	向日葵|ヒマワリ|日回り
osseous	骨の|骨に似た
honorific	敬語
underhand	(野球などで)下手投げの|秘密の|ずるい|下手投げで|こそこそとずるく|陰険に
idolatrous	偶像崇拝の|偶像崇拝的|心酔する
translatable	翻訳可能な|言い換えられる
angioedema	血管性浮腫
tradespeople	小売商人
polytheism	多神教;多神論・反対語の「一神教」は「monotheism」
ethnological	民族学[上]の
reveller	a celebrant who shares in a noisy party; "the clubs attract revelers as young as thirteen"|a celebrant who shares in a noisy party
hippocratic	of or relating to Hippocrates or the school of medicine that took his name
harasser	a persistent tormentor|a persistent attacker; "the harassers were not members of the regular army"|a persistent attacker
hexose	六炭糖
quitclaim	(不動産などの)権利放棄|〈財産・権利などの要求〉‘を'放棄する
hemagglutination	赤血球凝集
lgv	infectious disease caused by a species of chlamydia bacterium; transmitted by sexual contact; characterized by genital lesions and swelling of lymph nodes in the groin|infectious disease caused by a species of chlamydia bacterium|transmitted by sexual contact|characterized by genital lesions and swelling of lymph nodes in the groin
stovepipe	ストーブの煙突
kuomintang	国民党
potbelly	太鼓腹
flavonoid	フラボノイド
poultice	湿布|パップ
bombast	大言壮語|豪語|誇張
catbird	ネコマネドリ(北米産のツグミの一種)
hassock	(お祈りのときに使う)ひざ布団|草むら(tussock)
deregulate	規制を解除する
impulsively	衝動的に
giggly	クスクス笑う
gamekeeper	(密猟防止・鳥獣保護・飼育などのための)猟場管理人
cannibalize	(車･機械)分解･解体する|(人の)肉を食う|共食いする
milch	乳を出す
intraspecific	種内
katydid	キリギリス科の昆虫の一種(米国産)
nonfunctional	機能しない
hawksbill	タイマイ
tortoiseshell	〈U〉べっ甲|〈C〉ヒオドシチョウ(タテハチョウの類の一つ)|〈C〉三毛ネコ
madrasa	マドラサ
pedicle	=pedicel
diamine	ジアミン
temerity	向こう見ず|無鉄砲
collusive	なれ合いの|共謀の
ricer	ライサー(ゆでたジャガイモなどをつぶす台所用具)
oropharyngeal	口咽頭
adventitious	偶然の
zeaxanthin	ゼアキサンチン
horehound	ニガハッカ(ヨーロッパ原産のシソ科の多年草;苦い薬用の液が出る)|ハッカで風味をつけた薬(砂糖菓子)
fleecy	羊毛でできた;羊毛でおおわれた|羊毛のような
abaca	アバカ|マニラ麻|マニラアサ|アバカ
busbar	バス
pyrography	the act of producing drawings on wood or leather by using heated tools or a fine flame
territoriality	縄張り行動
koinonia	Christian fellowship or communion with God or with fellow Christians; said in particular of the early Christian community|Christian fellowship or communion with God or with fellow Christians|said in particular of the early Christian community
bigamy	二重結婚|重婚
impoverish	貧弱にする|貧乏にする|を貧しくする|低下させる
thorazine	クロルプロマジン|ソラジン|クロールプロマジン
unanswerable	答えられない|反論できない|責任のない
holism	全体論(全体はその構成部分の総和よりも価値があるという哲学理論)
jerker	someone who gives a strong sudden pull
hizbollah	イスラムジハード
carrageenan	カラギーナン
turbot	ヒラメの一種(ヨーロッパ産);〈U〉その肉
descender	ディセンダ|ディセンダ|ディセンダ
seaborne	海上[輸送]の
summons	召喚する|呼び出し|出頭命令|召喚
untainted	新鮮
broglie	French nuclear physicist who generalized the wave-particle duality by proposing that particles of matter exhibit wavelike properties (1892-1987)
metazoan	後生動物(Metazoa)の|後生動物は|動物分類学で動物扱いだった単細胞生物の原生動物に対し|多細胞の動物をまとめた呼び名として使用された
desiccate	〜‘を'からからに乾燥させる
forevermore	常に|絶えず
dayspring	有り明け方|有明け方|夜明け|彼誰|明けがた|有明|日出|払暁|白白明け|暁天
tsarist	of or relating to or characteristic of a czar
ananas	パイナップル
miserly	けちな|欲深い
radiosonde	ラジオゾンデ(気球からの電波で上空の気象を知らせる装置)
troth	忠実|誠実|真実
contemptuously	見下げるように|軽蔑して
tahini	a thick Middle Eastern paste made from ground sesame seeds
teakwood	チーク
aspinwall	コロン
decomposable	capable of being partitioned
mercaptoethanol	メルカプトエタノール|劇物取締法による毒物|引火性で炎や酸化剤などに接触すると発火する|還元剤として働く
mangler	艶出し
ideologue	イデオロギーの信奉者|空論家|夢想家
impugn	非難する|論難する|異議を唱える|反駁する|疑いを差し挟む
antipodean	(にとって)対蹠地の|(と)正反対の(to)
catchall	種々雑多なもの(がらくた)をなんでも含む(収める)もの|広範囲の
blase	歓楽に飽きた|無関心な|世慣れた
islamophobia	prejudice against Muslims; "Muslim intellectuals are afraid of growing Islamophobia in the West"|prejudice against Muslims
lyse	(生命科学)細胞溶解する
dissenter	反対者|国教反対者|非国教徒(Nonconformist)
pornographer	ポルノ製作者
napu	chevrotain somewhat larger than the kanchil; found in India and Malaya|chevrotain somewhat larger than the kanchil|found in India and Malaya
metallurgist	冶金学者|冶金技術者
twitchy	引きつった
tangentially	接線方向に
auric	of or relating to or containing or derived from gold
illuminant	イルミナント|発光体
malocclusion	不正咬合(こうごう)(歯がうまくかみ合わないこと)
imperishable	不滅の|不朽の
illuminance	照度
insolation	日光にさらすこと|日光浴|日謝病
fixate	固定する|定着する|凝視する|固定させる|定着させる
famish	〜‘を'飢えさせる|飢える
separateness	別々になっていること|分離
antisemitic	relating to or characterized by anti-Semitism; hating Jews|relating to or characterized by anti-Semitism|hating Jews
godwit	large wading bird that resembles a curlew; has a long slightly upturned bill|large wading bird that resembles a curlew|has a long slightly upturned bill
deponent	(法廷における)宣誓証人
leister	a spear with three or more prongs; used for spearing fish (especially salmon)|a spear with three or more prongs|used for spearing fish (especially salmon)
burka	ブルカ
ulna	(人の腕|動物の前肢の)尺骨
generalizability	一般化可能性
feet	足(foot)の複数形
polyelectrolyte	高分子電解質|多価電解質
blackhead	上部が黒いにきび(吹出物)
haganah	ハガナ
bipedal	二足動物
expropriate	(特に|公共の用にあてるため|個人・企業から)〈私有財産〉‘を'没収する|〈人〉‘から'(財産を)没収する《+『名』〈人〉+『from』+『名』》
extendible	capable of being lengthened
nimby	ニンビー
civet	ジャコウねこ(civet cat)から採る香料
streptokinase	ストレプトキナーゼ
tollgate	通行料金徴収所
breadboard	回路部品板(実験用の電子回路の集り)|パン切り板|パンこね板
transept	翼廊|(十字形教会堂の)左右に直角に張り出す部分|トランセプト
bioluminescence	生物発光
geomorphological	pertaining to geological structure; "geomorphological features of the Black Hills"; "morphological features of granite"; "structural effects of folding and faulting of the earth's surface"|pertaining to geological structure
dispensable	無くてもすむ
sambar	a deer of southern Asia with antlers that have three tines
plink	(銃などで練習･遊びとしてを)撃つ|(楽器などを)ポロン･ペンと弾く|(チリン･リンなど)軽く響く音を断続的に立てる
anthroposophy	a system of beliefs and practices based on the philosophy of Rudolf Steiner; it claims to integrate the practical and psychological in child-centered education|a system of beliefs and practices based on the philosophy of Rudolf Steiner|it claims to integrate the practical and psychological in child-centered education
abstruse	難解な|難しい|深遠な
embryonal	胎生の|胚性の|胚
shakeout	急反落|暴落
stripling	青年|若者
recusal	(law) the disqualification of a judge or jury by reason of prejudice or conflict of interest; a judge can be recused by objections of either party or judges can disqualify themselves|the disqualification of a judge or jury by reason of prejudice or conflict of interest|a judge can be recused by objections of either party or judges can disqualify themselves
alnus	alders
haldol	ハロペリドール
televangelist	テレビ伝道師
naif	すれてない|ナイーヴ|うぶ|純樸|淳樸|醇朴|ナイーブ|淳朴|醇樸
succour	=succor
telekinesis	念動[作用](外力を加えず念力で物を動かす)
haemodynamic	血行動態
forsythia	レンギョウ|早春に黄色い花を鈴なりに付ける低木
protean	Proteusプロテウス(ギリシア神話|変幻自在の海神|)の(ような)|変幻自在な|多方面の
carpel	(花の)心皮(生長して果皮となり|そこに実がなる)
stoat	貂|テン|イタチ(夏に毛が褐色)
spirt	=spurt
convector	a space heater that transfers heat to the surrounding air by convection
bulrush	《米》フトイ|《英》ガマ(水辺・沼にはえる植物)
naturalisation	ナチュラリゼーション|帰化|帰化
quango	a quasi nongovernmental organization; an organization that is financed by the government yet acts independently of the government|a quasi nongovernmental organization|an organization that is financed by the government yet acts independently of the government
contiguity	広がり|接近|接触|隣接|隣接性|連続
cattleman	牛飼い|牧場主
alphabetize	〜'を'アルファベット順に並べる|〜'を'アルファベットで表す
grounder	簡単に解決できる殺人事件|(野球)ゴロ(= ground ball)
strew	をばらまく
trachoma	トラコーマ|トラホーム(眼の伝染病)
verdure	(草木の)新緑|緑の草木
exclusiveness	排他[性]|独占
misapplication	誤用|乱用
bosun	=boatswain
spinney	雑木林|木立
tetragonal	正方晶
wretchedness	窮状|悲惨さ|惨めさ|悲酸さ|塗炭|困窮|惨状
etiological	因果関係の(ある)|病因の|因果関係学の
steadfastness	不動さ
cytologic	細胞学的
idealization	美化|理想化
dwarfism	小人症
areca	any of several tall tropical palms native to southeastern Asia having egg-shaped nuts
mummification	ミイラ化
passbook	銀行通帳(bankbook)
murk	真暗やみ|暗黒
didactics	教え|教育|指導|垂教|エデュケーション|エジュケーション|教示|教諭|指南|教授
hullo	やあ
butterfat	牛乳の脂肪
firkin	(バター・ラードなどを入れる)小型の桶(おけ)|ファーキン(英国の容量単位|1|4barrelに相当)
xliii	being three more than forty
fatso	太っちょ|でぶ
chlorate	塩素酸塩
coxswain	(競漕用ボートの)舵(だ)手|かじ取り|艇長
depilation	the condition of being void of hair|the act of removing hair (as from an animal skin)
spat	ささいなけんか|いさかいをする|spit(つばや悪口を吐く)の過去分詞
misquote	誤って引用する
garcinia	evergreen trees and shrubs: mangosteens
protestor	抗議者
baleful	有害な|不吉な|悲惨な|元気のない|悪意に満ちた
volitional	意志の|意志に関する|意志に基づく
agouti	アグーチ
relaxin	リラキシン
fantabulous	目覚ましい|妙々たる|上々|輝かしい|目ざましい|精良|素適|素晴しい|素晴らしい|優等
clawhammer	a hammer with a cleft at one end for pulling nails
professionalization	the social process whereby people come to engage in an activity for pay or as a means of livelihood; "the professionalization of American sports"; "the professionalization of warfare"|the social process whereby people come to engage in an activity for pay or as a means of livelihood
jerkin	(16‐17世紀ごろ男子が用いた)袖無しの上着
foist	(偽物など)を人につかませる|押しつける|そっと挿入する|偽って～の作だとする
theodolite	経緯儀(鉛直角・水平角を測定するのに使う器械)
hydroxyproline	ヒドロキシプロリン
alar	翼のある;翼の形をした
tilth	the state of aggregation of soil and its condition for supporting plant growth
mechanise	機械化|単調化|機械化
workfare	勤労福祉制度
glottal	(のどにある)声門の
plena	plenumの複数形
pachyderm	(pˈækɪd`ɚːm)厚皮動物(カバ･ゾウ･サイなど)|鈍感な人
dichloride	二塩化
irrationally	非合理的に
cadaveric	of or relating to a cadaver or corpse; "we had long anticipated his cadaverous end"|of or relating to a cadaver or corpse
fearlessness	勇気
parus	type genus of the family Paridae
slake	満足させる|を和らげる|を満たす|を晴らす|を消す
unalterable	変えられない|不変の
jetport	ジェット機用空港
sandblast	砂吹き(噴砂機でガラスや金属を切磨すること)
maximisation	最大化
higher	より高い
inexpressible	言い表せない
effectivity	有効性
mercuric	(特に)第二水銀の(を含んだ)
inrush	突入|侵入，来襲・流入，殺到 〔of〕
decalogue	十戒
purslane	スベリヒユ(サラダなどに入れて食べる雑草)
baleen	ホエールボーン
glaringly	in a glaring manner; "it was glaringly obvious"|in a glaring manner
lobular	of or relating to or resembling a lobule
wantonly	きまぐれに|きままに|浮気に
kasbah	カスバ
anxiolytic	抗不安薬|抗不安薬
hydrolysate	a product of hydrolysis
transuranic	having an atomic number greater than 92
squeezer	圧搾器|(レモンなどの)絞り器|搾取者
samovar	サモワール(おもにロシアで用いられているお茶用の湯沸かし器)
indoctrinate	に教え込む|吹き込む
nonmonotonic	not monotonic
beheading	断頭
peripherally	末梢性
footstep	足音
rase	解体|打毀し|打毀|打ち壊す|打壊し|取りくずす|打ち壊し|ばらす|破壊|取壊す
acrimony	(言葉･気質など)辛辣さ|とげとげしさ|厳しさ
hyponatremia	低ナトリウム血症
bristly	剛毛の
lockjaw	=tetanus
deaden	弱める|鈍らせる|消す
conciliate	〈人〉'を'なだめる|懐柔する;〈人〉‘の'好意を得る
soever	《who|what|whereなどと連結して》どんな〜でも|たとえどのように〜とも|《否定語を強調して》全然[〜でない]
dinnertime	夕食時
tracing	さかのぼる|透写|追跡|捜索|複写
ruefully	残念そう
unfavorably	悪し様に
slothful	不精な
oculomotor	動眼神経
hallucinogen	幻覚剤
agriculturist	中耕機|カルチベーター|耕作者
tomfoolery	ばかなまね
ruthlessness	無慈悲
gnash	歯ぎしり(する)
bigeye	red fishes of American coastal tropical waters having very large eyes and rough scales
aken	アーヘン|エクスラシヤペル
unglued	取り乱した;狂気の
pompadour	ポンパドゥール(男性のオールバック|または女性の前髪をなで上げて後ろで束ねた髪型)
reassuringly	安心させるように|はげみになるように
pisum	エンドウマメ|別名グリンピース|サヤエンドウ
delf	an excavation; usually a quarry or mine|an excavation|usually a quarry or mine
bunche	United States diplomat and United Nations official (1904-1971)
preclusion	防止|妨害
anthelmintic	虫下し|虫くだし|虫下|駆虫剤|駆虫薬|寄生虫様
grownup	『成長した』|成人した|『おとならしい』|おとなに適した|『おとな』
lungen	リュウガン|竜眼
engram	エングラム(経験によって生ずる神経系細胞内の構造別化)|(記憶の)痕跡|印象
snaffle	(馬の)はみ|小勒(しょうろく)
miscible	混和できる
estrone	エストロン
tessera	a small square tile of stone or glass used in making mosaics
vulpes	foxes
uncultured	(of persons) lacking art or knowledge
coif	頭布(ずきん)(騎士がかぶとの下に修道女がベールの下につける)|=coiffure
parachutist	落下傘で降りる人|落下傘兵
calorific	熱の|熱を生じる
fief	(封建時代の)領土|封土
estrous	発情期の
osteoblast	骨芽細胞
electroshock	電気ショック療法
shakeup	(事業・政治上の)大異動|大刷新
stopgap	当座しのぎ|穴ふさぎ|間に合わせの
phosphorescent	リン光性の;青光りする
inchoate	始まったばかりの|初期の|不完全な|未完成の|組織化されていない|形の定まらない
surtax	所得税|付加税
polymerisation	重合
unashamedly	のめのめ|臆面も無く|臆面もなく|ぬけぬけ
anechoic	(録音室・スタジオなどが)反響のない|無響の
waterbird	水鳥
barramundi	a species of large perch noted for its sporting and eating qualities; lives in marine, estuary, and freshwater habitats|a species of large perch noted for its sporting and eating qualities|lives in marine, estuary, and freshwater habitats
foundling	拾い子|捨て子
sparling	common smelt of Europe|the common smelt of Europe
illiberal	心の狭い|狭量の|物惜しみする|けちな
lento	(音楽が)おそい|ゆっくりした|ゆっくりと[演奏して]
voyeuristic	(vwὰːjɚ(ː)rístɪk)覗き見の|覗き見趣味の
stationer	文房具商
albinism	先天性白色症|白子
onlooker	傍観者|観客|見物人
firebrick	耐火れんが
deathless	不死の|不滅の(immortal)
garbanzo	=chickpea
tarsal	足首の|足根骨
debase	の品性を落とす|の品質を低下させる
isentropic	with unchanging entropy; at constant entropy|with unchanging entropy|at constant entropy
coactivator	コアクチベーター(共に活性化する要素)
reabsorption	再吸収
dragger	網船|トロール船|網船
deice	〈飛行機・自動車・冷蔵庫など〉‘の'結氷(結霜)を取り去る|結氷(結霜)を防ぐ
gastroenterologist	a physician who specializes in diseases of the gastrointestinal tract
treadle	(ミシンなどの)踏み子|ペダル|踏み子(ペダル)を踏む
iis	アイアイエス
hearthside	炉ばた
scummy	浮きかすの多い|下等な
feminise	女性化|女性化
sightedness	目視|お目|御目
chiaroscuro	(イタリア語)キアロスクーロ|白と黒のスケッチ (light and dark)
gimmicky	見てくればかりの|からくりで人目を引く
propulsive	推進力のある|推進する
ensnare	(人･動物を)わなに掛ける|誘惑する
bellicose	好戦的な|敵意に満ちた|けんか早い|けんか好きな
hypogonadism	性腺機能低下症
undergird	〜‘に'しっかりした基礎を与える|‘を'強化する
commissariat	糧|粮|兵糧|食糧|糧食|兵粮
nonsectarian	特定の宗派に属さない|無宗派の
redraft	a draft for the amount of a dishonored draft plus the costs and charges of drafting again
vernonia	any of various plants of the genus Vernonia of tropical and warm regions of especially North America that take their name from their loose heads of purple to rose flowers that quickly take on a rusty hue
vinifera	ブドウ
hydrophone	水中聴音器;(医学用の)通水聴診器
megalomaniac	誇大妄想狂
jabiru	セイタカコウ
mediastinum	縦隔
tipple	(恒常的に)酒を飲む|アルコール飲料
abscissa	横座標
freckle	そばかす
allergist	アレルギー性疾患専門医
tansy	〈C〉コモギギク[属](小さな黄色い花の房をつける)|〈U〉(薬用・食用の)ヨモギギクの汁
perceptually	知覚的
