blende	閃亜鉛鉱
feedstuff	飼料|えさ
hatemonger	one who arouses hatred for others
pilaster	ピラスター|柱形|付け柱|片蓋柱
noncombatant	非戦闘員(軍医・従軍牧師など)|戦時の一般市民
rale	ラ音
betake	(〜に)〈自分〉'を'行かせる《+one『self to』+『名』》
mudflat	干潟(ひがた)
curdle	(牛乳など)凝結させる|凝固する
redcoat	(米国独立戦争当時の)英兵
chigger	ツツガムシ(ダニの一種)|スナノミ(南米・アフリカ産のノミ)
crinoid	ウミユリ(ウミユリ綱の棘皮(きょくひ)動物)
miscue	誤り|しくじり(をする)|(スポーツの)エラー|間違った合図をする
splutter	(混乱して)早口でしゃべる|〈物が〉パチパチ(ジュー)と音を立てる|(混乱して)〜‘を'早口で言う《+『out』+『名』|+『名』+『out』》|パチパチ(ジュー)という音
appurtenance	付属物|従物(法律上財産に付属している権利)
forewarn	(〜について)〈人〉‘に'前もって知らせる《+『名』〈人〉+『of』+『名』》;〈人〉‘に'(〜であることを)前もって警告する《+『名』〈人〉+『that節』》
consulship	領事の職(地位|任期)
menstruate	生理がある
honker	鼻|カナダ雁
crystallise	釈明|解きあかす|解明かす|解明|解明す|結晶
frazzle	ぼろぼろになる|へとへとに疲れる|〜ぼろぼろにする|へとへとに疲れさせる|ぼろぼろの状態|くたくたの状態
outplay	〜‘より'じょうずである;(競技などで)〜‘に'勝つ(defeat)
abrade	〈皮膚〉'を'擦傷する;〈毛・岩など〉'を'すり減らす
hexapod	六脚類|昆虫
besmirch	《文》〜'を'汚す
slaveholder	someone who holds slaves
protestation	抗議
retrench	(費用などを)削減する|削除する|省く
straggler	落後者|stray(迷う)とdraggle(引きずる)の混成
outscore	アウトポイント
postdate	〈手紙・事件など〉‘の'日付けを実際よりも遅らせる
copyedit	〈原稿〉'を'校正する
exasperate	怒らせる|悪化させる
hypothesise	見なす|決込む|はかり知る|臆度|推し計る|思為す|推測|見做す|忖度|決め込む
despoil	(〜を)〈人・場所〉‘から'奪う《+『名』+『of』+『名』》
embezzle	着服する|使い込む|横領する
disenchant	の魔法を解く
extirpate	〈悪習・集団など〉‘を'根絶する|撲滅する|〈植物〉‘を'根こそぎにする
handpick	〜‘を'注意して選ぶ
convulse	身もだえさせる|震動させる
misappropriate	悪用する|使い込む
unconcern	無関心|むとんじゃく|(心配事に)平気|平然
unclutter	収去|除去|取除く
philosophize	哲学的に思索する
logistician	a person skilled at symbolic logic
hypnotise	induce hypnosis in
unburden	〜‘の'荷物を降ろす|(打ち明けて)〈心〉‘の'重荷を降ろす|‘を'軽くする|〈悩みなど〉‘を'打ち明ける
homiletic	説教の
colloquialism	口語体の語句|話しことば
maraca	マラカス(リズム楽器)
flowerbed	花壇
pyrethrin	ピレトリン(除虫菊から抽出した殺虫剤)
cryonic	Cryonic Preservation(人体冷凍保存技術)
prokaryote	原核生物|核膜が無い(区別出来る核を持たない)細胞(原核細胞)からなる生物|細菌類や藍藻類が相当する
misdirect	あて先を誤る|誤った指導をする
minicab	ミニキャブ
stalactite	(鍾乳洞で上からつらら状にできる)鍾乳石
overstretch	肉離れさせる|攣る
remunerate	(苦労などに対し)〈人〉‘に'報いる《+『名』+『for』+『名』(do『ing』)》|(サービスに対し)〈人〉‘に'報酬を与える《+『名』+『for』+『名』)doing)》
waveband	(ラジオ・テレビなどの)周波帯
cryptographer	暗号使用者
wisecrack	気のきいた言葉|皮肉|いやみ|皮肉をいう
backslide	(悪い方へ)後戻りする
elide	省く|取り除く|削除する|無視する
buckyball	バックミンスターフラーレン
witticism	名言|機知に富んだ言葉
meteoritic	of or relating to or caused by meteorites
reline	〈コートなど〉‘に'裏を付け直す
reface	〜‘に'新しい表面をつける|〜‘の'表面を新しくする
remonstrate	(人に〜について)忠告する|抗議する《+『with』+『名』〈人〉+『against』(『about|over』)+『名』(do『ing』)》
cowry	子安貝|タカラガイ
overdraw	〈預金・割怒額など〉‘を'超過して借りる;〈小切手〉‘を'過振りする|〜‘を'誇張して描写する
sterilise	殺菌|滅菌|無菌化|不妊化|去勢|断種
factorize	resolve (a polynomial) into factors
crocodilian	extant archosaurian reptile
scry	divine by gazing into crystals
conferee	会議出席者|受領者|授与される人|相談相手|評議員
mispronounce	発音を誤る
mealworm	ミールワーム
megakaryocyte	巨核球
medlar	西洋カリン(野生のリンゴのような実をつける小木;その実)|臭い人
desideratum	必要な物|なくては困る物
flashgun	閃光(せんこう)装置(カメラのシャッターを切ると同時にflash bulbを発火させる装置)
castanet	カスタネット
latke	made of grated potato and egg with a little flour
reacquaint	もう一度慣れる|再びなじむ
malefactor	悪人|犯人
transliterate	〜‘を'字訳(音訳)する
moneylender	金貸し|金融業者|高利貸し|質屋
draftee	調整された者|応召兵
pallbearer	(葬式で)棺のそばに付き添う人;《米》棺をかつぐ人
foreleg	(動物の)前脚
muscleman	筋肉人間(特別な訓練により筋肉を発達させた人)|《米》暴力団員
pleasantry	冗談|おどけた言葉|礼儀上の言葉
thebe	テーベ
chessman	チェスのこま
stalagmite	(鍾乳洞の床から上に成長していく)石筍
chasten	懲らしめる|鍛える|抑制する
prosthodontist	a dentist who is expert in prosthodontics
pantaloon	《複数形で》19世紀に男性が着たぴったりしたズボン;《話》だぶだぶのズボン(baggy trousers)|《P-》(パントマイムで|道化役(clown)にからかわれる)老いぼれ役
handwrite	〜‘を'手書きする
vagary	気まぐれ
ennoble	高尚にする
intermarry	(異なる人種･階級の人と)結婚する|近親結婚する
emulsify	〜‘を'乳状(乳剤)にする
downscale	ダウンスケール
kneepad	ひざ当て
rankle	苦しめる
unseal	〜‘の'封を切る|‘を'開封する;〜‘を'開く(open)
misinform	に誤りを伝える|誤解させる
dreg	a small amount of residue
adulterate	(粗悪なものを)〜‘に'混ぜて品質をおとす《+『名』+『with』+『名』》
oversell	売りすぎる|から売りする
idolater	偶像崇拝者|(一般に)崇拝者|心酔者
perquisite	《話》臨時収入;(合法的な)役得
concretion	〈U〉凝固;〈C〉凝固物|〈C〉腎臓結石
aftereffect	後遺症|残効
forelock	前髪
moppet	人形|おちびさん|お嬢ちゃん|女々しい男
suburbanite	郊外居住者
forebear	祖先
alveolus	胞|肺胞|腺房|歯槽|小窩|歯ぐき
sherd	=shard　破片　かけら
upsetter	an unexpected winner; someone who defeats the favorite competitor|an unexpected winner|someone who defeats the favorite competitor
ablate	除去する
disfavour	疎意|難色|不利
goony	a variety of albatross with black feet
chordate	脊索動物|動物の分類群のひとつ|ヒトなど脊椎(背骨)をもつ脊椎動物と|近縁の原索動物(ナメクジウオなどの頭索動物とホヤ類などの尾索動物)を合わせたもの
doodad	(小さな|安っぽい)飾り|(何とかいう)代物|仕掛け|(～s)がらくた
milliwatt	a unit of power equal to one thousandth of a watt
averment	力説|宣言|言明|断言|主張|明言|確言
ostracize	除籍|つま弾き|払う|つま弾|放り出す|追放|爪はじき|撥ねる|放逐|爪弾
pustule	膿疱(のうほう)(うみ(pus)をもったできもの)
chemoreceptor	化学受容器
tyrannize	rule a country as a tyrant|rule or exercise power over (somebody) in a cruel and autocratic manner; "her husband and mother-in-law tyrannize her"|rule or exercise power over (somebody) in a cruel and autocratic manner
unfasten	〈結んだもの・締めたもの〉‘を'解く|緩める;開ける|〈自〉|〈結んだものなどが〉解ける|緩む
hyperventilate	produce hyperventilation in; "The nurses had to hyperventilate the patient"|produce hyperventilation in|breathe excessively hard and fast; "The mountain climber started to hyperventilate"|breathe excessively hard and fast
underachieve	(特に学業で)水準以下の成績をとる
collocate	〜'を'いっしょに置く|一まとめにする;〜'を'配列する|〈語が〉(他の語と)連語をなす《+『with』+『名』》
suffragist	an advocate of the extension of voting rights (especially to women)
gymnosperm	裸子植物
fumigate	(殺虫・殺菌のために)〜‘を'いぶす|いぶしい消毒する
littermate	同腹子|同腹きょうだい
lineament	顔だち|人相|特徴
accrete	増やす
dermatosis	皮膚疾患
uncouple	〈連結したもの〉‘を'離す
jinni	=genie
clanger	へま|ぽか|大失策
disputant	論争者|討論者
catechumen	a new convert being taught the principles of Christianity by a catechist
catkin	尾状花(カワヤナギ・カバノキなどの花)
habituate	(〜に)〈人〉‘を'慣らす《+『名』+『to』+『名』(do『ing』)》
disbeliever	(言葉や人を)信用しない人;信仰しない人
emblazon	(紋章などで)〜‘を'飾る|〜‘を'ほめそやす
bryozoan	コケムシ|苔虫
demobilize	release from military service or remove from the active list of military service|retire from military service
connive	黙視する|共謀する|黙認する
confounder	交絡因子|(統計モデルの中の従属変数と独立変数の両方に相関する外部変数)
potshot	手当たり次第の射撃
counterfeiter	にせ金造り;偽作者
backdate	(〜にまで)〜‘の'日付をさかのぼる《+『名』+『to』+『名』》
heterocycle	複素環式化合物
nationalise	国有化|国有化
controvert	〜‘に'反論する|論ばくする
basophil	a leukocyte with basophilic granules easily stained by basic stains
arteriole	小動脈
kilobit	キロビット
titrator	an apparatus for performing a titration
theorise	見なす|決込む|はかり知る|臆度|推し計る|思為す|推測|見做す|忖度|決め込む
foible	弱点|短所|欠点
thereabout	その近くで(に)|そのころ|およそ～ほど
croquette	コロッケ
breadstick	ブレッドスティック
manhandle	人力で動かす(運転する)|手荒く扱う|虐待する
embalm	香気を満たす|(死体に)防腐処理する
cilium	『cilia』の単数形
educationalist	教育者
choirboy	少年聖歌隊員|純真でうぶな少年|まじめな新米警官
beignet	a deep-fried, yeast-raised doughnut dusted with confectioners' sugar
centavo	センタボ(スペイン語・ポルトガル語を話す国の硬貨;1|100ペソ)
homophone	異形同音異義語
overextend	strain excessively; "He overextended himself when he accepted the additional assignment"|strain excessively
overvalue	過大評価|過大評価する|買いかぶる
demodulate	(無線で)〈電波〉‘を'検波する|復調する
raceme	総状花序(フジ・スズランなどのふさ状の花のつき方)
aspersion	中傷
rudiment	《the rudiments》(〜の)初歩|基本|原理《+『of』+『名』》|《the rudiments》(〜の)きざし|芽ばえ|初期《+『of』+『名』》|〈C〉(生物の)痕跡器官|退化器官
embroil	(紛争など)に巻き込まれる|巻込む|混乱させる
brachiopod	腕足動物
hospitalize	入院させる
eponym	名祖|名前の由来となった名|冠名
cosmologist	an astronomer who studies the evolution and space-time relations of the universe
cloy	あきあきさせる|満腹させる|飽きあきさせる
vaunt	自慢|誇示する
lawbreaker	法律違反者
traumatize	に外傷を負わせる|を傷つける|に損傷を与える|に精神的ショックを与える|に心の痛手を負わせる
oxidise	燻す
unmake	deprive of certain characteristics
carpus	手首|手首の骨
religionist	a person addicted to religion or a religious zealot
readmit	再入院|再入院
lambaste	怒りつける|叱りつける|叱り付ける|叱る|叱り飛ばす|叱付ける|怒り付ける|叱飛ばす|叱りとばす|叱咤
canvasser	(選挙などの)運動員|(販売などの)勧誘員
aggrandize	修飾|扮飾|粉飾|潤色|脚色
inseminate	〈思想など〉‘を'吹き込む
underplay	控えめな演技をする
machination	陰謀|たくらみ|策謀
hogtie	〈動物〉‘の'四つ足をいっしょに縛る|〈人〉‘の'手足をいっしょに縛る|《話》〜‘を'じゃまする|妨害する
immunoprecipitate	免疫沈降物
disinter	(墓地から)〜‘を'掘り出す|発掘する
carouse	痛飲する|飲み騒ぐ|飲みほす
alkyne	アセチレン
internationalise	put under international control; "internationalize trade of certain drugs"|put under international control|make international in character; "We internationalized the committee"|make international in character
discolour	褪せる|剥げる|変色
editorialize	意見を述べる|私見を交える|社説で論じる|編集者の意見を入れる
churchgoer	(きちんと･熱心に)教会に通う人
anesthetize	麻酔する
acidify	酸性にする
moralize	道徳を論じる
chitter	囀る
plowshare	a sharp steel wedge that cuts loose the top layer of soil
militiaman	民兵
epitomise	象徴|代表
unclip	remove the clip from
excoriate	の皮膚をすりむく|の表皮をむく|激しく非難する
hemophiliac	血友病患者(の)
spermatid	精子細胞
taxonomist	分類学者
arraign	(法廷に呼び出して)〈被告〉‘に'起訴事実の認否を問う|《文》〈言動など〉'を'とがめる|糾弾(きゅうだん)する;(〜に関して)〈人〉'を'とがめる|非難する《+『名』+『for』+『名』》
lifework	一生をかけた仕事|ライフワーク
deafen	聴覚を奪う
teraflop	テラフロップス|テラフロップ
victual	飲食物|食料(provisions)|〈多人数〉‘に'食物を供給する|〈船など〉‘に'食糧を積み込む
addle	〈卵〉'を'腐らせる|《話》〈人|人の頭など〉'を'混乱させる|〈卵が〉腐る|《話》〈人|人の頭などが〉混乱する
immobilise	固定|押さえ込む|押え込む|凍結|封鎖|受け止める
sequela	後遺症
unbuckle	〜‘の'留め金をはずす
radicalize	make more radical in social or political outlook; "Her work in the developing world radicalized her"|make more radical in social or political outlook
reinsure	〜‘を'再保証する|〜‘に'再保険をかける
naysayer	反対論者|反対|否定する人
hawser	(停泊･曳航(エイコウ)用などの)大綱|大索
fluster	騒がす|あたふた|あわてる様子
suffuse	満たす
internee	抑留されている人|監禁されている人
bethink	(〜について)〈自分〉‘に'考えさせる|思い出させる《+one『self』 『of』+『名』(『wh-節』)》
immunise	予防接種|注射
bitt	a strong post (as on a wharf or quay or ship for attaching mooring lines); "the road was closed to vehicular traffic with bollards"|a strong post (as on a wharf or quay or ship for attaching mooring lines)|secure with a bitt; "bitt the ship line"|secure with a bitt
straggle	ばらばらに広がる|散在する|列などからはぐれる|落伍する|締まりがない
annelid	環形動物(ミミズなど)|環形動物の
candelabrum	枝付き燭台
sympathiser	慰安者|同情者|共鳴者|シンパ|シンパサイザー|同調者|同情者|共鳴者|シンパ|シンパサイザー|同調者
steamfitter	スチームパイプ(蒸気管)
enfranchise	〜‘に'参政権(選挙権|自治権)を与える|〈奴隷(どれい)など〉‘を'解放する|自由にする
drub	(棒などで)〜‘を'強く打つ|(試合などで)〈相手〉‘を'決定的に負かす
miscalculate	計算違いをする
extenuate	軽くする|酌量のする|軽くみなす|酌量する|軽減する
disinherit	〈相続人〉‘から'相続権を奪う;〜‘を'勘当する
roughen	〜‘を'粗くする|ざらざらにする|粗くなる|ざらざらになる
atomize	微粒化|微粒化|微粒化
basidiomycete	担子菌
mismanage	〜‘の'管理(経営|取り扱い)を誤る
waylay	〈人〉‘を'持ち伏せする|〈人〉‘を'持ち受けて呼び止める
overproduce	〜‘を'過剰生産する
countervail	に相等する|に対抗する|補償する|相殺する|埋め合わせる
calisthenic	美容体操の
spermatozoon	精子|精虫
striation	〈C〉細い溝(筋)にはいった状態|筋を付けること|〈C〉細い溝(筋)に一本(stria)
lacerate	(lˈæsərèɪt)引き裂く|引き裂かれた|裂けた
seclude	(〜から)〈人〉‘を'引き離す|孤立させる《+『名』〈人〉+『from』+『名』》
canonize	列聖する|敬う
polarise	偏光させる
disconcert	(人)の落ちつきを失わせる|当惑させる|混乱させる|くつがえす|(計画など)の裏をかく
coccus	球菌|個々の細胞の形状が球形の原核生物(真正細菌及び古細菌)のこと|桿菌(bacillus)|らせん菌(spirillum)と併せ|原核生物を形態で分類する場合の用語
militarize	lend a military character to (a country), as by building up a military force; "militarize Germany again after the war"|lend a military character to (a country) , as by building up a military force|adopt for military use; "militarize the Civil Service"|adopt for military use
caramelize	be converted into caramel; "The sugar caramelized"|be converted into caramel|convert to caramel
papule	丘疹(きゅうしん)|(皮被にできる)小さな吹き出物
snivel	鼻水(をたらす)|泣き言(を言う)|鼻をすする|鼻声
underpay	〈労働者など〉‘に'賃金を十分に支払わない|不当に安い給料を払う
upperclassman	(大学・高校の)上級生(3年生または4年生)
degrease	remove grease or oil from (a pan)|remove grease or oil from (a pan) 
chondrule	small granule (of e.g. chrysolite) found in some meteoric rocks
intubate	挿管|カニューレ処置
metabolise	代謝
kibitz	(トランプなどゲームをそばで見物して)余計な口出しをする
mishandle	の取り扱いを誤る|へたにいじくる|まずく処理する|虐待する|手荒く取り扱う
chuff	blow hard and loudly; "he huffed and puffed as he made his way up the mountain"|blow hard and loudly
maltreat	〜‘を'虐待する|酷使する
polytheist	one who believes in a plurality of gods
humidify	〜‘を'湿らす|ぬらす
roughrider	ロデオに出す馬の調教師|荒馬を乗りこなす人
coarsen	あらくなる|粗雑になる|〜'を'あらくする|粗雑にする
perjure	偽誓する
vicissitude	(人生・境遇などの)変化|変動|浮沈
swelter	暑さでまいる|汗だくになる
tantalise	小衝く|小突回す|小突き回す|小突く|揶揄う|おちょくる|小突きまわす|揶揄|こづき回す|からかう
sanitise	衛生化|衛生化
distend	膨張させる|広げる|膨脹させる|誇張する|膨らませる
stigmatise	扱き下ろす|糺弾|貶する|吊し上げる|吊るし上げる|扱下ろす|弾劾
dishearten	落胆させる
nonbeliever	someone who refuses to believe (as in a divinity)
oversleep	寝過ごす|寝坊をする
arouser	someone who rouses others from sleep
ligate	(強く)縛る|ligate the artery動脈を結紮(ケッサツ)する
goosebump	鳥肌|鳥膚|鳥はだ
reabsorb	再吸収
thieve	盗む|どろぼうを働く
paraphrasis	パラフレーズ
politicise	give a political character to; "politicize the discussion"|give a political character to
marum	Mediterranean germander having small hairy leaves and reddish purple flowers; attractive to cats|Mediterranean germander having small hairy leaves and reddish purple flowers|attractive to cats
transfuse	〈血液〉‘を'輸血する:transfuse blood 輸血する
unguent	軟こう;こう薬
overtax	重税をかける
sideway	横道|歩道|脇道
reopen	再開する|再び始める
rein	手綱|統制|手段|拘束|指揮|制御する
trucker	トラック運送業者|トラック運転手|交易者|行商人
hive	ミツバチの巣箱(=beehive)
technologist	科学技術者
divider	分割機|分割者|分配者|分裂のもと|離反者|仕切りページ|大活字|小見出し
sprawl	ばらばらに広がる|だらしなく伸びる|手足を延ばす|大の字に寝そべる|這い歩く|スプロール現象
inlay	はめ込む
collide	衝突する|ぶつかる|一致しない
malfunction	うまく作動(機能)しない|不調|機能不全
buoy	浮標|ブイ
teleconference	テレビ会議
evoke	呼び出す|(記憶など)を呼び起こす|(感情･記憶などを)呼び起こす
healer	神霊治療家|治療する人|宗教伝道治療師
minivan	ミニバン
riser	ライザー|an early (a late) riser|早起き(朝寝坊)の人|垂直パイプ|暴徒|蹴上げ(板)
tinker	(機械などを)下手に･間に合わせに修繕する|Tinker Bell|ティンカーベル(Tinkerbell|ピーターパンに出てくる妖精)
deuce	トランプの2|テニスや卓球のスコアで同点の意味|悪運(bad luck)|疫病神(plague)|悪魔(devil)
coupler	(車両の)連結器
cleric	聖職者|牧師
injector	注射器(=syringe)
chariot	(古代の)一人乗り軽三輪戦車|立派な馬車|(俗)古くて大きな自動車
modulus	係数|率|絶対値(absolute value)|標準|規準(norm)
forester	林務官|森林の住人
seaman	船員
werewolf	狼人間|狼男
airbrush	エアブラシ(ペンキ吹き付け用噴霧塗装器)
disgrace	の両目を失わせる|恥辱|不名誉
lefty	左利き
moot	議論の余地がある|未決定の|議題にのせる|討論する
treatise	学術論文|論文|報告書
parkland	風致地区
asymmetry	非対称
lullaby	子守歌|眠たくなるような調べ|を子守り歌で寝かせる
giraffe	キリン
inbreed	同系交配する
chimp	chimpanzeeチンパンジー
announcer	アナウンサー
consul	領事
castor	ビーバーの毛皮の帽子|(=caster)椅子などの下にくっ付いている小さな車輪
ointment	軟膏
blockade	封鎖|妨害
burglar	泥棒|強盗
knoll	鐘の音|小山
abbot	修道院長
undress	の着物を脱がせる|の衣服をとる|飾りをとる|脱衣する
redress	弊害を除く|直す|不正を償う|改善|ただすこと
hemorrhage	出血|(資産･頭脳の)流出|多量に出血する
sycamore	いちじくの類|アメリカスズカケノキ
lark	をからかう|ふざける|いたずら|戯れ|ひばり
montage	モンタージュ(技法)
temperament	性格|激しい気性
whine	すすり泣く|ぐちをこぼす|哀れっぽい声|犬の鳴き声
tux	タキシード|tuxedo
quotient	指数|比率|商
shamrock	三つ葉の草(Ireland の国花)
dill	ディル|ヒメウイキョウ(セリ科の植物で|実と葉はピクルスなどの香味料)
hypnotic	睡眠薬|催眠の
newt	イモリ(両生類|ヤモリは爬虫類)
magma	マグマ(岩漿(しょう))
coolant	冷却材
realisation	認識|認知|現実化|実現|具体化|結実|履行|実現|実行|体得
ensign	旗|国旗
arson	放火(犯)
payback	資本回収
cappuccino	泡立てクリームをのせたエスプレッソコーヒー
monsieur	様
alder	ハンノキ|(カバノキ科の広葉樹)|家具材に使用
masthead	マストの先|マストの先の見張人|マストヘッド|新聞名|発行人欄
chilli	トウガラシ|唐辛子|(薬味の)チリ (国名のチリはChile)
candidacy	立候補
charismatic	カリスマの
azimuth	(æzəməθ)|(天文)方位角|方位|発射方位|アジマス
fodder	まぐさ(馬草)|にまぐさを与える
ruff	切り札で切る|ひだえり(魚|スズキの類)
geeky	おかしな
primrose	サクラソウ|淡緑黄色
polycarbonate	ポリカーボネート樹脂
quantification	定量化
falsely	偽って
adultery	不倫|姦通|密通
midwestern	中西部の
charisma	カリスマ(性)(神授の力)|権威|人々を信服させる教祖的な指導力
patronage	後援|(ペｲﾄｩﾛﾆｯｼﾞ)(顧客の)ひいき|愛顧|保護|いばった態度|商店へのひいき
impetus	勢い|刺激|推進力|起動力|はずみ
malnutrition	栄養失調
intercultural	異文化間の
superfamily	生物上科(科の上)
functionally	機能的に
rabies	狂犬病
readability	読みやすさ;おもしろく読めること|判読できること
transatlantic	大西洋の向うの|大西洋横断の
glutathione	グルタチオン|3つのアミノ酸から成るトリペプチド|抗酸化物質の1つ
multiplicity	重複|多様性
angina	狭心症
cayenne	(粉)トウガラシ|トウガラシの実
nightingale	ナイチンゲール|さよなきどり(夜歌う鳥)|美声の女性
balboa	バルボア(パナマ共和国の貨幣単位)
wainwright	荷車製造
daimler	ダイムラー
tadalafil	virility drug (trade name Cialis) used to treat erectile dysfunction in men
brilliantly	あかあかと|あざやかに|キラキラと|すばらしく|水際だって
ionization	イオン化
annexation	付加(物)|併合(領土)
congregational	集合の|集団の
qed	量子電磁力学
waterfowl	(集合的に)水鳥|(fowl にわとり)
physique	体格|体形
madras	マドラス木綿(インド原産;しまやチェックあや織りで|シャツやドレス用)
faro	銀行|賭けトランプの一種
sonora	そのら
arginine	アルギニン
skepticism	懐疑論|懐疑主義|懐疑的な態度|無神論
simplistic	極度に単純化した|簡単に割り切りすぎた
psychotic	精神異常者|精神病の|病性の
individuality	個性
eggplant	ナス(=aubergine)
freehold	(不動産などの)自由保有権|自由保有不動産
agar	テングサ|寒天(培養基)
cyclobenzaprine	muscle relaxant (trade name Flexeril) used for muscle spasms or acute injury
placer	砂鉱床
irritable	おこりっぽい
scum	浮きかす|屑|灰汁(あく)|かすが浮かぶ|の浮きかすをすくう|くず|かす|泡|温めた牛乳に張る膜
cunning	抜け目のない|ずるい
associative	連合の|連想の|結合の
aeon	永劫|エオン(時間の単位=10億年)
westside	ウェストサイド物語(映画名)
logistical	ロジスティック
occidental	西洋(人)の
vigor	元気|力|活力|活気|迫力|勢い|(植物などの)生長力
evasion	言い逃れ|回避|くぐりぬけ|脱税
jansen	ヤンセン
matrimonial	結婚の|夫婦の
tween	トゥイーン(MS Windowsで作動するTwitterのアプリケーション)
