the	その
another	別の|他の|別のもの|もう1人|もう1つ
something	何か|あるもの
result	結果|成績|結果として生じる
love	愛|を愛する|(テニス)a love gameゼロの意
against	～に対して|～に対抗して
provide	供給する|与える
body	身体|死体|本体|本文
understand	理解する
keep	保つ|キープする
order	注文|命令|順序|秩序|に命令する|を注文する
few	少しの|少数の|ほとんど～ない
mean	を意味する|卑怯な
large	大きい|(数･量が)多い
small	小さい
group	グループ|一団にする|集める|分派|集団|分類する
power	力|有力な人|(機械などに)動力を供給する
example	例
close	を閉める
move	動く|を動かす|を感動させる|移動
family	家族
question	質問|問い
name	名前|名づける
water	水
value	価値|価値観|を評価する 2|明度
live	暮らす|暮らしている|住む|住んでいる|生きる
last	最後の|この前の|昨～|先～
side	側面|横腹|面
every	あらゆる|毎～|どの～も
level	水準|を同じ高さにする|を平らにする|を倒す|平らな|水平な|水準器|度合
room	部屋
present	現在|プレゼント|を与える|出席している|現在の
always	いつも|常に
social	社会の|社会生活を営む|社会的な|社交の
increase	増える|増やす|増加|(反)decrease
within	〜の範囲内で
house	家
home	家|故郷へ|家へ|家庭|故郷
human	人間|人間らしい|人間の|人
let	させる
person	人|人称
early	早い|早く(時間･時期)
during	〜の期間中ずっと
country	国
low	低い|安い|卑劣に|弱い|粗末な|衿ぐりが深い|建物の低い
run	走る|(何かを)走らせる|ある状態にさせる
upon	onと同じ(onのほうが口語的)
experience	経験|経験する
light	光|信号|あかり
book	本
speak	話す
