instruction	教授|教育|指令|指図|使用説明書
medication	薬物(療法･処理･適用)|投薬
alarm	をぎょっとさせる|おびえさせる|警告|驚き|不安
appointment	取決め|(人と会う)約束|地位|選定|指定|任命
elect	(投票によって)選ぶ|選挙する|決心する|当選した|選ばれた人|選民
drum	太鼓|ドラム
belt	～地帯|海峡
venue	会場|集合場所|(行動･事件の)現場
hero	主人公|英雄|偉人|ヒーロー
liquid	不安定な|液体(の)|流動性の|流暢な|透明な
exhibition	見せること|展覧会|公示|発揮|展示|展覧|出品物
donate	寄付(寄贈)する
kick	蹴る|はね返る|蹴ること|コカインなどのドラッグから刺激を得る|(俗)楽しみ|興奮
fiscal	国庫収入の|財政上の|会計の|国庫の|収入印紙|財務の
infection	伝染病|伝染|感染|感化|影響
cotton	綿織物|綿
crazy	気がくるった|無茶な
pure	純粋な|混じりけのない|純血の|清らかな|すっきりした|単なる|音が澄んだ
clinic	臨床講義|診療室|クリニック
pen	ペン
violation	違反|侵害|妨害|暴行|強姦
graph	グラフ|図式
retirement	退役|退職|隠退|引退|退去|勇退
vitamin	ビタミン
thumbnail	親指のつめ|非常に小さいもの|サムネイル
gap	裂け目|すき間|とぎれ
hell	修羅場|地獄|生き地獄|～なんてとんでもない
requirement	要求されるもの|必要条件
biology	生物学|生態学
dental	歯の|歯科(用)の|歯音(の)
argue	論争する|と主張する|議論する
ref	レフリー|審判|審判をする|仲裁をする|の仲裁をする
clearance	取りかたづけ|手形交換|掃除|間隔|隙間
leisure	ひま|暇(な)|余暇|用事のない|有閑の|レジャー
mystery	推理小説|神秘|秘密|謎|ミステリー|手工芸
fabric	織物|布|繊維|構造|組織|建物
beer	ビール
kernel	核心|核|仁
historic	歴史上重要な|歴史上の|歴史的に有名な|歴史に残る
appreciate	感謝する|高く評価する|鑑賞する|理解する
upcoming	来るべき
instructor	インストラクター
echo	反響|おうむ返しに言う
exact	正確な|的確な|綿密な|を要求する|(税など)を搾り取る
destroy	を破壊する|を殺す|滅ぼす
efficient	能率的な
linear	線状に伸びる|線の|直線の|長さの|線形の
chicken	鶏|ニワトリ|(俗)憶病者
mention	について述べる|言及する|refer to
rack	棚|枠|苦しめる|ちぎれ雲
shadow	影|陰|ごくわずか|まねっこごっこ
narrow	(幅や面積が)狭い|狭くなる|狭い部分
scholarship	学問|学識|博学|奨学金
sin	(主に宗教的な)罪(を犯す)|過失|ばかげたこと
cabinet	キャビネット|飾り戸棚|箱|私室|閣議室|秘密の|(C-)内閣
execution	制作|できばえ|実行|遂行|演奏|執行
consent	同意する|承諾|同意|承諾する|黙諾|一致
ear	耳
champion	支持する(stand up for)|のために戦う
confidence	秘密|確信|信用|信頼|信任|自信
pearl	真珠(の)|を真珠で飾る|真珠色
avatar	権化|化身|具体化
cry	(声をあげて)泣く
difficulty	困難
pee	(幼児語)おしっこをする|おしっこ
monster	怪物|想像上の生き物で|人間や動物の様々な部位からできている
drama	演劇|戯曲|脚本
messenger	使者|使い走り
eliminate	を削除する|を無視する|を排泄する|取り除く
neither	もまた～ない
championship	選手権
translate	言い換えられる|を翻訳する|を変える|を移す|を動かす|を訳す|を解釈する|を説明する
micro	極端に小さい|顕微鏡でしか見えない|超ミニの|極小の|超ミニスカート
offline	オフラインで
consistent	不変の|矛盾のない|一致した|両立する|矛盾しない|首尾一貫した
gray	青ざめた|灰色|青白さ|灰色の|白髪の|灰色の服
boundary	境|境界(線)
bright	機転の利く|利口な|快活な|(色に関して)明るい|光る|晴れた
gateway	入り口|門口|出入口|(成功などに至る)道
prefer	をより好む
merchandise	商品|を商業化する|売買する|宣伝する
babe	すっごい美人 (=dish)
recognize	を識別する|を認める|だとわかる
equation	均衡
objective	客観的な|事実に基づく|目的(の)|目的格の
laugh	笑う
investigate	を調査する
supreme	最高の|主権を有する|究極の|絶頂|至高の|最後の
formal	公式の|形の|正式の|形式的な
classification	分類
craft	クラフト|航空機|技術|手技
journey	(通常陸上の, 比較的長い)旅行|(人生などの)行路|遍歴
dragon	竜
potter	陶工|焼き物師|陶芸家
relation	関係
recognition	認識|承認
milk	牛乳|ミルク
prayer	祈り|祈祷|請願|祈願|祈りの言葉|祈る人
democratic	民主主義の|庶民的な|民主的な
parameter	パラメーター|変数|媒介変数|母集団特性値|要素|要因|限界
hockey	ホッケー
segment	を分ける|弧|部分|線分|弓形|分節|体節
belong	所属している|の所有物である
cake	ケーキ
navy	(色)ネービーブルー|海軍|海軍力|海軍軍人
lunch	昼食
mile	1マイル(約1609m)|海里
heaven	至上の幸福|天国|天|神
commissioner	コミッショナー|委員
universe	宇宙|万物|森羅万象
jet	噴出|噴出物|噴出する|ジェット機で輸送する
smooth	なめらかになる|ならす|円滑な|なめらかな|滑らかな|滑らかにする
decline	衰退する|低下する|辞退する|衰退|低下|(文法)格変化させる
expansion	拡大|進展
decade	10年間|10年
rely	頼る|信頼する
dose	(薬の)一服|投薬する
wage	(戦いなど)を遂行する|を行う|賃金|給料|報い
regulatory	規定する|取り締まる
tend	する傾向がある|しがちである
transaction	処理|取り扱い|取り引き|取引|報告書
sensor	センサー(光･熱･音などに反応する感知器)
pulse	パルス|脈|脈拍|鼓動|振動|波動|脈動|意向|脈打つ
sand	砂|砂地|砂漠|砂色|に砂をまく|を磨く|に砂を混ぜる
memorial	記念の|記念物|記録|追悼の
venture	冒険(性)|危険|冒険的事業|投機|思惑|を危険にさらす|を賭ける|に敢然と望む
bang	バンと音を立てる|バタン|バーン|ドカン|ドアなどを閉める音
scanner	走査装置
fold	折りたたむ|折り重ねる|(腕･脚を)組む|抱く|包む|羊の群れ|信者
subscriber	予約購読者|引受人|加入者|寄付する人|署名人|支持者
ultra	過激な|極端な|過激(急進)論者
continuous	絶え間ない|休みない
disaster	天災|大災害|災難
labour	働き
spell	正しく書く|を綴る|後退|呪文|一続き(の期間)|期間
occasion	出来事|場合|機会|業務|行事|根拠|用事
rail	レール|横木|手すり|欄干|罵る|非難する|クイナ(鳥)
flood	おびただしい流入|洪水|氾濫する|大水|氾濫|にあふれる|に水を張る
dear	親愛なる
mistake	誤り|間違える
escape	逃げる|免れる|を避ける|逃亡|逃げ道
truly	本当に|真実に|偽りなく|正直に|誠実に|忠実に|正確に
ace	第一人者|切り札|最高位かそれに準じる者
extensive	広大な|大規模な|広範囲の
affordable	手頃な価格の
insight	洞察(力)|見抜く力|眼識
settlement	保険金の支払い|解決|入植地|清算|定住|定着|和解
char	炭にする|黒焦げにする
arrive	到着する
outstanding	際だった|目立つ|未解決の|未払いの
ha	おや|さあ|ほらね|まあ|エヘン|ハハ|haという声
liberal	物惜しみしない|寛大な|自由主義者
crisis	難局|危機|恐慌|分かれ目|重大局面
polish	を磨く|のつやを出す|を洗練する|を上品にする|磨き粉|光沢剤
sterling	英貨(の)
blind	盲目の|無感覚の|行き場のない|理解できない|見えなくする|日除け|ブラインド
premier	首相|総理大臣|州知事|首位の|第一位の|最も古い|prime minister
deck	デッキ|甲板
contrast	対照|正反対のもの|対照させる
constitution	体質|憲法|制定|構成|構造|組織|体格|気質|設立|形成|政体
motorcycle	オートバイ(和製英語)|バイク|単車で行く
ban	禁止する|禁止|prohibit
extract	を抜粋する|引抜く|栓を抜く|理論を推論する|聞き出す|煎じ出す|しぼり出す|(快楽を)見出す|抽出物
receiver	受取人|収入役|会計係|接待者|受話器|受信機|容器
finder	発見者|(カメラなどの)ファインダー|探知器
illegal	非合法的な|不法の|違法の|非合法の
modem	モデム|変復調装置
tradition	正式の財産引渡し|伝統|しきたり|言い伝え|伝説
retain	を実行しつづける|雇っておく|抱える|を保つ|保持する|持ちつづける|維持する
crop	刈り込む|群れ|産出高
simulation	シミュレーション|擬態|物まね
rice	米|こめ
animation	生気|活気|活発|動画|アニメーション
tomorrow	明日
behalf	利益
gourmet	料理や酒の味の鑑識力のある人|食通|グルメ|美食家
republican	共和制の|共和政体の|共和国の|共和主義の
democracy	民主主義
reservation	予約|保留
properly	適切に|適当に|礼儀正しく|立派に|正確に|相応に
fundamental	基礎の
newly	新たに|最近|再び
fig	イチジク|取るに足らぬもの
penalty	違約金|刑罰|罰金|罰|ペナルティ|罰則
downtown	下町
appearance	様子|出現|外観|状況|体裁|登場
grid	格子|鉄きゅう|グリッド
analyze	分析する|解析する|分解する
occupation	仕事|従事|占有|居住
cinema	映画館|映画
restore	健康を取り戻す|返す|回復する|復興する|返還する|復元する
castle	城
imagine	想像する|を心に描く|を仮定する|を推測する
belief	信じること|信用|信頼|信念|意見|信条
celebrate	祝典をあげて祝う|祝う|祭典を挙行する|を公にする
roof	てっぺん|屋上|最高部|天井|家|家庭
favor	好意|親切|世話|恩恵|賛成する|を助ける|に好意を寄せる
romance	伝奇物語|空想小説|ロマンス|作り話|虚構|ロマンチックに考える|言い寄る|の歓心を買う
rush	急ぐ|突進|イグサ
suitable	ふさわしい|適した
absolutely	絶対的に|完全に
modification	緩和|加減|修正|改良|変化|制限|変形|修飾
cloud	雲
arrival	到着
tiger	トラ|乱暴者|強敵|狂暴な(残酷な)人|歓呼|喝采
finding	発見|結論|(裁判官|陪審)認定|決定|裁定|結果|事実認定|付属品類
sing	(を)歌う
registry	記載|登録|登録事項|登録所
enemy	かたき|敵|敵国
vat	付加価値税|value-added tax
temporary	一時的な|はかない|仮の|当座の|臨時の
tonight	今夜
piano	ピアノ
sir	あなた|あなたさま|拝啓|卿
typical	典型的な|独特の|象徴的な|を象徴する|特有な
intellectual	知的な|知識人
dependent	依存している|扶養家族
significantly	きわめて|意味深く|意味ありげに
revolution	大改革|革命|循環|回転|旋回|公転
sufficient	十分な(量)
murder	殺人|殺す|台なしにする|大きな警戒の叫び声
dial	ダイヤル
fellow	匹敵者|男|奴|野郎|仲間|同輩|同僚
refine	不純物を除く|純化する|精錬|製錬|精練|洗練する
hurricane	ハリケーン|あらし
stretch	を広げる|伸ばす|広がる|伸びる|広がり|期間
awareness	認識|意識性
senator	上院議員
communicate	知らせる|通信する|伝達する|伝える
blank	白紙の|空虚な|白紙|無表情な
smoke	煙草を吸う|煙|煙草をすう|一服|煙を出す|タバコを吸う|を吸う
contribution	貢献|寄付
resistance	電気抵抗|抵抗|反抗|抗争|反対|妨害|敵対|抵抗力
spyware	スパイウェア
phrase	言いまわし|言葉遣い|成句|熟語|慣用句|語法|句
solar	太陽の
wake	起きる|を起こす
variation	変化|差異
spin	を回転させる|一走り|を紡ぐ|を吐く|回転させること|落下|世論操作|情報操作|前向きにいい面を強調する
struggle	苦闘する|もがく|努力する|努力|苦闘
reliable	たよりになる|頼りになる|信頼できる|当てになる|確実な|確かな|信頼し得る
residence	邸宅|屋敷|住居|居住|安住|居留
instrument	手段|器具|法律文書
northwest	北西部の|北西へ|北西|北西地方
unable	～できない|虚弱な|ひ弱な
density	密集度|濃さ
spectrum	範囲|領域|スペクトル|残像|幽霊
biological	生物学(上)の|生物学的|生物学
liberty	気まま|自由|解放|勝手|特権
superior	より優れている|すぐれた
sight	一覧払い|見ること|見えること|視力|名所
recall	を思い出す|を呼び戻す|召還(する)|撤回(する)|リコール
reward	褒美|報奨|報酬|償い|謝礼|懸賞金|に報いる
visitor	訪問者|見舞人|滞在客|観光客|(スポーツ)遠征軍
vector	ベクトル|方向量|保菌生物|病毒媒介昆虫(ハエ･カなど)
plasma	プラズマ|血漿|リンパ漿|乳漿|原形質
forth	前方へ|～以後|先へ|外部へ
wow	ワーッ|感嘆の声
anniversary	記念日|記念祭
passenger	旅客|乗客|船客|足手まとい
recipient	受取人|受容者|受賞者|受け取る|感受性のある
dont	don't
tourist	観光客|旅行者
metro	メトロ|地下鉄
curve	カーブ|曲がる|曲線
reporter	報告者
spiritual	精神的な|霊的な|崇高な
expenditure	支出(額)|出費|消費(量)
bit	わずか|かんだ|ビット|小片|小銭|少量|少し|(俗)12セント半
pregnant	妊娠している|意味深長な|含みのある|に満ちた(with)
twice	2倍|2度|2回|2倍に
photographer	写真家
uniform	均一にする|一様な|同型の|そろいの|制服|軍服
crown	王にする|栄誉|王冠|(clownは別綴り)
cellular	細胞の
outlook	見通し|見解|見張り|見晴らし
trace	の跡をたどる|追跡する|跡|足跡|痕跡
attitude	態度|心構え|姿勢
normally	普通に|順当に|標準的に|正常に|正規に|普段は
charger	突撃する人(物)|乗馬|軍馬|充電器
explanation	説明
refund	払戻し
parallel	平行の|平行線|類似点|と平行する|と似ている
diabetes	糖尿病
tissue	(動植物の細胞の)組織|織物|薄い織物
meat	肉|食事|要点
compound	複合の|合成の|化合した|複合物|化合物|(成分など)を混合する|(文法)重文の
ml	ミリリットル(1cc)
incident	起こりやすい|ありがちな|出来事|事件(ささいに見えるが大きな外交問題に発展するような)
satisfaction	満足|満足させるもの･こと
container	容器|コンテナ|入れ物
carbon	炭素(非金属元素)|元素記号C|カーボン紙
flexible	まがりやすい|柔軟な
numerous	おびただしい|非常に多くの|多数の
relatively	比較的|相対的に
nick	ニック(人名)|刻み目|言い当てる|盗む|捕える|だます|刑務所
infant	未成年者|幼児|赤子|幼少の|幼い
completion	完了|完全さ
float	浮くもの|浮かぶ|浮く
candle	ろうそく
consolidation	整理|硬化|強化|合併
pleasure	楽しみ|快楽|喜び|楽しいこと|好み
costume	の衣装を用意する|衣装
cosmetic	表面的な|化粧品
preserve	を保つ|を維持する|を保護する|を保存する
surf	波乗りする|サーフィンをする|波|寄せる波
hook	ホック|かぎ|とめがね|かぎ形に曲げる
mall	ショッピングセンター|散歩道|中央分離帯|商店街
distributor	代理店|ディストリビューター
comfortable	気持ちのよい|快適な|気楽な|慰めとなる|掛け布団
magnetic	磁気の|磁性の|魅力ある|磁石の|魅力的な
ton	トン|多量|多数|非常な重さ|流行
exclude	を除外する
stable	安定した|不変の|断固とした|しっかりした|馬屋
effectively	有効に
diary	日記
