diathermy	透熱療法(高周波の電流を利用した治療法)
mallow	アオイ科の植物|(特に)ゼニアオイ
landholder	地主;借地人
merlot	メルロー(フランスワインのブランド名)
slipstream	スリップストリーム 《高速走行中のレーシングカーの後ろにできる低圧部分; 後続車がここに入るとスピードの維持が容易になる》・後流(飛行機のプロペラが後方へ押す空気の流れ)
shearer	シアラー(羊の毛を刈る鋏|人)
bogeyman	悪鬼|恐ろしいもの|子取り鬼|悩みの種|怖いもの
nosedive	急降下|～以上|～に勝るとも劣らない
bannister	=banister
mousetrap	ネズミ捕り|おとし穴|においの強いチーズ|安いチーズ|小さな家|場末のナイトクラブ|二流の小劇場
novation	更改
profitless	もうからなし|利益の上がらない|むだな|無益な
roadbed	(鉄道の)路盤;(道路の)路床
gesticulation	身ぶり|盛んな身振り|手まね
levelheaded	良識ある|分別ある|冷静な
rummy	飲んだくれ|ラミー
misanthropic	厭世的な
cytometric	サイトメトリー(細胞数測定の|血球計算の)
horseplay	馬鹿騒ぎ
translocate	転居する
mounting	据え付け|表装
toff	上流階級のしゃれ者
elute	溶出する
castellated	(銃眼つき胸壁のある)城造りの|城構えの
gambol	ふざけ|はねまわり
anaphase	細胞分裂後期|末期
gadfly	(家畜にたかる)ウシアブ|(批判したり要求したりして)うるさい人
abut	(建物など)が隣接する|境を接する|接触する|沿う
shitload	大量のもの
xylophone	木琴
incommunicado	(特に囚人が)他との連絡を断たれた
churchwarden	教区委員(英国国教会及び監督教会で教区の会計事務などを行う信徒)
conformer	配座異性体(Life Science生命科学)
prevision	〈U〉(〜の)予知|事前の知識《+『of』+『名』》|〈C〉(〜の)予感|虫の知らせ《+『of』+『名』》
pleasurably	楽しく|愉快に
devilry	=deviltry
protege	被保護者|子分|子飼いの部下
rb	rb|スクリプト言語Rubyで書かれたファイルの拡張子 2|ルビジウム(Rb)の元素記号
groovy	いかす|かっこいい
wooly	羊毛の
housewarming	新築(移転)祝いのパーティー(披露宴)
argot	(盗賊などの)暗語|隠語|符牒
notifiable	(伝染病など)届け出ねばならない
roadstead	(港外の)停泊地|投錨(とうびょう)地
parolee	仮出所者
telemarketing	テレマーケティング
chou	シュークリーム
oleaginous	油を含む|油からなる|油っぽい|油まみれの
gotcha	分かった!
vestal	純潔な|貞潔な|処女の|Ex|vestal virgin
nonfat	無脂肪
backpedal	逆にこぐ|(ボクサーが)さっと引く|態度を翻す
mercuric	(特に)第二水銀の(を含んだ)
compleat	=complete
lyse	(生命科学)細胞溶解する
stockroom	(物資・商品などの)貯蔵室|倉庫
topmast	トップマスト|中檣
letterpress	〈U〉凸版印刷[物]|〈C〉《おもに英》(さし絵以外の)本文
sneeringly	あざ笑って|あざけって
matchlock	火縄銃
merci	(フランス語)ありがとう
bawd	売春宿のおかみ|売春婦
anesthesiology	麻酔学
washable	洗濯のきく|水に溶ける
keloid	ケロイド
prefab	プレハブ住宅|プレハブ式の
proprietress	女性の経営者(所有者)
undeceive	〜‘の'迷いをさます|誤りを悟らせる
caustically	痛烈に|しんらつに
wheelbase	(車の)ホイールベイス|軸距(前後の車軸間の距離)
perspicuity	(言葉などの)明快さ|理解しやすさ
rhinovirus	ライノウイルス|多くの上気道(や上咽頭感染の)原因となるピコルナウイルスグループの一種
legalese	難解な法律文体
suppuration	うみ|化膿
angelica	アンゼリカ(ヨロイグサ属)|その茎の砂糖漬け
ziggurat	ジッグラト(古代バビロニア・アッシリアのピラミッド形の寺院)
preen	身づくろいする|くちばしで羽を整える
desegregate	人種的差別を廃止する
ambergris	リュウゼン香(マッコウクジラから得られる香料)
headsman	首切り執行人・首切り役人
phospho	リン酸
nondairy	乳成分なしの|乳成分を使っていない
taser	電気矢発射銃(で人を撃つ|麻痺させる)
doesn	doesn't
echinoderm	(ヒトデ･ウニ･ナマコなどの)棘皮動物
recreant	不実(忠)な;おく病な|裏切り者|おく病者
conveyer	コンベヤ|運搬人|運搬機|運搬装置|輸送装置|伝達者|譲渡人
clericalism	聖職権[拡張]主義;聖職者の政治勢力
terroristic	テロリズムの|暴力主義的な
chub	チャブ|ウグイの類の淡水小魚|テキサス人
goodman	一家のあるじ|《Goodman》=Mr.
foolery	〈U〉愚かなふるまい|愚劣;〈C〉(個々の)ばかげた行為(考えなど)
officiant	祭式執行者
privily	ひそかに|内密に
playbill	芝居のビラ|芝居のプログラム
repossess	‘を'再び取り戻す|〈支払不能の商品〉‘を'引き取る
cresol	クレゾール
offseason	オフシーズン
wheelie	ウィーリー|後輪走行|車輪付き大型ゴミ箱
barf	吐き気|吐く|戻す|ゲーゲーやる|文句を言う|うんざりだ
incapability	できないこと|不能|無能|不適格
polyandry	一妻多夫|(植物の)多雄ずい性
swash	(水などが)バシャッ(ザブン)という音|〈水など〉‘を'パシャッ(ザブン)とはねかける|(波などが)打ってバシャッと音を立てる
handloom	手織機|手織りばた
tanner	なめし皮工
consanguineous	血族の|血縁の|血を分けた
skinfold	皮下脂肪
slipperiness	滑りやすいこと;(滑って)つかみにくいこと
wastepaper	紙くず
intrust	=entrust
disputant	論争者|討論者
epigraphy	墓碑銘学|《集合的に》碑銘|碑文
prolix	冗長な|冗漫な
sophistic	詭弁(きべん)をろうする|へ理屈をこねる;詭弁家の
ophthalmia	眼炎(目が赤くはれる炎症)
shipload	船1隻の積荷量
shoplifter	万引き[する人]
velour	ベロア|ビロード布の一種|ソフトな感じの布|ぬいぐるみの人形などに使われる|ベロアの帽子
cacophonous	不協和音の
janissary	トルコ近衛(このえ)兵(1826年廃止);(一般に)トルコ兵
emissive	放射性の;放射の
paraplegic	下半身不随
preppy	良家のお坊ちゃん
carpetbagger	渡り政治屋|山師
circumscription	制限;境界[線]|周囲;区域|(幾何で|円の)外接
swordplay	剣術(fencing)
allurement	〈U〉そそのかし|誘惑|〈C〉誘惑する物(事)
unlace	〈靴など〉‘の'ひもを緩める|ひもを解く
timekeeper	計時係|時計
unserviceable	(壊れたり使い古して)使用できない|役に立たない
eureka	(ギリシア語)わかった|見つけた|I have found it
periarticular	関節周囲の
shorthanded	人手(人手)不足の
unsnap	〜‘の'スナップをはずして脱ぐ
verbosity	くどいこと|冗漫|冗長
immortalize	に不朽の名声を与える|不滅にする|に永遠性を与える
photomicrograph	顕微鏡写真
kelvin	ケルビン|ケルビン温度|絶対温度の単位|0 K(Kelvin) =-273|15℃
buyback	買い戻し
intermixture	混合;〈C〉混合物
ornithology	鳥類学
maraschino	マラスキーノ|マラスカチェリーの果汁を発酵させ蒸留して造った無色甘口リキュール
oilman	石油企業家|石油業者|油田主
castigation	厳しい非難|難色
schwa	あいまい母音|シュワー(əで示される弱母音)|あいまい母音の発音記号
bimbo	(見かけはいいが)頭の弱い･身持ちの悪い女|オシャレと男性にのみしか関心がない女性
chapeau	帽子(hat)
jetsam	(緊急時に投棄された)投げ荷|捨て荷
phoney	=phony・〔話〕 にせの; 〔話〕 にせ物; 〔話〕 いかさま師
epicurean	快楽主義の|飲み食いの好きな|美食家的な
wasn	wasn'tの略(俗語)
tiramisu	ティラミス(イタリア語)
cooperativity	共同性
fratricidal	兄弟･姉妹殺しの|相争う
duce	首領|指導者|指揮官
wale	むちで打たれた跡|みみずばれ|(織物などの)うね|〈皮膚〉‘を'みみずばれにする
lemur	キツネザル
entree	出場|入場(許可)|入場権|主要料理
syndicalism	サンディカリズム(労働組合が生産と分配の手段を握るべきだとする理論)
incontestably	疑いなく|明白に
lambent	(特に炎が)ちらちらゆらめく|軽妙な|柔らかく輝く
choler	《まれ》かんしゃく|怒気
vernier	バーニア|ノギスの英語名|スケール(バーニア)という副尺を持ち|本尺の1/20まで目で計測可能な計算器
whelm	〜‘を'水中に沈める|〜‘を'圧倒する
middlebrow	ある程度教養がある人|知識や教養が中位の人|知識が中くらいの
badlands	荒地(岩石層が浸食作用により奇観を呈した地帯)
heterozygote	ヘテロ接合体
standpipe	給水用パイプ|給(貯)水塔|水力利用の加圧パイプ
headphone	ヘッドホン|受話器
triploid	3倍体(3つで1対から成る染色体のセットを持つ細胞)
unlabelled	ノーブランドの|ラベルのない
archbishopric	archbishopの職(地位|任期|教区|管轄権)
dudgeon	立腹
embower	〈家など〉‘を'樹木(茂み)で囲む
finis	終[り](本・映画などの最終にしるす語)
phosphorylate	リン酸化する
rotisserie	(仏)焼肉料理店|回転式くし焼き器
academical	=academic|《複数形で》大学の式服
brassiere	ブラジャー
tomcat	(口)雄猫|女性を追い回す男|女性を追い回す
seismology	地震学
unchaste	身持ちの悪い|不貞な|ふしだらな
interlace	組み合わせる|織り交ぜる|絡み合う
archenemy	大敵|宿敵
stinginess	けち|しみったれ|物惜しみ
inexpedient	得策でない|不適当な|不便な
nonfood	食料品以外の商品
goulash	グーラシュ(ハンガリー風の濃厚なシチュー)
antedate	〜'を'実際よりも早い日付にする|〜‘より'早い時期に起こる
atonal	(音楽)無調の|調子のない
dumfound	〜‘を'驚きで(あきれて)物も言えなくさせる
eyeshadow	アイシャドウ
tenderfoot	《米》(米西部の牧場などの荒い仕事に不慣れな)新参者|新前|(一般に)無経験者|初心者(novice)
caret	(校正の)脱字符号
deselect	〈特に職業訓練生〉‘を'解雇する
trifecta	三連勝単式
anorak	アノラック(ずきんのついた防寒用のジャケット)
cubism	立体派|キュービズム(20世紀の初めにフランスでPicassoの一派)
proselytize	改宗させる|変節させる
duff	落葉枝|ごまかす|だます
theca	花粉のうや蘚類の胞子のうのケースやさや|昆虫のサナギの外側のさや(outer sheath of the pupa of certain insects)
archon	アルコン(古代Athensの最高執政官)
monetarism	通貨主義
retrogressive	(元の状態に)後退する|逆行する|退化する;(〜に)後退する《+『to』+『名』》
spiritualistic	唯心論的; 心霊術(的)
hazily	かすんで|もうろうとして
ischium	座骨
viscid	(液体が)ねばねばする|粘着性の
perforate	〜‘に'穴をあける|‘を'突き通す|〈紙など〉‘に'ミシン目を入れる|(穴で)切り取り線をつける|(〜に)穴をあける|(〜を)貫通する《+『into(through)』+『名』》
prosaically	散文的に
sadomasochism	加虐被虐性変態性欲
obsolescent	すたれかかった
coccus	球菌|個々の細胞の形状が球形の原核生物(真正細菌及び古細菌)のこと|桿菌(bacillus)|らせん菌(spirillum)と併せ|原核生物を形態で分類する場合の用語
raconteur	話しじょうず
snippy	痛烈な
annunciation	布告|受胎告知
designedly	計画的に|故意に
freemasonry	(同じ経験に基づく)相互理解|以心伝心|《F-》フリーメーソン主義
sublease	(家・土地などの)また貸し|〜‘を'また貸し(借り)する
skimp	けちけちする|ちびちび与える
brevet	(退役・引退直前の軍人の)名誉進級
screener	審査官|しゃへい装置|スクリーナー
gastropod	腹足類の動物(カタツムリ・ナメクジなど)
shuttlecock	(バドミントンの)羽根
joinery	建具職|《集合的に》建具類
partitive	部分を表す|〈C〉(文法で)部分語(any|few|someなど)
bubblegum	風船ガム
exculpate	無罪にする|の無罪を証明する|の無実の罪を晴らす
fay	妖精|人名
velveteen	ビロード製の(衣類)|綿ビロード(の)|別珍(の)|ベッチン(の)
chemopreventive	化学予防
privet	イボタノキ(垣根などに用いる常緑低木)
foppish	(男･衣服など)おしゃれな|にやけた
snobby	俗物の|尊大な|横柄な|偉そうな|つんとした|きざな
toehold	支え|足掛かり|足場
brasserie	ビールと食事の店|ビヤホール|醸造所
nightclothes	寝巻き
undernourishment	栄養不足(不良)
habituate	(〜に)〈人〉‘を'慣らす《+『名』+『to』+『名』(do『ing』)》
toddle	よちよち歩く|赤ちゃんの歩く様子|toddlerヨチヨチ歩きの赤ちゃん
underrate	過小評価する
goalpost	ゴールポスト
rhythmicity	周期性|リズミカル
spotter	即座の
wholesomeness	体によいこと|健全さ
pinstriped	極細縞の|(極細縞の服を着る)実業家|弁護士|銀行家の|金持の
cubist	立体派の芸術家(画家・彫刻家)
outrider	(オートバイに乗った)先導者;騎乗随行者|《米》カウボーイ
parlous	(国際関係など)危険をはらんだ|不安定な
biddy	めんどり(hen)|おしゃべりな老女
deforest	〜‘の'森林を切り払う
telemarketer	テレマーケティングをする人
hedonist	快楽主義者
matchup	(競技の)組合せ
mim	黙りがちな
appurtenant	付属の|従属する;(〜に)付属した《+『to』+『名』》
flintlock	(昔の銃の)火打ち石式発火装置|火打ち石銃
elderflower	西洋ニワトコの花
loner	一人で居たい人|孤独が好きな人
sugarcoat	〈丸薬など〉‘を'砂糖で包む|〈不快なこと〉‘を'よく見せかける|糖衣
sexily	性的に
captious	あら捜しの|あげ足とりの;理屈っぽい
gunslinger	(特に米国西部開拓時代の)ガンマン|ガンファイター
footloose	足の赴くままの|勝手きままな|束縛を受けない|身軽な
taciturnity	無口|口数の少ないこと|寡黙
triennial	3年続く|三年ごとの|3年ごとの行事|3年目の記念日
fuze	=fuse2
greenhorn	経験のない|初心者|だまされやすい人
furl	〈旗・帆など〉‘を'巻く;〈傘・扇子・翼など〉‘を'畳む|巻かれる|畳まれる
chlorofluorocarbon	クロロフルオロカーボン(CFC)|フロンガス(Freon)
chemoprevention	化学的予防
legibly	読みやすく
shoreward	岸のほうへ|岸(陸)へ向かう|岸(陸)に面した
ritualism	《しばしば軽べつして》儀式[尊重]主義|形式主義
technic	=technique
amoebic	=amebic
coeducational	男女共学[制]の
earsplitting	(音・声が)耳をつんざくような
longhand	普通の手書き
meatpacking	精肉業(家畜を屠殺(とさつ)し市場へ肉を卸す;肉の販売店はa meat(butcher) shop|《英》 butcher's)
worrier	悩む人|心配症の人
intergenic	遺伝子間の
ratiocination	推論|推理
tippet	首または首と肩に掛けて|両端を前に垂らすえり巻き|ずきんやそでの長く垂れ下がる部分
cablegram	=cable{名}3
rumpus	[がやがやした]騒ぎ|騒音
plasterer	左官|石膏(せっこう)細工人
blitzkrieg	(一気に水を制圧する)電撃戦
blandness	特徴･個性のなさ
housecoat	(長くゆったりしたスカートの婦人用)家庭着
hooky	ずる休み
merrymaking	浮かれ騒ぐこと|お祭り騒ぎ
croupy	クループの(にかかった)
hostler	(昔|宿屋で客の馬の世話をした)馬丁
warplane	軍用機
capitally	みごとに|すばらしく|死刑になるように
maidenhood	処女であること|処女性;純潔|娘時代
spectroscope	分光器
drub	(棒などで)〜‘を'強く打つ|(試合などで)〈相手〉‘を'決定的に負かす
natality	出生率
offscreen	画面外の
quietism	静寂主義(宗教的神秘主義の一種)|《しばしば軽べつして》無活動|静観主義
standup	立つ|立ち上がる
sharpener	とぐ人|削る道具
copyeditor	=copyreader|(新聞社の)原稿整理係|校正者
clamshell	二枚貝の殻|ハマグリの殻のように開形する川底さらい機
superinfection	重複感染
microgram	マイクログラム
eiderdown	〈U〉ケワタガモの綿毛|〈C〉(その綿毛を詰めた)羽根ぶとん
frolicsome	はね回る
boxwood	ツゲ材
