photojournalist,報道写真家
distiller,蒸留者
piranha,ピラニア（魚）
outwork,外郭工事
dungaree,ダンガリー（デニム生地）
foxy,ずる賢い|色っぽい
thresh,脱穀する
moccasin,モカシン（靴）
columned,柱のある
telekinesis,念力
updraft,上昇気流
basilisk,バジリスク（伝説の怪物）
jackdaw,カラス科の一種
clematis,クレマチス（花）
dietetic,食餌療法の
gaucho,ガウチョ（南米のカウボーイ）
coz,いとこ（口語）
tannic,タンニンの
leggy,脚が長い
smallholding,小規模農場
doge,ドージェ（ヴェネツィアの総督）
potpourri,寄せ集め|ポプリ
misfolded,誤って折りたたまれた
centigrade,摂氏の
insouciance,無頓着
gamester,ギャンブラー
compulsorily,強制的に
inhouse,社内の
stilt,竹馬
pleat,プリーツ
cornflakes,コーンフレーク
partaker,参加者
gibber,意味不明なことを言う
placidity,穏やかさ
deemphasize,重要視しない
plunk,ポンと置く
crummy,粗末な
panhandle,アメリカ西部の細長い地域
riband,リボン（古語）
bowman,弓兵
wellhead,井戸口
corsair,海賊船
leftwing,左翼
rocketry,ロケット工学
biter,噛む人|噛むもの
fleck,斑点
musicale,音楽会
percussionist,打楽器奏者
conservancy,保護管理
paintwork,塗装作業
pyrotechnics,花火技術
radicle,胚根（植物の根の部分）
thresher,脱穀機
midland,内陸部
lockstep,足並みそろえ
upper,上位の|上級生
benignity,優しさ
stopgap,間に合わせのもの
dendrogram,樹形図
sacristan,教会役員
cutaway,カットアウェイ（衣服の形）
operculum,蓋（特に魚のえら蓋）
ramification,枝分かれ|結果
redcoat,英国兵（特に植民地時代）
monosyllable,単音節語
egregiously,著しく
entwine,絡み合わせる
playpen,ベビーベッド
advisement,助言
doghouse,犬小屋|居心地悪い状況
fascicle,小束|冊子
felonious,重罪の
basso,バス歌手
feasibly,実行可能に
unchain,鎖を解く
prerecord,事前録音する
scribbler,筆者（軽蔑的）
pollinate,受粉する
effulgence,輝き
laterality,側性
dapple,まだら模様
deprecate,非難する
gimlet,ジムレット（小型のドリル）
someway,なんとかして
doughy,柔らかい（パン生地のような）
indispensability,不可欠さ
irk,イライラさせる
lysed,溶解した
plosive,破裂音
gristle,軟骨
podocyte,足細胞（腎臓の細胞）
deregulate,規制を緩める
moneylender,金貸し
golly,おやまあ（感嘆詞）
seedless,種なしの
thickset,がっしりした
casebook,症例集
homogenize,均質化する
opalescent,乳白色の
palfrey,乗馬用の馬（中世）
complaisant,愛想の良い
anticlimactic,肩すかしの
circumnavigation,世界一周航海
popery,ローマカトリック教義（軽蔑的）
volubility,饒舌
tumbleweed,転がり草
domiciliary,家庭訪問の
venipuncture,静脈穿刺
outsize,非常に大きい
eastbound,東向きの
precancerous,前癌性の
edgewise,縁から|ちょっとでも
gutsy,度胸のある
sigmoidal,S字状の
cytokeratin,細胞ケラチン
extortionate,法外な
digitize,デジタル化する
smorgasbord,スモーガスボード（ビュッフェ）
baa,メー（羊の鳴き声）
scull,オール
dragoman,通訳者（中東）
midsize,中型の
stymie,妨げる
masochist,マゾヒスト
fetlock,蹄冠（馬の足の部分）
extramural,学外の
helping,一人前の食事分
flightless,飛べない
nuncio,教皇特使
pixy,小妖精
stepmom,継母（口語）
jr,ジュニア（息子名の後ろ）
pestilent,疫病の|有害な
flipside,裏側
befit,ふさわしい
heartwood,心材（木材の中心部）
whalebone,鯨骨
yarrow,ヤロウ（植物）
peregrine,ハヤブサ
twiddle,弄る
landau,ランダウ（馬車の一種）
recidivist,常習犯
teleconference,テレビ会議
outwear,アウターウェア
trashcan,ゴミ箱（米）
kart,カート（小型車）
scopolamine,スコポラミン（薬物）
wanderlust,放浪癖
fanzine,ファンジン（ファン雑誌）
echolocation,エコーロケーション（反響定位）
incommensurate,釣り合わない
airmail,航空郵便
gooseflesh,鳥肌
lenticular,レンズ状の
propinquity,近接
pupal,さなぎの
supportable,支持できる
skullcap,スカルキャップ（帽子）
tidiness,きちんとしたこと
companionway,船の階段
necropsy,検死解剖
streaky,筋状の
hep,粋な
odorant,香料
laundromat,コインランドリー
roc,ロック（伝説の大鳥）
imbrication,重なり合い
exasperate,激怒させる
cormorant,ウミウ（鳥）
piccolo,ピッコロ（楽器）
unfurnished,家具なしの
switchback,ジグザグの道
stationmaster,駅長
goddaughter,名付け子（女性）
wheezy,ゼーゼーした
bioterrorism,生物テロ
greenback,米ドル紙幣（俗語）
subheading,小見出し
billable,請求可能な
shorebird,干潟鳥
molehill,もぐら塚
media,メディア
getup,衣装
mating,交尾
bisector,二等分線
ratepayer,納税者
deckhand,甲板員
dada,ダダイズム
monocytic,単球の
communistic,共産主義の
eightfold,8倍の
heartsick,胸を痛めた
racialism,人種主義
forwardness,ずうずうしさ
durian,ドリアン（果物）
phlebitis,静脈炎
bleb,水泡
roundworm,回虫
catcall,やじ声
teakettle,ティーケトル（やかん）
denier,否定者
extemporaneous,即興の
businessperson,実業家
jerry,ジャリー（第二次大戦のドイツ兵蔑称）
woodblock,木版
dulcet,甘美な
isotype,同位体
emotionalism,感情主義
whorehouse,売春宿
middleweight,ミドル級
corpsman,軍医兵
achromatic,無色の
tine,とげ（フォークの先端）
yay,やった（歓声）
nonmetal,非金属
crinkly,縮れた
toboggan,ソリ
wittingly,故意に
bylaw,条例
serrate,ぎざぎざの
coverslip,カバーガラス（顕微鏡用）
showpiece,見せ物
synovium,滑膜
sophism,詭弁
audiotape,音声テープ
accredit,認定する
everyman,普通の人
tole,トールペイント（装飾技法）
hearthrug,暖炉用敷物
witticism,しゃれ
acquiescent,黙認する
duplicative,重複した
menorah,メノラー（ユダヤ教燭台）
merino,メリノ（羊）
pone,コーンブレッドの一種
slather,たっぷり塗る
provocateur,扇動者
brigantine,小型帆船
unapproved,未承認の
ork,オーク（ファンタジー種族）
ostler,馬の世話人
recuperative,回復力のある
coulda,～できた（口語）
liftoff,離陸
towpath,曳航路
unclasp,外す
drover,家畜追い
birthdate,誕生日
hooch,酒（隠語）
travertine,石灰華
aficionado,熱心なファン
catkin,花穂
deprecatory,非難する
dunghill,糞塚
inebriation,酩酊
mellifluous,甘美な
legionary,軍団兵
facelift,顔面の整形手術
evildoer,悪人
implacably,容赦なく
concuss,脳震盪を起こさせる
tiff,口論
treetop,樹冠
carpus,手根骨
amatory,恋愛の
confessedly,自白して
hardheaded,頑固な
skywards,空の方へ
bullhorn,メガホン
declamatory,雄弁な
snowcapped,雪を頂いた
stipe,柄（キノコの茎）
calisthenics,体操
harlequin,道化師
odometer,走行計
repairable,修理可能な
shoelace,靴ひも
gradualism,漸進主義
tourmaline,トルマリン（宝石）
bloodcurdling,身の毛もよだつ
platypus,カモノハシ
henhouse,鶏小屋
suavity,優雅さ
gunny,麻袋
ringworm,リングワーム（皮膚病）
toxicologist,毒物学者
indiscipline,無規律
senor,セニョール（スペイン語で「〜さん」）
trilingual,三言語を話す
tonsillitis,扁桃炎
anthill,アリ塚
diffidently,自信なく
icky,いやな（口語）
jackknife,ジャックナイフ（折りたたみナイフ）
syncopation,シンコペーション（音楽のリズムのずれ）
homeschool,家庭学習
moneymaking,金儲けの
caricaturist,風刺画家
freshet,増水
restructuring,再編成
sheepdog,牧羊犬
scow,平底船
laze,のんびりする
noncitizen,非市民
leaving,去ること
sinusoid,正弦波
wooer,求愛者
respire,呼吸する
eon,永劫
gallstone,胆石
herringbone,ニシンの骨状模様
venality,買収されやすさ
lowermost,一番下の
deify,神格化する
hookworm,鉤虫
folksy,親しみやすい
consignee,荷受人
dynamometer,動力計
inessential,不必要な
tenterhook,ハンガー|やきもきした状態
lek,レック（動物の求愛場）
osteopathic,オステオパシーの
asocial,非社交的な
belike,おそらく
blighter,やつ|くそったれ
canticle,聖歌
androgyny,両性具有
roo,カンガルーの略
unstudied,不自然な
pottage,スープ|ポタージュ
tourney,トーナメント
zany,道化者|ばかげた
spoor,獣の足跡
heterochromatin,ヘテロクロマチン（染色体の構造）
adamantine,断固とした|硬い
barouche,四輪馬車
filthiness,汚れ
bunt,曲げる（野球のバント）
biochemically,生化学的に
nonbank,非銀行
whithersoever,どこへでも
tare,タレ（重さ調整）|雑草
cloture,議事打ち切り
copter,ヘリコプター［helicopterの略語］
dopey,ぼんやりした
birdhouse,鳥の巣箱
ninny,ばか
alleluia,ハレルヤ（賛美歌）
forehand,フォアハンド（テニス）
annexe,別館|付属建物
occured,起こった［occurの過去形誤記］
whiting,シロギス（魚）
moviegoer,映画観客
gawky,不器用な|ぎこちない
periplasmic,周囲膜の
switchblade,自動折りたたみナイフ
refurbish,改装する
delicatessen,デリカテッセン（惣菜店）
agronomy,農学
mollusk,軟体動物
beekeeper,養蜂家
fluorite,蛍石
homemaking,家事
vampirism,吸血鬼的行動
expectorant,去痰剤
topknot,ちょんまげ
christen,洗礼を授ける
uncommunicative,無口な
sealskin,アザラシの皮
playfellow,遊び友達
kissable,キスしたくなるような
revery,空想
stubbly,無精ひげの
exaction,強要
vainglory,虚栄心
teem,いっぱいである
mendacious,虚偽の
cockerel,雄鶏
palliate,和らげる
rower,漕ぎ手
oops,おっと（感嘆詞）
slipshod,だらしない
sunstroke,熱射病
fess,告白する（スラング）
spongiform,スポンジ状の
hackle,首の羽毛
premonitory,予告の
jackrabbit,黒尾野ウサギ
goldfinch,ベニハシガラス
norovirus,ノロウイルス
seronegative,抗体陰性の
importune,しつこく頼む
shipmate,船仲間
coif,かぶり物|頭巾
fondant,フォンダン|砂糖衣
bight,湾曲部|入り江
bonbon,ボンボン|砂糖菓子
discourtesy,無礼
wyvern,ワイバーン|翼竜
distressful,苦悩に満ちた
heterodimer,ヘテロ二量体
consistory,宗務会議
shredder,シュレッダー
gunsmith,銃工
holidaymaker,行楽客
enshroud,覆い隠す
chilliness,冷え冷え
nacelle,ナセル|エンジン容器
transcendentalism,超越主義
hydroponics,水耕栽培
niggardly,けちな
snaky,蛇のような
unvoiced,無声の
oblate,扁平な
ginkgo,イチョウ
misplace,置き間違える
indictable,起訴可能な
neckerchief,スカーフ
aquaporin,アクアポリン|水輸送タンパク質
imprecation,呪い
substitutional,置換の
womanish,女らしい
pathfinder,先駆者
discompose,動揺させる
colonnaded,列柱のある
mendacity,虚偽
cretin,白痴|愚か者
demonology,悪魔学
amazon,女戦士|アマゾン
erbium,エルビウム
valedictorian,総代|卒業生代表
goldfield,金鉱地
escapee,脱走者
noontime,正午
calligrapher,書道家
zillion,無数
multimillionaire,大富豪
hirsute,毛深い
translucency,半透明性
hogshead,大樽
biggie,大物
dystrophin,ジストロフィン
venire,陪審候補団
interbreed,交配する
ransack,荒らす
hallelujah,ハレルヤ|神への賛美
rowan,ナナカマド
firebox,火室
steepen,急にする
antacid,制酸剤
footboard,足置き台
mammographic,乳房X線の
usurious,高利貸しの
trumpery,くだらない物
caparison,馬衣
spunky,元気な
puissance,権力
brahmin,バラモン|上流階級
peaty,泥炭質の
harken,耳を傾ける
putrefy,腐敗する
quackery,いんちき医療
ringmaster,曲馬団司会
workaround,回避策
bonito,カツオ
popish,ローマ教皇的
chirpy,元気な
farmworker,農場労働者
supernal,天上の
ragamuffin,みすぼらしい子
saccharin,サッカリン
braille,点字
prepossession,先入観
airbase,空軍基地
vic,地区|近辺
benefactress,女性の恩人
provender,飼料
humidify,加湿する
pliability,柔軟性
induct,就任させる
anaemic,貧血の
involute,複雑に入り組んだ
microsecond,マイクロ秒
bisection,二等分
misstate,言い誤る
neurite,神経突起
zine,自主制作誌
cavil,あら探し
hyperglycemic,高血糖の
maladministration,失政
talcum,タルカム粉
amateurism,アマチュア精神
downregulate,発現抑制する
croquette,コロッケ
mohair,モヘア
sirrah,おい君（古風）
archeologist,考古学者
bookmaker,賭け屋
eccentrically,風変わりに
unabridged,省略なしの
fancier,愛好家
direful,恐ろしい
nervy,厚かましい
carob,イナゴマメ
communique,公式声明
puerperal,産褥の
premalignant,前がん性の
piecework,出来高労働
tumulus,古墳|塚
databank,データバンク
dinar,ディナール
decisionmaker,意思決定者
guv,旦那（俗語）
unmentionable,口に出せないもの
trig,三角法
binaural,両耳の
salaam,サラーム礼
bareness,裸
cochineal,コチニール
inadvertence,不注意
belladonna,ベラドンナ
mercer,織物商
solicitously,気遣って
paleontologist,古生物学者
giantess,女巨人
highball,ハイボール
sepulcher,墓所
summery,夏らしい
dephosphorylation,脱リン酸化
powwow,相談会
ringside,特等席
transfigure,変容させる
buffoonery,道化的しぐさ
orthodontics,歯科矯正学
scrubber,洗浄器
pentagonal,五角形の
coreligionist,同宗教の人
redound,結果としてもたらす
serviceman,軍人
proteoglycan,プロテオグリカン
swineherd,豚飼い
gratin,グラタン
trundle,ゴロゴロ転がす
mucky,汚れた
accompanist,伴奏者
assonance,母音韻
chalcopyrite,黄銅鉱
crinoline,クリノリン|広がるスカート
miry,ぬかるんだ
insurable,保険可能な
forcefulness,迫力
pincushion,針山
roux,ルー
protractor,分度器
rigmarole,長々とした話
linnet,マヒワ（小鳥）
burdock,ゴボウ
exultantly,歓喜して
bitty,ちっぽけな
lucent,光る
sapwood,辺材
saboteur,妨害者
skintight,肌にぴったりの
headlock,ヘッドロック
plotline,筋書き
warty,いぼのある
offside,オフサイド
sequencer,シーケンサー
rifleman,歩兵|狙撃兵
cutlet,カツレツ
bagpipe,バグパイプ
birdcage,鳥かご
electroshock,電気ショック
divvy,分配する
dairying,酪農
puritanism,清教徒主義
schooler,学習者
unspotted,汚れのない
pampas,パンパ（南米草原）
charwoman,掃除婦
pellucid,透き通った
carnelian,カーネリアン
wardroom,将校食堂
monorail,モノレール
headquarter,本部
spinneret,紡糸口
equinoctial,昼夜平分の
entablature,エンタブラチュア
neodymium,ネオジム
airliner,旅客機
rigger,索具師
holograph,自筆文書
photosphere,光球
polymorphous,多形の
underplay,控えめに扱う
preganglionic,節前の
eviscerate,内臓を除去する
coattail,上着の裾
denotative,指示的な
incommunicable,伝達不能な
climacteric,更年期
impolitic,不賢明な
ofttimes,しばしば
antiphon,交唱
eggnog,エッグノッグ
grunge,グランジ（音楽様式）
expostulate,諫める
medicare,メディケア|高齢者医療制度
mincemeat,ミンスミート
stoneware,せっ器
transmittal,送付
heliotrope,ヘリオトロープ|香花
gymnosperm,裸子植物
tumbledown,今にも崩れそうな
demotic,庶民的な
abstemious,節制した
moonstone,ムーンストーン
sluggard,怠け者
counterpoise,均衡
narthex,ナルテックス|教会玄関
heatstroke,熱中症
guestroom,客室
cattleman,牧畜業者
hypercube,超立方体
sunshade,日よけ
coddle,甘やかす
chary,用心深い
disarrange,乱す
vainglorious,自惚れの強い
pieta,ピエタ（聖母像）
verbena,バーベナ
bugbear,悩みの種
sommer,夏
battlement,胸壁
glitz,けばけばしさ
striptease,ストリップ
unaccented,無強勢の
chem,化学［chemistryの略語］
saturnine,陰気な
vasopressor,昇圧剤
snatcher,ひったくり
byre,牛小屋
ambassadorial,大使の
hairspray,ヘアスプレー
indefiniteness,不確定
raunchy,下品な
trapezium,台形
parthenogenesis,単為生殖
wringer,絞り機
ploughshare,すき刃
aster,アスター|シオン属
chantry,聖歌堂
forelimb,前肢
autocatalytic,自己触媒の
hieroglyph,象形文字
unprecedentedly,前例なく
seraglio,後宮
washy,水っぽい
amplicon,アンプリコン|増幅断片
indorsement,裏書
gentian,リンドウ
unscripted,台本なしの
boule,ブール|立法議会
aileron,補助翼
occultation,掩蔽
reconcilable,和解可能な
iffy,怪しい
sampan,サンパン|小舟
stagflation,スタグフレーション
mechanistically,機械的に
wanker,馬鹿者
cornea,角膜
goop,ねばねば物
animist,精霊信仰者
anticlerical,反聖職者的
expo,博覧会
immunoprecipitation,免疫沈降
telex,テレックス
epidemiologist,疫学者
fratricide,同胞殺し
sommelier,ソムリエ
adventuress,女冒険家
marlin,カジキ
punchy,迫力のある
punter,賭け客
impersonally,人格を交えず
surcoat,外套
fraternize,親しく交わる
sassafras,ササフラス
antic,滑稽なしぐさ
bicentennial,200周年
percipient,知覚力のある
topicality,話題性
dilapidation,荒廃
patronymic,父称
belabor,くどくど言う
refashion,作り直す
fibroid,線維腫
foreordain,運命づける
perambulation,巡回
transgendered,トランスジェンダーの
curler,カーラー
gangsta,ギャングスタ
backcross,戻し交配
breastwork,胸壁
mystify,困惑させる
velum,ヴェラム膜
forecaster,予報士
diapause,休眠
multipoint,多点
wile,策略
whammy,不運|災難
paterfamilias,家父長
saggy,たるんだ
typecast,型にはめる
cartwheel,側転
leonine,ライオンのような
choosy,えり好みする
tetraploid,四倍体
disinherit,相続権を奪う
ibex,アイベックス（野生ヤギ）
manta,オニイトマキエイ
pungency,刺激性
sidecar,サイドカー
twaddle,たわごと
unsocial,非社交的な
offhandedly,ぶっきらぼうに
seedbed,苗床
unpremeditated,故意でない
stargaze,星を見る
habiliment,衣装
revolutionist,革命家
bootlegger,密造酒売り
oomph,魅力
enquirer,問い合わせ人
couldn,〜できなかった［=couldn’t］（口語）
symbolist,象徴主義者
frippery,無駄な装飾
coed,共学の
pedometer,歩数計
reciter,朗読者
scilicet,すなわち
stonewall,妨害する
doxology,賛美歌
repayable,返済可能な
rankle,苛立たせる
pedicel,小柄
fishbowl,金魚鉢
milch,乳を出す
destructor,破壊者
procurer,仲介人
inkwell,インク壺
chloral,クロラール
civet,ジャコウネコ
continuo,通奏低音
diagnostician,診断医
bowtie,蝶ネクタイ
iridescence,虹色光沢
lobotomy,ロボトミー
smooch,キスする
vestment,祭服
biophysics,生物物理学
jazzy,ジャズ風の
bravura,華麗な技巧
tamarisk,タマリスク
pico,ピコ（10^-12）
salesmanship,販売術
subtropics,亜熱帯
flashbulb,フラッシュ電球
reeve,執行官
comeuppance,報い
sententious,気取った
votary,信奉者
insufferably,我慢できないほど
makespan,総所要時間
flunky,腰巾着
frontiersman,開拓者
retinoid,レチノイド
skulk,こそこそ隠れる
archdiocese,大司教区
cupbearer,給仕役
matins,朝課
endive,エンダイブ
granddaddy,大御所
masseuse,女性マッサージ師
microfiche,マイクロフィルムカード
puissant,強力な
chatterbox,おしゃべりな人
disembarkation,下船
extroversion,外向性
numismatic,貨幣学の
prevarication,言い逃れ
superabundant,非常に豊富な
utile,有用な
oxygenate,酸素を加える
auroral,オーロラの
dyspeptic,消化不良の
legwork,下調べ
cognomen,姓|通称
rhizobial,根粒菌の
dander,怒り|フケ
mignon,可愛らしい
grandee,大物
hosiery,靴下類
tidily,きちんと
antipasto,前菜
nohow,絶対に〜ない
unisex,男女兼用の
signing,署名
waylay,待ち伏せする
proselyte,改宗者
circulator,循環装置
leisured,余裕のある
prehensile,つかむのに適した
obstreperous,騒々しい
fishhook,釣り針
burgh,自治都市
midge,ユスリカ
erector,建設者
ocher,黄土色
foreleg,前脚
deathlike,死のような
prissy,堅苦しい
survivable,生存可能な
exhibitor,出展者
lowdown,内幕
piquancy,辛み|風味
waterspout,水柱
showgirl,ショーガール
hallucinate,幻覚を見る
unbeknown,知られずに
gastroenterology,消化器学
gaffer,ベテラン職人|親方
obloquy,悪評
brakeman,ブレーキ係
virology,ウイルス学
groupie,追っかけ
calomel,甘汞（薬品）
eyeful,美人|見事な光景
hunchbacked,猫背の
osmium,オスミウム
tufa,石灰華
recusant,服従拒否者
exhibitionist,自己顕示欲の強い人
