thorax,胸部
disclaimer,免責事項
soprano,ソプラノ
gallbladder,胆嚢
arctic,北極の
lapel,襟の折り返し
motorist,運転手
psychotherapist,心理療法士
salutary,有益な
folate,葉酸
constitutionality,合憲性
cerebrospinal,脳脊髄の
stalker,ストーカー
flair,才能
impressively,印象的に
curd,凝乳
bluster,怒鳴り声
inelastic,非弾性的な
transpire,起こる
foretell,予言する
meteorite,隕石
egregious,ひどい
larva,幼虫
theorize,理論化する
hardcover,ハードカバー
steeple,尖塔
giraffe,キリン
intercom,内線電話
synchronize,同期する
sanctify,神聖化する
effortless,楽な
precipitous,急な
alphabetical,アルファベット順の
cava,カヴァ（スペインの発泡酒）
ellipse,楕円
celibacy,独身主義
mnemonic,記憶術
preempt,先取りする
detoxification,解毒
sociability,社交性
arthroplasty,関節形成術
fibrin,フィブリン
defraud,詐取する
flue,煙道
brunch,ブランチ
mammary,乳房の
cleanly,きれいに
smite,打ち負かす
unrecognized,認識されていない
estradiol,エストラジオール
indiscretion,軽率な行為
inscribe,刻む
speciation,種分化
liter,リットル
prostaglandin,プロスタグランジン
rebut,反論する
tiredness,疲労
motherly,母親らしい
baroque,バロック様式の
clout,影響力
unaccountable,説明できない
mausoleum,霊廟
approvingly,賛成して
wade,歩いて渡る
unreasonably,不合理に
grotto,洞窟
supplant,取って代わる
imprecise,不正確な
codon,コドン（三連核酸塩基配列）
dissociate,分離する
unfairness,不公平
promontory,岬
admixture,混合物
stepwise,段階的に
tome,大部の本
intelligibility,理解可能性
bystander,傍観者
anon,やがて
anaemia,貧血
trendy,流行の
allograft,同種移植
macular,黄斑の
indolent,怠惰な
slowness,遅さ
blatantly,あからさまに
culpable,有罪の
toluene,トルエン
tribune,護民官
horrendous,恐ろしい
standalone,単独の
posh,しゃれた
thunderbolt,稲妻
overwork,過労
superstar,スーパースター
deprave,堕落させる
lessor,賃貸人
reducible,還元できる
getaway,逃走
ladle,おたま
bestseller,ベストセラー
militarily,軍事的に
congest,混雑させる
broadside,側面砲撃
glen,谷間
splice,つなぐ
immemorial,太古の
rosary,数珠
vastness,広大さ
surreptitiously,こっそりと
shrubbery,低木林
revisionist,修正主義者
lengthen,長くする
astride,またがって
girlish,少女らしい
hydroxy,ヒドロキシ（化学基）
cannula,カニューレ
presupposition,前提
menstruation,月経
padlock,南京錠
overshadow,影を落とす
bale,俵（たわら）
saturate,飽和させる
subsidize,補助金を出す
brotherly,兄弟のような
jailer,看守
angst,不安
timeframe,時間枠
trample,踏みつける
steely,鋼のような
rabble,群衆
concordance,一致
centerpiece,中心作品
cologne,コロン（香水）
bullock,去勢牛
gaudy,けばけばしい
radiative,放射の
fireball,火球
plenary,全体の
partiality,偏愛
abatement,減少
evince,示す
initialize,初期化する
conciliation,和解
rad,ラッド（放射線量の単位）
decadence,退廃
beaker,ビーカー
lovable,愛すべき
recoverable,回復可能な
reptile,爬虫類
repugnant,不快な
unbutton,ボタンを外す
eugenics,優生学
contemptible,軽蔑すべき
sizzle,ジュージュー音を立てる
cashew,カシューナッツ
mulch,マルチ（被覆材）
clam,ハマグリ
stomp,踏みつける
utilitarianism,功利主義
mantelpiece,暖炉の棚
placard,掲示板|プラカード
masturbate,自慰する
storeroom,物置部屋
trusty,信頼できる人
indiscriminately,無差別に
diver,潜水士
peremptory,絶対的な
menial,単純労働の
wag,尻尾を振る
shipyard,造船所
rind,皮|外皮
cutter,切断機
bloodthirsty,好戦的な
mesenteric,腸間膜の
workhouse,救貧院
sparingly,控えめに
autocorrelation,自己相関
unorthodox,正統でない
astrologer,占星術師
emotive,感情的な
deliciously,おいしく
sadistic,サディスティックな
obstinacy,頑固さ
posthumous,死後の
paraffin,パラフィン（石油製品）
rebuttal,反論
carotene,カロテン
prefecture,県
erstwhile,かつての
inexplicably,説明できないほど
umpire,審判
awry,曲がって
interracial,異人種間の
itchy,かゆい
primer,入門書|下地塗料
outrun,追い越す
apoptotic,アポトーシスの
ketone,ケトン
belated,遅れた
postmodernism,ポストモダン
immunosuppressive,免疫抑制の
unselfish,利他的な
thistle,アザミ
afoot,進行中の
obliquely,斜めに
unforgiving,容赦ない
dandy,しゃれ者
heh,へへ（ため息や笑い）
earlobe,耳たぶ
radiological,放射線の
yam,ヤムイモ
millennial,千年紀の
nephropathy,腎症
retrospectively,遡及的に
eerily,不気味に
polygamy,一夫多妻制
sushi,寿司
reverently,敬虔に
mastermind,黒幕
otherworldly,異世界の
caucus,党員集会
motorway,高速道路
humerus,上腕骨
radioactivity,放射能
formalize,正式化する
janitor,管理人
traceable,追跡可能な
refrigerate,冷蔵する
spank,平手打ちする
tat,入れ墨
childbearing,出産
lyre,リラ（楽器）
mimicry,模倣
beneficent,慈善的な
selector,選択者
wheeling,回転すること
affordability,手ごろさ
chloroform,クロロホルム
incredulity,不信
twitter,さえずり
zebra,シマウマ
uncommonly,珍しく
stupendous,驚くべき
passer,通行人
inappropriately,不適切に
identically,まったく同じに
cautionary,警告的な
vermin,害虫
cede,譲渡する
warfarin,ワルファリン（抗凝血薬）
equivocal,あいまいな
blocker,遮断薬
conflate,融合する
payback,報復
geriatric,老年医学の
nuptial,結婚の
spam,迷惑メール
tut,ちっ（軽い不満の声）
expediency,便宜主義
pronouncement,声明
clueless,無知な
touchdown,タッチダウン（得点）
resistive,抵抗性の
grapevine,口コミ
canary,カナリア
blackboard,黒板
delightfully,楽しく
wilful,故意の
craftsman,職人
wickedly,悪意を持って
bleach,漂白する
newness,新しさ
bugger,やつ（軽蔑的）
patchy,むらのある
unanimity,満場一致
amaze,驚かせる
imp,小悪魔
adiabatic,断熱の
downpour,豪雨
aqueduct,水道橋
stratagem,策略
whomever,誰でも
ubiquity,遍在
heyday,全盛期
scabbard,鞘
concurrence,同時発生
sideboard,サイドボード（食器棚）
dissension,意見の対立
teammate,チームメイト
rheumatic,リウマチの
gypsum,石膏
duet,二重唱
changeable,変わりやすい
cloudless,晴れ渡った
duffel,ダッフルコート
irritant,刺激物
unmet,満たされていない
grapefruit,グレープフルーツ
impudent,生意気な
lopsided,片寄った
tabletop,テーブルトップ
misinterpretation,誤解釈
thru,通して［throughの略語］
precocious,早熟な
pall,覆い
cobblestone,石畳
impostor,詐称者
sterility,不妊
ascendancy,優勢
authentically,本物らしく
polio,ポリオ（小児麻痺）
lard,ラード
condescension,見下す態度
internment,抑留
acquiesce,黙認する
tsar,ツァーリ（皇帝）
renegade,裏切り者
decoy,おとり
washroom,洗面所
productively,生産的に
radiography,レントゲン撮影
midair,空中
tinnitus,耳鳴り
nightingale,ナイチンゲール（鳥）
peri,周囲の
penniless,無一文の
sputum,痰
vasculature,血管系
ribosome,リボソーム
outta,～から出る［out ofの口語］
therefrom,そこから
irrevocably,取り消し不能に
calibrate,校正する
easel,イーゼル（画架）
watt,ワット（電力単位）
aphorism,格言
betterment,改善
bigotry,偏狭な考え
raucous,耳障りな
rhetorically,修辞的に
transmembrane,膜貫通の
disinfection,消毒
geologic,地質の
ternary,3つの
username,ユーザー名
ejaculation,射精
postmenopausal,閉経後の
corrugate,波形にする
slowdown,減速
dub,吹き替えする
fluke,偶然の幸運
envelop,包む
mileage,走行距離
sheepish,気まずそうな
abdicate,退位する
recklessness,無謀さ
evocation,喚起
calligraphy,書道
sarcophagus,石棺
avarice,貪欲
untangle,解く
fortuitous,偶然の
hepatocellular,肝細胞の
neuroendocrine,神経内分泌の
cog,歯車の一歯
motorbike,オートバイ
pox,疱瘡（ほうそう）
histamine,ヒスタミン
adieu,さようなら
inequity,不公平
altercation,口論
proliferative,増殖性の
disjunction,分離
tubercle,結節
condominium,分譲マンション
opulent,豪華な
firmament,天空
detest,ひどく嫌う
nefarious,極悪の
announcer,アナウンサー
isothermal,等温の
mannered,礼儀正しい
cassava,キャッサバ（芋）
subtropical,亜熱帯の
consular,領事の
scotch,妨害する
paraphernalia,道具一式
impertinent,無礼な
beholder,見る人
sundown,日没
rebound,跳ね返る
internationalism,国際主義
clumsily,不器用に
unkempt,だらしない
surfer,サーファー
quadruple,4倍の
bowler,ボーラー（ボウリング選手）
amphetamine,アンフェタミン
lysis,溶解
bibliographic,書誌の
neutrophil,好中球
severance,分離
schoolteacher,教師
pharmacology,薬理学
counterintuitive,直感に反する
hmm,うーん（考える声）
garret,屋根裏部屋
relent,和らぐ
chromatic,色の
democratically,民主的に
euthanasia,安楽死
nitrite,亜硝酸塩
snip,チョキンと切る
gourmet,美食家
slough,脱皮する
stocky,ずんぐりした
rampage,暴れ回る
lifeboat,救命ボート
sloop,スループ（小型帆船）
equanimity,平静
peacetime,平時
frictional,摩擦の
ornamentation,装飾
infarct,梗塞
hairstyle,髪型
individualist,個人主義者
chink,隙間
therewith,それとともに
tarmac,滑走路舗装
exuberance,活気
basilica,バシリカ（教会建築）
impeach,告発する
melatonin,メラトニン
imam,イマーム（イスラム教指導者）
surly,無愛想な
nationalization,国有化
speciality,専門分野
gnarl,こぶ
ripen,熟す
elongate,伸長する
woolen,羊毛の
quirky,風変わりな
scab,かさぶた
enjoin,命じる
kilogram,キログラム
servile,卑屈な
scornfully,軽蔑して
shrapnel,破片
knapsack,リュックサック
developmentally,発達上
annular,環状の
accelerometer,加速度計
benediction,祝福
inning,イニング（野球の回）
excellency,閣下（尊称）
wayside,道端
iodide,ヨウ化物
dystrophy,栄養障害
barometer,気圧計
launcher,発射装置
memento,記念品
lonesome,寂しい
unidirectional,一方向の
outlandish,風変わりな
micron,ミクロン（微小単位）
papacy,教皇職
discriminant,判別式
sawdust,おがくず
promissory,約束の
exorbitant,法外な
outgrowth,発展物
squall,突風
unreadable,読めない
nauseous,吐き気のする
outermost,最外の
iterate,繰り返す
uninhabited,無人の
downtime,停止時間
regimental,連隊の
retrofit,後付けの
lambda,λ・Λ（ギリシャ文字）
facsimile,ファクシミリ
vindication,正当化
myeloma,骨髄腫
agape,驚いた
impracticable,実行不可能な
crutch,松葉杖
hanging,吊るすこと
unconnected,無関係な
headboard,ベッドの頭板
pleading,嘆願
meltdown,メルトダウン
defuse,緊張を和らげる
sighting,目撃
undergird,補強する
deform,変形する
spectroscopic,分光の
sag,たわみ
partisanship,党派心
subscriber,加入者
cordon,封鎖線
stampede,一斉に逃げること
inadvertent,不注意な
weasel,イタチ
reusable,再利用可能な
sticker,シール
viper,マムシ
connoisseur,鑑定家
keg,樽
saintly,聖人のような
absurdly,ばかげて
psychedelic,サイケデリックな
abovementioned,前述の
fixedly,じっと
drowsiness,眠気
shoemaker,靴職人
semicircle,半円
grime,汚れ
segregate,分離する
emaciate,やせ衰える
chassis,車台
rout,敗走
eventful,事件の多い
cackle,があがあ笑う
lacquer,漆
dilate,拡張する
heretic,異端者
steadfastly,断固として
neurologist,神経科医
enthusiast,熱狂者
amass,蓄積する
hellish,地獄のような
wildness,野生
inguinal,鼠径部の
antagonize,敵対させる
factorial,階乗
stopper,栓
splendidly,見事に
caliph,カリフ（イスラム指導者）
godmother,名付け親（女性）
diurnal,昼行性の
inbreed,近親交配する
mountainside,山腹
grinder,粉砕機
nonlinearity,非線形性
ratchet,ラチェット（機械部品）
charade,茶番
deathbed,臨終の床
chastise,厳しく叱る
pancake,パンケーキ
prewar,戦前の
femme,女性
hyena,ハイエナ
repute,評判
forgetful,物忘れしやすい
garland,花輪
scathing,辛辣な
acidification,酸性化
periodicity,周期性
contentedly,満足して
unsightly,見苦しい
febrile,熱のある
skewer,串刺しにする
isotherm,等温線
antithetical,対立する
phonology,音韻論
atrocity,残虐行為
cram,詰め込む
beating,打つこと
peerless,比類なき
gent,紳士
adverbial,副詞的な
habitable,居住可能な
hungrily,貪欲に
timidity,臆病さ
synopsis,要約
dissimilarity,相違点
floodplain,氾濫原
comparability,比較可能性
devotee,信奉者
reinstate,復職させる
rumple,しわを寄せる
commando,コマンド部隊
perusal,精読
triumphal,凱旋の
ruinous,破滅的な
ketchup,ケチャップ
subcommittee,小委員会
disco,ディスコ
phylogeny,系統発生
exultation,大喜び
tirelessly,疲れ知らずに
uneventful,波乱のない
bumpy,でこぼこの
regretful,後悔している
remonstrance,抗議
payout,支払い
unquestioned,疑いない
homogenization,均質化
spool,巻き軸
skilfully,巧みに
bemuse,困惑させる
visor,バイザー
disparage,軽蔑する
unchallenged,無敵の
scalpel,メス
artistry,芸術性
motley,雑多な
homophobia,同性愛嫌悪
asceticism,禁欲主義
trigeminal,三叉神経の
levee,堤防
parlance,言い回し
airship,飛行船
communicable,伝染性の
amalgam,混合物
dugout,掘っ立て小屋
embellishment,装飾
sensitization,感作
finder,探す人
evangelism,福音伝道
sternum,胸骨
cheerleader,チアリーダー
gingival,歯肉の
sardine,イワシ
acquittal,無罪放免
broiler,鶏の飼育場
immunosuppression,免疫抑制
prolapse,脱出
jig,ジグ（治具）
modem,モデム
riparian,河畔の
householder,世帯主
shockingly,ショッキングに
homily,説教
clack,カタカタ音
tincture,チンキ剤
combustible,可燃性の
indelible,消せない
stroller,ベビーカー
thymus,胸腺
dyke,堤防
digression,脱線
vacate,立ち退く
permeation,浸透
combo,コンボ（組み合わせ）
glider,グライダー
serine,セリン（アミノ酸）
polystyrene,ポリスチレン
reconsideration,再検討
orchestral,オーケストラの
impassable,通行不能な
navigable,航行可能な
encroach,侵入する
tequila,テキーラ（酒）
steamship,汽船
synovial,滑液の
treble,三倍の
medullary,髄質の
prototypical,典型的な
antiquarian,骨董研究家
nonchalantly,無関心に
musk,麝香
gasification,気化
ponderous,重い
unfailing,絶え間ない
wasp,スズメバチ
straightway,すぐに
playfulness,遊び心
singlet,ランニングシャツ
palpation,触診
wring,絞る
nudity,裸体
venison,鹿肉
recapitulate,要約する
machete,マチェーテ（大きなナイフ）
hag,老婆
psalmist,詩篇作家
inconspicuous,目立たない
uninterested,無関心な
holographic,ホログラムの
interception,迎撃
secondhand,中古の
unaccompanied,単独の
lustful,好色な
ogre,鬼
commemorative,記念の
codex,法典
reconfiguration,再構成
stutter,どもる
crystallize,結晶化する
todo,やるべきこと
plaything,おもちゃ
dichotomous,二分する
ashtray,灰皿
loathe,嫌う
innervation,神経支配
propellant,推進剤
dysentery,赤痢
ambience,雰囲気
fundamentalism,原理主義
televise,テレビ放送する
reversion,逆戻り
nonsensical,無意味な
grande,大きい（イタリア語など）
crescendo,徐々に強まる
inexorably,容赦なく
alt,高音域
enforcer,執行者
mayhem,大混乱
siphon,サイフォン
unsurprising,驚くに値しない
pus,膿
glandular,腺の
tortuous,曲がりくねった
reorient,方向転換する
hairline,極細の
devolution,権限移譲
episcopal,司教の
leer,いやらしく見る
meritorious,価値ある
pediatrician,小児科医
reverent,敬虔な
thrush,カンジダ症
synapse,シナプス
aldehyde,アルデヒド
veal,仔牛肉
exorcism,悪魔祓い
limbo,中間状態
navigational,航行の
procreation,生殖
toxicology,毒物学
crochet,かぎ針編み
thermoplastic,熱可塑性の
rote,丸暗記
parasympathetic,副交感神経の
leaky,漏れやすい
acumen,鋭敏さ
schoolgirl,女子学生
genitive,属格の
stucco,漆喰
sneaky,こそこそした
wintry,冬の
pragmatist,実利主義者
grout,目地材
sigma,σ・ς・Σ（ギリシャ文字）
ravenous,非常に空腹な
compendium,概要
thatch,藁ぶき屋根
cheeky,生意気な
luxuriant,繁茂した
abutment,橋台
commendable,称賛に値する
timer,タイマー
ardor,熱意
publicize,公表する
explication,説明
gloriously,栄光に満ちて
hydroelectric,水力発電の
intrauterine,子宮内の
rucksack,リュックサック
euphemism,婉曲表現
endothelium,内皮
impulsively,衝動的に
nerd,オタク
finalize,最終決定する
datum,データ（単数形）
hysterically,取り乱して
cytology,細胞学
equestrian,馬術の
hunk,魅力的な男
overpower,圧倒する
encircle,囲む
leaven,発酵させる
disorientation,方向感覚の喪失
gratuitous,不必要な
natal,出生の
tawny,黄褐色の
derelict,放棄された
penitentiary,刑務所
formulaic,型通りの
gleefully,喜んで
dandelion,タンポポ
guesthouse,民宿
removable,取り外し可能な
responsibly,責任を持って
zebrafish,ゼブラフィッシュ
casein,カゼイン（乳たんぱく質）
informatics,情報科学
grad,卒業生
alluvial,沖積の
gentlemanly,紳士的な
jasmine,ジャスミン
thumbnail,サムネイル
untouchable,触れてはならない
spree,浮かれ騒ぎ
pharaoh,ファラオ
unearth,発掘する
listless,無気力な
loathsome,嫌な
matrimonial,結婚の
appendage,付属物
saviour,救世主
collocation,連語
beastly,ひどく不快な
regionally,地域的に
shingle,こけら板|砂利浜
clog,詰まらせる
mistreatment,虐待
carcinogenic,発がん性の
prong,突起
better,改善する
discontinuation,中止
superlative,最上級の
normalcy,正常状態
preventable,予防可能な
shapeless,形のない
diuretic,利尿剤
restful,安らかな
upshot,結末
golfer,ゴルファー
chide,叱る
acrid,刺激的な
leeway,余裕
salve,軟膏
equivalently,同等に
mildew,カビ
gnome,妖精
multifunctional,多機能の
undoubted,疑いのない
boardwalk,板張りの歩道
stove,ストーブ
bugle,ラッパ
unannounced,予告なしの
spore,胞子
storyline,筋書き
cacao,カカオ
defenseless,無防備な
archaeologist,考古学者
gravitation,重力
retro,レトロな
astonishingly,驚くほどに
bagel,ベーグル
defunct,現存しない
defensible,擁護できる
amour,恋愛（特に秘めた）
playmate,遊び仲間
scoot,さっと動く
homecoming,帰郷
verdant,緑豊かな
velvety,ビロードのような
fiat,命令
hairdresser,美容師
autocracy,独裁政治
aggressiveness,攻撃性
extracurricular,課外の
appetizer,前菜
storefront,店舗の正面
drinker,飲む人
osmosis,浸透
unprofitable,利益の出ない
yoghurt,ヨーグルト
voluptuous,官能的な
registrar,登記官
dill,ディル（ハーブ）
pester,悩ませる
cadaver,死体
mulberry,桑の実
repast,食事
narcotic,麻酔薬
collegiate,大学の
tang,強い風味
topographical,地形の
orchestration,編曲
purgatory,煉獄
resurface,再び現れる
craftsmanship,職人技
training,訓練
depress,落胆させる
chirp,チーチー鳴く
