imbecile,愚か者
propitious,好都合な|幸先の良い
lilt,軽快な調子|陽気な節回し
eke,どうにかしてやりくりする|食いつなぐ|不足を補う
holly,ヒイラギ
finitely,有限に
capacious,容量の大きい|広々とした
metamorphic,変成岩の|変形する
yearbook,年鑑|卒業アルバム
herbaceous,草本の
forthright,率直な
upkeep,維持
disreputable,評判の悪い
mannequin,マネキン
duodenal,十二指腸の
haughtily,高慢に
phagocytosis,食作用
blasphemous,冒涜的な
fatherland,祖国
reverberate,反響する
ignoble,卑しい
subjunctive,仮定法
chairperson,議長
luminal,管腔の
asexual,無性の
judiciously,慎重に
escrow,第三者預託
stylist,スタイリスト
inferno,地獄
knowable,知り得る
cranny,隙間
crusty,かさぶた状の
postponement,延期
mediaeval,中世の
hemlock,ドクニンジン
rectifier,整流器
raincoat,レインコート
effeminate,女々しい
sketchy,大まかな
preemptive,先制の
sulk,ふてくされる
glitch,不具合
mot,機知
piteous,哀れな
lacuna,欠落
prettily,可愛らしく
pearly,真珠のような
recoup,取り戻す
dexamethasone,デキサメタゾン
wort,薬草
kingly,王のような
swimsuit,水着
trinity,三位一体
anaphylaxis,アナフィラキシー
adder,マムシ
firefighter,消防士
ascorbic,アスコルビンの
outdo,凌ぐ
flexibly,柔軟に
circumferential,円周の
dispirit,落胆させる
humoral,体液の
unwrap,包みを解く
wrongdoer,加害者
postmaster,郵便局長
soothingly,和らげるように
spoilage,腐敗
loudness,音量
inarticulate,不明瞭な
gull,カモメ
worthiness,価値
tormentor,責め苦を与える者
hacienda,大農園
saver,節約家
epigraph,碑文
blubber,脂肪
oncogene,癌遺伝子
dispatcher,配車係
publicist,広報担当者
showroom,展示室
homophobic,同性愛嫌悪の
sweeten,甘くする
softball,ソフトボール
reinstatement,復職
substation,変電所
venereal,性病の
credulity,軽信
jubilant,歓喜した
swarthy,浅黒い
fierceness,激しさ
theism,有神論
pontoon,浮橋
aimless,目的のない
terminally,末期的に
cohere,密着する
purplish,紫がかった
smog,スモッグ
cornfield,トウモロコシ畑
endoscope,内視鏡
squalid,不潔な
unmask,正体を明かす
pejorative,軽蔑的な
nog,卵酒
invader,侵略者
leathery,革のような
epilogue,エピローグ
tactful,如才ない
tallow,獣脂
institutionalize,制度化する
entangle,もつれさせる
snippet,断片
mica,雲母
abortive,失敗した
appraiser,鑑定士
yeoman,自作農
bingo,ビンゴ
flaccid,たるんだ
indie,インディーズ
goldsmith,金細工師
nappy,おむつ
secede,分離する
stiletto,短剣
goofy,間抜けな
impregnable,難攻不落の
puny,貧弱な
pointy,尖った
balmy,穏やかな
interrelationship,相互関係
systemically,体系的に
laboriously,骨折って
misstep,過ち
serenely,穏やかに
counterclockwise,反時計回りに
criticality,危険性
untrustworthy,信用できない
dunk,浸す
woodcut,木版画
casement,窓枠
retardant,抑制剤
staccato,スタッカート
reconfigured,再構成された
stricture,制限
retaliatory,報復的な
overgrowth,過剰成長
feathery,羽のような
kerchief,スカーフ
conspiratorial,陰謀的な
mimesis,模倣
reachable,到達可能な
bookkeeping,簿記
blockbuster,大ヒット作
diploid,二倍体
fib,作り話
charmingly,愛らしく
isthmus,地峡
contrition,悔悟
prehistory,先史時代
gloat,ほくそ笑む
doggedly,粘り強く
membranous,膜状の
mackerel,サバ
epistolary,書簡形式の
incompressible,圧縮できない
chez,〜の家で
deg,度（degreeの略）
moratorium,一時停止
legalization,合法化
shard,破片
inimical,敵対的な
oncologist,腫瘍専門医
rhinoceros,サイ
goo,ねばねばしたもの
philology,言語学
hopper,ホッパー
carbine,カービン銃
claustrophobic,閉所恐怖症の
ghee,ギー
junta,軍事政権
marinade,漬け汁
ciliary,繊毛の
slaughterhouse,屠殺場
sorceress,女魔法使い
heritability,遺伝率
fruity,果実のような
heme,ヘム
servo,サーボ
vasoconstriction,血管収縮
rework,やり直す
rhinitis,鼻炎
sari,サリー
inexpressible,言い表せない
perpetrate,犯す
exude,にじみ出す
magnum,大型の
ovate,卵形の
nematode,線虫
bane,破滅の元
sonata,ソナタ
deceptively,見かけによらず
apostasy,背教
quotidian,日常の
gondola,ゴンドラ
sulky,不機嫌な
photochemical,光化学の
excitable,興奮しやすい
ductal,管の
ordnance,軍需品
outing,外出
pounder,〜ポンドのもの
egotism,うぬぼれ
takeout,持ち帰り
furtherance,促進
fibrinogen,フィブリノーゲン
sleepily,眠そうに
talkie,トーキー映画
marshy,湿地の
modicum,わずか
unimpressed,感銘を受けない
profuse,豊富な
moniker,あだ名
multiplier,乗数
muffle,覆う
bipartisan,超党派の
smoothie,スムージー
incursion,侵入
supersonic,超音速の
beleaguer,包囲する
inbox,受信箱
paroxysm,発作
mountaineer,登山者
usurpation,奪取
tepid,生ぬるい
promulgation,公布
methadone,メサドン
countervail,打ち消す
usurper,簒奪者
upstart,成り上がり者
stencil,型紙
deplete,使い果たす
choreographer,振付師
predestination,予定説
sitcom,シットコム
insecticide,殺虫剤
typhoon,台風
reactance,リアクタンス
thermo,熱の
heterozygous,雑種の
destitution,極貧
nightlife,夜遊び
nouveau,新しい
chimpanzee,チンパンジー
ascription,帰属
cuticle,角質層
styrene,スチレン
externality,外部性
intravenously,静脈内に
uninformed,無知な
vancomycin,バンコマイシン
melancholic,憂うつな
spearhead,先頭に立つ
disqualification,失格
plantain,バショウ
cobra,コブラ
pep,元気
unobtrusive,控えめな
apathetic,無関心な
dong,ドン（ベトナム通貨）
isometric,等尺性の
narcissist,自己愛者
shrew,口うるさい女
seasonality,季節性
aspen,ポプラ
grammatically,文法的に
posting,投稿
valiantly,勇敢に
overreach,出過ぎる
embellish,飾る
fictive,架空の
waft,漂う
spiky,とげとげしい
emphysema,肺気腫
zodiac,黄道帯
intro,イントロ
gape,ぽかんと口を開ける
accusative,対格
striatum,線条体
proofread,校正する
blaspheme,冒涜する
workup,精密検査
remodel,改装する
honorific,敬称
primrose,サクラソウ
dl,デシリットル
miser,けち
masterly,巧みな
neuralgia,神経痛
transversal,横断の
calcite,方解石
inducer,誘導因子
ling,コマイ（魚）
squeaky,きしむ
revelatory,啓示的な
trellis,格子
elicitation,引き出すこと
mooring,係留
snugly,ぴったりと
fizz,泡立つ
indolence,怠惰
timeliness,適時性
thrum,低い振動音
powdery,粉状の
sorrowfully,悲しげに
aggravation,悪化
thrombin,トロンビン
numeral,数字
highland,高地
monopolistic,独占的な
virile,男らしい
laxity,緩さ
ossification,骨化
peritonitis,腹膜炎
goldfish,金魚
momma,ママ
retest,再試験
voracious,貪欲な
grueling,過酷な
absentee,欠席者
confocal,共焦点の
innovator,革新者
overdrive,過駆動
portent,前兆
subjugate,征服する
geophysical,地球物理学の
satiety,満腹
bohemian,自由奔放な人
stork,コウノトリ
fornication,姦通
meiosis,減数分裂
predominately,主に
mascot,マスコット
spook,幽霊
melee,乱闘
inaugurate,就任する
backwater,停滞地域
cabaret,キャバレー
azimuth,方位角
forester,森林官
cookery,料理法
wariness,用心
breastplate,胸当て
salamander,サラマンダー
infliction,加えること
spelling,綴り
woefully,悲しげに
coincident,一致した
pliable,柔軟な
stockade,柵
sailboat,帆船
reticular,網状の
rampart,防壁
distantly,遠く離れて
morose,陰気な
structuralism,構造主義
thirdly,第三に
gargoyle,怪物の彫像
dependant,扶養家族
soviet,ソビエト
appendicitis,虫垂炎
postsynaptic,シナプス後の
champ,がつがつ食べる
unsound,不健全な
grandparent,祖父母
succour,援助
webpage,ウェブページ
cytosolic,細胞質の
acacia,アカシア
grovel,ひれ伏す
carrion,死肉
policyholder,保険契約者
torus,環（リング状）
thoughtfulness,思いやり
mil,ミル（長さ・角度の単位）
accordion,アコーディオン
girlhood,少女時代
anachronism,時代錯誤
cornice,ひさし
giveaway,景品
bellow,怒鳴る
cornstarch,コーンスターチ
demure,控えめな
covalently,共有結合で
synchrony,同時性
eucalyptus,ユーカリ
onus,責任
alimony,扶養料
incitement,扇動
wheeler,車両操作者
monotheism,一神教
wraith,幽霊
boudoir,婦人の私室
adenine,アデニン
brackish,塩辛い
oestrogen,エストロゲン
penalize,罰する
pitiable,哀れな
undisclosed,未公開の
lube,潤滑油
playback,再生
sabbath,安息日
centimeter,センチメートル
russet,赤褐色
unlicensed,無免許の
leaning,傾向
provost,学長
iridescent,虹色に輝く
cardamom,カルダモン
gullible,だまされやすい
anoint,塗油する
libretto,台本
myosin,ミオシン
jellyfish,クラゲ
imitative,模倣的な
reprehensible,非難されるべき
ironical,皮肉な
psychopathic,精神病質の
inaccuracy,不正確さ
toaster,トースター
telecom,通信事業
blandly,あっさりと
ninja,忍者
cheerily,陽気に
interject,口を挟む
macabre,不気味な
lynch,リンチする
abbess,女子修道院長
excrement,排泄物
beautify,美化する
phraseology,言い回し
strenuously,激しく
responder,応答者
craggy,岩だらけの
payer,支払人
countdown,カウントダウン
opal,オパール
transect,切断する
confiscate,没収する
spooky,不気味な
disbelieve,信じない
depreciate,価値が下がる
nominative,主格
disorganization,混乱
cranium,頭蓋
throaty,しわがれ声の
daycare,託児所
zonal,帯状の
erudition,博識
epidemiologic,疫学的な
cairn,積み石
picky,えり好みする
intercostal,肋間の
bossy,偉そうな
sabbatical,長期休暇
instinctual,本能的な
repentant,後悔している
unafraid,恐れない
underbrush,下草
disaggregated,分解された
substructure,下部構造
infertile,不妊の
entrenchment,固定化
calibre,能力
predestine,運命づける
heterosexuality,異性愛
decorator,装飾家
presentiment,予感
hummingbird,ハチドリ
grubby,汚れた
windward,風上の
morphologically,形態的に
attractor,引きつけるもの
suffocate,窒息する
outwit,出し抜く
biosynthetic,生合成の
myopia,近視
scurry,あわてて走る
disembark,下船する
inviolable,侵してはならない
dewy,露にぬれた
procrastination,先延ばし
hearse,霊柩車
astonish,驚かす
opulence,豪華さ
squatter,不法占拠者
dressmaker,洋裁師
buttery,バターのような
jealously,嫉妬して
fjord,フィヨルド
supernova,超新星
metaphoric,比喩的な
southerner,南部出身者
mononuclear,単核の
preschooler,未就学児
irate,激怒した
dumbbell,ダンベル
gripe,不満を言う
cytosol,細胞質液
mistletoe,ヤドリギ
prattle,ぺちゃくちゃしゃべる
ruthlessness,無慈悲
scraper,削る道具
untruth,虚偽
lama,ラマ（チベットの僧侶）
saucy,生意気な
dun,くすんだ茶色
eggshell,卵の殻
misshape,変形する
refrigerant,冷媒
inbound,到着する
avoidable,避けられる
disadvantageous,不利な
naively,素朴に
riotous,騒々しい
solvency,支払い能力
ibuprofen,イブプロフェン
celibate,独身の
approachable,近づきやすい
docket,議事日程
insinuate,ほのめかす
hysterectomy,子宮摘出術
burp,げっぷ
mote,小さな塵
endearment,愛情表現
vex,いらだたせる
galactic,銀河の
entrails,内臓
sublimation,昇華
huskily,かすれ声で
quaternary,第四の
submerge,沈める
deflation,デフレ
unfocused,焦点の合っていない
agribusiness,農業関連企業
instigation,扇動
otitis,耳炎
hulk,巨大な物体
nettle,イラクサ
impolite,失礼な
scratchy,かゆい
soliloquy,独白
hiccup,しゃっくり
oust,追放する
queasy,むかつく
daemon,悪霊
dispassionate,冷静な
alabaster,雪花石膏
subfamily,亜科
revascularization,血管再建
urticaria,じんましん
micrometer,マイクロメーター
shakily,震えて
repugnance,嫌悪
ritualistic,儀式的な
pinkish,ピンクがかった
phoneme,音素
uninjured,無傷の
jay,カケス
streetcar,路面電車
puck,パック（ホッケーの球）
bevel,斜め面
antigenic,抗原性の
phonograph,蓄音機
echelon,階層
windscreen,フロントガラス
carcinogenesis,発癌
proteolytic,蛋白分解の
hemodialysis,血液透析
sprig,小枝
propylene,プロピレン
coalescence,合体
telepathy,テレパシー
vaudeville,バラエティーショー
patrimony,相続財産
tricuspid,三尖弁の
brash,厚かましい
anthropocentric,人間中心主義の
kilt,キルトスカート
erudite,博識な
shrewdly,鋭く
multiracial,多民族の
germplasm,遺伝子資源
impertinence,無礼
pectoral,胸の
thrash,叩きのめす
nonresident,非居住者
abash,当惑させる
woodpecker,キツツキ
chow,食べ物
protectorate,保護領
ruff,フリル
equinox,昼夜平分時
breadwinner,生計を支える人
caliphate,カリフ制国家
upsurge,急増
ductility,延性
diphtheria,ジフテリア
disinterest,無関心
macaroni,マカロニ
singleton,単独者
unsympathetic,同情しない
payee,受取人
waxy,蝋のような|質感
ordain,任命する|宗教|公式
counterinsurgency,反乱鎮圧|軍事
inequitable,不公平な
batsman,打者|クリケット
uric,尿酸の
scorecard,採点表
deputation,代表団
stile,踏み越え段|柵用
askance,疑いの目で
anime,アニメ|日本のアニメーション
redwood,セコイア|木の種類
multifactorial,多因子の
dammit,ちくしょう|感情表現
tractable,従順な
coquettish,媚びるような
putrid,腐敗した
meekness,柔和さ
mutate,突然変異する
communitarian,共同体主義の
colonnade,列柱
titular,名ばかりの
weirdly,奇妙に
snob,俗物
compunction,良心の呵責
screenwriter,脚本家
portly,太った|礼儀正しい言い方
organist,オルガン奏者
bulkhead,隔壁|船や飛行機
raiser,高めるもの
lager,ラガービール
penitence,悔い改め
tasteful,上品な
extraterritorial,治外法権の
beehive,蜂の巣
scurvy,壊血病
rephrase,言い換える
skeptic,懐疑論者
thermoelectric,熱電の
warlock,男の魔法使い
fairytale,おとぎ話
winch,ウインチ|巻き上げ機
egress,退出
reappearance,再出現
margarine,マーガリン
portability,携帯性
downgrade,格下げする
contrite,悔いている
tabular,表形式の
monochromatic,単色の
tasteless,味がない|趣味が悪い
underage,未成年の
playboy,プレイボーイ
unmatched,比類なき|一致しない
genocidal,大量虐殺の
straightaway,直ちに
downy,ふわふわした
grizzle,白髪になる|ぶつぶつ言う
inquisition,異端審問|厳しい尋問
unmanageable,手に負えない
repertory,演目一覧|レパートリー
waken,目覚めさせる
protrude,突き出る
inflame,炎症を起こす|刺激する
germline,生殖細胞系列の
mountaintop,山頂
alopecia,脱毛症
absolutist,絶対主義者
steadiness,安定性
aqua,水色|水
callback,折り返し電話
untamed,飼いならされていない
concord,一致|協調
castor,キャスター|車輪
belatedly,遅れて
meth,メタンフェタミン|薬物
hexagon,六角形
clarinet,クラリネット
alto,アルト|声の種類
linoleum,リノリウム|床材
disloyalty,不忠
physiologist,生理学者
patter,早口の話しぶり|軽い足音
doodle,落書き
neigh,いななく|馬の鳴き声
rend,引き裂く
satanic,悪魔のような
carousel,回転木馬
kappa,κ・Κ（ギリシャ文字）
godless,神を信じない
ferociously,獰猛に
myrtle,ギンバイカ|植物
guiltily,罪の意識を持って
cordiality,心からの親しみ
footstep,足音
detonate,爆発させる
dully,鈍く
ascendant,優勢な
amphitheatre,円形劇場
methamphetamine,メタンフェタミン|覚醒剤
scrapbook,スクラップブック
zap,やっつける|素早く攻撃する
indefinable,定義できない
harpoon,銛
blogger,ブロガー
absenteeism,欠勤
ting,チンという音
smock,作業用上着
flashback,回想|フラッシュバック
laureate,受賞者
tactfully,如才なく
enteral,経腸の
loco,気が狂った|俗語
overture,序曲
sacrilege,冒涜
matriarch,女家長
disavow,否認する
phallic,男根の
instigator,扇動者
premeditate,前もって計画する
unsophisticated,単純な|世間知らずの
greyhound,グレイハウンド犬
cheesecake,チーズケーキ
abhorrent,忌まわしい
harmoniously,調和して
assessor,査定者
coming,到来
retroactive,遡及的な
philological,言語学の
frightfully,恐ろしく
mammography,マンモグラフィー|乳房X線検査
expletive,罵り言葉
droll,おかしな
cytometry,細胞計測
jaguar,ジャガー
