paperclip,ペーパークリップ
posset,温めた牛乳飲料（古語）
ewer,水差し（古語）
sunfish,マンボウ
crosslink,架橋
toneless,無声の
emery,エメリー（研磨材）
knickerbockers,半ズボン
baloney,たわごと（俗語）
misanthrope,人間嫌い（古語）
soupy,どろどろした
spearmint,スペアミント
intrench,塁を築く
shakedown,強要
terrarium,テラリウム
engross,没頭させる
anent,〜について（古語）
tenderhearted,優しい
chemoattractant,化学物質誘引物質
gouache,ガッシュ絵具
maintainable,維持可能な
bateau,ボート（古語）
windup,巻き上げ
gearshift,ギアシフト
sheepfold,羊囲い
viewing,見学
primp,整える
turreted,小塔のある
cotyledon,子葉
frumpy,だらしない服装の
perigee,近地点
crawly,這うような
clownish,道化じみた
tractate,論文（古語）
quicklime,生石灰
resoundingly,鳴り響くほど
lunette,半月形の窓（古語）
crepuscular,薄明かりの
pegmatite,ペグマタイト（岩石）
phagocyte,食細胞
invitee,招待客
biotinylated,ビオチン化された
slugger,強打者
ventriloquism,腹話術
psychokinesis,念力
scraggy,やせこけた
stowage,積荷
jeez,ちぇっ（俗語）
aphasic,失語症の
healthiness,健康さ
svelte,ほっそりした
foresail,前帆
stealer,盗む人
suspensory,支持する
terrifically,非常に
hydrotherapy,水治療
jive,しゃれ言葉（俗語）
poser,かっこつけの人（俗語）
tangency,接線
astro,天体の（astronomy/astronautの略）
bedpan,尿瓶
forgivable,許せる
pomade,ポマード
gerrymander,選挙区を不正操作する
blackthorn,クロスモモ
handbrake,手ブレーキ
laryngoscope,喉頭鏡
burnish,磨く
screed,長文（古語）
undersurface,下表面
vituperation,罵倒
desensitize,鈍感にする
churl,無作法な人（古語）
laver,海藻（古語）
blazon,掲示する
frigidity,冷淡
bract,苞葉
declaim,演説する（古風）
telecast,テレビ放送
crossbones,交差骨
inhumanly,非人間的に
aslant,斜めに
snowdrop,スノードロップ（花）
outclass,格上である
suspender,サスペンダー
bedbug,南京虫
haggis,ハギス（料理）
cartload,一台分の荷物
mallow,アオイ属植物
landholder,地主
merlot,メルロー（ワイン）
slipstream,気流
shearer,刈る人
bogeyman,ばけもの（俗語）
nosedive,急降下
bannister,手すり
mousetrap,ねずみ捕り
novation,契約替え（古語）
profitless,無益な
roadbed,路盤
gesticulation,身振り
levelheaded,冷静な
rummy,アルコール飲み（俗語）
misanthropic,人間嫌い（古語）
cytometric,細胞測定の
horseplay,ふざけ合い
translocate,移動させる
mounting,増加
toff,上流階級の人（俗語）
elute,溶出する
castellated,城郭風の
gambol,跳ね回る
anaphase,後期（細胞分裂）
gadfly,いやな人
abut,接する
shitload,大量（俗語）
xylophone,木琴
incommunicado,連絡遮断状態
churchwarden,教会の役員
conformer,適合する人
prevision,予知（古語）
pleasurably,楽しく
devilry,悪事（古語）
protege,弟子
rb,ラグビーやサッカーのポジション［running back/right backの略語］
groovy,最高（俗語）
wooly,羊毛の
housewarming,新居祝い
argot,隠語（古語）
notifiable,届け出義務のある
roadstead,停泊地
parolee,仮釈放者
telemarketing,電話営業
chou,シュー菓子
oleaginous,油っぽい
gotcha,わかった（俗語）
vestal,処女（古語）
nonfat,無脂肪の
backpedal,後退する（俗語）
mercuric,水銀の
compleat,完璧な（古語）
lyse,溶解させる
stockroom,在庫室
topmast,トップマスト
letterpress,活版印刷
sneeringly,あざ笑って
matchlock,火縄銃（古語）
bawd,売春宿の女主人（古語）
anesthesiology,麻酔学
washable,洗える
keloid,ケロイド
prefab,プレハブ
proprietress,女主人（古語）
undeceive,誤解を解く（古語）
caustically,辛辣に
wheelbase,ホイールベース
perspicuity,明晰さ（古語）
rhinovirus,ライノウイルス
legalese,法律用語（俗語）
suppuration,膿化（医学用語）
angelica,アンジェリカ（植物）
ziggurat,ジッグラト（古代の塔）
preen,身だしなみを整える
desegregate,人種隔離を廃止する
ambergris,アンバーグリス（香料）
headsman,斬首人（古語）
phospho,リン酸の［phosphorylの略語］
nondairy,乳製品不使用の
taser,テーザー（非致死性武器）
doesn,〜でない［=doesn’t］（口語）
echinoderm,棘皮動物
recreant,臆病な（古語）
conveyer,運搬機
clericalism,聖職者優位主義
terroristic,テロの
chub,コイ科の魚
goodman,男性（古語）
foolery,愚行（古語）
officiant,司式者
privily,こっそり（古語）
playbill,劇場プログラム
repossess,差し押さえる
cresol,クレゾール
offseason,オフシーズン
wheelie,前輪上げ走行（俗語）
barf,吐く（俗語）
incapability,無能
polyandry,一妻多夫制
swash,波しぶき
handloom,手織機
tanner,革なめし職人
consanguineous,血縁の
skinfold,皮膚の折り
slipperiness,滑りやすさ
wastepaper,くず紙
intrust,信託する（古語）
disputant,論争者
epigraphy,碑文学
prolix,冗長な
sophistic,詭弁の（古語）
ophthalmia,眼炎
shipload,船積み
shoplifter,万引き者
velour,ビロード
cacophonous,耳障りな
janissary,イェニチェリ（古語）
emissive,放射性の
paraplegic,下半身麻痺者
preppy,プレッピー風（俗語）
carpetbagger,キャリーバッグ旅行者（古語）
circumscription,制限（古語）
swordplay,剣戯
allurement,誘惑（古語）
unlace,靴紐をほどく
timekeeper,時計係
unserviceable,使用不能の
eureka,やった！（古語）
periarticular,関節周囲の
shorthanded,人手不足の
unsnap,外す
verbosity,冗長
immortalize,不滅にする
photomicrograph,顕微写真
kelvin,ケルビン（温度単位）
buyback,買い戻し
intermixture,混合（古語）
ornithology,鳥類学
maraschino,マラスキーノ（チェリー）
oilman,石油業者
castigation,懲罰（古語）
schwa,シュワ（弱母音）
bimbo,愚か者（俗語）
jetsam,漂流物
phoney,偽物（俗語）
epicurean,快楽主義の（古語）
wasn,〜ではなかった［=wasn’t］（口語）
tiramisu,ティラミス
cooperativity,協同性
fratricidal,同胞殺しの
wale,リブ（編み物・布の）
lemur,キツネザル
syndicalism,組合主義
incontestably,議論の余地なく
lambent,ゆらめく
choler,怒り（古語）
vernier,ヴェルニエ（測定器の名前）
whelm,押し流す（古語）
middlebrow,中程度の教養（俗語）
badlands,不毛地帯
heterozygote,ヘテロ接合体
standpipe,立て管
headphone,ヘッドホン
triploid,三倍体
unlabelled,ラベルのない
archbishopric,大司教区
dudgeon,憤慨（古語）
embower,木陰に置く（古語）
phosphorylate,リン酸化する
rotisserie,回転式ロースター
academical,学問の（古風）
brassiere,ブラジャー
tomcat,オス猫
seismology,地震学
unchaste,貞操を守らない（古語）
interlace,組み合わせる
archenemy,宿敵
stinginess,けち（古語）
inexpedient,不適切な（古語）
nonfood,食用でない
goulash,グーラッシュ（料理）
antedate,先行する（古語）
atonal,無調の
dumfound,呆然とさせる
eyeshadow,アイシャドウ
tenderfoot,初心者（俗語）
caret,キャレット（印）
deselect,選択解除する
trifecta,三連単（競馬）（俗語）
anorak,オタク（俗語）
cubism,キュビスム
proselytize,改宗させる（古語）
duff,だめなもの（俗語）
theca,被殻（生物学）
archon,執政官（古語）
monetarism,通貨主義
retrogressive,逆行的な
spiritualistic,心霊主義の
hazily,かすんで
ischium,坐骨
viscid,ねばねばした
perforate,穴を開ける
prosaically,散文的に
sadomasochism,サドマゾヒズム
obsolescent,廃れつつある
coccus,球菌
raconteur,話し上手（古語）
snippy,ぶっきらぼうな（俗語）
annunciation,受胎告知（古語）
designedly,故意に（古語）
freemasonry,フリーメーソン
sublease,転貸
skimp,けちる（俗語）
brevet,名誉職位（古語）
screener,選考担当者
gastropod,腹足類
shuttlecock,羽根つきの羽根
joinery,木工細工（古語）
partitive,部分を示す
bubblegum,チューインガム（俗語）
exculpate,無罪にする（古語）
fay,妖精（古語）
velveteen,ビロード（古語）
chemopreventive,化学予防の
privet,イボタノキ
foppish,しゃれた（古語）
snobby,気取った（俗語）
toehold,足がかり
brasserie,ブラッスリー（フランス料理店）
nightclothes,寝巻き
undernourishment,栄養不足
habituate,慣れさせる
toddle,よちよち歩く（俗語）
underrate,過小評価する
goalpost,ゴールポスト
rhythmicity,リズム性
spotter,監視者
wholesomeness,健全さ
pinstriped,ピンストライプの
cubist,キュビスムの
outrider,先導者（古語）
parlous,危険な（古語）
biddy,老婆（俗語）
deforest,森林を伐採する
telemarketer,電話営業員
hedonist,快楽主義者
matchup,対戦（俗語）
mim,真似る人（俗語）
appurtenant,付属する（古語）
flintlock,火打ち式銃（古語）
elderflower,セイヨウニワトコの花
loner,孤独な人（俗語）
sugarcoat,美化する（俗語）
sexily,魅力的に
captious,揚げ足取りの（古語）
gunslinger,ガンスリンガー（俗語）
footloose,束縛のない（古語）
taciturnity,無口（古語）
triennial,3年ごとの
fuze,信管（軍事用語）
greenhorn,未熟者（俗語）
furl,巻き上げる
chlorofluorocarbon,クロロフルオロカーボン（有機化合物）
chemoprevention,化学予防
legibly,読みやすく
shoreward,岸に向かって
ritualism,儀式主義
technic,技術（古語）
amoebic,アメーバ性の
coeducational,男女共学の
earsplitting,耳をつんざくような
longhand,手書き
meatpacking,食肉加工業
worrier,心配性の人
intergenic,遺伝子間の
ratiocination,論理的推論（古語）
tippet,肩掛け（古語）
cablegram,電報（古語）
rumpus,騒ぎ（俗語）
plasterer,左官職人
blandness,穏やかさ
housecoat,部屋着
hooky,無断欠席（俗語）
merrymaking,楽しみ（古語）
croupy,クループの
hostler,馬丁（古語）
warplane,軍用機
capitally,死刑に値する（古語）
maidenhood,乙女時代（古語）
spectroscope,分光器
drub,打ち負かす（古語）
natality,出生率（古語）
offscreen,画面外で
quietism,静寂主義（古語）
standup,立ったままの
sharpener,削り器
copyeditor,校正者
clamshell,ハマグリ型（俗語）
superinfection,二次感染
microgram,マイクログラム
eiderdown,アイダーダウン（羽毛）
frolicsome,陽気な（古語）
boxwood,ツゲ
blowup,爆発（俗語）
medalist,メダル受賞者
scrivener,書記（古語）
timothy,ティモシー（牧草）
jocund,陽気な（古語）
pombe,ポンベ（飲料）（古語）
protuberant,突出した
juju,呪術（俗語）
barkeeper,バーテンダー
coital,性交の
decaffeinate,カフェインを抜く
spokeswoman,女性スポークスパーソン
integrase,インテグラーゼ（酵素）
veracious,正直な（古語）
bibliographer,書誌学者
ionize,イオン化する
foeman,敵（古語）
spender,浪費家
hod,モルタル運搬具
leafhopper,ウンカ
sconce,燭台（古語）
silicosis,珪肺症
papist,カトリック信者（古語）
contrariwise,逆に（古語）
rudderless,舵なしの
shh,静かに（俗語）
umbra,影（古語）
pompom,ポンポン（装飾）
agonize,苦悩する
florin,フローリン（金貨）（古語）
clincher,決定的なもの
nastily,意地悪に
needlepoint,ニードルポイント（刺繍）
peregrination,旅行（古語）
sloppiness,だらしなさ
conveyancing,不動産取引手続き
shutout,無失点（スポーツ用語）
turncoat,裏切り者（古語）
amphibole,角閃石（鉱物）
aforethought,計画的な（古語）
parting,別れ
somnambulism,夢遊病（古語）
transonic,音速付近の
viviparous,胎生の
snowboard,スノーボード
mummification,ミイラ化
snaffle,手綱
ploidy,倍数性（生物学）
disbar,弁護士資格を剥奪する
heathenish,異教徒風の（古語）
valedictory,告別の（古語）
homeobox,ホメオボックス（遺伝子）
lapdog,膝の上で飼う犬
chutzpah,厚かましさ（俗語）
drizzly,霧雨の
magnifier,拡大鏡
braggadocio,自慢話（古語）
lapidary,宝石細工の（古語）
nimbleness,素早さ
revetment,護岸
contortion,ねじれ
dishwater,洗い物の水
chenille,シェニール（糸・布）
doorpost,戸口の柱
psalmody,詩篇歌唱（古語）
adventurism,冒険主義
eukaryote,真核生物
excrescence,余分な突起（古語）
ick,うぇー（俗語）
monomania,偏執（古語）
tokenism,形だけの行為
teletype,テレタイプ（機器）
saltpeter,硝酸カリウム（古語）
giddily,軽率に
meretricious,見せかけだけの（古語）
payphone,公衆電話
resoluteness,決意（古語）
dishcloth,台布巾
propitiatory,なだめるための（古語）
spreadable,塗れる（食品）
sheathe,鞘に納める
arboretum,樹木園
recrudescence,再発（古語）
sitar,シタール（楽器）
grouch,不平屋（俗語）
gah,ああ（俗語）
internode,節間（植物）
joyfulness,喜び
fustian,大げさな言葉（古語）
dilly,すごいもの（俗語）
inveigh,激しく非難する（古語）
stein,ビアマグ
unprompted,自発的な
mitogenic,細胞分裂促進の
dizygotic,二卵性の
prorate,按分する（古語）
reefer,マリファナの葉（俗語）
diatomite,珪藻土
exploiter,搾取者
bellhop,ホテルのベルボーイ
infrequency,まれ（古語）
regnal,在位の（古語）
limerick,リメリック（詩）
commenter,コメントする人
blowtorch,溶接バーナー
exordium,序論（古語）
orthodontist,矯正歯科医
pillion,二人乗り用後部座席
sparseness,まばらさ
sashay,歩き回る（俗語）
stovepipe,煙突
doff,脱ぐ（古語）
dinky,小さい（俗語）
doubter,疑う人
flan,フラン（菓子）
impost,詐欺師（古語）
ahh,ああ（俗語）
impeachable,弾劾に値する（古語）
spitfire,激しい性格の人（俗語）
wiggly,くねくねした
causeless,理由のない（古語）
fountainhead,源泉（古語）
groat,グロート銀貨（古語）
epicure,美食家（古語）
hardtack,乾パン（古語）
begrime,汚す（古語）
caftan,カフタン（衣服）
entomological,昆虫学の
saintliness,聖人のような性質
hymnody,讃美歌作法（古語）
unschooled,無教育の
polygamist,重婚者
intertribal,部族間の
romanticist,ロマン主義者（古語）
outfitter,装備品供給者
galena,方鉛鉱（鉱物）
halfback,ハーフバック（スポーツ）
ulster,オースター（コート）
castellan,城代（古語）
shoehorn,靴ベラ
roil,かき乱す
duopoly,二社独占（経済）
drat,ちっ（古語）（俗語）
nubile,結婚適齢の（古語）
prudery,慎み深さ（古語）
shea,シア（木・油）
overindulge,やりすぎる
forebear,先祖（古語）
homogenate,均質化物
curmudgeon,気難しい人（古語）
suspiciousness,疑い深さ
vituperative,非難の（古語）
petrel,ハトドリ（鳥）
covey,小群（鳥など）（古語）
creditably,立派に（古語）
unclench,開く（古語）
jujube,ナツメ
turnabout,方向転換（古語）
masticate,噛む（古語）
summons,召喚状（古語）
opprobrious,侮辱的な（古語）
incomprehensibly,理解できないほど
cursorily,いいかげんに
riderless,騎乗者のいない
peeve,不満（俗語）
cote,小屋（古語）
kirtle,チュニック（古語）
nonsectarian,宗派に属さない
prolifically,多産に（古語）
crotchety,気難しい（俗語）
vail,下げる（古語）
extenuation,軽減（古語）
imbroglio,混乱（古語）
parapsychology,超心理学
mecha,機械の［mechanicalの略語］
burgle,泥棒する（俗語）
tomfoolery,ふざけ（古語）
pyrrolidone,ピロリドン（化学）
moralize,道徳的に説く（古語）
bisect,二等分する（古語）
purdah,プルダ（女性隔離制度）
laughably,笑うほどに
bloomer,ブルマー（衣服）
primetime,プライムタイム（テレビ）
pessary,膣内用具（医療）
plateful,皿いっぱいの
wayfaring,旅する（古語）
brainwash,洗脳する
cus,おい（俗語）|ちっ（俗語）
mouthy,口うるさい（俗語）
groundskeeper,管理人
pushup,腕立て伏せ
perambulator,乳母車
capably,有能に
cheroot,チェルート（葉巻）
majordomo,家令（古語）
untidiness,乱雑さ
troglodyte,洞穴人（古語）
goatherd,山羊飼い
ilex,モチノキ属
assemblyman,議員
cowbell,カウベル（楽器）
brushy,茂った
hector,威張る（古語）
donjon,天守（古語）
rinderpest,牛疫
pustule,膿疱
cottony,綿のような
autoradiography,オートラジオグラフィー（技術）
hammerhead,ハンマーヘッド（サメ）
congruous,一致した（古語）
inharmonious,不調和の
molester,迷惑行為者
greave,すね当て（古語）
tyke,小僧（古語）（俗語）
atavism,隔世遺伝（古語）
fatalist,運命論者（古語）
shebang,施設（俗語）
hotheaded,短気な
geld,去勢する（古語）
passably,まずまずに（古語）
niggle,小言を言う（俗語）
corm,球茎
impenitent,悔い改めない（古語）
trochaic,長短格（古語）
gnash,歯ぎしりする（古語）
engram,記憶痕
corpuscle,細胞（古語）
barracuda,バラクーダ（魚）
woebegone,悲しげな（古語）
anabolism,同化作用（生物学）
hauberk,鎖帷子（古語）
irremediably,回復できずに（古語）
broody,孵卵する（古語）
overexpose,過剰露光する
snowbank,雪堆
agronomist,農学者
procurable,入手可能な
idolater,偶像崇拝者（古語）
scrofula,頸リンパ腺結核（医療）
unshackle,鎖を解く（古語）
athletically,運動能力に優れて
bosh,たわごと（古語）（俗語）
corse,死体（古語）
escapement,エスカペメント機構（時計）
stripy,縞模様の
hustings,選挙運動（古語）
straggler,遅れてくる人（古語）
manipulable,操作可能な
outerwear,上着類
veritably,まさに（古語）
doyen,年長者（古語）
hyperthermic,高体温の（医療）
bisque,ビスク（陶器・スープ）
sharecropper,小作人
athirst,渇望して（古語）
backstabbing,陰口を叩く
dawg,友達（俗語）
bookend,ブックエンド
unpopulated,無人の
unlinked,リンクされていない
ashlar,切石（建築）
hemostat,止血鉗子（医療）
collegium,学会（古語）
livelong,生涯の（古語）
machinegun,機関銃
crabapple,ヒメリンゴ
coaxingly,説得して
pimply,ニキビだらけの
panelist,パネリスト
cocker,甘やかす人
congeries,寄せ集め（古語）
rumba,ルンバ（踊り）
motorcyclist,オートバイ乗り
paediatrics,小児科学（医療）
underclothing,下着類
wastrel,浪費者（古語）
feeler,触手（古語）
metazoan,後生動物
homeliness,質素さ（古語）
recessionary,景気後退の
wheelwright,車大工（古語）
mortician,葬儀屋
backless,背もたれのない
giggly,くすぐったがる
wording,言い回し
demurrer,異議申し立て（古語）
amuck,狂乱状態で（古語）
knitwear,編み物衣類
gabbro,閃緑岩（岩石）
kohlrabi,コールラビ（野菜）
nonattainment,達成不能
salable,販売可能な
