peripatetic,歩き回る|巡回の
ruble,ルーブル|通貨（ロシア）
machismo,男らしさの誇示
nonproliferation,核拡散防止
magnetometer,磁力計
brougham,ブルーム型馬車
hybridisation,交配|混成
pharma,製薬の［pharmaceuticalの略語］
viand,食物|ごちそう
outfielder,外野手
fastener,留め具
arsonist,放火犯
loincloth,ふんどし|腰布
flog,むち打つ|売りつける（俗）
unprejudiced,偏見のない
fulsome,過度な|不快なほどの
laudatory,賞賛の
mantis,カマキリ
suet,牛脂
gargle,うがいをする
amalgamate,合併する|融合する
ricochet,跳ね返る|跳弾
metronome,メトロノーム
goddam,ちくしょう（俗）
tuberous,塊茎のある|イモ状の
snobbish,俗物的な|気取った
testy,短気な|怒りっぽい
flotsam,漂流物|がらくた
foreshorten,短縮して描く（遠近法）
skinhead,スキンヘッド（反社会的集団の一部）
boob,ばか者|胸（俗）
amaranth,アマランサス（植物）|不死の花
coolie,苦力（差別的表現）
scrip,仮証券|引換券
holdout,妥協しない人|粘り強い交渉者
malformed,奇形の|形の崩れた
stringency,厳格さ|逼迫
unselfishness,無私|利他心
chicory,チコリ（植物）
cannery,缶詰工場
asphyxia,窒息
lugubrious,悲しげな|陰気な
unbeatable,無敵の
cockatoo,オウム（冠羽のある）
hundredfold,100倍の
tasting,試食|味見
turtleneck,タートルネック（襟）
miff,むっとする|怒らせる
terrier,テリア犬
electromagnet,電磁石
nightshirt,寝巻き|ナイトシャツ
willowy,しなやかな|ほっそりした
prospector,探鉱者
illimitable,無限の
excavator,掘削機|発掘者
geezer,じいさん（俗）|変人（英）
checkerboard,チェッカーボード模様
chintz,チンツ（光沢ある花柄布）
inedible,食べられない
gander,ガチョウの雄|ちらりと見ること（俗）
pretzel,プレッツェル（ねじれパン）
logician,論理学者
dipper,ひしゃく|水鳥の一種
hula,フラダンス
iniquitous,不正な|非道な
boldface,太字
libation,酒の奉納|献酒
touristy,観光客向けの|俗っぽい
hussy,尻軽女（俗語）
coarsen,粗くする|下品にする
loiter,ぶらつく|ぐずぐずする
glutaraldehyde,グルタルアルデヒド（消毒液）
syrupy,シロップのような|甘ったるい
crustacean,甲殻類
orientate,方向づける（orient の派生）
detestation,嫌悪
circumnavigate,世界一周する
interlocutory,対話の|仮の（法）
transubstantiation,実体変化（キリスト教概念）
viewfinder,ファインダー
diarist,日記作家
trivalent,三価の（化学）
untutored,無学の|教育を受けていない
wrangler,口論屋|（米）牛飼い
moralism,道徳主義
stupefaction,唖然|ぼう然
seascape,海の風景画
dreamland,夢の国|夢のような場所
layoff,解雇|一時帰休
rentier,利子生活者|不労所得者
clipper,快速帆船|クリッパー船
nightie,ネグリジェ|女性用寝巻き
pedant,学者ぶる人|細かいことにうるさい人
textually,文面上で|文章的に
unreserved,遠慮のない|率直な
debater,討論者
condiment,調味料
disciplinarian,規律に厳しい人
washbasin,洗面器|洗面台
taskmaster,厳しい監督者
hospitably,親切に|歓待して
rootless,根なしの|定住しない
obtrude,押しつける|出しゃばる
cantankerous,怒りっぽい|けんか腰の
quire,紙の束（通常24枚）
sultanate,スルタンの支配領域|スルタン国
perplex,当惑させる
unalloyed,混じりけのない|純粋な
presbytery,長老会|牧師館
lighter,はしけ（貨物船）|ライター
metamorphism,変成作用（地質学）
mongoose,マングース（動物）
inconstant,移り気な|変わりやすい
truckload,トラック1台分
aftercare,退院後のケア|アフターケア
propertied,資産を持つ
quaver,震える声で話す（または歌う）
xenon,キセノン（化学元素）
dresser,衣装ダンス|身支度する人
brawn,筋力|腕力
sylvan,森の|森林に住む
munch,むしゃむしゃ食べる
thievery,盗み|窃盗行為
sutra,経典（仏教の）
swanky,気取った|豪華な
msec,ミリ秒（millisecond）
inheritor,相続人
ungracious,無作法な|不親切な
demonstrator,デモ参加者|実演者
exemplification,例証|例示
piggyback,おんぶ|背負って
longish,やや長い
quadrille,カドリール（舞踏）
tepee,ティーピー（円錐形のテント）
patroness,女性の後援者
healthily,健康的に
lob,ゆっくり投げる|ロブ（テニス）
hyphenate,ハイフンでつなぐ
infield,内野（野球）
rightwing,右翼の|保守的な
queenly,女王のような|気品のある
forlornly,みじめに|寂しそうに
crossroad,交差点|岐路
crewman,乗組員
applesauce,りんごソース|たわごと（俗語）
ecstatically,有頂天で|恍惚として
fabulously,とてつもなく|信じられないほど
heartstrings,心の琴線|感情
jinx,縁起の悪いもの|不運をもたらす人
prettiness,かわいらしさ
cytoskeletal,細胞骨格の
umpteenth,何度目かわからないほどの
propitiation,なだめ|和解
uncork,栓を抜く
piratical,海賊のような
proctor,試験監督官
attractively,魅力的に
muggy,蒸し暑い
penumbra,半影|周辺部分
stretchable,伸縮性のある
foundling,捨て子
potentiate,力を高める
seethe,煮え立つ|激しく怒る
airframe,機体（航空機の）
dispensable,なくてもよい|必須でない
nonentity,取るに足らない人
softener,柔軟剤|和らげるもの
highbrow,知識人ぶった|高尚な人
corruptible,買収されやすい|堕落しやすい
plumber,配管工
freewill,自由意志の
sibilant,シューという音の|摩擦音
spigot,蛇口
pushover,楽勝の相手|騙されやすい人
tangentially,接線的に|かすって
coitus,性交（医学用語）
hairdo,髪型
grammarian,文法学者
ornery,怒りっぽい（米俗）|扱いにくい
conversationalist,話し上手な人
schizoid,統合失調質の|孤立的な（性格）
wrecker,解体業者|破壊者
rosewood,紫檀|高級木材
demagogue,扇動家|感情で民衆を動かす人
compartmentalize,区分する|分けて整理する
catatonic,緊張病の|無反応状態の
practicability,実行可能性|現実的な実行のしやすさ
expensively,高価に|費用がかかって
attractant,誘引剤|動物や虫を引き寄せるもの
stereoscopic,立体的な|奥行きを感じる
unvarnished,飾り気のない|率直な
gusty,突風のある|風が強く吹く
outback,奥地|人里離れた地域（豪州など）
triptych,三連祭壇画|三枚組の芸術作品
unroll,広げる|巻いたものを開く
eardrum,鼓膜|耳の膜
extensible,拡張可能な|伸ばせる
birdie,小鳥|またはゴルフのバーディー
benzoic,安息香酸の|化学物質関連
dimorphic,二形の|2つの形態がある
verve,活気|情熱
newscast,ニュース放送|テレビやラジオの
eta,到着予定時刻［Estimated Time of Arrivalの略語］
searcher,捜索者|探す人
palliation,緩和|痛みなどを和らげること
calculable,計算可能な|予測できる
lode,鉱脈|豊富な源
dormer,屋根窓|屋根から突き出た窓
minx,小悪魔的な女|生意気な女性
voyeurism,覗き趣味|他人の私生活をのぞくこと
flume,水路|人工の流れ道
cecum,盲腸|大腸の一部
violator,違反者|法律や規則を破る人
effervescent,発泡性の|陽気な
senescent,老化した|老齢の
exorcist,悪魔払い師|除霊をする人
poorhouse,救貧院|貧困者の収容施設
microscopically,顕微鏡で|微視的に
twitchy,神経質な|ぴくぴく動く
bejewel,宝石で飾る
tingly,ピリピリする|ゾクゾクする
sarong,サロン|腰巻き（東南アジア）
prix,賞（フランス語起源）
meiotic,減数分裂の（生物学用語）
thinkable,考えうる|想像できる
marjoram,マジョラム|香草
changeless,変わらない|不変の
bop,軽くたたく|またはダンスの一種
landholding,土地所有|所有地
bluebird,ルリツグミ|幸運の象徴とされる鳥
threescore,60（古風）
hatchway,昇降口|出入り口
mocha,モカ|コーヒーまたはチョコ味
frizzy,ちぢれた|（髪などが）縮れた
missense,ミスセンス|遺伝子変異の一種
serif,セリフ|文字の飾り線
puller,引く人|機械などで引っ張る装置
agglutination,凝集|細胞や粒子の結合
puppeteer,操り人形使い
electrodynamics,電気力学
risperidone,リスペリドン|抗精神病薬
dilettante,素人愛好家|通ぶった人
doormat,玄関マット|他人に踏みにじられる人
vitriolic,辛辣な|激しく批判する
slob,だらしない人
racketeer,ゆすり屋|詐欺師
goof,ヘマをする|間抜け
advisability,望ましさ|勧められるかどうか
unexposed,露出していない|知られていない
joust,馬上槍試合|競技する
promo,宣伝|プロモーション
boor,無作法な人|無教養な人
newspaperman,新聞記者
neuroscientist,神経科学者
polyglot,多言語話者
thunderstruck,雷に打たれたような|仰天した
verbiage,冗語|無駄に多い言葉
execrable,忌まわしい|ひどく悪い
insidiously,陰険に|知らぬ間に
pasteurize,殺菌する|低温殺菌する
abolitionism,奴隷廃止論
pathologically,病的に|異常に
prodrug,プロドラッグ|体内で活性化する薬
carnation,カーネーション|花
complementation,補完|遺伝学などでの
gyre,渦|旋回
acrobatics,曲芸|アクロバット
manorial,荘園の|中世の領主制度関連
plenipotentiary,全権大使|全権委任された人
abscissa,横座標
medico,医者|俗語的表現
allusive,ほのめかしの多い
operable,手術可能な|操作できる
prosciutto,プロシュート|生ハム（伊）
wistfulness,物思いにふける気持ち|切なさ
snowdrift,吹きだまり|雪の山
phrenic,横隔神経の|精神の（文脈により）
slapstick,ドタバタ喜劇
windlass,巻き上げ機|クレーンの一部
licit,合法の
gyro,ジャイロ|回転体（またはギリシャ料理）
convulse,痙攣する|激しく揺れる
idiosyncrasy,特異性|個人的な癖や特徴
vitiate,損なう|弱める
pasturage,牧草地|放牧地
repine,不平を言う|嘆く
cornucopia,豊かさの象徴|豊富な供給源
geochemistry,地球化学
unpick,ほどく|解く
crisscross,縦横に交差する
palpitate,動悸がする
assignable,割り当て可能な
meatloaf,ミートローフ|肉料理
penmanship,書道|筆跡
rile,怒らせる
pinkie,小指
affability,親しみやすさ
defrost,解凍する|霜を取る
posy,小さな花束
hereto,これに|これまでに（法的文脈）
cantaloupe,カンタロープ|メロンの一種
anagram,アナグラム|文字の並べ替え
fey,奇妙な|超自然的な
intensifier,強調語
percussive,打楽器の|打撃的な
hallucinogenic,幻覚を引き起こす
apprise,知らせる|通知する
tritium,トリチウム|水素の放射性同位体
incubus,悪夢|圧迫感を与えるもの
brokenhearted,失恋した|悲嘆にくれた
tableware,食器類
cicada,セミ
helluva,とてつもない（俗語）
blackjack,ブラックジャック|カードゲーム
umbrage,憤慨|怒り
mitt,ミット|手袋
bondsman,保証人
washerwoman,洗濯婦
delusive,欺瞞的な|誤解を招く
gnat,ブヨ|小さな虫
poof,ポンと音がする
begone,立ち去れ（古風）
sachem,酋長|北米先住民の首長
preoccupy,心を奪う|没頭させる
splutter,むせながらしゃべる|唾を飛ばす
relegation,降格
deflationary,デフレの|物価下落の
colorblind,色盲の|色覚異常の
motorcar,自動車（古風）
nostrum,民間薬|偽の解決策
sower,種まき人
foodstuff,食料品
puma,ピューマ|アメリカライオン
murk,暗闇|陰気
pugnacious,けんか好きな
adipocyte,脂肪細胞
refreshingly,さわやかに
pettiness,些細さ|狭量
purgative,下剤|浄化するもの
encumber,妨げる|負担をかける
paymaster,給与係
bubonic,腺ペストの
copier,コピー機|写す人
gingham,ギンガム|格子柄の布
contrapuntal,対位法の|音楽の技法
manumission,奴隷解放
haply,たまたま（古風）
thalidomide,サリドマイド|医薬品名
expatiate,詳述する
inflect,語形変化させる
baccalaureate,学士号|卒業式
pita,ピタパン|中が空洞のパン
youthfulness,若々しさ
mercantilism,重商主義
reticule,レティキュール|小型のバッグ（古風）
appellee,被上訴人（法律用語）
discordance,不一致|不協和
undernourished,栄養失調の
plod,とぼとぼ歩く|重い足取りで進む
omnivorous,雑食性の
tarantula,タランチュラ|大型クモ
copra,コプラ|乾燥ココナッツ
necromancy,降霊術
witless,愚かな|無分別な
cesspool,汚水槽|汚れた場所
boxy,箱のような|角ばった
pasteboard,厚紙
deadweight,重荷|無駄な重さ
penetrance,浸透率|遺伝子の発現率
processional,行列の|行進用の
vocalize,発声する
snowshoe,スノーシュー|雪上歩行具
sprayer,噴霧器
intimal,内膜の（医学用語）
octet,八重奏|8つ組
diaphanous,半透明の|薄い
undigested,未消化の
turgid,膨れた|堅苦しい
smokestack,煙突
guacamole,ワカモレ|アボカド料理
gynecology,婦人科医学
diluent,希釈剤
alar,翼状の|翼に関する
retractable,収納可能な|引き込める
chiropractor,カイロプラクター|整体師
chloro,塩素の|クロロ-
pagination,ページ付け|ページ番号の割当て
reincarnate,生まれ変わる
fie,ちっ！（軽蔑や非難の掛け声）
humorless,ユーモアのない|冗談が通じない
ascertainable,確かめられる|判断できる
cloakroom,クローク室|クローク
toner,トナー|印刷用インク
enchantress,魔女|魅力的な女性
flinty,硬い|頑固な
heartrending,胸が痛むような
polymath,博学者
gawk,ぼんやり見る|あっけにとられる
vapid,味気ない|面白みのない
afforestation,植林
loftily,高慢に|尊大に
leukemic,白血病の
cruciform,十字形の
churlish,無作法な|無愛想な
torpid,無気力な|鈍い
expressively,表現豊かに
officiate,公式に務める|司会する
rotavirus,ロタウイルス
oscilloscope,オシロスコープ
sufferance,耐え忍ぶこと|黙認
unconfirmed,未確認の
oddball,変わり者
emu,エミュー（鳥の種類）
abalone,アワビ
windbreaker,ウィンドブレーカー|防風ジャケット
whizz,素早く動く|達人
condor,コンドル（大型鳥）
nonfatal,致命的でない
hodgepodge,寄せ集め|ごちゃまぜ
rocker,揺れるもの|ロッカー
reveler,宴会参加者|陽気な人
linchpin,要石|重要な支え
superscription,宛名|書き込み
ribald,下品な|猥褻な
unenviable,羨ましくない|困難な
prepossess,先入観を持たせる|心を奪う
untranslated,未翻訳の
photosensitive,光に敏感な
icebreaker,砕氷船|打ち解けさせる人
absinthe,アブサン|酒の一種
olanzapine,オランザピン|抗精神病薬
deferment,延期|猶予
compositor,組版工|活字職人
cymbal,シンバル|打楽器
waterworks,水道施設
tenderloin,テンダーロイン|牛のヒレ肉
starlit,星明かりの
breakpoint,分割点|停止点
gossipy,おしゃべり好きな|ゴシップ好きな
consanguinity,血縁関係
ghoulish,不気味な|死者を好む
endogenously,内因的に
pizzeria,ピッツェリア|ピザ屋
libertarianism,自由主義
arroyo,乾いた小川|溝
limber,柔軟な|しなやかな
amidships,船の中央部に
herder,牧畜者|飼育者
expat,駐在員|国外在住者
prophetically,予言的に
comity,礼儀|友好関係
melamine,メラミン|化学物質
foxhole,戦闘用の穴|塹壕
awakening,目覚め|覚醒
electrochemistry,電気化学
understudy,代役俳優
uncharitable,思いやりのない
varicose,静脈瘤の
biped,二足歩行動物
rafter,垂木|屋根の骨組み
bandanna,バンダナ|頭に巻く布
godforsaken,見捨てられた|寂れた
voyeuristic,覗き見趣味の
marksmanship,射撃術
humpback,背中が丸い|ザトウクジラ
depute,代理に任命する
equipoise,均衡|釣り合い
syndication,番組配信|共同経営
luxuriance,豊かさ|豊満さ
multivariable,多変量の
festal,祝祭の|祝賀の
rambunctious,騒々しい|乱暴な
hunker,しゃがむ|身をかがめる
missy,若い女性（親しみを込めて）
fizzle,しぼむ|失敗に終わる
resinous,樹脂のような
purser,船の会計係
rakish,粋な|いかがわしい
pedantry,学究的振る舞い|細かいことにこだわること
ruination,破壊|荒廃
proposer,提案者
aspartic,アスパラギン酸の
demoralization,士気の低下|意気消沈
erotica,官能文学|性的描写のある作品
upswing,上昇|好転
hank,束|糸の束
nosebleed,鼻血
circumvention,回避|抜け道
fermenter,発酵槽
undistinguished,平凡な|目立たない
glomerulus,糸球体|腎臓の構造
caraway,キャラウェイ|香辛料
microsomal,小胞体の|細胞の一部
realty,不動産
sculpt,彫刻する
pasha,パシャ|オスマン帝国の高官
bizarrely,奇妙に
devilishly,非常に|とても
cuirass,胸当て|鎧の一部
trivialize,重要でないように扱う
disburse,支払う|払い出す
backstop,後ろ支え|支援者
overreaction,過剰反応
seasickness,船酔い
mainsail,主帆
straitjacket,拘束衣
hyperlink,ハイパーリンク
geomorphology,地形学
embolus,塞栓|血管を塞ぐもの
foursome,4人組|四重奏
transshipment,積み替え輸送
whiny,愚痴っぽい
postseason,シーズン後の試合
dyestuff,染料
planetarium,プラネタリウム
tadpole,オタマジャクシ
freestyle,自由形|自由形式
mandolin,マンドリン|弦楽器
immunize,予防接種する|免疫をつける
freakin,すごく（俗語）
slanderous,中傷的な|悪口の
castrate,去勢する
bivalve,二枚貝
satrap,総督|古代ペルシャの地方長官
ladybird,てんとう虫（英）
saleswoman,女性販売員
acclimate,慣れる|適応する
theatrics,芝居がかった行動|演劇的
peptidase,ペプチダーゼ|酵素の一種
ketch,ケッチ|2本マストの帆船
sadden,悲しませる
stoplight,信号機
petulance,短気|怒りっぽさ
interrogatory,質問の|尋問の
exhumation,遺体の掘り起こし
depopulate,人口減少させる
incontinent,失禁の|制御できない
godson,名付け子の息子
expunge,抹消する|消し去る
wallop,強打|強く打つ
loquacious,おしゃべりな
comptroller,会計検査官
homeopathy,ホメオパシー|同種療法
junkyard,がらくた置き場
meanly,卑劣に|けちに
molto,非常に（音楽用語）
prude,潔癖症の人
weeklong,1週間の
gingivitis,歯肉炎
liven,活気づける
abed,ベッドにいる（古風）
coextensive,共通範囲の|重なる
pander,迎合する|便乗する
silversmith,銀細工師
oedipal,エディプスの|母親への感情の
finch,フィンチ|小鳥の一種
spacesuit,宇宙服
blotchy,まだらの|斑点のある
diatonic,全音階の|長短音階の
subsonic,音速以下の
shiftless,無気力な|だらしない
epiglottis,喉頭蓋
fiefdom,領地|封土
prefectural,県の|行政区の
draughtsman,製図技師
metalwork,金属細工
capsaicin,カプサイシン|唐辛子の辛味成分
colostomy,結腸造設術
peyote,ペヨーテ|幻覚性のサボテン
hillbilly,田舎者（俗）
irreducibly,還元できずに
contrarian,逆張りの人|反対意見者
treasonable,反逆的な
raceway,競走路|レース場
subpart,部分|区分
amateurish,素人っぽい|未熟な
irretrievable,取り戻せない
folktale,民話
faze,動揺させる
doctrinaire,教条主義者
uptick,上昇
lanyard,ランヤード|首掛けひも
draftsman,製図技師
gaslight,ガス灯|ガス灯をつける
retentive,記憶力の良い|保持力のある
suntan,日焼け
westernmost,最西の
wizardry,魔法|名人技
heartwarming,心温まる
indigestible,消化しにくい
windblown,風に吹かれた
execration,呪い|激しい非難
quadruped,四足動物
lidar,ライダー|光検出と距離測定
igloo,イグルー|雪の家
egret,サギ
handball,ハンドボール
repetitious,繰り返しの多い
archly,いたずらっぽく
lawnmower,芝刈り機
deaden,鈍らせる|和らげる
blustery,強風の吹く
offensively,不快に|攻撃的に
shrift,告解|罪の告白（古風）
collapsible,折りたたみ式の
pertinence,適切さ|関連性
deacetylase,脱アセチル酵素
orang,オラン（マレー語で人）
stepbrother,義理の兄弟
terminator,終端装置|終結者
intima,内膜
minstrelsy,吟遊詩人の芸
riposte,機知に富んだ返答
minaret,ミナレット|イスラム教の塔
loggia,ロッジア|屋根付きのベランダ
pothole,陥没穴|ポットホール
fatuous,愚かな|無知な
luminary,著名人|発光体
noh,能（日本の伝統演劇）
coppice,若木林
extrude,押し出す|押出成形する
earldom,伯爵領
smugness,うぬぼれ|自己満足
undersized,小型の|規格以下の
riverfront,川岸地域
vino,ワイン（俗語）
sublimate,昇華する|高める
borate,ホウ酸塩
duckling,アヒルの子
impalpable,触れられない|理解しにくい
spoliation,略奪|損害
farmhand,農場労働者
burgher,市民|町の有力者
horsehair,馬の毛
premenopausal,閉経前の
totemic,トーテムの|象徴的な
scrappy,けんか腰の|活気ある
anemone,アネモネ|海のイソギンチャク
gynecological,婦人科の
pamper,甘やかす
salivate,よだれを出す
arrondissement,区（フランスの行政区分）
yum,おいしい！（感嘆詞）
armadillo,アルマジロ
volunteerism,ボランティア活動
microbiologist,微生物学者
minuet,メヌエット|舞曲
blotter,吸い取り紙|メモ帳
discrepant,矛盾する|一致しない
octagon,八角形
excreta,排泄物
treasonous,反逆の
bodybuilder,ボディビルダー
solipsism,自己中心主義|唯我論
cahoot,共謀|結託
matronly,年配女性らしい|母性的な
belay,（ロープを）固定する|誤りを認める
ruminant,反芻動物
portcullis,落とし格子
ahem,えへん（咳払いの擬音）
constabulary,警察隊|警察組織
endangerment,危険にさらすこと
kisser,キスする人|口
maltose,マルトース|麦芽糖
lunchroom,食堂
profligacy,浪費|放蕩
acrobat,曲芸師
truncheon,警棒
promptitude,迅速さ|即時性
kindhearted,親切な|優しい
dyer,染色工
boomer,ベビーブーマー|急成長者
centralism,中央集権主義
primitivism,原始主義
hah,はっ！（感嘆・嘲笑）
ornithologist,鳥類学者
versification,韻律法|詩作法
mezzo,メゾ（音楽で中間音域）
overemphasize,過度に強調する
freakish,奇妙な|異常な
anticlockwise,反時計回りの
mouthwash,うがい薬
provident,先見の明のある|用心深い
philosophize,哲学を語る
ethnologist,民族学者
likeminded,志を同じくする
nowise,まったく〜ない（古風）
uninspired,創造性のない|冴えない
stoker,火夫|かまどの番人
ballpoint,ボールペン
burning,燃えている|激しい
sumac,ウルシ属の植物
impersonator,物真似芸人
sandbank,砂州|砂洲
loamy,ローム質の|肥沃な土壌の
catamaran,カタマラン|双胴船
afterword,あとがき
sappy,水っぽい|感傷的な
degas,脱ガスする|ガス抜きする
impressionist,印象派の画家
marchioness,侯爵夫人
decibel,デシベル
anaesthetist,麻酔科医
charitably,慈善的に|親切に
ballplayer,野球選手
strabismus,斜視
discus,円盤|円盤投げ
voltmeter,ボルト計
creationist,創造説支持者
interrelate,相互に関係する
pontifical,法王の|権威的な
uncommitted,未決定の|無関心な
bandy,話し合う|脚を交差させる
niobium,ニオブ（元素）
sportswriter,スポーツ記者
jauntily,元気よく|活発に
lumberjack,木こり
raider,襲撃者|侵入者
disfigure,醜くする|損なう
upstage,舞台の後方|人目を引く
miniskirt,ミニスカート
strapless,肩ひもなしの
ravioli,ラビオリ|詰め物パスタ
chimerical,空想的な|非現実的な
digging,掘ること|掘削
synecdoche,提喩法|部分で全体を表す修辞法
cumulus,積雲
cress,クレソン
vilify,中傷する|悪口を言う
bisexuality,両性愛
raillery,からかい|冗談
briny,塩辛い|海の
blasphemer,冒涜者
meteoroid,流星体
patois,方言|なまり
scrumptious,とてもおいしい
skyrocket,急上昇する
antimatter,反物質
preteen,10歳未満の子供
antinuclear,反核の
disincentive,抑止力|やる気を失わせるもの
encamp,野営する
octavo,オクターボ判（本のサイズ）
standing,地位|評価
womankind,女性たち
mufti,私服|軍服でない服装
straiten,困らせる|狭める
unfeigned,偽りのない|本物の
civilize,文明化する|教化する
acerbic,辛辣な|厳しい
caput,頭|終わり
readymade,既製品
councilor,評議員
aplenty,豊富に|たくさん
catenary,懸垂線
odium,憎悪|嫌悪
ciliate,繊毛のある
ersatz,代用の|模造の
matriculation,入学許可
sevenfold,7倍の
honeybee,ミツバチ
legatee,遺産受取人
parakeet,インコ
bitchy,意地悪な|悪口を言う
stipple,点描する|点を打つ
bungee,バンジー（ジャンプ用のロープ）
truculent,攻撃的な|好戦的な
whoso,誰でも（古風）
cementum,セメント質|歯根膜の一部
dehydrate,脱水する
bumble,どじを踏む|しくじる
coir,ココヤシの繊維
drawstring,ひも|絞り紐
lesbianism,レズビアン
radiolabeled,放射性標識された
biochemist,生化学者
attendee,出席者
milkman,牛乳配達人
tuff,凝灰岩
anyplace,どこでも
sequent,続くもの|連続の
following,次の|以下の
impugn,異議を唱える|非難する
neuropeptide,神経ペプチド
limn,描く|描写する
henna,ヘナ|染料植物
lamella,薄板|薄片
extremal,極端な|極限の
handily,巧みに|楽に
salivation,唾液分泌
whirr,ブーンという音
cuppa,カップ一杯の飲み物（俗語）
egoist,利己主義者
contort,ねじる|ゆがめる
blessedly,幸いにも|ありがたくも
syllogistic,三段論法の
volcanism,火山活動
grater,おろし金
krill,オキアミ
mineralogical,鉱物学の
sarcomere,サルコメア|筋節
trousseau,嫁入り道具
curvaceous,曲線美のある
immodest,不謹慎な|控えめでない
aridity,乾燥|不毛
earplug,耳栓
shortbread,ショートブレッド|バタークッキー
milliliter,ミリリットル
seesaw,シーソー|上下動する
topside,上部|船の上甲板
alternator,発電機
gravimetric,重力測定の
vocative,呼格の
blinder,目隠し|遮蔽
immolation,生け贄|犠牲
nope,いいえ（くだけた表現）
technocracy,技術官僚制
catechol,カテコール|化学物質
frisky,元気な|活発な
fixing,調整|取り決め
parishioner,教区民
lengthways,縦に|長手方向に
expropriate,収用する|没収する
autoantibody,自己抗体
biweekly,隔週の|2週間ごと
trackless,道のない|足跡のない
nihilist,虚無主義者
chortle,喜びの笑い
cyberpunk,サイバーパンク（SFジャンル）
kickoff,開始|キックオフ
tittle,点（字の上の小さな点）
fiscally,財政的に
pinto,斑点のある馬
sump,油溜め|排水溝
electroplate,電気めっきする
indomethacin,インドメタシン（薬品名）
yesteryear,昔|過去
bilge,船底の水|たわごと
compellingly,説得力があって
fam,家族|親しい人々（俗語）
bonanza,大当たり|大成功
churchman,教会関係者
uncompensated,無報酬の
albumen,卵白|アルブミン
given,特定の|所定の
hanky,ハンカチ
muskrat,アメリカビーバー
atomism,原子論
twister,竜巻|ねじるもの
forkful,一フォーク分
jawbone,顎骨|説得する
breathtakingly,息を呑むほどに
moisturizer,保湿剤
stowaway,密航者
epicentre,震央
peppery,ピリッとした|こしょうの効いた
premeditation,計画的な思考|予謀
sett,アナグマの巣穴
gat,拳銃（俗語）
divestiture,売却|剥奪
tantalum,タンタル（元素）
undercarriage,車輪装置|車体下部
fencer,フェンシング選手
nonpayment,未払い
stomachache,腹痛
conservationist,環境保護活動家
zealot,熱狂者|狂信者
fop,洒落男|伊達者
mountebank,ペテン師
endocrinology,内分泌学
dragoon,騎兵|強制的に従わせる
whimsy,気まぐれ|奇抜な考え
syncopate,シンコペーションを使う|リズムをずらす
computerization,コンピューター化
racquet,ラケット
decompensation,代償不全
looter,略奪者
relinquishment,放棄
britches,ズボン（俗語）
foreshore,干潟|潮間帯
incumbency,在職期間
fetter,足かせ|束縛する
butte,孤立丘|小山
perspire,発汗する
salmonella,サルモネラ菌
circlet,小さな冠|輪
atavistic,返祖的な|祖先返りの
lexis,語彙
reprobation,非難|拒絶
gaiter,足カバー
esquire,紳士|エスクワイア（敬称）
stretchy,伸縮性のある
pillbox,薬箱|ピルボックス（帽子）
feedlot,飼育場
