despair,絶望
generous,寛大な
repeatedly,繰り返し
diagnostic,診断の
bold,大胆な
excessive,過度の
tourism,観光
fatigue,疲労
rifle,ライフル
absorption,吸収
scholarship,奨学金
correctly,正しく
entertain,楽しませる
injection,注射
photograph,写真
cruel,残酷な
terminal,末期の
imply,ほのめかす
cord,ひも
estimation,見積もり
candle,ろうそく
sofa,ソファ
optical,視覚の
ambition,野望
accessible,アクセス可能な
purely,純粋に
dull,退屈な
complain,不平を言う
competence,能力
deficit,赤字
exclusive,排他的な
illegal,違法な
salvation,救済
robe,ローブ
semi,半分の
loyalty,忠誠
whilst,〜する間に
translate,翻訳する
peculiar,独特の
solely,単独で
replacement,交換
dense,密集した
validity,有効性
similarly,同様に
bush,茂み
hydrogen,水素
workshop,工房
pollution,汚染
submit,提出する
comply,従う
realised,気づいた
uncertain,不確かな
clue,手がかり
cough,咳
funeral,葬式
artistic,芸術的な
inevitable,避けられない
bunch,束
donor,提供者
intermediate,中間の
signature,署名
feminist,フェミニスト
isolation,孤立
rival,ライバル
static,静的な
tolerance,寛容
purse,財布
clarify,明らかにする
tract,区域
anybody,誰でも
honey,はちみつ
fierce,激しい
chocolate,チョコレート
furniture,家具
scar,傷跡
swallow,飲み込む
revelation,啓示
projection,予測
peaceful,平和な
subjective,主観的な
bay,湾
verbal,言葉の
humble,謙虚な
utilize,利用する
optimization,最適化
flour,小麦粉
studio,スタジオ
disgust,嫌悪
pussy,猫|女性器の俗称
width,幅
pet,ペット
manual,手動の
penetrate,貫通する
dirt,汚れ
drill,ドリル
designer,デザイナー
enthusiasm,熱意
upstairs,上階
vulnerability,脆弱性
likelihood,可能性
arrange,手配する
posterior,後部の
safely,安全に
campus,キャンパス
diabetes,糖尿病
marine,海洋の
steer,舵を取る
conservation,保護
insult,侮辱
menu,メニュー
spy,スパイ
assure,保証する
supplement,補足
query,質問
minimal,最小限の
salary,給料
inferior,劣った
mathematics,数学
weird,奇妙な
kindness,親切
meaning,意味
attraction,魅力
prize,賞
basket,かご
quit,やめる
prejudice,偏見
sleeve,袖
harsh,厳しい
glimpse,ちらりと見る
lifestyle,生活様式
alike,似ている
valve,弁
indirect,間接的な
literacy,識字能力
corn,とうもろこし
screw,ネジ
displacement,移動
boil,沸騰する
cable,ケーブル
swing,揺れる
bulk,大部分
spark,火花
useless,無駄な
justification,正当化
ecological,生態学の
handling,取り扱い
copyright,著作権
keen,熱心な
ash,灰
dollar,ドル
recipe,レシピ
ideological,イデオロギーの
buyer,買い手
systemic,体系的な
beloved,愛する
fake,偽物
airport,空港
reporter,記者
breed,繁殖する
demonstration,デモ
exclusively,排他的に
hip,腰
admission,入場
fantasy,空想
accommodate,収容する
capitalism,資本主義
blast,爆発
developmental,発達の
forest,森
gang,ギャング
variance,分散
prisoner,囚人
lease,賃貸契約
vain,無駄な
degradation,悪化
inspiration,ひらめき
ugly,醜い
silently,静かに
abandon,放棄する
exam,試験
inspection,検査
inventory,在庫
endless,終わりのない
rail,レール
patience,忍耐
legislative,立法の
reinforce,強化する
lightning,稲妻
gross,総計の
rebel,反逆者
bolt,ボルト
inter,埋葬する
teaspoon,小さじ
alien,宇宙人|外国の
concert,コンサート
immigration,移民
circular,円形の
incidence,発生率
strictly,厳しく
loudly,大声で
singular,単数の|特異な
sovereign,主権者
reside,居住する
surge,急増
hallway,廊下
virtually,実質的に
influential,影響力のある
lonely,孤独な
aggressive,攻撃的な
trajectory,軌道
considerably,かなり
forecast,予報
nucleus,核
killer,殺人者
spit,つばを吐く
frustration,欲求不満
anterior,前部の
horn,角
ban,禁止する
dwell,住む
void,空虚
collar,襟
adjacent,隣接した
portfolio,ポートフォリオ
spray,噴霧
gratitude,感謝
tragedy,悲劇
accumulation,蓄積
capitalist,資本家
relevance,関連性
fry,揚げる
diffusion,拡散
inhibit,抑制する
steep,急な
rejection,拒否
workplace,職場
inspire,奮起させる
wholly,完全に
medieval,中世の
legacy,遺産
damp,湿った
hazard,危険
beard,あごひげ
breeze,そよ風
glucose,ブドウ糖
triumph,勝利
interference,干渉
swim,泳ぐ
creativity,創造性
gravity,重力
diamond,ダイヤモンド
desirable,望ましい
founder,創設者
blush,赤面する
onset,始まり
innovative,革新的な
circulation,循環
railway,鉄道
correspondence,通信
jail,刑務所
broadcast,放送する
olive,オリーブ
sauce,ソース
prompt,迅速な
flexibility,柔軟性
dread,恐怖
squeeze,絞る
subordinate,部下
evidently,明らかに
mud,泥
modify,修正する
gonna,〜するつもり（口語）
reliability,信頼性
electrode,電極
disposition,性質
dim,薄暗い
goodness,善良さ
oven,オーブン
recognised,認められた［recogniseの過去分詞］〈イギリス英語〉
cardiac,心臓の
tide,潮
cabinet,内閣|戸棚
festival,祭り
deliberately,故意に
harmony,調和
lodge,宿泊する
pillow,枕
ha,へえ（感嘆）
continent,大陸
satellite,衛星
altar,祭壇
theological,神学の
illusion,錯覚
obscure,不明瞭な
theater,劇場
backward,後ろ向きの
disclose,公開する
expectation,期待
kidney,腎臓
widow,未亡人
mandate,命令
cop,警官
bishop,司教
disclosure,開示
inflammatory,炎症の
borrow,借りる
respiratory,呼吸の
publicly,公に
bundle,束
hollow,空洞の
citizenship,市民権
fee,料金
wheat,小麦
intervene,介入する
invention,発明
exclusion,排除
distinctive,特徴的な
decay,腐敗
dish,皿
monk,修道士
shrink,縮む
caution,注意
mill,製粉所
morality,道徳
lion,ライオン
dual,二重の
horrible,恐ろしい
detective,探偵
declaration,宣言
knight,騎士
exile,追放
worldwide,世界的に
entertainment,娯楽
recipient,受取人
sovereignty,主権
wive,妻にする
duck,アヒル
sensory,感覚の
normative,規範の
comparable,比較できる
hunger,飢え
attribute,属性
frown,しかめ面
charity,慈善
importantly,重要に
socially,社会的に
realization,実現［=realisation］〈アメリカ英語〉
reconstruction,再建
barrel,樽
towel,タオル
acquaintance,知人
shear,切る
lad,少年
shallow,浅い
rotation,回転
neglect,無視する
explosion,爆発
wherever,どこでも
completion,完了
cease,やめる
volunteer,ボランティア
terrorist,テロリスト
researcher,研究者
consistently,一貫して
problematic,問題のある
numerical,数値の
upward,上向き
bit,少し
flourish,繁栄する
pad,詰め物
disappointment,失望
tag,タグ
contradiction,矛盾
robust,頑丈な
absorb,吸収する
knot,結び目
certainty,確実性
certificate,証明書
allocation,割り当て
amendment,修正
mount,取り付ける
mock,あざける
wipe,拭く
gospel,福音
holder,保持者
crush,押しつぶす
coordination,調整
renal,腎臓の
sway,揺れる
stamp,切手
mainstream,主流
corpse,死体
disturbance,妨害
assertion,断言
bind,縛る
capability,能力
intensive,集中的な
clay,粘土
drum,ドラム
meta,高次の
clerk,事務員
unhappy,不幸な
accent,アクセント
hatred,憎しみ
intake,摂取
sharply,鋭く
continuously,連続的に
commerce,商業
jar,瓶
appreciation,感謝
meditation,瞑想
awkward,ぎこちない
impressive,印象的な
compassion,思いやり
esteem,尊敬
witch,魔女
exert,行使する
cliff,崖
ignorance,無知
utterly,完全に
convenient,便利な
historic,歴史的な
binary,二進法の
cottage,小屋
rod,棒
cart,荷車
correction,訂正
consequently,その結果
positively,積極的に
missionary,宣教師
vitamin,ビタミン
spouse,配偶者
den,巣穴
clever,賢い
feast,宴会
occasional,時折の
pill,錠剤
discount,割引
canal,運河
catalyst,触媒
vague,あいまいな
chaos,混沌
rigid,硬直した
execute,実行する
behold,見る
accurately,正確に
revenge,復讐
complement,補完
basically,基本的に
reproduction,再生
pine,松
accordingly,それに応じて
preliminary,予備の
con,欠点
mentor,指導者
bike,自転車
luxury,贅沢
prop,支持するもの
automatic,自動の
surgeon,外科医
continually,絶えず
characterize,特徴づける
reasonably,合理的に
specification,仕様書
envelope,封筒
hop,跳ぶ
legend,伝説
fiscal,財政の
soup,スープ
shaft,軸
onion,玉ねぎ
miserable,惨めな
princess,王女
ankle,足首
persistent,しつこい
porch,玄関ポーチ
surveillance,監視
immense,巨大な
happily,幸せに
placement,配置
gradient,勾配
bacterial,細菌の
thunder,雷
weigh,重さがある
mouse,ネズミ
controversy,論争
hunter,狩人
impairment,障害
delicious,おいしい
monetary,金銭の
foolish,愚かな
biblical,聖書の
bother,困らせる
offence,違反
midnight,真夜中
handful,一握り
mortal,致命的な
exhibition,展示会
tomb,墓
compete,競う
broadly,広く
dominate,支配する
expedition,遠征
prey,獲物
lab,研究室
celebration,祝賀
locate,位置する
confront,直面する
super,すごい
stance,立場
cellular,細胞の
romance,恋愛
voluntary,自発的な
momentum,勢い
skull,頭蓋骨
silly,馬鹿な
wagon,荷馬車
independently,独立して
remark,意見
overhead,頭上の
veil,ベール
differentiation,差別化
traveling,旅行する〈アメリカ英語〉
primitive,原始的な
fatal,致命的な
marble,大理石
assign,割り当てる
definite,明確な
fur,毛皮
testify,証言する
moan,うめき声
participant,参加者
alternate,交互の
covenant,契約
manipulate,操る
flavor,味
cage,檻
fame,名声
toxic,有毒な
retail,小売
likewise,同様に
pulmonary,肺の
admire,称賛する
clinic,診療所
peripheral,周辺の
residual,残りの
reckon,考える
retirement,引退
humor,ユーモア
carpet,カーペット
recruit,採用する
op,操作［operation の略語］
abundance,豊富
fraud,詐欺
contend,争う
cultivate,耕す
tomato,トマト
severity,厳しさ
continuity,連続性
tray,トレイ
highway,高速道路
lobby,ロビー
hostile,敵対的な
elevator,エレベーター
architect,建築家
fond,好意的な
cooperative,協力的な
sunlight,日光
micro,小さい
inference,推論
causal,原因の
secular,世俗的な
fragment,破片
characterization,特徴づけ
commentary,解説
stiff,堅い
gown,ガウン
chemistry,化学
glare,ぎらつき
offense,違反
norm,基準
precision,精度
gallery,ギャラリー
supervision,監督
wit,機知
app,アプリ
dataset,データセット
favourite,お気に入り
habitat,生息地
queer,奇妙な
initiate,始める
ward,病棟
criterion,基準
stain,染み
surrounding,周囲の
escort,護衛
resistant,耐性のある
petition,請願
assurance,保証
countless,数えきれない
mistress,愛人
correspond,一致する
incredible,信じられない
girlfriend,彼女
calcium,カルシウム
supper,夕食
suppress,抑える
accommodation,宿泊施設
clan,一族
serum,血清
ours,私たちのもの
substantially,実質的に
collaborative,協力的な
tablet,錠剤
melt,溶ける
rhetoric,修辞
tolerate,許容する
socialist,社会主義者
inflation,インフレ
tobacco,たばこ
coastal,沿岸の
texture,質感
stranger,見知らぬ人
radius,半径
magical,魔法の
bride,花嫁
separately,別々に
solvent,溶媒
evolutionary,進化の
underground,地下の
shine,輝く
bend,曲がる
contractor,請負業者
nitrogen,窒素
aura,雰囲気
injustice,不正
skip,飛ばす
notable,注目すべき
probable,ありそうな
headache,頭痛
partition,仕切り
apologize,謝る
restoration,修復
openly,公然と
sandwich,サンドイッチ
formerly,以前は
snap,パチンと鳴る
registration,登録
regain,取り戻す
geometry,幾何学
weary,疲れた
ridiculous,ばかげた
glorious,栄光の
th,〜番目
decent,まともな
installation,設置
provider,提供者
abide,従う
scholar,学者
downstairs,階下
inflammation,炎症
vow,誓い
inheritance,相続
vibration,振動
advise,助言する
saving,節約
suspicious,疑わしい
underneath,下に
aloud,声に出して
heap,山積み
accord,合意
resonance,共鳴
sodium,ナトリウム
selective,選択的な
prevalence,有病率
noun,名詞
semantic,意味の
legitimacy,正当性
bat,コウモリ
ashamed,恥じている
consultation,相談
seldom,めったに〜ない
misery,苦しみ
progression,進行
savage,野蛮な
whereby,〜によって
unnecessary,不必要な
lid,蓋
seller,売り手
barn,納屋
stall,屋台
presidential,大統領の
herd,群れ
implant,移植
geographical,地理的な
politically,政治的に
fairy,妖精
intrinsic,本質的な
coalition,連合
marginal,わずかな
urgent,緊急の
saddle,鞍
boom,急増
metabolic,新陳代謝の
decree,布告
metabolism,代謝
succession,連続
bodily,身体の
spear,槍
vocabulary,語彙
notably,特に
boyfriend,彼氏
colony,植民地
announce,発表する
lane,車線
bump,こぶ
dye,染料
outward,外向きの
unemployment,失業
physiological,生理学的な
perfection,完璧
mankind,人類
flap,はためく
bang,ドンという音
courtyard,中庭
exploitation,搾取
comprehend,理解する
basin,流域
consistency,一貫性
disguise,変装
arbitrary,任意の
plague,疫病
creep,忍び寄る
authentic,本物の
resident,居住者
ridge,尾根
orbit,軌道
implicit,暗黙の
realistic,現実的な
secretly,ひそかに
drawer,引き出し
machinery,機械
toilet,トイレ
pinch,つまむ
jet,ジェット
leak,漏れる
gasp,あえぎ声
noon,正午
piano,ピアノ
ladder,はしご
morrow,翌日
fusion,融合
judgement,判断
packet,小包
compensate,補償する
upright,直立した
painting,絵画
unfortunate,不運な
pioneer,開拓者
preservation,保存
molecule,分子
tenant,借家人
mortgage,抵当
blink,まばたき
supervisor,監督者
adaptive,適応的な
cement,セメント
kindly,親切に
stimulation,刺激
lace,レース
inevitably,必然的に
par,標準
triangle,三角形
deliberate,故意の
lipid,脂質
quotation,引用
undoubtedly,間違いなく
rubber,ゴム
league,リーグ
cavity,空洞
withdrawal,撤退
amino,アミノ
corrupt,腐敗した
institute,研究所
hesitate,ためらう
straightforward,率直な
monthly,毎月の
gland,腺
sneak,こっそり動く
presently,間もなく
imperative,必須の
pension,年金
facial,顔の
sadness,悲しみ
maximize,最大化する
severely,厳しく
heir,相続人
discrete,個別の
destiny,運命
magnificent,壮大な
boost,増加
indicator,指標
instructor,指導者
apparatus,装置
rat,ネズミ
puzzle,パズル
diary,日記
oak,オーク（樫の木）
analogy,類推
ally,同盟国
racism,人種差別
confession,告白
endeavor,努力
consist,成る
singer,歌手
visitor,訪問者
frontier,国境
inclusive,包括的な
weekly,週刊の
poetic,詩的な
temptation,誘惑
inadequate,不十分な
baseline,基準線
disagree,反対する
warn,警告する
insulin,インスリン
disrupt,混乱させる
presumably,おそらく
ego,自我
tremendous,非常な
remainder,残り
neighbour,隣人
inability,無能力
steadily,着実に
fetch,取ってくる
pie,パイ
comic,漫画の
shelf,棚
pistol,ピストル
admiration,感嘆
reminder,思い出させるもの
quest,探求
historically,歴史的に
restrict,制限する
seizure,発作
punish,罰する
biology,生物学
autonomous,自律的な
willingness,意欲
approximate,おおよその
roast,ローストする
monument,記念碑
descent,下降
railroad,鉄道
toss,投げる
flux,流動
