sceptic	=skeptic
patency	the openness (lack of obstruction) of a bodily passage or duct|the property of being easy to see and understand
thereunto	それに|そこへ
compatriot	同胞|同国人
reflexivity	the coreferential relation between a reflexive pronoun and its antecedent|(logic and mathematics) a relation such that it holds between an element and itself|a relation such that it holds between an element and itself
reductionism	還元法|還元法
nonsurgical	非外科的
inoffensive	害にならない
erudition	博学
loll	ゆったり横になる|たれる
masonite	a type of fiberboard
sulfonylurea	スルホニル尿素薬(SU薬)|糖尿病内服治療薬で最も多く使用されている薬
imprimatur	許可|認可
peritoneum	腹膜
cycloheximide	シクロヘキシミド|真核生物のタンパク質合成の阻害剤|DNA損傷|催奇性のため|「in vitro(生体外)」でのタンパク質合成阻害研究に使われ|ヒトの治療薬には不適
turpitude	邪悪|卑劣
adduce	引用する|提示する|例証として挙げる
strictness	厳格|厳重
linnean	of or relating to Linnaeus or to the system of taxonomic classification that Linnaeus proposed
etiologic	病因的|病原学的|病因的|病原学的
egalitarianism	平等主義
humanitarianism	人道主義|博愛
aspergillosis	アスペルギルス症|アスペルギルス症|アスペルギルス症
rammer	石槌
niebuhr	ニーブール|ニーブール
wellpoint	a perforated tube driven into the ground to collect water from the surrounding area
keeshond	a spitz-like dog having a shaggy greyish coat and tightly curled tail originating in Holland
tussock	草むら|茂み
segno	(music) a notation written at the beginning or end of a passage that is to be repeated|a notation written at the beginning or end of a passage that is to be repeated
inviolable	犯すことのできない|不可侵の|神聖な
immunoblot	免疫ブロット(免疫測定法の手法)
washy	(飲み物が)水っぽい|薄い|(色が)薄い|弱い|(感情・文体が)弱い|力のない
thymine	チミン(thymine)|デオキシリボ核酸|DNAを構成する塩基の1つ|英発音はサイミン|DNA中にのみ見られ|リボ核酸(RNA)ではほとんどの場合ウラシルに置き換わっている
insufferable	我慢のできない
blinder	目をくらます人(もの)|(馬の)目隠し(= blinkers)|(俗)クリケット|サッカーなどのファインプレー
cabinetmaker	木工家具職人|指物(さしもの)師
tattle	おしゃべりする
rostrum	演壇|演説家
petroglyph	a carving or line drawing on rock (especially one made by prehistoric people)
unction	(聖別の印として)油を塗ること|塗油式|(塗油の儀式に用いる)聖油|和らげる物|(話をするときなどの)うわべだけの感激(熱心)
breadboard	回路部品板(実験用の電子回路の集り)|パン切り板|パンこね板
unstated	not made explicit; "the unexpressed terms of the agreement"; "things left unsaid"; "some kind of unspoken agreement"; "his action is clear but his reason remains unstated"|not made explicit
germicidal	preventing infection by inhibiting the growth or action of microorganisms
schemer	計画者|策士
decontaminate	〜'を'浄化する|〈物・場所〉‘から'有害物を除く|汚染を除く
rationalise	合理化|自己辯護|辯解|弁解|釈明|申し訳|正しいとする|弁ずる|自己弁護|正当付ける|言開く|合理化|合理化|切詰める
anaplastic	of or relating to anaplasia
vaquero	(メキシコ･米国南西部の)家畜商人|カウボーイ
microflora	ミクロフローラ
tardive	遅発性
cistron	遺伝因子|ゲン|シストロン|ジーン|遺伝子|因子
hecate	ヘカテ
bustard	野ガン
waterlogged	(土地が)水浸しの|水のしみ込んだ|(材木が)水をたっぷり吸った|(船が)浸水した
bibliotheca	a collection of books
staunchly	断固として
presbyter	(長老教会の)長老;(監督教会の)司祭;(初代教会の)世話役
auricular	耳の;聴覚の|(心臓の)心耳の
scrawny	やせた|(口)がりがりにやせこけた|骨張った
peppery	(食物が)こしょうの(ような)|こしょうのきいた|短気な|おこりっぽい
vivisection	生体解剖|生体実験(すること)|(比喩的)綿密な検査|吟味|厳しい批評
splodge	汚点
dauntless	びくともしない
eosinophil	Eosinophil granulocyte|好酸球|5種の白血球の一種|肥満細胞から出される物質によって活性化する
scuttlebutt	(ˈskʌtəlbʌt)|うわさ|ゴシップ|飲料水入れ|水飲み場|噴水式水飲み|大樽
frugality	倹約
nymphet	(10代前半の)魅力的な少女
unsurprising	予想できる
loth	=loath
undisciplined	訓練を受けてない;規律を守らない
incriminate	のせいにする|罪を負わせる
signalize	合図|相図|指示|指摘|指ししめす|示す|さし示す|指す
xenotransplantation	異物移植|異種移植
stricture	狭搾|拘束
idempotent	unchanged in value following multiplication by itself; "this matrix is idempotent"|unchanged in value following multiplication by itself
disinvestment	the withdrawal of capital from a country or corporation
disappointingly	がっかり
syndicator	a businessman who forms a syndicate
nephron	ネフロン|尿細管
prejudge	前もって判断する
gielgud	ギールグッド
springy	弾力がある|泉の多い
knowle	についての知識
acrostic	アクロスティック|(数語の語頭などにある語句を折り込んだ遊戯詩･文字遊び)
lamentable	悲しむべき|悲しい
hussy	おてんば娘|いたずら娘|あばずれ女
uncountable	数えられない;無数の(numberless)|不可算名詞(おもに抽象名詞・物質名詞で不定冠詞(a|an)をそけることなく|また複数形にならない)
destitution	貧困|困窮
carbonation	(特に飲料の)炭酸ガス飽和
heliocentric	地動説the heliocentric (Copernican) system(theory) (反)geocentric theory
squalid	むさくるしい|むさ苦しい|劣悪な
cardizem	ジルチアゼム
cytokinesis	細胞質分裂
interrogatory	疑問の
bagatelle	玉突きの一種|つまらないもの|ささいな事|小曲
nilpotent	equal to zero when raised to a certain power
nephrectomy	surgical removal of a kidney
syndic	(法人・大学などの)理事|評議員|地方行政長官|ケンブリッジ大学の特別評議員
imbibe	飲む|吸収する|摂取する|酒を飲む
semicircular	半円の|半円形の
allosteric	アロステリック効果|タンパク質の機能が他の化合物(制御物質|エフェクター)によって調節されること
trow	=believe|think　信じる　思う
preachy	説教じみた
piling	杭|ピロティ|支柱
photoemission	光電子放出
milliner	婦人帽子屋
catty	意地悪な
hypercalcemia	高カルシウム血症
haulier	a haulage contractor
electrospray	電子噴霧|エレクトロスプレイ|電子スプレイ
pommel	柄頭|前輪|柄頭|ぶんなぐる|したたか殴る|打ちのめす
crake	クイナ類の鳥の総称|その鳴き声
thumbprint	母印
pileup	玉突き事故
duopoly	複占 
linnet	ベニヒワ(小型の鳴き鳥)
shoplifter	万引き[する人]
gaiter	ゲートル|側面が伸縮性のくるぶしまでの高さの深靴|甲が布地のオーバーシューズ
laddie	サニーボーイ|坊や|小僧|カブ|ラッド|少年|ラディー|サニー
chimaera	=chimera
ferociously	猛烈に
pistil	雌しべ
ethidium	ethidium bromide(臭化エチジウム)は有機化合物で|紫外線を当てると赤橙色の蛍光を発する
butanol	ブチルアルコール|ブタノール
unbearably	我慢できないほど
reinforcer	強化因子|強化
stretchable	伸ばす(広げる|張る)ことのできる
typecast	俳優に合わせて役を決める|役を割り振る
laryngitis	喉頭(こうとう)炎
extrication	脱出|救出
understudy	代役の俳優|〈役〉‘を'代役としてけいこする|〈別の俳優〉‘の'代役を演ずる
hellion	乱暴者|無法者・乱暴者・わんぱく・いたずらっ子
ballyhoo	誇大宣伝|鳴り物入りで宣伝する
stooge	(喜劇役者の)引き立て役|ぼけ役|相手の言いなりになる人
trabecular	小柱
enterovirus	腸内ウイルス|エンテロウイルス
judgeship	裁判官の職(地位|権限)
sigmoidoscopy	Ｓ字結腸鏡検査
unrighteousness	failure to adhere to moral principles; "forgave us our sins and cleansed us of all unrighteousness"|failure to adhere to moral principles
shrilly	金切り声で|甲高く
thunderhead	入道雲|積乱雲|発達した積雲の上部
sketchpad	=sketchbook1
aerie	(崖や山頂にある)ワシ|タカなどの巣
basilar	of or relating to or located at the base; "the basilar membrane of the cochlea"|of or relating to or located at the base
insecticidal	殺虫剤の|殺虫の
bridgehead	橋頭堡(きょうとうほ)(味方の渡河を援護する陣地)
sainthood	聖人の位
laceration	かき切り(裂き)|傷つけること|苦悩|裂傷|裂け口
hepatoma	肝細胞癌
kingly	王の(royal);王のような;王にふさわしい;威厳のある|王らしく
legionary	(古代ローマ軍の)兵士
slicker	長いゆるやかなレインコート|詐欺師|如才のない都会人
neuroleptic	神経弛緩薬
chela	(エビ・カニ類の)はさみ
pertinence	適切さ|妥当性
christening	命名式|洗礼命名式
underperform	perform less well or with less success than expected; "John consistently underachieves, although he is very able"; "My stocks underperformed last year"|perform less well or with less success than expected|perform too rarely; "Her plays are underperformed, although they are very good"|perform too rarely
basia	バスラ
inflexibility	曲げられないこと|不屈|不変性
akimbo	両手を腰に当て|肘を張って(with one's arms akimbo)
defecate	排便する|澄む|不純物がなくなる|排出する|精製する
revelatory	啓示的な|現す|天啓の|暴露の
jigger	ジグを踊る人・ジガー(カクテル処方の単位;1 1|2オンス);(1 1|2オンス入りの)小コップ|ウイスキーグラス・スナノミ ((ノミ［ダニ］の一種));〔話〕 代物 ((とっさに名称が思い出せない時用いる)).
hieroglyphic	象形文字(の)
cryosurgery	低温(凍結)外科療法(組織の破壊などに極度の低温を用いる療法)
scoter	クロガモ
gigahertz	ギガサイクル|gc
tensely	張り詰める|緊張する
motile	自動性の|運動性の|運動型の
unicameral	(議会が)一院(制)の
feint	見せかけ|陽動作戦|(～する)ふり|フェイント攻撃|フェイント|陽動|牽制
cerebrum	大脳|脳
pruner	トリマー
revitalise	give new life or vigor to
kuru	a progressive disease of the central nervous system marked by increasing lack of coordination and advancing to paralysis and death within a year of the appearance of symptoms; thought to have been transmitted by cannibalistic consumption of diseased brain tissue since the disease virtually disappeared when cannibalism was abandoned|a progressive disease of the central nervous system marked by increasing lack of coordination and advancing to paralysis and death within a year of the appearance of symptoms|thought to have been transmitted by cannibalistic consumption of diseased brain tissue since the disease virtually disappeared when cannibalism was abandoned
cartoonish	漫画っぽい
exportable	suitable for export; "exportable cultural achievements"|suitable for export
goop	べとべとしたもの|へどのでそうな食べ物|ぶしつけ(無神経･鈍感)な人
hasek	ハシェク
chesty	(特に女性が)胸の大きい|胸の底から響きわたるような
clampdown	(突然の)規制取り締まり
decamp	野営を引き払う
vocalize	声を出す|しゃべる|歌う|発音する|母音化する|言う
ghoulish	残忍な
unadorned	簡素な
achillea	any of several plants of the genus Achillea native to Europe and having small white flowers in flat-topped flower heads
arbitrariness	移り気|気まぐれ
paramedical	(看護婦・衛生兵などとして)医療の補助をする
microsurgery	顕微解剖|顕微手術(顕微鏡を見ながら組織や細胞を手術する技術)
plaint	〈C〉〈U〉不平|苦情|〈U〉《古》悲しみ|嘆き
fealty	(fíː(ə)lti)|忠誠|忠義
dendrite	樹状突起
tricuspid	(歯が)三つの先端のある|尖弁の
amphipod	端脚類
whoso	=whoever
vendee	買い主|買受人
sideman	(バンド・オーケストラの)器楽奏者|伴奏器楽奏者
sunstone	サンストーン
investiture	授与|任官|叙任
inderal	the first beta blocker (trade name Inderal) used in treating hypertension and angina pectoris and essential tremor
undeterred	引き止められていない|阻止されていない
balthasar	バルタザル|バルサザール
leftwing	左翼の政党(団体)|(政党・団体内の)左派(急進分子)
borosilicate	a salt of boric and silicic acids
ourself	myself|君主の公式用語･新聞の社説用語
efferent	遠心性の|(反)afferent
invariable	不変の
southey	サウジー
triiodothyronine	リオチロニン
partita	パルティータ(17・18世紀ごろのヨーロッパの器楽組曲)
cloche	(苗・若芽を保護する)つり鐘形(屋根形)のガラスおおい|つり鐘形の婦人帽
cohoe	fatty pinkish flesh of small salmon caught in the Pacific and Great Lakes|small salmon of northern Pacific coasts and the Great Lakes
bikeway	自転車専用道路|サイクリングコース
hypatia	Greek philosopher and astronomer; she invented the astrolabe (370-415)|Greek philosopher and astronomer|she invented the astrolabe (370-415 )
interpose	(会話や話などへ)〈批評・質問など〉‘を'差しはさむ|(二つの部分・物・場所などの間に)〜‘を'置く|挿入する(insert)《+『名』+『between』(『among』)+『名』》|〈異議〉‘を'唱える|〈拒否権〉‘を'発動する|割り込む|邪魔する
quesadilla	a tortilla that is filled with cheese and heated
ardently	熱烈に
bubonic	(医)横痃(おうげん)|もものつけねのリンパ節が炎症を起こして腫れること|黒死病(bubonic plague)
crumbly	砕けやすい
granitic	showing unfeeling resistance to tender feelings; "his flinty gaze"; "the child's misery would move even the most obdurate heart"|showing unfeeling resistance to tender feelings|hard as granite; "a granitic fist"|hard as granite
untried	試みられない|未経験の|未審理の
ruggedness	強靭さ|頑丈さ|凹凸|難さ
bronchus	気管|気管支
midriff	横隔膜
copse	雑木林|低林|矮林|低質林
boring	(人を)退屈させる(ような)
terminological	用語[上]の|専門用語[上]の:用語法の
cycler	自転車に乗る人
asphyxiation	窒息
coppice	雑木林
kneecap	膝蓋骨|膝のお皿
backwardness	亜正常|遅滞
jammies	パジャマ
undiminished	減じていない|衰えない
mazel	運|好運
adsorb	〈ガス・液体など〉'を'吸着する
caput	頭|頭部
headman	首長|酋長|長
unforced	not brought about by coercion or force; "the confession was uncoerced"|not brought about by coercion or force|not resulting from undue effort; not forced; "a voice with a pleasingly unforced quality"; "his playing is facile and unstrained"|not resulting from undue effort|not forced
machiavellian	a follower of Machiavelli's principles|of or relating to Machiavelli or the principles of conduct he recommended; "Machiavellian thinking"|of or relating to Machiavelli or the principles of conduct he recommended
clammy	冷たくべとべとする|じとじとする
misdirection	宛先間違い
cholecystitis	胆嚢炎
slaying	殺人|圧倒すること
peavy	a stout lever with a sharp spike; used for handling logs|a stout lever with a sharp spike|used for handling logs
culm	stem of plants of the Gramineae
phaseolus	herbs of warm regions including most American beans
sidle	横歩きで進む|こそこそ歩く
reification	具体化;具象|具体物
indisputably	明白に
fluoroscopy	examination of body structures using a fluoroscope
percolator	パーコレーター|コーヒー沸かし器
houseplant	室内用鉢植え植物(のように家にじっとしている人)|出不精|おたく族
desiccation	脱水|乾燥|乾燥
acerbic	刺々しい|酸っぱい|苦い|渋い
bitartrate	an acid tartrate; a hydrogen tartrate|an acid tartrate|a hydrogen tartrate
demote	の地位を下げる|(n|demotion)
flogger	a torturer who flogs or scourges (especially an official whose duty is to whip offenders)
deism	自然神教|理神論
survivable	存続可能な
shuttlecock	(バドミントンの)羽根
latterly	頃年|最近|この間|此の間|この節|此の程|此の節
disadvantageous	不利な
fiord	フィヨルド|峡湾
sprit	a light spar that crosses a fore-and-aft sail diagonally
subscale	下位尺度
cohan	コーハン
philological	言語学の
enamour	引き付ける|引付る|魅惑|掴む|引付ける|惹きつける|引きつける|チャーム|捉らえる|惹き付ける
unpalatable	口に合わない|まずい|不快な
someway	どうにかして|なんとかして;どういうわけか
persistency	根気強さ|粘り|執念深さ
biracial	(特に白人と黒人の)二人種の|二民族から成る
hairstylist	理髪師|ヘアドレッサー|スタイリスト
prole	プロレタリアの(= proletarian)
bloodlust	殺意|殺害心
scarp	急傾斜|急坂
dualistic	of or relating to the philosophical doctrine of dualism; "a Manichaean conflict between good and evil"|of or relating to the philosophical doctrine of dualism
pervade	に行きわたる|に充満する|に浸透する|みなぎる|普及する|広がる|行き渡る
raspy	こするような|耳ざわりな|短気の
contextually	in a manner dependent on context
subcutaneously	皮下に
autocrat	独裁者
ovoid	卵形の
endarterectomy	動脈内膜切除
asper	20 aspers equal 1 kurus in Turkey
perestroika	(ロシア語)ペレストロイカ|1980年代後半からソビエト連邦で進められた政治体制の改革運動(改革|の意)
anaphase	細胞分裂後期|末期
aperiodic	not recurring at regular intervals
archduke	大公|(特に)旧オーストリア国皇子
cowtown	a small town in a cattle-raising area of western North America
potemkin	ポチョームキン
clambake	ハマグリ焼き[パーティー](海浜でハマグリなど海の幸を焼いて食べる)
enthuse	(〜に)熱狂する|感激する《+『about』(『over』)+『名』》|〈人〉‘を'熱狂させる|感激させる
farmworker	農場労働者
cytometric	サイトメトリー(細胞数測定の|血球計算の)
bronchiolitis	細気管支炎
emigre	移住者
egotism	自己中心主義|自己主義
dampener	a device that dampens or moistens something; "he used a dampener to moisten the shirts before he ironed them"|a device that dampens or moistens something
pronounciation	発音
motherless	母のない
foghorn	霧笛
monosaccharide	単糖|単糖類
keratitis	角膜炎
svelte	(女性が)すらりとした|すんなりした姿の
brainpower	才智|知能|エスプリ|智恵|才|知力|学習能力|知性|頓知|ウイット
fastness	〈U〉しっかりしていること|固定|堅固|色があせないこと|〈C〉要塞(ようさい)|とりで
asymptote	(数学で)漸近線
longish	やや長い|長めの
yarder	(used only in combinations) the height or length of something in yards; "the golfer hit a 300-yarder to the green"|the height or length of something in yards
stonewash	wash with stones to achieve a worn appearance; "stonewash blue jeans"|wash with stones to achieve a worn appearance
avidly	熱心に
headmistress	a woman headmaster
confectioner	菓子製造(販売)人|菓子屋
loudmouth	大声でしゃべりまくる人|大口を叩く奴|ほら吹き|弁護士|に偉そうな口をきく
eosinophilia	好酸球増加症
interrupter	断続器
achy	うずく|痛みのある
seductively	魅惑的に
nabu	Babylonian god of wisdom and agriculture and patron of scribes and schools
representable	expressible in symbolic form; "uniquely representable in the form..."|expressible in symbolic form
unalienable	=inalienable
diverticulum	憩室
overreact	過剰反応する
psychophysics	精神物理学
heartstrings	心の琴線|深い感情|深い愛情
arum	starch resembling sago that is obtained from cuckoopint root|any plant of the family Araceae; have small flowers massed on a spadix surrounded by a large spathe|any plant of the family Araceae|have small flowers massed on a spadix surrounded by a large spathe
acrid	(においなど)つんとする|辛い|苦い|冷酷な|辛辣な
uninhabitable	住居に適さない|住めない
emetic	催吐剤|吐き気を催させる|催吐性の
nonstructural	非構造的
hovel	小屋|物置|離れ家|あばら家
chari	シャリ川
brassy	真鍮の|真鍮のような|厚かましい
matey	相棒|仲間|気さくな|親しい|人付き合いがよくて
timecard	(また time sheet)タイムカード|就業時間記録カード|列車時刻表
ingeniously	独創的に
imprecision	the quality of lacking precision
snarf	失敬|掻っぱらう|がめる|窃取|掠める|くすねる|掻っ攫う|ガメる|盗みとる|ぱくる
nudibranch	ウミウシ
communitarian	共同体主義の
acclimate	(人･ものを風土･環境などに)慣らす|順応させる
crossbreed	〜'を'[異種]交配させる|雑種にする|交配種|雑種
otorhinolaryngology	耳鼻咽喉科
paternalism	父たること|父親的温情主義|香り|人気|評判
surrealistic	起現実芝義の|シュールレアリズムの|無気味な
measurably	測ることができるほどに
overwinter	冬越|冬越し|越冬
hawkish	タカ派の
upregulated	アップレギュレート|上方制御|上方発現された
legionnaire	《しばしばL-》米国在郷軍人会員|軍団員
granulosa	顆粒
encaustic	(れんが・タイルなどが)ろう画の|ろう焼き付けした
mope	ふさぎ込む|落ち込む|意気消沈する
poulet	食鶏|チキン|鶏|ニワトリ|若鶏|若鳥|鳥肉
rutile	金紅石
hemispherical	of or relating to or being a hemisphere
troller	a fisherman who uses a hook and line
demeanour	身持|行儀|行ない|身性|仕打ち|振る舞い|身持ち|素行|行い|所作
resettle	〈人〉‘を'新しい土地に落ち着かせる|新しい土地に落ち着く
misogyny	女嫌い
articulatory	of or relating to articulation; "articulatory features"; "articulatory phonetics"|of or relating to articulation
fibula	(下腿部の)腓骨(ひこつ)
catedral	カテドラル(寺院)
excruciatingly	耐え難いほどに
unceremoniously	形式張らずに|気楽に
genuineness	真偽|生粋|合法性|正真正銘|信憑性|真|信ぴょう性|真正|信頼性|真実性|確実性|正当性
impotency	非力|不能|非力さ|無力さ|無力
rebind	provide with a new binding; "The tattered old book is valuable and we need to rebind it"|provide with a new binding
monomial	(数式で)一項から成る|単項式
genechip	遺伝子チップ
terrine	テリーヌ
demitasse	食後の小型コーヒーカップ;その1杯分コーヒー
jihadist	聖戦に関与しているイスラム教徒
pedagogue	教師|先生|学者ぶる人|物知り顔をする人
frictionless	lacking all friction; "a perpetual motion machine would have to be frictionless"|lacking all friction
brouhaha	(brúːhɑːhὰː)|世論の沸騰|大騒ぎ
saquinavir	サキナビル
antiferromagnetic	反強磁性
skua	オオトウゾクカモメ(北大西洋産の海鳥)
vagal	of or relating to the vagus nerve
inspiratory	吸気の
minutely	細かく
bellhop	=bellboy
landmass	大陸地
seditious	扇動的な|反乱の
inarticulate	あいまいな|発音の不明瞭な|口がきけない|関節のない
strudel	シュトルーデル(リンゴなどの果物･チーズを薄い生地に巻いて焼いた菓子|語源ドイツ語)
publishable	suitable for publication
proinflammatory	前炎症性
defeatist	敗北主義者
predication	(logic) a declaration of something self-evident; something that can be assumed as the basis for argument|a declaration of something self-evident|something that can be assumed as the basis for argument
hyperventilation	an increased depth and rate of breathing greater than demanded by the body needs; can cause dizziness and tingling of the fingers and toes and chest pain if continued|an increased depth and rate of breathing greater than demanded by the body needs|can cause dizziness and tingling of the fingers and toes and chest pain if continued
labyrinthine	迷路のような
dairying	酪農業
coruscant	閃々たる|輝かしい|赫灼たる|烱烱たる|金ぴか|煌か|烱々たる|きんきら|きららか|さん然たる
erbium	エルビウム(希土類元素;化学記号は『Er』)
scrutinise	吟味|品定|評価|品定め|品さだめ|精察|精査|じろじろ見る|検閲|検視|チェック|監査|監察|閲する|検見|精察|精査|穿鑿
hardhat	建設工事従事者|保安帽|保護用ヘルメット|保守主義者
dripping	ぽたぽた落ちる|したたること
lamppost	街灯の柱
ixc	being nine more than eighty
eruptive	噴出する;突発する;爆発しがちな|噴火する;噴火による
cholecystokinin	コレシストキニン
fullerene	フラーレン
asceticism	禁欲主義|苦行(生活)|修徳(主義)
subjugate	を支配(征服)する|征服する|を押さえる|征伐する
simultaneity	同時に存在する(起こる|作用する)こと|同時性
facultative	任意
adulterous	偽の|姦通の|不義を犯す|不純な|浮気症の
slyly	ずるく|陰険に|ちゃめに
almshouse	《おもに英》救貧院|養老院
haberdashery	《英》〈U〉小間物類;〈C〉小間物販売店|《米》〈U〉紳士用服飾類;〈C〉男子用服飾品販売店
woodsy	森林の|森林を思わせる
scopolamine	スコポラミン|アルカロイド(Alkaloid)の一種で|虹彩括約筋の弛緩による散瞳|心拍数の上昇などを引き起こす
campanula	ホタルブクロ(つり鐘状の花をつける植物)
phloem	師部|師管部(植物の維管束を組織する)
moleskin	モグラの毛皮|モールスキン(昔|衣服・帽子を作ったじょうぶで滑らかな綿布)
deferential	敬意を表する|うやうやしい
stomatal	relating to or of the nature of or having a mouth or mouthlike opening|relating to or constituting plant stomata; "stomatal openings"|relating to or constituting plant stomata
packman	棒手振り|糶り売り|担い商い|糶売り|担商い|振売り|旅商い|行商人|競り売り|担屋
chortle	(うれしそうに･満足げに)声高に笑う|笑い
coterie	仲間|連中|同人|社交仲間|サークル
showstopper	an act so striking or impressive that the show must be delayed until the audience quiets down|something that is strikingly attractive or has great popular appeal; "she has a show-stopper of a smile"; "the brilliant orange flowers against the green foliage were a showstopper"|something that is strikingly attractive or has great popular appeal
capstan	キャプスタン(テープレコーダー等の巻上げ装置)|碇を巻き上げる装置
caudate	尾状核|尾状核|尾状核|尾状核
electroporation	電気穿孔法|電気パルスで細胞膜に微小な穴を空け|DNAを細胞内部に送り込むなどに利用
freemason	フリーメーソン(秘密結社)|その会員
magnanimous	寛大な
ceftriaxone	セフトリアキソン
guttural	(gˈʌṭərəl)|のどの|のどから出る|(音声)喉音(k|g|xなど)
aleve	a nonsteroidal anti-inflammatory drug (trademarks Aleve and Anaprox and Aflaxen) that fights pain and inflammation
calcify	〜'を'石灰質にする|石灰化させる|石灰質になる|石灰化する
electrostatics	静電学
spacesuit	宇宙服
endodontic	of or relating to or involving or practicing endodontics; "an endodontic specialist"|of or relating to or involving or practicing endodontics
gadgeteer	a person who delights in designing or building or using gadgets
uncharacteristic	特質のない
namer	a person who gives a name or names; "the owner is usually the namer of a boat"|a person who gives a name or names
scorcher	焦がすもの(人)|《単数形で》《話》焼けつくように暑い日|《単数形で》《俗》痛烈(しんらつ)なもの
lysed	(生命科学)|細胞が溶解した
accumulative	蓄積する|蓄財する;ためこみ主義の
rhabdomyosarcoma	横紋筋肉腫
breslau	ブロツラフ
heckle	質問攻めにする|妨害する|野次り倒す|詰問する
boondoggle	革の編みひも|手細工品|無用な仕事(をする)
unreality	非現実性
brassiere	ブラジャー
klystron	クライストロン
tubeless	チューブレスタイヤ
hotbox	熱軸箱(機関車などの過熱した軸を受ける箱)|女性の膣
besiege	包囲攻撃する|包囲する|殺到する|悩ませる
ileal	回腸の
hydrometer	液体比重計
haemorrhagic	出血性
benzine	ベンジン(石油から採る揮発油)
corrida	コリーダ|闘牛|角牛
waft	ふわりと運ぶ|浮動する|漂わせる|ひと吹きの風
lymphadenopathy	リンパ節腫脹
monkfish	アンコウ|(=anglerfish)
draughtsman	=draftsman
metaphoric	比喩的な|隠喩的な
hogmanay	New Year's Eve in Scotland
virile	男性的な|男盛りの|雄々しい
pricy	=pricey
washboard	波よけ板|洗濯板|幅木
poignancy	辛辣さ|激しさ痛切さ
shrift	(古)(司祭にする)ざんげ
pachinko	パチンコ
sizzler	非常に暑い日
machinegun	機関銃の|〜‘を'機械掃射する
detestable	憎悪すべき|ひどくいやな|いまわしい
adlib	〈楽譜にないもの〉'を'即興的に歌う(演奏する)|〈台本にないせりふ〉'を'即興的にしゃべる|即興的に歌う(演奏する|しゃべる)|《名詞の前にのみ用いて》即興の|アドリブの|アドリブで|即興で|アドリブ|即興的な演奏(演技|せりふ)
rozelle	ローゼル
swayback	(特に馬の)脊柱湾曲
nonnative	not being or composed of aborigines; "the nonnative population of South Africa"|not being or composed of aborigines|of persons born in another area or country than that lived in; "our large nonnative population"|of persons born in another area or country than that lived in|of plants or animals originating in a part of the world other than where they are growing
parishioner	教区民
hoarseness	嗄|擦れ
meritocracy	実力社会
machismo	(スペイン語)男らしさ|マチスモ
redbone	a speedy red or red-and-tan American hound
sclerotic	(組織・血管などが)硬化した|硬化症の
docker	ドック作業員
parkinsonism	パーキンソニズム|パーキンソニスムス|パーキンソン症|振戦麻痺|パーキンソン症候群|パーキンソン病
costing	原価計算
pyrococcus	ピロコッカス|熱水噴出孔や油田鉱床などに生息する超好熱古細菌|90℃以上に生育温度を持つ|(最高増殖温度は108℃)
ramipril	an ACE inhibitor (trade name Altace) used to treat high blood pressure or in some patients who have had a heart attack
quadric	二次曲面
ellas	ギリシア|ギリシャ|ギリシャ共和国
debonair	陽気な
omnivore	a person who eats all kinds of foods|an animal that feeds on both animal and vegetable substances
