comfy,快適な
quietness,静けさ
unquestionable,疑いない
perpetuation,永続化
cannibalism,人肉食
melodramatic,メロドラマ的な
checkout,精算
skylight,天窓
woodwork,木工
cremation,火葬
domesticity,家庭的性質
sativa,サティバ種
feverishly,熱心に
humanly,人間的に
penultimate,最後から2番目の
microorganism,微生物
intrepid,大胆な
leach,浸出する
gusto,熱意
olden,昔の
inalienable,不可侵の
mascara,マスカラ
proline,プロリン（アミノ酸）
harangue,熱弁
moralist,道徳主義者
slyly,ずる賢く
covertly,密かに
overstate,誇張する
lingerie,ランジェリー
ostensible,表向きの
paramedic,救急救命士
geopolitics,地政学
cur,卑劣なやつ
showy,派手な
gaol,刑務所（英）
fumble,手探りする
fuselage,機体
egalitarianism,平等主義
polypropylene,ポリプロピレン
hydrochloride,塩酸塩
rheumatism,リウマチ
latrine,簡易トイレ
snowstorm,吹雪
sporadically,散発的に
duodenum,十二指腸
baronet,準男爵
clipping,切り抜き
invariable,不変の
informality,非公式
homesick,ホームシックの
nihilism,虚無主義
blower,送風機
townhouse,タウンハウス
telltale,告げ口する人
bough,大枝
fender,泥除け
famish,飢えさせる
despot,専制君主
stationery,文房具
redo,やり直す
craze,流行
celiac,セリアック（病）
slop,汚水
skateboard,スケートボード
chalice,聖杯
disloyal,不忠な
fussy,うるさい
cultic,カルト的な
perjury,偽証
actualize,実現する
inexperience,未経験
minutely,微細に
quantifiable,定量化可能な
kinematics,運動学
electrolysis,電気分解
oscillatory,振動の
unveil,明らかにする
extinguisher,消火器
introspective,内省的な
mitosis,有糸分裂
luminosity,光度
tutelage,保護
postmortem,死後の
unsurprisingly,驚くべきことではなく
trickery,ごまかし
multiplicative,乗法の
geodesic,測地線の
tubule,細管
laudable,称賛に値する
mortuary,遺体安置所
ginseng,朝鮮人参
vigilante,自警団員
wakefulness,覚醒
resale,再販
annulus,環状部
shipbuilding,造船
worrisome,心配な
rosette,バラ型飾り
woolly,ウールの
cello,チェロ
unsecured,無担保の
gill,えら
archangel,大天使
dentistry,歯科学
wily,ずる賢い
riverside,川辺
efface,消す
extraterrestrial,地球外の
stipend,給付金
optimist,楽観主義者
nonviolence,非暴力
disqualify,失格させる
infamy,悪名
ominously,不吉に
vehicular,車両の
excitatory,興奮性の
doze,居眠りする
feign,ふりをする
spinner,紡ぎ手
concierge,コンシェルジュ
repurchase,再購入
vulture,ハゲタカ
dumpster,大型ゴミ箱
harbinger,前兆
vitreous,ガラス状の
ingratitude,恩知らず
pigmentation,色素沈着
debacle,崩壊
tenfold,10倍の
postman,郵便配達人
restate,言い直す
inadequately,不十分に
mutuality,相互関係
abhor,嫌悪する
utero,子宮（内）の
westerly,西の
partridge,ヤマウズラ
schoolhouse,学校の建物
eventuality,不測の事態
metatarsal,中足骨
unchangeable,変えられない
burlesque,風刺劇
baffle,困惑させる
deli,惣菜店
rueful,後悔している
bbl,バレル（容量単位）
sardonic,冷笑的な
maximally,最大限に
clavicle,鎖骨
rotator,回転筋
reverberation,反響
upregulation,（遺伝子等の）発現増加
alacrity,敏速さ
tundra,ツンドラ
rancher,牧場主
luster,光沢
mandarin,標準中国語|マンダリン
recliner,リクライニング椅子
crumb,パンくず
deft,器用な
bogus,偽の
baptismal,洗礼の
juniper,ネズの木
semicircular,半円形の
conjugal,夫婦の
irrationality,不合理
vestige,痕跡
courtesan,高級娼婦
feudalism,封建制度
sable,黒テン|黒色
mortally,致命的に
rhythmically,リズミカルに
scribble,走り書きする
rumination,反芻|熟考
flit,飛び回る
floppy,だらりとした
fishy,怪しい
peddler,行商人
propane,プロパン
glycine,グリシン（アミノ酸）
enliven,活気づける
vandalism,器物損壊
orthography,正書法
setter,セッター（犬の一種）
radiology,放射線医学
sonorous,響き渡る
globular,球状の
meander,曲がりくねる
anthropomorphic,擬人化の
cardiopulmonary,心肺の
sidestep,回避する
comorbidity,併存疾患
skiff,小舟
pinion,羽根|拘束する
insinuation,ほのめかし
trove,収集品|宝の山
dint,力|くぼみ
opportune,好機の
ferrite,フェライト（磁性体）
condyle,顆（関節突起）
proinflammatory,炎症促進の
swindle,詐欺
touchstone,試金石
waterway,水路
monolith,一枚岩
decontamination,除染
unseemly,見苦しい
solstice,至（夏至・冬至）
juggle,曲芸をする
prickle,とげ|チクチクする
nebula,星雲
punctual,時間に正確な
splatter,はね飛ばす
decently,まともに
geek,オタク
adjutant,副官
drudgery,単調でつらい仕事
coloration,色づけ
flowchart,フローチャート
randomization,無作為化
fatherhood,父であること
microbiology,微生物学
quack,インチキ医者
tinker,いじくる
fingernail,指の爪
bashful,恥ずかしがり屋の
courteously,礼儀正しく
inmost,最も内側の
brainstorm,ブレインストーミングする
perpetuity,永続
newsroom,編集室
watercolor,水彩画
opus,作品
topmost,最上部の
directness,率直さ
undertaker,葬儀屋
foundry,鋳物工場
realignment,再編成
plait,三つ編み
cardigan,カーディガン
dike,堤防
emblazon,飾る|描く
collectivism,集産主義
uninvited,招かれていない
reactant,反応物
concoct,でっちあげる|調合する
revolutionize,革命を起こす
stoke,くべる|刺激する
hovel,粗末な小屋
ostentatious,これ見よがしの
rowdy,乱暴な
unceremoniously,ぶしつけに
centrifugation,遠心分離
impute,帰する
spectacularly,見事に
raspy,かすれた
syncope,失神
scour,ごしごし洗う
manger,飼い葉桶
headdress,頭飾り
counterterrorism,対テロ
antitumor,抗腫瘍の
profanity,冒涜
herbicide,除草剤
liqueur,リキュール
slouch,前かがみになる
camper,キャンプする人
pitifully,哀れに
proviso,但し書き
esthetic,審美的な
interrogator,尋問者
castration,去勢
tuxedo,タキシード
comely,魅力的な
musing,物思いにふける
palladium,守護者|パラジウム
reassessment,再評価
plop,ドサッと落ちる
lacy,レースのような
biophysical,生物物理学的
politico,政治家（軽蔑的）
lymphocytic,リンパ球性の
reminiscence,追憶
subterfuge,言い逃れ
classy,上品な
unwieldy,扱いにくい
tinkle,チリンと鳴る
ardently,熱心に
detritus,破片
devalue,価値を下げる
impudence,厚かましさ
dank,じめじめした
bitumen,アスファルト
heedless,不注意な
vulgarity,下品さ
omelet,オムレツ
leukocyte,白血球
lawlessness,無法状態
handover,引き渡し
screwdriver,ドライバー
mossy,苔むした
troublemaker,厄介者
modernize,近代化する
seashore,海辺
counterparty,相手方
copse,雑木林
chimera,幻想
dictatorial,独裁的な
clemency,寛大さ
unassuming,控えめな
snicker,クスクス笑う
puzzlement,困惑
rabid,狂信的な
panacea,万能薬
deferential,敬意を表す
glycolysis,解糖
seaport,港湾
contravene,違反する
healthful,健康によい
militancy,好戦性
impropriety,不作法
reassuringly,安心させるように
desegregation,人種差別撤廃
eczema,湿疹
dramatize,劇化する
ailment,病気
buzzer,ブザー
consultative,助言的な
dynamo,発電機
bloodless,血の出ない|非暴力的な
midterm,中間試験
gravestone,墓石
flirtatious,なまめかしい
tocopherol,トコフェロール
colonialist,植民地主義者
javelin,やり投げ
coven,魔女の集会
affable,愛想の良い
noodle,麺
mallet,木槌
swiftness,素早さ
harlot,売春婦
covering,覆い
bearable,耐えられる
uncouth,無作法な
mockingly,嘲るように
tetanus,破傷風
headman,村長
gosh,うわっ
bubbly,泡立つ|陽気な
posthumously,死後に
unaltered,変わっていない
actuarial,保険数理の
sleepiness,眠気
hubris,過剰な自信
gonadotropin,性腺刺激ホルモン
superintend,監督する
steamy,蒸し暑い|エロい
amicable,友好的な
physiologically,生理的に
nonchalant,平然とした
delimit,境界を定める
magnanimity,寛大さ
heron,サギ（鳥）
pharmacokinetic,薬物動態の
colic,疝痛
inhospitable,もてなしの悪い
presumptive,推定の
unopened,未開封の
kitty,共同資金|子猫
dreamily,うっとりと
limelight,脚光
fag,タバコ（俗語）〈イギリス英語〉
beneficence,慈善
seine,地引網
hew,切り出す
inordinate,過度な
forte,得意分野
daisy,ヒナギク
inducible,誘導可能な
rook,ルーク（チェス）|カラス
promulgate,公布する
pectin,ペクチン
sagacity,賢明さ
delectable,非常に美味しい
fiasco,大失敗
solidification,凝固
hypoxic,低酸素の
assail,激しく攻撃する
despondent,落胆した
barrow,手押し車|古墳
reevaluate,再評価する
anachronistic,時代錯誤の
append,付け加える
dengue,デング熱
scrupulously,良心的に
misrepresent,誤って伝える
stateless,無国籍の
depository,保管所
meld,融合する
notional,概念的な
profitably,利益を上げて
cartography,地図製作学
ammo,弾薬
ferromagnetic,強磁性の
urinate,排尿する
fudge,ごまかす|ファッジ（菓子）
sauna,サウナ
capitulation,降伏
subsidence,沈下
renegotiate,再交渉する
prostatic,前立腺の
inky,インクのような|非常に暗い
reproof,叱責
musculature,筋肉構造
alfalfa,アルファルファ
rapprochement,和解
encrust,覆う
ensconce,身を落ち着ける
dupe,だまされやすい人
deuce,デュース|やっかいなこと（口語）
vane,風見|翼
sentimentality,感傷性
mercifully,慈悲深く|ありがたいことに
uproot,根こそぎにする|追い払う
eponymous,名前の由来となった
codify,成文化する
misogyny,女性嫌悪
instrumentality,手段|媒介
undetermined,未確定の
buttermilk,バターミルク
calyx,がく（植物）
balustrade,欄干
cherub,ケルビム|天使のような子
artistically,芸術的に
cholinergic,コリン作動性の
gran,おばあちゃん［grandmotherの略語］
timescale,時間枠
futuristic,未来的な
cadet,士官候補生
caster,キャスター|回転キャスター（車輪）
ophthalmic,眼の|眼科の
faithless,不誠実な|裏切りの
fluently,流暢に
romanticism,ロマン主義
auctioneer,競売人
crappy,ひどい（俗語）
sallow,黄ばんだ
tipsy,ほろ酔いの
backlog,未処理分
fitful,断続的な
cancerous,がんの
immunocompromised,免疫不全の
praiseworthy,称賛に値する
inaudible,聞こえない
answerable,説明責任がある
cyborg,サイボーグ
innuendo,あてこすり
palisade,柵|防御壁
globulin,グロブリン
divest,剥奪する
auntie,おばちゃん（親しみ表現）
scaly,うろこ状の
leptin,レプチン（ホルモン名）
radiologist,放射線科医
bittersweet,ほろ苦い
leniency,寛大さ
sloth,怠惰|ナマケモノ
battleground,戦場
surrealist,シュルレアリスト
silo,サイロ
masturbation,自慰
meanness,卑しさ|意地悪さ
lusty,精力的な
nth,n番目の|極端な
usury,高利貸し
unsolicited,求められていない
levity,軽薄さ
spousal,配偶者の
rebate,払い戻し
sacrum,仙骨
tiller,耕す人|耕運機|舵棒
housemaid,家政婦
negotiator,交渉人
neuter,中性の|去勢する
amphibious,水陸両用の
franc,フラン（通貨）
trickster,詐欺師
shortcoming,欠点
dampness,湿気
axiomatic,自明の
obstetric,産科の
injector,注射器
escalator,エスカレーター
jurist,法学者|法律家
moisten,湿らせる
intraocular,眼内の
illiteracy,非識字
voiceless,声のない
overshoot,行き過ぎる
legume,マメ科植物
headless,首のない
pitiless,無慈悲な
plebeian,平民の
constructively,建設的に
scion,子孫|後継者
cultivar,栽培品種
bailout,救済金
discoverer,発見者
protrusion,突出
fourfold,4倍の
mead,ミード（蜂蜜酒）
interferometer,干渉計
archery,アーチェリー|弓術
causeway,高架道
bivariate,二変量の
undiscovered,未発見の
consecrate,神聖にする
microbe,微生物
tweed,ツイード（生地）
methinks,わたしには思える（古語）
recap,要約する
dopaminergic,ドーパミン作動性の
slipper,スリッパ
ferrous,鉄の
emboss,浮き彫りにする
neuropathic,神経障害の
windfall,思いがけない収入
expiratory,呼気の
toggle,切り替えスイッチ
laxative,下剤
confirmatory,確認の
liquidate,清算する
squander,浪費する
seamstress,裁縫師
magnificently,壮大に
boardroom,役員会議室
knoll,小さな丘
indigent,貧しい
artfully,巧みに
yore,昔
pornographic,ポルノの
egoism,利己主義
shank,すね|刃の柄
romp,はしゃぐ
oppressor,圧制者
tor,丘
violinist,バイオリニスト
lullaby,子守唄
ism,主義
voucher,引換券
harvester,収穫機
burr,とげ|バリ
fanfare,ファンファーレ|宣伝
seaward,海に向かって
barium,バリウム
loam,ローム土
curvy,曲線的な
cinch,簡単なこと|確実なこと
prosody,韻律学
calico,キャリコ（綿布）
cougar,クーガー（大型ネコ科動物）
divisional,部門の
flagrant,目に余る
ably,巧みに
determiner,限定詞
precariously,不安定に
catechism,問答集
antebellum,戦前の
crackdown,取り締まり
cogent,説得力のある
eschatology,終末論
halogen,ハロゲン元素
subsume,包含する
resuscitate,蘇生させる
evaluator,評価者
insignificance,重要でなさ
foment,助長する
uncritical,批判しない
dia,直径の略
reboot,再起動
functionalist,機能主義者
wheelbarrow,一輪手押し車
climber,登山家
cob,トウモロコシの芯|丸石
candidly,率直に
scapula,肩甲骨
dragonfly,トンボ
frieze,フリーズ（壁帯装飾）
armament,軍備
citric,クエン酸の
inattention,不注意
sortie,出撃
nonwhite,非白人の
aw,ああ（感嘆詞）
reek,悪臭を放つ
sanctum,聖域
bountiful,豊富な
readability,読みやすさ
readout,読み取り値
spinster,独身女性（軽蔑的）
undying,不滅の
jigsaw,ジグソーパズル|ジグソー（工具）
autopilot,自動操縦装置
aspirant,志望者
appraise,評価する
crumple,しわになる|くしゃくしゃになる
unaided,助けなしの
fibroblast,線維芽細胞
acetaminophen,アセトアミノフェン
unceasing,絶え間ない
absolutism,専制政治
antiretroviral,抗レトロウイルス薬
nebulous,あいまいな
fatherly,父親らしい
heartland,中心地
mariner,船乗り
underwriter,引受人|保険引受人
furtively,こそこそと
meaty,肉の多い|内容の豊富な
sorbent,吸着剤
hypertrophic,肥大性の
lat,緯度
serpentine,蛇のような|曲がりくねった
blueberry,ブルーベリー
physiognomy,顔相学|人相
nanometer,ナノメートル
surmount,克服する
foreclose,差し押さえる
iteratively,反復的に
catheterization,カテーテル挿入
cavitation,空洞形成
inundation,氾濫
diametrically,正反対に
homeowner,住宅所有者
enmesh,絡め取る
yardstick,尺度|基準
columnar,柱状の
indefatigable,不屈の
generalist,ジェネラリスト|多方面の人
raiment,衣服
riff,リフ（音楽の繰り返しフレーズ）
porcine,豚のような
salaried,給料を受け取る
aeration,通気
econometric,計量経済学の
cheesy,安っぽい|チーズのような
consignment,委託品
breezy,そよ風の|気軽な
carte,メニュー|リスト
screening,選別|検査
nevus,母斑|ほくろ
remoteness,遠さ|隔絶
dictation,口述|書き取り
typhus,チフス
armrest,肘掛け
rhizome,地下茎
trawl,底引き網|探し回る
misfit,不適合者
environmentalism,環境主義
hippie,ヒッピー
pruritus,かゆみ
squaw,先住民族の女性（差別的表現）
sceptre,王笏
arcane,難解な|秘密の
remand,差し戻す|保釈取消し
relegate,格下げする|追放する
schoolroom,教室
sunlit,日光が当たる
phylum,門（分類単位）
cameraman,カメラマン
imbue,染み込ませる|吹き込む
peroxidation,過酸化
cravat,ネクタイの一種|スカーフ
divan,ソファ|寝台
lustrous,光沢のある
borrowing,借用
agreeably,快く|心地よく
nationhood,国家の地位
shoo,追い払う
suddenness,突然さ
phony,偽物の|詐称者
dangle,ぶら下がる
deflate,しぼむ|価値を下げる
crudely,粗雑に
substratum,基盤|基層
outnumber,数で勝る
snipe,サイプ（鳥）|嫌がらせする
teleology,目的論
interstellar,恒星間の
rectification,訂正|矯正
gurney,担架台車
microarray,マイクロアレイ
ceasefire,停戦
tights,タイツ
captor,捕らえ手
methionine,メチオニン（アミノ酸）
rundown,要約|衰弱した
phospholipid,リン脂質
pollute,汚染する
neonate,新生児
mush,マッシュ|泥状のもの
locust,バッタ
garnet,ガーネット|深紅色の宝石
proffer,差し出す|申し出る
combatant,戦闘員|戦闘の
daft,ばかげた|愚かな
xenophobia,外国人嫌悪
lamentable,嘆かわしい
needlessly,不必要に
demarcate,境界を定める
fryer,フライヤー|揚げ物用鍋
pulsation,脈動
encore,アンコール
incisive,鋭い|明快な
zither,ツィター（弦楽器）
quip,しゃれ|機知に富んだ言葉
connote,暗示する|含意する
mag,雑誌［magazineの略語］
labial,唇の|口唇音の
onshore,陸側の|陸上で
cranky,気難しい|機嫌の悪い
fertilize,肥沃にする|受精させる
sepulchre,墓|墓所
nosy,詮索好きな|おせっかいな
springtime,春の季節
swordsman,剣士
gallantly,勇敢に|堂々と
countryman,同郷の人|農夫
demonstrable,証明できる|明白な
dative,与格の
conjunctivitis,結膜炎
vivacity,活気|元気
mien,態度|風采
deplore,嘆き悲しむ|非難する
rover,放浪者|ローバー（探査車）
breech,臀部|銃の後部
absolution,免罪|赦し
