commence	を開始する|始まる|を始める
pamphlet	パンフレット|小論文|論説|小冊子(時事問題)
sandy	砂(色)の|砂色の|砂のような|砂だらけの
allegiance	忠誠|忠実
badge	バッジ|記章|袖章
rectangular	長方形の
cupboard	食器だな|食器棚|戸棚
recording	レコーディング|収録|録音|記録する|自動記録仕掛の
gastric	胃(の)|胃の
corps	軍団|部隊|兵団
flatter	にへつらう|喜ばせる|おせじを言う|にこびる|おべっかを使う|を得意がらせる|を嬉しがらせる|お世辞を言う
feeble	かよわい|弱々しい
hemorrhage	出血|(資産･頭脳の)流出|多量に出血する
breakthrough	突破口|現状打開|躍進|成功|大発見
believer	信奉者|教徒|信ずる人|信者
susceptibility	感受性|感染しやすいこと|(複数形で)傷つきやすい感情
lifelong	一生の
indignation	憤り|義憤|憤慨|悲憤
slack	景気後退|不注意な|のろい|ゆるく|おそく
indicative	表示する|暗示する|(文法)直説法(の)|表す|指示する
het	heatの過去･過去分詞
factual	事実上の|事実の|実際の|事実に基づく
athletic	運動競技の
excavation	ほら穴|切り通し|発掘|(通例複数)発掘された遺跡
petroleum	石油
unconsciously	思わず|無意識に|知らず知らずに
unpredictable	予想できない|予言できない|突発的
prick	ちくちく痛む|を刺す|に印を付ける|刺し傷|刺すこと
jointly	合同で
bilingual	二つの言語を話す
flavour	風味(をそえる)|芳香
royalty	王室の人々|王族|王の身分|王位|王権|荘厳|著作権使用料|管轄権|採掘権|印税
reluctance	気が向かないこと|いや気|不承不承|不本意
renew	を新しくする|を再び始める|を更新する|を再び満たす
transplantation	Transplantation (外科)|(臓器)移植|移植法|(植物)植え替え|移住|移民
distrust	信用しない|疑惑|疑う|不信
aspiration	熱望|野心|抱負|向上心|大志|志望|呼吸
um	えーと|うーん|ほー|ふむ|いや|へー
imminent	差し迫った|切迫した|今にも起こりそうな
dusty	ほこりだらけの
intrusion	侵入|押しつけること|侵害
hepatic	肝臓の
frankly	率直に
youthful	若い|若々しい|若者の
groundwater	地下水
garrison	守備隊|駐屯兵|駐屯地|駐屯させる
catastrophe	悲劇的結末|大変動|破局|大災害|大失敗
lone	ひとりぼっちの|連れのない|孤独な|寂しい|人里離れた|独身の
asshole	ろくでなし|•尻の穴(卑語)
localization	ローカライゼーション(各国・地域制度に訳す|他)
skeletal	骨格の|骸骨(がいこつ)の|非常にやせ(衰え)た
epoch	時代|新時代を開くできごと|銘記すべきできごと|新しい時代のあけぼの|新紀元
erection	勃起(ぼっき)
digest	(食物を)消化する|要約する|知識を会得する|要約|摘要
traveler	旅行者|旅客|外交員|移動販売員
constituent	構成要素|構成物質|選挙人|選挙権を取る|構成(成分)の|組成の|成分の
athlete	運動選手|競技者
repression	抑圧|弾圧|抑制|制止|(抑圧された)感情
biodiversity	生物の多様性
sic	(疑わしいまたは誤った文章を) 原文のまま引用
periphery	(円･曲線などの)周囲|円周|(物体の)表面|周辺
garbage	生ごみ|ごみ|廃物|あら|台所ゴミ|残飯|がらくた|屑
bald	ありのままの|はげた|単調な|毛のない
animation	生気|活気|活発|動画|アニメーション
managerial	経営上の|経営の|管理者の
microwave	マイクロウェーブ|電子レンジ
irrational	不合理な|理性のない|道理のわからない|無理数(の)
flick	軽く打つ(こと)|はじき飛ばす|軽くたたく|(pl|で)映画
discourage	(人の)やる気をそぐ|がっかりさせる
veteran	(米語)老練者|老練家|ベテラン|古参兵|退役軍人|老練の
stout	頑丈な|丈夫な|強い|太った|勇敢な|黒ビール
aromatic	かおりの高い
inherit	財産を相続する|所有する|手に入れる|を遺伝で受け継ぐ
fin	(魚の)ひれ
syntax	シンタックス|統語論|構文
ammunition	弾薬|兵器|戦闘手段
amazement	おどろき
offender	違反者|不快なもの
intently	熱心に
clinically	臨床的に
hypothetical	仮定上の|仮定の|仮想の|仮説の
glide	グライダーで飛ぶ|滑空(する)|すべる(こと)|すべり台|(文法)わたり
understandable	(言葉･理論などが)理解できる|分かり易い|道理にかなった
lymph	リンパ|リンパ液|血清|痘苗
ramp	ランプ(高速道路出入口)|建物の連絡用傾斜路
cyst	膿胞|胞嚢|嚢胞(のうほう)
steak	ステーキ
continual	繰り返される
insistence	強い主張|断言|無理強い|執拗|強調|強要|主張
spectroscopy	分光法
unrelated	関係ない|無関係の|無縁の
biscuit	ビスケット|小型食パン
arthritis	関節炎
contemplation	熟考|意図|熟視|熟慮
hello	こんにちは|やあ|あのう|もしもし
saturation	飽和|彩度
ineffective	効果のない|無効な
thine	なんじのもの|汝の
quota	割当量|割当
rainbow	虹
mast	マスト|柱
hammer	たたく|を槌で打つ|槌|金槌|ハンマー
memorable	記憶すべき|重大な|覚えやすい
paradise	楽園|天国|地上の楽園|至福
resection	切除
promoter	推奨者|発起人|発頭人|張本人|首唱者
yarn	ほら話|糸|毛糸|編み糸|旅行者の話
magnet	磁石|引付ける物
spherical	球状の|丸い|球の|球形の
salmon	サケ|鮭|鮭肉(の)|鮭肉色(の)
bribe	に賄賂を贈る|わいろ|賄賂
emergent	緊急の
unlimited	限りない|限定していない|無制限の|無限の|無尽蔵の
wary	油断のない|用心深い|細心の|慎重な|気をつける
incision	切込み
brute	けだもの|獣|畜生|獣ような|動物の|獣的な|野蛮な
pervasive	普及する|広がる|全面的に広がる
tame	飼い慣らされた|なれた|おとなしい|従順な|を飼いならす
cowboy	カウボーイ|牛飼い|(協定労働条件を破って働く)未組織労働者
instinctively	直感的に|本能的に
embodiment	化身|具体化
bee	ハチ|ミツバチ|働き者|(仕事, 娯楽の)会合|集まり
permeability	浸透性
incense	香(の煙･香り)|香をたく|世辞|ひどく怒らせる|立腹させる
optimism	楽天主義|楽観主義
loosely	しまりがなく|ゆるく|大まかに
stochastic	確率論的な
counterpart	よく似たもの|対応物|複製|対の片方|相手方|片割れ|対照物
stigma	不名誉|汚名|恥辱(のしるし)|汚れ
lapse	誤り|堕落(する)|衰退|(時の)経過|(権利の)消滅|横道にそれる|無効になる|人手に渡る
metropolitan	首都の|首都の住民|大都市の人
tidy	こぎれいな|きちんとした|整然とした|丸々した|健康な|キチンとした
schizophrenia	統合失調症
jewelry	宝石類
manifold	種々の|多数の|多様性|複写する|(内燃機関の吸排気をする)マニホールド管(多岐管)
mortar	モルタル|モルタルで接合する
lever	てこで動かす|てこを使う|レバー|てこ
grammatical	文法にかなった|文法の|文法上の
choir	聖歌隊|合唱団|chorus|合唱隊
handbook	手引き|便覧|旅行案内|賭金帳(競馬)
miniature	模型|小模型|ミニチュア|細密画|小型の
growl	腹立ち声でと言う|犬がうなる
crimson	深紅色の|深紅色
vacant	空き
tactical	戦術上の|戦術の
renowned	有名な|高名な|名高い
prophetic	予言的な
noticeable	目立つ|著しい
vest	ベスト|男子用のチョッキ|婦人･子供用下着|男子用肌着|与える
prominence	突起|突出|隆起|傑出|目立つこと|顕著
sailor	船員|水夫
imaginative	想像力に富む
psychotherapy	精神療法
cricket	コオロギ
grove	木立ち果樹園|小森|林
cereal	穀物の|穀物
hiss	シューと音を出す|しっと言う|シーと言って表す
enclosure	包囲|同封物
fragrance	芳香
assent	納得|同意|賛成|(する)
tel	電話番号
dispose	配列する|配置する
mantle	マント|覆い|マントル|覆い隠す
usefulness	役に立つこと
persuasion	説得
outright	完全に|率直な
sweetheart	恋人
bass	男声最低音|(次の順に高くなる|bass|baritone|tenor|alto(女声)|treble(女声soprano)|バス(魚類|スズキの類)
subgroup	下位群
sinister	不吉な|邪悪な|不幸な|縁起の悪い|(盾の紋地の)左側の(向かって右)|(左側は不吉と考えられていた由縁)(反)dexter
foil	くじく|裏をかく
cortical	皮質の
dismissal	免職|訴訟の却下|棄却|解任|却下|更迭|解散
genocide	大量殺戮|ジェノサイド|計画的な大量殺戮
canopy	天蓋(てんがい)
adolescence	青春期(13-16歳くらい)|思春期の成長|若々しさ|(言語･文化などの)発展期
repent	残念に思う|後悔する|懺悔する|悔やむ
outsider	外部者
eventual	終局の|結果として来るべき|最後の
soothe	をなだめる|を和らげる
invent	を発明する|創案する|考案する|創作する
characterised	特徴づけられた
foreground	(風景･絵画の)前景|最前面|表面|最も目立つ位置
braid	組ひも|さなだひも|飾りモール|三つ編み(の髪)|編んだ髪|おさげ(ひもや髪を)編む
salient	顕著な|突き出た|噴出する
metastasis	(腫瘍などの)転移
painfully	苦しんで|痛そうに|骨を折って|たいへん|ひどく
impede	妨げる|邪魔する
commonplace	普通の|平凡な(こと)|陳腐な(ことば)
epithelial	上皮の|上皮性の|ovarian epithelial cancer(上皮性卵巣がん)
refinement	精練|精製|純化|上品|精妙
uneven	平坦でない|一様でない|公正でない
tile	タイル|かわら|化粧タイル|牌
dominion	支配権|主権|支配|統制|所有権
affirmative	断定的な|肯定の|積極的な|断固たる
expectancy	予測値
obsession	妄想|取り付かれること|脅迫観念
postoperative	術後の
directory	ディレクトリー|人名簿|指令書|訓令書
erotic	性欲をかきたてる|色恋の|好色な
galaxy	(銀河系外の)星雲|(貴人･美人などの)華やかな集まり
deficient	欠けている|不十分な|不完全な
relapse	退歩|ぶり返す|再び陥る|(病人が)再び悪化する|逆戻りする
alcoholic	アルコール中毒|アルコールの
axe	解雇する
cyclic	循環の|周期的な
betrayal	裏切り|背信
messy	散らかった|扱いにくい|汚い
pneumonia	肺炎('p'はsilent)
assemblage	(仏語)隣接物件のまとめ買い|一括遺物|アッサンブラージュ|寄せ集め構成(の抽象画)|寄せ集め作品
ponder	をじっくり考える
embassy	大使館|使節団
dire	(dάɪɚ)恐ろしい|物凄い|悲惨な|極度の|急を要する
beggar	物もらい|乞食こじき|悪漢
mall	ショッピングセンター|散歩道|中央分離帯|商店街
adhesion	粘着
vitality	生命力|生活力|体力|元気
repertoire	レパートリー|上演目録|演奏曲目
conformity	相似|適合|一致(to,with)|(法・慣習などに)服従|準拠|協調(to,with)
monstrous	ぞっとするような|怪物のような|馬鹿げた|ひどい|巨大な
sincerely	誠実に|心から
omit	抜かす|省略する|忘れる|除外する|怠る|オミット
strawberry	イチゴ(色)
deadline	期限|締切
loaf	パンの一塊|棒砂糖|玉|ぶらつく|を遊んで過ごす
ginger	ジンジャー|精力|元気|生姜(ショウガ)
neurological	神経学的な
colorful	色彩ゆたかな
dispense	分配する|調剤する|施す|施行する|免除する
quiver	おののく|震え|矢筒|揺れる|震える|を震わせる
bait	餌をつける|誘惑する|悩ます|餌|誘惑
graduation	卒業
spp	spp|(speciesの省略形|ex|犬の属名canis spp|)
inland	奥地の
antimicrobial	抗菌剤
keyboard	キーボード|鍵盤
groove	楽しいもの|溝|わだち|レコードのみぞ
residue	残余|残留物|かす
semiconductor	半導体
armour	よろい|装甲
deter	(恐怖などで)やめさせる|阻止する|抑止する
ram	雄羊|杭打ち機|RAM(Random Access Memory|コンピュータ記憶装置
theoretically	理論上
legendary	伝説集|伝説の
gotta	have gottenの略|持っている･貰った等の意|スラング
reckless	向こう見ずな|無謀な|を気にかけない
mitigation	緩和
helplessly	どうしようもなく|どうすることもできず|頼るものもなく|力なく
sociological	社会学の
unsuccessful	失敗の|不運の
scarlet	深紅色|緋|緋色の|緋色(の)(ひいろ)|ひ色(濃い明かるい赤色)|あかね色
sweetness	声の美しさ|甘さ|愛らしさ
sincerity	誠実|率直さ
constellation	星座
pertinent	(直接)関係がある|適切な
stew	とろ火で煮る|とろとろ煮込む|暑さにうだる|シチュー
librarian	図書館員|ライブラリアン|司書
illumination	照明
viewer	見る人|見物人|検査官|テレビ視聴者|聴視者|観覧者
republican	共和制の|共和政体の|共和国の|共和主義の
fashionable	流行の
psychologist	心理学者
atop	頂上に
volatility	不安定さ|変わりやすさ
accountant	会計係|会計士
catalytic	触媒の
feminism	フェミニズム
pedestrian	歩行者|徒歩旅行者|徒歩の|歩行(者専用)の|散文的な|平凡な|鎮痛剤
grieve	を深く悲しませる|悲嘆させる|深く悲しむ|悲嘆にくれる
duplicate	複写する|写し
plead	弁護する|弁論する|申し立てる|嘆願する
devour	むさぼり食う|破滅させる
complicate	面倒にする|を複雑にする|困難にする
poly	polyester|polymer|polyethylene等の略(多数の意)
compel	強いる
regimen	(食事などの)摂生規則|統治|管理|方式|支配
principally	主に
congenital	先天的な|生来の
voluntarily	自発的に|自分の意志で
malicious	悪意のある
mutant	突然変異による|突然変体|変種
jolt	ガタガタ揺れる|急に揺さぶる|衝撃(を与える)|驚き|地震
minus	差引いて|を引いた|マイナスの|以下の|マイナス|不足
hull	(穀粒･種)外皮|殼|果皮|さや|へた|船体|艇体
harmless	無害の|損害をうけない|罪のない
muddy	どろだらけの|泥だらけの|泥の|ぬかるみの|濁った|さえない
backyard	裏庭|(表庭はfront yard)
brim	あふれそうになる|ふち
respondent	応ずる|返答する|回答者|被告|答弁者
complexion	形勢|外観
attire	に盛装させる|衣装
doctoral	博士の
dosage	投薬|調剤|1回分の投薬(服用)量|適量|添加香味料|用量決定
recreation	リクリエーション|レクリエーション|気晴らし|娯楽|休養|保養
annoyance	苛立ち
luggage	(UK英)(集合的)手荷物|旅行かばん
fidelity	忠実
apron	エプロン
allocate	配分する
shuttle	(近距離間の)定期往復便|定期往復バス(列車･飛行機)
encryption	暗号化
exceptionally	例外的に
warning	警告|警報
abound	沢山いる|たくさんいる|多い|富む
thieve	盗む|どろぼうを働く
alteration	改変箇所|変更
invalid	効力のない|病弱者|病人|病弱な|傷病兵|無効な
allegedly	(真偽のほどはわからないが)伝えられるところによると
womb	子宮|胎内|発生(成長)するところ|母胎
interdisciplinary	学際的な|二つ以上の学問にまたがる
colon	コロン(:)|植民農業者|大農園所有者|コロン(コスタリカなどの通貨単位)|結腸(盲腸・直腸をのぞいた大腸の大部分)
soy	大豆|しょうゆ
scalp	頭皮|小利潤|(転売による)利ざや|人に恥をかかせる|戦利品
heuristic	発見的な|発見を助ける
communicative	話し好きな
supremacy	優位|最高|至高|主権|至上|最高位
rehearsal	リハーサル|試演|練習|暗唱
attentive	注意深い
ambient	周囲の|ぐるりを取り巻く
notorious	悪評の高い|悪名高い|周知の
mitochondrial	ミトコンドリアの
repository	貯蔵所|倉庫|納骨堂|埋葬所|(知識などの)宝庫
uniquely	独自に
evangelical	福音の|福音書の|福音主義の|福音伝道者の|福音派の|普及に熱心な
amidst	の真ん中に|amid
dizzy	目まいのする|めまいのする|目が回る|当惑した|面食らった
sterile	実のならない|不妊の|不毛の|無菌の
depreciation	減価償却|価格低下|軽視|価値が下がること
assassination	暗殺|毀損
tease	にねだる|じらす|悩ます|いじめる
eminent	著名な|優れた|高位の
thoughtfully	考えぶかく
boulder	ゴロタ石|大きな岩
sublime	気高い|崇高な|雄大な|卓越した|高尚にする|浄化される|(化学)昇華する
cartoon	漫画を描く|漫画|漫画映画|アニメーション映画
almond	アーモンド
gastrointestinal	胃腸
pony	ポニー|小型の馬
fragmentation	分解|断片化
simmer	今にも爆発しようとしている|ぐつぐつ煮える
germ	病原菌|細菌|胚種|胚芽
orchestra	オーケストラ|管弦楽団
mischief	いたずら|害|損害
elasticity	弾性|弾力性
accessory	アクセサリー|部品|付属物|装身具|補助的な|付属的な
abrupt	不意の|険しい|突然の
sectional	部分の|部門の|組み立て式の
paperwork	ペーパーワーク
bout	勝負|(ボクシングの)試合|取り組み|一区切り|発作
plank	厚板|政策|支えとなるもの|を板張りする
observable	観測される
enquiry	引き合い
convict	囚人|有罪を宣告する|有罪と宣告する|罪を自覚した
handy	耐久力のある|上手な|器用な|便利な
weakly	いくじなく|弱々しい|病弱な|弱く
lymphoma	リンパ腫
prosperous	繁栄している|繁栄した|繁盛している|成功した|好都合の
dislocation	脱臼|混乱
speculative	投機的な|理論的な|推論的な|思惑の|危険な
whiskey	ウィスキー
uniformly	変わらずに|一様に|一律に|均等に|変化なく
reap	収穫をする|作物を刈る→行為の結果として受ける|報いを受ける
credible	信じられる|信用できる|信頼できる|確かな
admirable	賞賛すべき|立派な
correspondent	文通する人|特派員|文通者|通信員
hydraulic	水力の|水圧の|油圧の
impatiently	いらいらして
questionable	疑わしい|いかがわしい|疑問の余地がある|問題のある
relish	味|香り|風味|薬味|前菜|を好む|を楽しむ|をおいしく食べる
prostate	前立腺(の)
transformative	変形させる
applause	称賛|拍手喝采|声援
affordable	手頃な価格の
fabrication	作り話|でっち上げ|組立
freight	貨物運送|空路運送|船荷|普通便|運賃|船賃
weep	すすり泣く|泣く|しくしく泣く|しずくをたらす|涙を流す
earnestly	まじめに
pious	信心深い|偽善的な|宗教的な|敬虔な
crap	無意味な|価値のない物|がらくた|たわごと
bamboo	竹|(家具や杖などに使う)竹材|竹の
likeness	類似|画像|肖像|外見
requisite	必要な|必須の|必要品|要素|必要条件
notch	切り目(をつける)|刻み目|山峡|V字形の刻み目|山あい|段|級
pathetic	哀れな|感傷的な|無価値な
incompatible	両立しないもの
teenager	ティーンエイジャー(語源はteenの付く13才から19才まで)
mosquito	蚊(カ)
colonization	植民地化|入植
coward	臆病者
tow	(綱･鎖で)を引っ張る(こと)|(ロープ製造の)麻くず
bean	豆
blouse	ジャケッツ|ブラウス|仕事着|cf|browse(本などを)拾い読みする|(別綴り)
overlook	見過ごす|見渡せる|監督する|許す
donkey	ロバ|民主党(Democratic Party)の象徴
pilgrimage	巡礼|聖地巡り
analog	(=analogue主に英)|アナログ(の)|類似(の)|相似(の)|(肉･魚もどきの)合成食品
kinase	キナーゼ|リン酸化酵素の一種
cohesion	粘着|結合|結束作用
edema	水腫|浮腫
sweater	セーター
onward	前方へ|進んで
pulp	果肉|パルプ|髄(質)|歯髄|パルプにする|どろどろにする|植物の髄|肉質部
dusk	黄昏(たそがれ)
mole	モグラ|防波堤|スパイ|ほくろ|グラム分子|モル(単位)
chariot	(古代の)一人乗り軽三輪戦車|立派な馬車|(俗)古くて大きな自動車
preface	前置き|序文|序論|序説|を前置きする
underwear	下着|はだ着
exertion	権力を用いること|努力|力を出すこと|力の発揮
collagen	コラーゲン|膠原質
brightness	ブライトネス|輝度|快活さ|輝き|晴れやかさ|利発
sturdy	がんじょうな|逞しい|丈夫な|不屈の|頑健な
kinship	親類関係
playful	遊び好きの|滑稽な|ふざけた|陽気な|冗談の
stakeholder	株主･利害関係者
secrecy	秘密性|秘密|秘密主義|秘密にしておくこと
musician	音楽家
suggestive	思わせぶりな|示唆的な
divergence	相違(difference)|分岐|それること
dissemination	種蒔き|普及|種まき|散布|宣伝
emptiness	空|空しさ|空虚|空腹|無意味
inorganic	無生物の
staple	中心部|原料|止め金|特産物|主要素|主要な
upcoming	来るべき
delusion	欺き|妄想
celestial	天国の|空の|天体の|神聖な|神々しい|すばらしい|最高の
tuberculosis	結核
communion	親交|宗派
arousal	目覚めさせること|奮起
referendum	国民投票
stereotype	ステレオタイプ|鉛版|を定型化する
physiology	生理学|生理|生理機能|生理現象
fascination	うっとりした状態|魅惑|見込むこと
experimentation	試すこと|実験
wartime	戦時
syrup	シロップ
soccer	サッカー
prudent	分別のある|慎重な|思慮深い|賢明な|用心深い
excerpt	(本などからの)引用(句)|抜粋|抄録|抜粋する
catalog	(米語)カタログ
recess	奥まったところ･場所|休会|休み時間|休憩|休み|休暇|床の間
rivalry	競争|対抗|競走
organise	組織化する|団結する
plateau	高原|飾り皿|プラトー|水平域|平坦域|停滞状態(になる)|頭打ちになる
vase	花瓶|壷|びん
sprint	短距離走
reclaim	取り戻す|改善(する)|矯正(する)|を埋め立てる|を開墾する
bandwidth	帯域幅(通信用語)
revise	を訂正する|を変える|修正する|改正する
visa	査証|裏書き|ビザ|旅券に裏書きをする|ビザを与える
appendix	付属物|(俗)盲腸
hygiene	衛生|健康法
powerless	力の無い
delete	削除する
surf	波乗りする|サーフィンをする|波|寄せる波
canonical	正統な|権威のある|聖書正典の(と認められた)
steward	幹事|給仕|世話人|執事
jest	しゃれ|冗談|戯れ|からかい|物笑い(の種)
ironic	皮肉の好きな|皮肉な|反語の|反語的な|皮肉を言う
intimately	親密に|親しく|詳細に|深く
condemnation	非難
plunder	略奪|略奪品|利益|を略奪する|をこっそり盗む
hem	縁|境|包囲する
vibrant	生気にあふれる|わくわくする|震える|敏感な
hardness	硬度
electronics	電子工学|エレクトロニクス
yacht	ヨット|ヨットに乗る
cos	レタスの一種
pigeon	ハト|鳩|若い娘|だまされやすい人|だます
assimilation	同化
calf	子牛|カバ|サイ|クジラ|シカ|ゾウ|アザラシなどの幼獣|ふくらはぎ
offshore	沖合い|沖で|(風など)沖に向かう|海外の
deterioration	(品質などの)低下|悪化|堕落|退歩
empress	皇后|女王|女王的な存在|国母
indoor	屋内|室内の
franchise	フランチャイズ|特権|参政権|選挙権|公民権|会員権
discontent	不満な|不満
interim	暫定の|中間の|暫定措置|合間
semester	(米国･ドイツなどの1年2学期制の)学期
slick	なめらかな(部分)|巧妙な|なめらかに|如才ない|をなめらかにする|滑らかな
babe	すっごい美人 (=dish)
telescope	望遠鏡
unnatural	不自然な|不思議な|人情にそむく|異常な
bachelor	独身の男性|独身の男|学士 
wail	不平を言う|嘆き悲しむ|泣き叫ぶ|嘆き悲しみ
noteworthy	注目に値する
vanilla	バニラ|バニラの実|バニラエッセンス
amplification	増幅
devoid	欠けていて
daddy	お父さん
grunt	ぶつぶつ不平を言う|ぶうぶう言う声|ぶうぶう鳴く
uh	ええと|huh(話がつかえた時など)
remembrance	記憶範囲|記憶|思い出|回想|記憶力|記念|かたみ
authorization	権限の委任|承認
assassin	暗殺者|刺客
undesirable	好ましくない|望ましくない|不快な
congressional	議会の
borrower	借手
wheelchair	車いす
bodyguard	ボディーガード
kitten	子猫
reconstruct	再構成する|再建する
mindful	気をつけて|忘れないで
hinder	妨げる
gladly	よろこんで|喜んで
cling	くっついて離れない|固守する|くっつく
mint	ハッカ(入りの菓子)|造幣局|多額|源泉|鋳造する|ま新しい|未使用の
sleepy	眠い|活気のない|熟しすぎた
granite	花崗岩(かこうがん)|御影石
beginning	始まる|初め
liar	うそをつく人|うそつき
perimeter	周囲の長さ|全周|防御腺|(眼科)視野計
roller	(地ならし･印刷･圧延用)ローラー|大波|ヘアカーラー|ローラーカナリア
antecedent	先行詞|先だつ
rap	ノックする|こつんとたたく(こと)|(特に新聞の)非難|攻撃(する)|雑談|criticize|ラップ音楽(リズミカルに喋るように歌う方法)
bliss	この上ない喜び|至福(を味わう)|幸福|天国
boldly	大胆に|太く
multinational	他国籍の|多国籍企業
convent	修道院
sniff	匂いを嗅ぐ|鼻で吸う|鼻であしらう|鼻をすする|クンクン|(=snuff)
feat	偉業|功績|際だった行い|achievement|妙技|離れ業
convex	凸(おう)状の
enrich	金持ちにする|豊かにする
devise	工夫する
diagonal	対角線の
subscription	予約購読(料)|引受|申込|寄付(金)|署名|認可
confinement	限ること|限定|制限|監禁
digestion	消化
conduction	伝導
topology	位相幾何学
ancestral	祖先(伝来)の|祖先から受け継いだ
predominant	優勢な|卓越した|有力な|顕著な|支配的な
turkey	トルコ共和国|七面鳥
qualification	資格|免許|能力|制限
vigorously	元気旺盛に|元気に|力強く|活発に|勢い|盛んに
oppressive	圧制的な|圧迫する|非道な
medal	メダル|勲章|記章|メダルを授与する
peanut	ピーナッツ|詰まらない物(人)|ピーナッツ入りの|小さい子供
proficiency	熟達|熟練|上達
desperation	死にもの狂い|絶望
greed	欲張り|貧欲|どん欲
equivalence	当量|等価|同意義|同価値|同等
insurer	保険者
endorse	裏書きする|保証する|推奨する|承認する|賛成する
apprentice	年季奉公人|見習生|徒弟|実習生
illuminate	を明るくする|照らす|を啓発する|を解明する
ionic	イオンの;イオンを含む
hepatitis	肝炎
telegram	電報|電信
bio	バイオ
genetics	遺伝学|遺伝子
intricate	複雑な
disastrous	悲惨な
congratulate	祝詞を述べる|喜ぶ|祝いの言葉を述べる
zeal	熱意|熱心
turtle	海亀|カメ|キジバ ト
ethnographic	民族誌の
vulgar	下品な|野卑な|育ちの悪い|民衆の|大衆の|民衆|低俗な
turbulent	(波風などが)荒れ狂う|不穏な|騒然とした
intangible	漠然とした
superstition	迷信
propensity	傾向|性向
