epididymal,精巣上体の（医療）
pimento,ピメント（香辛料）
stenographic,速記の
taupe,トープ色
incorrectness,不正確さ
crud,汚れ
frizzle,縮れ毛
slipway,船渠
camomile,カモミール
gangland,ギャング社会
interdenominational,宗派間の
genotyped,遺伝型解析された
marmoset,マーモセット（小猿）
nix,拒否する
flamboyance,派手さ
tuneless,音痴の
serogroup,血清群
tilde,チルダ
shipbuilder,造船業者
lifer,終身刑囚
busty,胸の大きい
evenhanded,公平な
wham,強打
batty,気の変な
handstand,逆立ち
chancellery,官房
implausibility,信じ難さ
nugatory,無価値な
swinger,遊び人
lumpen,下層の
presidio,要塞
phthisis,結核（古語）
prolixity,冗長
straightedge,直線定規
viscose,ビスコース
drachm,ドラム（重量単位）
lolly,キャンディ
ingrown,埋没した
nebular,星雲の
squarish,四角っぽい
rhapsodic,熱狂的な
catsup,ケチャップ
planchette,霊界板
crumpet,クランペット（菓子）
slew,多数
thermionic,熱電子の
menswear,紳士服
narwhal,イッカク
speedway,高速道路
confabulation,おしゃべり
risible,滑稽な
abo,アボリジニー［Aborigine（オーストラリア先住民）の略語］
deliberateness,慎重さ
trireme,三段櫂船（古語）
taxidermist,剥製師
judgeship,判事の地位
woodcraft,木工技術
ophthalmoscope,眼底鏡
enwrap,包む
horsetail,スギナ
bookbinder,製本業者
glazier,ガラス職人
hacksaw,金属鋸
maladjusted,不適応な
pugilistic,ボクシングの
bolero,ボレロ（短い上着）
bub,坊や
proapoptotic,細胞死促進の
righty,右利きの人
impala,インパラ（動物）
inerrant,誤りのない
snifter,ブランデーグラス
cinderblock,コンクリートブロック
orogeny,造山運動
simper,作り笑いする
benthos,底生生物
gravure,グラビア
syphon,サイフォン
showtime,開演時間
vociferate,大声で叫ぶ
casque,兜
malcontent,不満分子
cakewalk,簡単なこと
incurious,無関心な
countermand,取り消す
conferee,会議出席者
foothill,山麓の丘
spume,泡
falteringly,ためらいながら
peppercorn,胡椒粒
intoxicant,酒類
biocide,殺生物剤
sapient,賢明な
curare,クレア（毒矢薬）
pithily,簡潔に
sunblock,日焼け止め
irradiate,照射する
rustler,盗牛犯
rubidium,ルビジウム
disfranchise,選挙権を剥奪する
hafnium,ハフニウム
killjoy,興ざめな人
astringency,渋み
ribonuclease,リボヌクレアーゼ
steroidogenic,ステロイド生成の
espy,見つける
cowrie,宝貝
plaice,ヒラメ
quotable,引用に値する
yardage,ヤード数
redecorate,改装する
medicament,薬剤
aloha,アロハ（挨拶）
concordat,協定
hydrometer,比重計
helpmeet,助け合う人（古語）
bachelorhood,独身生活
aliment,食料
glaucomatous,緑内障の
pugnacity,好戦性
billfold,財布
busboy,食器下げ係
oozy,ねばねばした
retroversion,反転
incise,切り込む
newel,手すり支柱
paradisiacal,楽園の
returnable,返却可能な
spectrograph,分光写真装置
transpacific,太平洋横断の
pentacle,五芒星
stopcock,栓
doubloon,ダブロン（金貨）
sleepwalker,夢遊病者
tardily,遅れて
phantasmal,幻影の
grange,農場
overdiagnosis,過剰診断
reversionary,復帰の
knobbly,こぶのある
sandpit,砂場
lotto,宝くじ
quantitate,量を測る
fusty,かび臭い
masseur,マッサージ師（男性）
unpin,ピンを外す
bellman,ベルボーイ
harebrained,軽率な
sprightliness,活発さ
confounder,交絡因子
conga,コンガ（打楽器）
syrinx,鳴管
winnow,選別する
doubleheader,二試合連続
ineligibility,資格喪失
suggestible,暗示にかかりやすい
beatify,列福する
harpist,ハープ奏者
legerdemain,手品
pharmacopoeia,薬局方
suborbital,軌道下の
hippodrome,競技場
roughage,食物繊維
softy,軟弱者
bespatter,飛び散らせる
cenotaph,記念碑
biro,ボールペン［Biro（商標）が一般名化］
bifocal,遠近両用眼鏡
duple,二拍子の
vesper,夕べの祈り
embroil,巻き込む
congeniality,性格の一致
demoiselle,若い女性（古語）
dominie,教師（古語）
ritzy,豪華な
marcher,行進者
exhume,掘り出す
redskin,ネイティブ・アメリカン（差別的表現）
nightjar,ヨタカ
baculovirus,バキュロウイルス
thinner,希釈液
tragicomedy,悲喜劇
smutty,下品な
upstroke,上振り
breezeway,通路
chancy,危険な
stalagmite,石筍
coulee,溶岩谷
impracticality,非実用性
foible,弱点
guzzle,がぶ飲みする
dahlia,ダリア
boater,カンカン帽
haberdashery,洋品店
hotdog,ホットドッグ
fakery,偽造
sequin,スパンコール
hidebound,頑固な
jingoism,強硬愛国主義
plutocratic,富豪支配の
unbar,解放する
chieftainship,首長の地位
kitchenware,台所用品
nitrify,硝化する
behindhand,遅れて
howdy,やあ（挨拶）
slalom,スラローム
quasar,クエーサー
attaint,有罪判決を下す（古語）
hornbeam,ハンノキ
discombobulate,混乱させる
glace,アイシング
glycosaminoglycan,グリコサミノグリカン
onrush,急襲
snappish,すぐ怒る
exonuclease,エキソヌクレアーゼ
walkabout,巡遊（オーストラリア先住民の行事）
neoclassicism,新古典主義
graben,地溝
patriarchate,父権制
codger,老人
misbegotten,不正な
superlatively,非常に
gyrate,回転する
mayoralty,市長職
arpeggio,アルペジオ
interpellate,質問する
sphagnum,ミズゴケ
priggish,堅苦しい
capuchin,カプチン（猿）
enchain,鎖でつなぐ
creel,魚籠
paraprofessional,準専門職
pricy,高価な
counteraction,対抗策
undemonstrative,感情を表さない
chatelaine,家令婦
storeyed,階層のある
apocrypha,外典
enthuse,熱中する
wain,荷馬車
unbind,解く
betroth,婚約させる
heartthrob,アイドル
haziness,かすみ
insomniac,不眠症の人
terrapin,淡水ガメ
inexpert,未熟な
intraperitoneally,腹腔内に
permeabilization,透過化
runabout,小型車
plasterboard,石膏ボード
prosy,散文的な
roundtrip,往復
characterless,個性のない
kinesin,キネシン
midyear,年の半ば
muleteer,ラバ使い
transduce,変換する
saddler,鞍職人
housetop,屋上
evaluable,評価可能な
perspicacious,洞察力のある
ripper,素晴らしい人
automaker,自動車製造業者
broadness,幅広さ
versify,韻文化する
decontaminate,除染する
allegro,アレグロ（速く）（音楽用語）
videoconference,テレビ会議
overshoe,防水靴
vicissitude,変遷
polyploid,多倍体
sensualist,快楽主義者
ghat,階段状の堤（インド）
belligerency,好戦性
superhighway,高速道路
rusticity,素朴さ
squinty,目を細めた
yup,はい（口語）
backbencher,無派閥議員
insanitary,不衛生な
flatus,おなら
martinet,規律に厳しい人
softhearted,心優しい
fug,むせる煙
parallelepiped,平行六面体
somnambulist,夢遊病者
dodder,よろめく
decriminalize,非犯罪化する
lucerne,ルーサン（植物）
prefabrication,プレハブ化
inure,慣れさせる
bucketful,バケツ一杯
massiveness,巨大さ
cilium,繊毛
cancan,カンカン踊り
felucca,フェルッカ（船）
violoncello,チェロ
foolhardiness,無謀さ
manhandle,乱暴に扱う
effulgent,眩しい
licentiate,修士資格
unbend,曲げない
outtake,未使用部分
philanderer,浮気者
cynosure,注目の的
mattock,マトック（農具）
flatware,食器類
concretion,結晶
calendula,カレンデュラ（ハーブ）
curacy,助手司祭の職
chairwoman,女性議長
gourmand,美食家
reproducibly,再現可能に
slapdash,ぞんざいな
unessential,不必要な
claymore,クレイモア（剣）
shallop,小舟（古語）
trematode,吸虫
beluga,シロイルカ
gamin,街中の子供（古語）
palmy,繁栄した
tabard,タバード（衣服）
ornithological,鳥類学の
beanstalk,豆の茎
disenfranchise,選挙権を奪う
outmaneuver,策略で出し抜く
ragweed,ブタクサ
aeon,永遠
flapjack,ホットケーキ
holm,小島（古語）
oceangoing,遠洋航行の
reticulation,網状構造
betcha,きっと〜だ（口語）
goldmine,金鉱
inartistic,非芸術的な
matey,仲間（口語）
zealotry,熱狂的信念
bailiwick,管轄領域
chela,ハサミ（動物）
cosmically,宇宙的に
echoic,反響する
ultramodern,最先端の
ikon,聖像
isinglass,イシングラス（ゼラチン）
cicerone,案内人
plutocrat,富豪
paraformaldehyde,パラホルムアルデヒド
shovelful,シャベル一杯
whensoever,いつでも（古語）
nucleolar,核小体の
teensy,とても小さい（口語）
clonus,痙攣
mottle,まだら模様
cosily,居心地よく
nett,正味の
fatuity,愚かさ
breathing,呼吸
toothsome,美味しい
arachnid,クモ類
cautiousness,慎重さ
downstage,舞台前方
pshaw,ちっ（感嘆詞）
reseat,座り直させる
swampland,湿地
chieftaincy,首長の地位
lionize,有名に扱う
quadriplegic,四肢麻痺の
ruminative,熟考する
adventuresome,冒険好きな
ebon,黒檀の
northwesterly,北西の方向の
nicker,ひひいんと鳴く
steeplechase,障害物競走
melange,混合
antipathetic,反感を抱く
oviparous,卵生の
byway,脇道
acclimatize,順応させる
patsy,カモ|だまされやすい人
tipper,投げ手|チップを渡す人
videlicet,すなわち（ラテン語由来）
positiveness,積極性
timeworn,古びた
beriberi,脚気
cutesy,かわいこぶった
fedayeen,ゲリラ戦士（アラブ圏）
raj,ラージ（イギリス統治時代のインド）
whaleboat,捕鯨船小舟
coldhearted,冷酷な
bubo,腫瘍（淋巴腺）
fainthearted,臆病な
immodesty,不謙虚
maypole,メイポール（古語）
regnant,支配的な
feebleminded,知能の低い
grandmotherly,祖母らしい
cottager,小作人
derisory,わずかすぎる
microtiter,マイクロタイター（分析用プレート）
orangery,温室（古語）
ribaldry,下品な冗談
bicyclist,自転車乗り
batman,軍隊の下士官付き従者
challah,チャラ（ユダヤパン）
footrest,足置き
jenny,紡績機（古語）
overdevelop,過剰に発達させる
baronetcy,準男爵の地位
soberness,真面目さ
housebound,家に閉じこもった
weathercock,風見鶏
listserv,電子メールリスト管理ソフト
stuffiness,窮屈さ
descant,上声
unreconstructed,保守的な
cyme,花序
shrewish,口やかましい
lumberyard,材木置き場
oodles,多数
predetermination,予定
indeterminable,判定不能な
riz,髪を結ぶ波状
whilom,かつて（古語）
chordate,脊索動物
flyleaf,見返し
claptrap,見せかけの言葉
exculpation,免罪
catalepsy,カタレプシー（硬直症）
spinet,スピネット（小型チェンバロ）
labium,唇状構造
centenarian,100歳以上の人
freethinker,自由思想家
embouchure,楽器の奏法口
intervocalic,母音間の
interlinear,行間の
