warthog	イボイノシシ
avirulent	無毒の
gusher	噴油井|しゃべり立てる人
condemnable	非難すべき|とがめるべき
workingwoman	働く婦人|(女の)労働者|女工員
plagiarize	盗用する|剽窃する|盗作する|人の文章などを盗む
debouch	(狭い所から広い所へ)流れ出る|抜け出る《+『into』(『on』)+『名』》
immunofluorescent	免疫
quoit	《複数形で》《単数扱い》鉄輪投げ|〈C〉(鉄輪投げの)鉄輪　尻の穴
ideogram	表意文字
catchup	ケチャップ|ketchup
hornpipe	ホーンパイピの踊り(特に水夫が一人で踊る);その舞曲
idiolect	(文法)個人言語(一個人のある一時期における発話の総体|習慣)
pensionable	年金(恩給)をもらう資格のある
auriferous	(岩石が)金を含んだ(産する)
henbane	〈C〉ヒヨス(ヨーロッパ産の毒草)|〈U〉ヒヨスの毒
lifework	一生をかけた仕事|ライフワーク
runaround	(the runaround)言い逃れ|run around(好ましくない人物と)つき合う|浮気する
foldout	(雑誌などの)折り込み写真
sadistically	加虐的に
pupate	〈幼虫が〉さなぎになる
lyceum	〈C〉《米》(演説・音楽会などを催す)文化運動団体|〈C〉(上記の催し物を行う)文化会館|《the『L-』》リュケイオン(アリストテレスが哲学を説いたアテネ郊外の学園);アリストテレス学派
gawp	(口を開けて)(〜を)ぽかんと見詰める《+『at』+『名』》
ampule	(注射液を入れる)アンプル
doofus	とんま|間抜け|へんてこな
petard	(ベル形の)小型爆破道具(城門・城壁などを破るにの用いた)・(城門破壊用)爆薬; 爆竹
resister	抵抗する人
asphodel	アスフォデル(白・ピンクまたは黄色の花をつけるユリ科の植物)
doggone	忌まわしい|いまいましい|嫌な|ばかげた|呪うべき|呪う
trivium	(古代ローマの)三学科(七教養科目のうち文法・修辞学・論理学を指す)
quintuple	5倍の|5重の;5部(5人)からなる|5倍|5倍の量(数)|5倍になる|〜‘を'5倍にする
caitiff	《古》卑劣な人|卑怯者
comedown	(地位・身分・名誉などの)失墜|下落|零落
histochemistry	組織化学
ytterbium	イッテルビウム(希土類元素;化学記号は Yb)
conceptus	受胎産物 (胎児と胎盤の総称)
flytrap	ハエトリソウ
bleeder	多量に出血しやすい人.(特に)血友病患者|出血素因者
commonweal	公共の福利(福祉)
conterminous	隣接する|(時間・空間が)同一限界の
homodimer	ホモダイマー|ホモ2量体(生化学)
fundraise	資金集め
agitprop	アジテーションとプロパガンダ|アジ宣伝の
bunting	旗布|(慶祝などのための)細長い旗|吹き流し|まん幕|(主に米)(乳児用の)おくるみ|ホオジロ類の小鳥
taw	はじき玉|びー玉|(はじき玉遊びの)基線
landslip	=landslide1|2
mispronunciation	発音の誤り|誤った発音
palmate	(葉などが)手のひらの形をした
rutabaga	(植)カブハボタン|その根(食用)
truculence	凶暴|残酷;好戦性
klaxon	クラクション(自動車の警笛)[の音]
mistranslate	〜‘を'誤訳する|誤訳する
lacerate	(lˈæsərèɪt)引き裂く|引き裂かれた|裂けた
dissuasion	(説得して)思いとどまらせること
monochorionic	絨(じゅう)毛
minestrone	ミネストローネ(肉・野菜・パスタなどを入れて煮たスープ)
rube	田舎者|青二才|世間知らず|ばか|まぬけ|お客|見物人|新参者|新米|田舎の
bumptious	傲慢な|横柄な|でしゃばりの
corrugation	〈U〉波形にすること;波形のついた状態|うね状|〈C〉(波形を構成する)うね|溝|しわ
capitulum	小頭(長い骨や触角などの先端のふくらんだ部分)
scabrous	ざらざらした|でこぼこの|わいせつな|きわどい
turbojet	タービン式噴射推進機関(turbojet engine)|ターボジェット機
alterable	変えられる|改められる
entreatingly	懇願するように|おりいって
vl	Vulgar
burble	さらさら音をたてる
curbstone	(歩道の)縁石(《英》kerbstone)
eeriness	無気味さ|気味悪さ
euphonious	響きのいい|耳に快い|口調のよい
coexpression	共発現
loudmouth	大声でしゃべりまくる人|大口を叩く奴|ほら吹き|弁護士|に偉そうな口をきく
tousle	〈髪など〉‘を'乱す|もつれさせる
confab	談笑|会談(する)
hassock	(お祈りのときに使う)ひざ布団|草むら(tussock)
hogan	ホーガン|北米インディアンNavaho族の住居
anaerobe	嫌(けん)気性生物(空気・遊離酸素を必要としない細菌類)
hickey	にきび|あざ|キスマーク(和製英語)|継ぎ手|あれ|例のやつ
pedigreed	血統の正しい;由緒(ゆいしょ)のある
surmountable	(困難・障害などが)克服できる;乗り越えられる
longshoreman	港湾労働者
babbler	片言をいう幼児|おしゃべり屋
calaboose	刑務所
mach	マッハ
miserliness	しみったれ|けちなこと
bellyful	(〜の)腹いっぱい|十分《+『of』+『名』》
enucleated	(生命科学)細胞から核を除去する|眼球除去する 他
fauces	口峡(こうきょう)(咽頭に続く口腔奥部)
maidenhair	アジアンタム(ハコネソウ・クジャクソウなどのシダ類)
runnel	小川(runlet)
prokaryote	原核生物|核膜が無い(区別出来る核を持たない)細胞(原核細胞)からなる生物|細菌類や藍藻類が相当する
bestest	最高のもの
coracle	ヤナギの枝を編み獣皮を張った小船;アイルランドやウェールズの川・湖で用いる
lockjaw	=tetanus
postmistress	女郵便局長
apparat	旧ソ連の政治機構
guppy	グッピー(観賞用のメダカ科の淡水熱帯魚)
finial	フィニアル|頂点|頂部装飾
captivation	魅惑
enfilade	縦射|〜‘に'縦射をあびせる
sidesaddle	横くら(両足を同じ側に下げる婦人用くら)|(馬に)横乗りに
wagtail	セキレイ
niggard	けちんぼ(miser)|=niggardly
paring	皮を剥くこと
petrology	岩石学
uncial	アンシアル書体の|アンシアル書体(4‐8世紀にギリシア・ラテンの写本に用いられた)
ossify	〜‘を'骨化させる|(骨のように)〜‘を'硬化させる|骨化する|(人・考え方が)がん固になる|融通がきかなくなる
excursionist	遊覧(周遊)旅行者
corso	大通り
exotically	異国ふうに
glissando	〈U〉グリサンド奏法(キイ・弦の上に指先をすべらせる奏法)|〈C〉グリサンド楽節|グリサンド奏法の(で)
gobbledygook	分かりにくい言葉|ややこしい言葉|お役所言葉|チンプンカンプン
sawyer	木びき
unintelligibly	分かりにくく|理解しがたく
basswood	=bass
houseboy	屋敷やホテルのボーイ(雑役夫)
indexer	索引作成者
incorrigibly	矯正できないぼど|根深く
helot	(古代スパルタの)奴隷|ばかにされる人
ravishment	うっとりさせること|《文》強奪|《文》強姦(ごうかん)
sweetish	やや甘い
tiebreaker	テニス･サッカーなどタイで終った場合勝敗をつけるため短時間のプレーを行うシステム
collegian	大学生(college student)
discoideum	キイロタマホコリカビ|細胞性粘菌の一種|分子生物学|遺伝学のモデル生物として|細胞間連絡|分化|アポトーシスの例として研究されている
stenography	速記|速記術(shorthand)
lawbreaker	法律違反者
bandolier	(兵士が肩からかける幅広の)弾薬帯|負い革
highfalutin	もったいぶった|大げさな
rotter	ろくでなし
yes	はい
swaddle	赤子を産着(細長い布)でくるむ|(to swaddle a baby)
trophozoite	栄養体
cerise	サクランボ色|淡紅色
frisbee	フリスビー
moa	モア|ニュージーランドに生息していた鳥類
misreport	《しばしば受動態で》〜‘を'虚報を伝える|‘を'誤って報告する
nard	甘松(かんしょう)香(古代人が用いた香油)
prognosticate	(知識・経験に基づいて)〜‘を'予知する|予測する;〈〜であること〉‘を'予知する《+『that節』》|〜‘の'前兆となる
piecrust	パイの皮
drowse	眠気がさす|うとうとする《+『off』》|ぼんやりしている|眠気
disinheritance	廃嫡(相続権を奪うこと);勘当
schoolchild	学童
interlink	〜‘を'つなぎ合わせる|連結する
gigabyte	ギガバイト
appanage	《文》(生まれ・身分・地位に付随する)財産|特権|役得|《文》特性|属性|《古》(王子・王女に与えられる)領地|扶持(ふち)
didactically	教訓的に|説教じみて
encyst	〜‘を'包嚢(ほうのう)に包む|包嚢(ほうのう)に包まれる
hairiness	毛深さ
outdistance	(競技などで)〈相手〉‘を'はるかに引き離す
clavichord	クラビコード(ピアノの前身であるけん盤楽器)
loutish	ぶこつな|無作法な
hematologist	血液学者
manometric	流体圧力測定器の(で測った)
seaway	航路|航行|(外洋船の航行できる)河川航路|荒海
temporariness	一時的なこと|はかなさ
yarmulke	ヤムルカ|ユダヤ教正統派の男性信者が教会や家庭でかぶる小さな頭布
debilitate	〈病気などが〉〈人・体〉'を'衰弱させる
bullring	闘牛場
bacchanalian	バッカス祭の|どんちゃん騒ぎの
skedaddle	あわてて逃げる|あわてて逃げること
juiciness	汁の多いこと|水分の多いこと
longwinded	息の長く続く|(話・文章などが)長たらしい|冗漫な
moxie	活気|精力|ファイト|ガッツ|技術(知識)
purchasable	買える|手に入る|買収されやすい
bustard	野ガン
plasmodium	マラリア原虫|変形体(アメーバ状の多核原形質体)
quantitated	定量の
spermaceti	鯨(げい)ろう(マッコウクジラの頭から取れる白いろう状の物質;ろうそく・化粧品などになる)
homophone	異形同音異義語
dibasic	(化学)二塩基性の
peculation	公金横領|官物私用
yardarm	(帆の)桁端(帆桁の両端)
driller	穴あけ機
agglutinative	膠着する|膠着性の
maser	メーザー(マイクロ波増幅器)
preliterate	(文化・社会などが)記録(文献)を保存してない
undersell	を控えめに売り込む|値引いて売る|より安く売る|不当に低く印象づける
clampdown	(突然の)規制取り締まり
avoirdupois	=avoirdupois weight(《略》『avdp』)
explainer	説明者
grenadine	(カクテル用)石榴のシロップ|赤黄色(の)
podgy	=pudgy
pogo	(音楽に合せ)飛び上がって踊る
phrasing	言葉遣い
upmost	最高の　最上の　一番の　最重要の　真っ先に　=uppermost
deb	スケ番|突っ張り娘 (debutanteの略)
lasciviously	みだらに|挑発的に
unquote	引用終わり
calcify	〜'を'石灰質にする|石灰化させる|石灰質になる|石灰化する
calfskin	子牛の皮|カーフ(子牛のなめし皮)
neurasthenic	神経衰弱の|神経衰弱症患者
orris	ニオイアヤメ(根茎に芳香のあるアヤメ)
daw	コクマルガラス(ヨーロッパ産の光沢のあるガラス)|=jackdaw
crozier	=crosier
offertory	(ミサ・聖餐(せいさん)式における)パンとぶどう酒の奉献|(教会の礼拝式で集められる)献金;(その時用いられる)祈とう文
oldish	いくぶん年をとった|やや年配の|古めかしい
predestinate	=predestine
plagiarist	盗作者
sermonize	小言を言う|説教する|説法する
hemorrhoid	痔(通例-s複数扱い) (=piles)
bidet	(仏語)子馬|婦人用洗浄器|ヴィデ
pneumatically	圧縮空気を含んで|圧縮空気の作用で
lysogenic	溶原性|ウイルス(Phage)が感染し|細胞膜を破壊された細菌がphageの形質を持つようになることをいう
polyadenylation	ポリアデニル化|RNAにポリA鎖(poly-A tail)を付加すること|遺伝子発現過程の一部であり|ポリA鎖はmRNAの安定性に関わる
juryman	陪審員(juror)
immolate	いけにえにする|犠牲にする
maleficent	害をなす|有害な
insatiably	飽くことなく|どん欲に
radiotelephone	無線電話|無線電話機
heckle	質問攻めにする|妨害する|野次り倒す|詰問する
frenetically	逆上して;熱狂的に
hairnet	ヘアネット
biparental	ふた親の|ふた親の特徴を合わせ持った
kickstand	キックスタンド(自転車・オートバイなどを倒れないよう支える装置)
rondo	旋回曲|ロンド
kulak	クラーク(ロシア革命以前の富裕な農民・商人)
sickbay	(通例船内の)病室
transfuse	〈血液〉‘を'輸血する:transfuse blood 輸血する
goofball	間抜け
hobnail	(靴の底に打つ頭の大きい)びょうくぎ
diapason	〈U〉(音声・楽器の)全音域|〈C〉ダイアペーソン(パイプオルガンの基本音栓(せん))
earthshaking	世界をゆるがす|非常に重要な
mycobacterium	マイコバクテリウム属|グラム陽性細菌に分類される真正細菌の一属
bigwig	お偉方|大物|an important person
fettle	(心身の)状態
henpeck	〈亭主〉‘に'絶えず文句を言って悩ませる
longhorn	長角牛
measurer	測る人|量る人;計量器
leu	レウ(ルーマニアの貨幣単位)
reversely	逆に|反対に|転倒して|裏返して|これに反して
piggery	《おもに英》=pigsty
prohibitionist	酒類製造販売禁止論者
demodulate	(無線で)〈電波〉‘を'検波する|復調する
dethronement	廃位|強制退位
manful	男らしい|勇ましい
tactual	触覚の
thirtysomething	30代に見える|30代の
befoul	(〜で)〜'を'汚す|汚くする《+『名』+『with』+『名』》
earwig	ハサミムシ(寝ている人の耳に入り害をすると考えられた)
equalitarian	平等主義の|平等主義者
jejune	《文》(特に書かれたものが)おもしろみのない|無味乾燥な|未熟な|《米》子供っぽい
cretinism	クレチン病(甲状腺障害で幼児期に発育が止まる)
mosh	モッシュ|グループ通話ができるアプリ
nincompoop	とんま|ばか者|つまらない人
naturopathy	自然療法医|食餌(しょくじ)療法医
sawhorse	(X字型の)木びき台
staphylococcus	ブドウ球菌
coastwise	沿岸の|海岸に沿って
jetlag	時差ぼけ
milksop	弱虫|めめしい奴(sissy)
corbel	持ち送り積み(壁面から突き出た桁(けた)・はりの受け材)
baccy	《俗》たばこ
plastron	プラストロン(フェンシング用の胸当て)
boozer	大酒飲み
benzine	ベンジン(石油から採る揮発油)
biovar	次亜種|生物型|ビオバル
cosmetology	美容術|化粧法
earwax	耳あか|耳くそ
manageress	《おもに英》(商店やレストランなどの)女性経営者(支配人)
staph	ブドウ球菌|ブドウ状球菌|staphylococcus
bijou	宝石|小さくかわいらしい物(場所)
majolica	マジョリカ焼き|マジョリカ風の焼き物|赤茶色
worldling	俗物|俗人
appose	〜'を'並べる|隣りに(近くに)置く
drippy	(水の)滴る|雨の多い|ありふれた|弱虫の
kipper	に塩をして燻製にする
monarchism	君主制|君主制主義
fledge	羽毛でおおう
forsythia	レンギョウ|早春に黄色い花を鈴なりに付ける低木
jalopy	(口)おんぼろ自動車|おんぼろ車
kris	東南アジア地区の短剣|(人名)クリス
unbowed	(ひざ・腰が)曲がっていない|《文》屈服しない
abortionist	人工中絶賛成者
goodhearted	親切な|やさしい(kind)
refulgent	光り輝く
twerp	くだらないやつ|見下げはてたやつ
contumacy	権威無視|命令不服従
golosh	=galosh
voluptuary	享楽者|酒色におぼれる人
yahoo	野蛮な人間|田舎者|やっほー
castoff	解雇された人|脱ぎ捨てた|捨てられた人(物)
mistral	(仏語)ミストラル|フランスの地中海岸に吹く北風
rusticate	《おもに文》〜‘を'田舎へ行かせる|〜‘を'田舎ふうにする|《英》〈大学生〉‘を'停学処分する|《おもに文》田舎へ行く|田舎ふうになる
termagant	やかまし女|がみがみ女|口やかましい
greenroom	出演者控室|楽屋
petunia	ペチュニア(花)
cottontail	ワタオウサギ(綿毛のような白い毛のウサギ;米国産)
flasher	閃光を放つもの|点滅光|方向指示器|回転灯|露出狂
macrobiotic	長寿にきく殻類や野菜からなる|菜食による|長寿食の
mineralogist	鉱物学者
misprision	(公務員の)不正行為|業務怠慢
pyrometer	高温計(高温を測定する温度計)
repairer	修繕屋
derange	〜‘を'錯乱させる|狂わせる
bungler	へまをする人|不器用な人
destructible	破壊し(され)やすい|壊れやすい
superstore	スーパーストア
aerate	空気を含ませる|浄化のために空気にさらす|血液に酸素を供給する
armyworm	ヨトウムシ(夜盗蛾の幼虫;農作物害虫)
cayuse	(米西部で)インディアンの小馬
praline	プラリーヌ|砂糖をまぶしたアーモンド
purslane	スベリヒユ(サラダなどに入れて食べる雑草)
tripwire	わなや仕掛けを動かすため地面に張った針金
umlaut	母音変異|ウムラウト記号(¨)
brutalize	残忍にする|非人間的にする
colored	色づいた|着色した|有色の
largish	やや大きい
leadoff	最初の
guilder	ギルダー(オランダの通貨単位)
insurrectionist	反乱者|暴徒
cycad	ソテツ(蘇鉄)
mightiness	強大さ
spearman	槍兵(やりへい)
smegmatis	Mycobacterium smegmatis|恥こう菌|スメグマ菌
freebooter	略奪者|海賊(pirate)
convolvulus	サンシキヒルガオ(アサガオの一種)
incertitude	確信(自信)のないこと|不確実|不安定
showery	にわか雨の多い
behoof	《古》利益|必要
backstairs	秘密の|こそこそした|陰口(悪口)ばかりの
gabardine	ギャバジン(羊毛と綿のあや織り)
monstrance	聖体顕示台(ローマカトリック教会で礼拝のために聖体がおかれている容器)
whipcord	むち縄|強くよったひも|あやうね織物
indetermination	不確定|不決断
phonogram	発音文字
cowlick	(頭の)立ち毛
pageboy	=page|〈U〉小姓髪(肩のところで髪を内巻きにする女性の髪型)
politesse	上品|礼儀正しさ
coping	(塀などの頂部の)笠木|笠石
davenport	大型ソファ-
enkindle	〜‘に'火をつける|〈情熱・欲望など〉‘を'燃え立たせる
hydrography	水路学|水路測量術
psaltery	ソルタリー(古代の弦楽器)
unicycle	(スポーツまたは曲芸用の)一輪車
houseplant	室内用鉢植え植物(のように家にじっとしている人)|出不精|おたく族
angelfish	エンゼルフィッシュ
discussant	討論者
burglarize	押し入り強盗をする
carrel	書庫内閲覧席
dishpan	洗いおけ
proteobacteria	プロテオバクテリア門|真正細菌の分類群|大腸菌|サルモネラ|ヘリコバクターなどの病原体含む|(ギリシャ神話で姿を変幻自在に変える神プロテウスにちなむ)
hotchpotch	= hodgepodge
stomacher	(昔の婦人用)胸飾り(宝石や刺しゅう飾りがある)
bettor	賭けをする人
pelf	《通例軽べつして》金銭(money)|(不正で得た)富(wealth)
costimulation	同時刺激|共刺激の意
houri	(イスラム教で)楽園にいて喜びを与える美少女|魅惑的な女性|売春婦
nonrestrictive	(文法で)非制限的な
scorcher	焦がすもの(人)|《単数形で》《話》焼けつくように暑い日|《単数形で》《俗》痛烈(しんらつ)なもの
sideslip	(車・スキーなどが)横すべりする|横すべり|横転
attar	バラ油|花の精|花のエキス
posthaste	《文》大急ぎで
educationist	=educator
deflower	〜‘の'花をもぎ取る|〈処女〉'を'犯す
housewifely	主婦の|主婦らしい
kismet	運命
novena	(カトリックで)9日間の祈り(修業)
outbred	異系交配の
blowhard	《米話》ほら吹き
amoeboid	アメーバ状の
saddlery	〈U〉馬具製造業|〈U〉馬具類[一式]|〈C〉馬具店
terrycloth	テリークロス(両面のけば(毛羽)の輪奈を切らずに残した布地;タオル地など)
contrail	飛行機雲
hypervariable	超可変
premed	医科大学予科(生)|医進
warmonger	戦争挑発者|戦争屋|主戦論者
tropopause	圏界面(対流圏と成層圏との境界の大気層)　対流圏界面
reasonability	道理にかなっていること|正当性|妥当性
sangfroid	冷静|沈着
flack	不平|批判|異議|苦情
fraudulence	詐欺|いかさま|不正
thimbleful	(液体の)ほんの少量《+of+名》
ingrain	(〜に)〜‘を'浸透させる|根づかせる《+『名』+『into』+『名』》
hornbill	サイチョウ|(熱帯林の樹上で生活する|くちばしの大きな派手な色彩の鳥)
accounting	会計学|会計|計算
insignia	記章|勲章|バッジ|しるし
bloodily	血まみれになって|血に染まって|《英俗》ひどく|べらぼうに
celeb	有名人|セレブ
trolleybus	トロリーバス
conventicle	(非国教徒の)秘密集会
administrate	=administer
mugging	強盗|暴力スリ
refection	〈U〉(特に飲食物による)元気回復|〈C〉軽食
terrazzo	テラソ(大理石の砕石入りセメント)
auscultate	〜'を'聴診する|聴診する
strongpoint	長所|強み
alp	高山|高峰
openwork	(彫金・織物などの)すかし細工
scantiness	不足;不十分
suppurate	〈傷が〉うむ|化膿する
slangy	俗語をつかう|俗語的な
translucence	半透明
phenom	非凡な人|奇才|天才
seriatim	相次いで|順次
jackanapes	いたずら好きの子供
flambeau	たいまつ
kapok	カポック|パンヤ|絹綿(クッション・まくらの詰め物にする)
placemat	プレースマット(食卓で各人用食器類の下に敷く小型のマット)
postinfection	感染後
topper	topするもの|上積み|上層|上部のもの|短いオーバー|シルクハット|高いバウンドのゴロ|いい奴|優れたもの|傑作|ピックアップ･トラックの荷台の上に取り付ける
wicketkeeper	(クリケットの)ウィケット・キーパー(三柱門の後方にいて通ってくるボールを捕るプレイヤー)
coruscate	輝く|きらめく|(知性などが)きらめく
documentarian	記録担当者
eolian	風の堆積(たいせき)作用による|風成の
intersperse	散らばせる|まき散らす|蒔き散らす
downer	(俗)鎮静剤|(特に)バルビツール剤|気の滅入るような場面|経験|退屈な人物
gristmill	粉ひき場|製粉所
lightship	灯台船
stocktaking	在庫調べ|たなおろし|(現状の)調査
blackleg	スト破りをする
daiquiri	ダイキリ(ラム酒・レモンジュース・砂糖などを混ぜたカクテル)
vinegary	酢のような|すっぱい|(人が)意地悪い|気むずかしい
spinnaker	(ヨットの主帆の前に張って追い風を受ける)大三角帆
turtledove	キジバト
discotheque	ディスコ
jingo	好戦的愛国主義者
bluegill	米国Mississippi川流域産のクロマス科の淡水魚
chambray	シャンブレー織り(綿・絹あるいは麻の霜降り模様の薄地織物)
schmooze	馬鹿話|ばか話|気楽な話|楽しく会話をする
booger	のやつ|鼻くそ
disbarment	弁護士資格のはく奪
microform	縮小写真印刷[物]
microstate	マイクロステート|極小国家(Monaco|Nauruなど)
megahertz	メガヘルツ
nymphomaniac	(女性が)色情狂の|淫乱な女性
kook	変人|ばか
malarkey	でたらめ話|作り話|ほら話|ナンセンス
bullheaded	わからずやでがんこな
bluestocking	《軽べつして》文学かぶれの女性|学才を誇る女
honeymooner	新婚旅行者
inscrutably	不可解に|なぞめいて
placode	(発生学)母組織|原基|プラコード
