lifesaver,救命具|救世主
pantyhose,パンティーストッキング
speedometer,速度計
walkout,ストライキ|立ち去ること
prate,ぺちゃくちゃしゃべる
snotty,鼻をすする|生意気な
vivisection,生体解剖
biotite,黒雲母
supplicate,懇願する
cinnabar,辰砂（硫化水銀の鉱石）
forgettable,忘れやすい
dripping,滴る|脂肪滴
academe,学問の世界
citron,シトロン（柑橘類）
radiantly,輝いて
rapacity,強欲
jangle,がらがら音を立てる
punctilious,細心の注意を払う
introversion,内向性
lasagne,ラザニア
tautological,同義反復の
multivitamin,マルチビタミン
detente,緊張緩和
despoil,略奪する
extirpation,根絶
tampon,タンポン
chaplaincy,牧師の職務
injudicious,分別のない
sumptuary,節約の|贅沢禁止の
riverboat,川船
debenture,社債
viol,ヴィオール（古い弦楽器）
beanie,ビーニー帽
megalithic,巨石の
preponderant,圧倒的な|優勢な
trice,瞬間|すぐに
howitzer,榴弾砲
westerner,西洋人
congruity,適合|一致
cordage,縄類
faun,ファウヌス（半人半獣の神）
inseparability,不可分性
hoarder,ため込む人
effete,衰えた|無力な
requiem,レクイエム|鎮魂歌
bonkers,狂った（俗）
irremediable,治療不可能な
curettage,掻爬術
highroad,主要道|正しい道
commode,便器|飾り棚
chauvinistic,熱狂的愛国主義の
mislay,置き忘れる
ballistics,弾道学
leotard,レオタード
emollient,軟化剤
lexicographer,辞書編纂者
shuck,殻|むく
jiffy,瞬間|すぐに
fracas,騒ぎ|乱闘
yep,はい（俗）
pupa,さなぎ
choker,チョーカー|首輪
participial,分詞の
stonemason,石工
slothful,怠惰な
casework,事例研究|相談業務
adoptee,養子
relaxant,弛緩剤
occultism,神秘主義
hyperbaric,高圧の
clapper,拍子木|打つ人
refundable,返金可能な
woodman,木こり
fenestration,窓の設置
affright,怖がらせる
abet,扇動する|助長する
passionless,情熱のない
quitter,すぐ諦める人
strum,弦をかき鳴らす
musicianship,音楽的才能
brainwave,ひらめき
papery,紙のような
brandish,振りかざす
dethrone,王位を奪う
wifely,妻らしい
furze,ヒースの一種|ひいらぎ
folklorist,民俗学者
pestilential,疫病の|有害な
byword,ことわざ|代名詞
unenlightened,無知な
browbeat,脅す|威圧する
auricle,耳介
buccaneer,海賊
ebullient,熱狂的な
locum,代理医師
racecourse,競馬場
living,生計
peeler,警官（俗）
comfortless,慰めのない
zephyr,そよ風
agoraphobia,広場恐怖症
fireproof,耐火の
appertain,関係する
flashpoint,爆発点|発火点
barroom,酒場
interregnum,空位期間
dropsy,水腫
caldera,カルデラ
goner,終わった人|見込みのない人
lexeme,語彙素
blacktop,アスファルト舗装
diversionary,気をそらすための
alarmist,過剰に警告する人
theoretician,理論家
scarp,急斜面|切り立った崖
guardsman,警備兵
phosphatidylcholine,リン脂質の一種
tutu,チュチュ（バレエ衣装）
holdover,残留者|遺物
aesthete,審美眼の持ち主
endurable,耐えられる
rhapsody,熱狂的感情の表現|狂詩曲
baronial,男爵の|荘園の
weeknight,平日夜
kiddie,子供（俗）
tortoiseshell,べっ甲
wastebasket,ゴミ箱
diehard,頑固な|根強い支持者
disparagingly,軽蔑的に
munificence,寛大さ
mouthwatering,よだれが出そうな
insolation,日射|日光曝露
nuclease,ヌクレアーゼ（核酸分解酵素）
odorless,無臭の
drinkable,飲める
gumbo,ガンボ（シチュー）
peroxisome,ペルオキシソーム
liquefy,液化する
woodshed,物置小屋|木材置き場
phrenology,頭蓋骨性格判断学
halloo,呼び声|声を上げる
armoire,洋服箪笥
cogently,説得力を持って
purebred,純血種
trivet,鍋敷き
overtone,倍音|含み
polytheistic,多神教の
raindrop,雨粒
recency,最近のこと
alliterative,頭韻の
breccia,角礫岩
puncher,穴あけ器|パンチャー
wader,長靴|渡り鳥
shamefaced,恥ずかしそうな
kith,親しい友人
untruthful,不誠実な
unflagging,衰えない
holography,ホログラフィー|ホログラム技術
permanganate,過マンガン酸塩
discontinuance,中止
agog,熱狂して
matt,つや消しの
dowdy,ださい|みすぼらしい
nastiness,不快なこと|嫌な性質
seamanship,航海技術
platitude,ありふれた言葉
orientalist,東洋学者
nerveless,無神経な|勇気のない
primogeniture,長子相続権
unpatriotic,非愛国的な
unctuous,媚びへつらう
lyricism,叙情性
imprimatur,認可|出版許可
indiscernible,見分けられない
antrum,洞窟|空洞
languorous,物憂げな|無気力な
flatmate,ルームメイト
damned,忌まわしい|地獄に落ちた
polygyny,一夫多妻制
denizen,居住者|住民
wondrously,驚くほどに|素晴らしく
microelectronics,マイクロエレクトロニクス（微細電子工学）
taffeta,タフタ（光沢のある布地）
sniffer,嗅ぎ回る人（または探知器）
crus,脚部（解剖学）
fumigation,燻蒸
nosegay,花束（小さな）
blockhouse,防御用小屋|要塞
speakeasy,（禁酒法時代の）秘密の酒場
cosmogony,宇宙創成論
coterminous,隣接する|共通の境界を持つ
psychosexual,精神性的な
lugger,帆船の一種
outrank,階級が上である
waddle,よたよた歩く
estrus,発情
earthwork,土塁|土工事
inconstancy,移り気|不安定さ
purifier,浄化装置
talon,かぎ爪
swordfish,メカジキ
bowsprit,バウスプリット（船首の突き出し部）
extralegal,法の範囲外の
subhuman,人間以下の|非人道的な
debauch,堕落させる|放蕩
escapist,現実逃避者
beadle,教会や大学の使者|雑務役
equable,安定した|穏やかな
eyesore,目障りなもの
feckless,無責任な|無能な
measurably,測定可能なほど
railcar,鉄道貨車|車両
randomize,無作為化する
baize,ベイズ（ビリヤード台などに使う毛織物）
galvanometer,電流計
ennoble,高貴にする|地位を上げる
bodywork,車体部分
firecracker,爆竹
unfunded,資金不足の
largeness,大きさ|寛大さ
peradventure,たぶん|疑い
precipitant,沈殿剤|突然の原因
thundercloud,雷雲
iconoclast,因習打破主義者
apoplectic,激怒した|卒中の
surplice,聖職者の白衣
drench,ずぶ濡れにする
stationer,文房具店|文具商
codicil,遺言補足書
gizzard,砂嚢（鳥の消化器官）
thickener,増粘剤|とろみ付け剤
sainthood,聖人の位
wonky,不安定な|変な
insularity,島国根性|偏狭さ
plaudit,称賛|拍手喝采
teat,乳首|乳頭
unsparing,容赦ない|惜しみない
northbound,北行きの
prudish,潔癖な|上品ぶる
ubiquitously,遍在的に|至る所で
atomizer,噴霧器|アトマイザー
workaday,日常的な|平凡な
bigamy,重婚
drearily,陰鬱に|退屈に
fab,すごい（口語）
incognita,匿名の女性|未知の女性
palaver,無駄話|口論
inundate,氾濫させる|殺到する
abyssal,深海の|深淵の
nutriment,栄養（になるもの）
gumption,勇気|元気|常識
camisole,キャミソール
flummox,混乱させる|うろたえさせる
actuate,作動させる|駆り立てる
chimp,チンパンジー［chimpanzeeの略語］
hawser,係留用のロープ（船用）
instep,足の甲
mousy,内気な|地味な|ネズミ色の
whispering,ささやき声
rewire,配線し直す
tactless,気が利かない
hailstorm,ひょうの嵐
boll,（綿などの）さや
careworn,やつれた|疲れ切った
stoical,冷静な|我慢強い
baneful,有害な|破滅的な
rayon,レーヨン（化学繊維）
slaw,コールスロー（キャベツサラダ）
boatload,船一杯分
uproarious,大騒ぎの|爆笑の
wildflower,野生の花
rarefaction,希薄化
tussock,草の塊
factitious,人工的な|わざとらしい
tetralogy,四部作
groggily,ふらふらと|寝ぼけて
rapine,略奪
counterpane,ベッドカバー
scud,飛ぶように動くこと|疾走
achy,痛む|うずく
braggart,自慢屋
eruptive,噴火性の|突発的な
phosphatidylinositol,ホスファチジルイノシトール（細胞膜リン脂質の一種）
hysteric,ヒステリーの発作|ヒステリックな人
mojo,魔力|魅力|運
icicle,つらら
unlisted,上場していない|名簿に載っていない
bestir,行動を起こす|奮起する
generalship,将軍の職|指揮能力
infinitude,無限（性）
proscenium,舞台の前部|プロセニアムアーチ
jowl,あご肉|あご
stapes,鐙骨（耳小骨の一部）
backgammon,バックギャモン（ボードゲーム）
birthrate,出生率
anchorite,隠者|修道士
bey,ベイ（オスマン帝国の称号）
constrictive,収縮性のある|締め付ける
derrick,デリック（クレーンの一種）
truancy,無断欠席|登校拒否
bouillon,ブイヨン（肉や野菜のだし）
yearlong,一年間の|一年にわたる
climatology,気候学
lea,草地|牧草地
belligerence,好戦性|交戦状態
sty,豚小屋|ものもらい（眼病）
accolade,賞賛|栄誉
mugger,強盗（特に通りでの）
broadcloth,ブロードクロス（上質な織物）
collusive,共謀の|談合の
haywire,混乱した|制御不能な
cortisone,コルチゾン（副腎皮質ホルモン）
endue,与える|授ける
roomful,部屋いっぱい
primus,最初の人|指導者
drear,陰鬱な|退屈な
cerulean,青空色の|青い
carbuncle,できもの|癰（よう）
chiropractic,整体療法|カイロプラクティック
overweening,思い上がった|過度な
decal,転写シール|デカール
grindstone,砥石
motorcade,車列|公式パレード
protester,抗議者
thereunto,それに向かって|それに関連して
cyclonic,サイクロンのような|旋回する
indelicate,無作法な|下品な
perfumery,香水類|香料製造
policymaker,政策立案者
splanchnic,内臓の
rotatory,回転の
paediatrician,小児科医（英式綴り）
haversack,背のう|雑のう
breadfruit,パンノキ（熱帯植物）
fusillade,一斉射撃|集中攻撃
incinerate,焼却する
playable,プレイ可能な|再生できる
aero,航空の|空気の
sportive,陽気な|ふざけた
calcineurin,カルシニューリン（酵素）
grandiosity,誇大さ|壮大さ
misapply,誤用する
pinna,耳介（外耳の一部）
trow,思う|信じる（古語）
raptor,猛禽類
droopy,垂れた|元気のない
supermodel,スーパーモデル
sib,血縁の|親族
bedlam,大混乱|騒がしい場所
napalm,ナパーム（可燃性化学兵器）
pretender,王位請求者|ふりをする人
lor,まあ（感嘆詞）（口語）〈イギリス英語〉
molding,モールディング|装飾の縁取り
snooker,スヌーカー（ビリヤードの一種）
macrocosm,大宇宙|全体像
slosh,バチャバチャ跳ねる|こぼれる
submergence,水没|沈下
sturdily,頑丈に|しっかりと
sentimentalist,感傷家
hypnotist,催眠術師
mistrial,審理無効|無効判決
profanation,冒涜|不敬
eventuate,結果として起こる
newsman,新聞記者|報道記者
proconsul,属州総督|代理総督
speechwriter,スピーチライター
openmouthed,口をあんぐり開けた|驚いた
lawmaker,立法者|国会議員
mutualism,相利共生
potluck,持ち寄り料理|運任せの食事
pocketknife,折りたたみナイフ
vibrato,ビブラート
sinecure,閑職（収入はあるが責任の少ない職）
quarterdeck,艦船の後部甲板
indoctrinate,教え込む|洗脳する
tuner,調律師|調整装置
dehumanize,人間性を奪う
gluttonous,大食の|貪欲な
freewheel,空転する|自由に動く
unstuck,外れた|行き詰まった（比喩）
unmeaning,意味のない|無意味な
gnocchi,ニョッキ（イタリアの団子状パスタ）
televisual,テレビ向きの
calypso,カリプソ音楽（カリブの音楽ジャンル）
cambium,形成層（植物の組織）
magnetosphere,磁気圏
understaffed,人手不足の
confectioner,菓子職人|お菓子屋
astrophysical,天体物理学の
reassign,再割り当てする|再配置する
waggle,小刻みに動かす|振る
insecticidal,殺虫の|殺虫剤の
solidus,斜線（スラッシュ）|ソリダス（金貨）
twisty,ねじれた|曲がりくねった
lockup,拘置所|保管庫
obviousness,明白さ|わかりやすさ
disappointingly,失望させるほどに
turpitude,堕落|卑劣さ
oilskin,防水布|オイルスキンのレインコート
couldst,〜できた［could の二人称単数形］（古語）
censorious,批判的な|あら探しの
fps,フレーム毎秒［frames per secondの略語］
whin,ハリエニシダ（低木）
headliner,主役|トップ出演者
milligram,ミリグラム
pebbly,小石の多い|ざらざらした
fishnet,網タイツ|漁網
counterrevolution,反革命
ragtag,寄せ集めの|みすぼらしい
bauble,安物の装飾品|つまらないもの
pseudonymous,偽名の|ペンネームの
steersman,舵手|操舵者
dogwood,ハナミズキ
waterhole,水飲み場
transgressor,違反者|罪を犯す者
chemotactic,走化性の（化学物質に反応して動く性質）
monozygotic,一卵性の
superpose,重ね合わせる
hailstone,ひょうの粒
spineless,背骨のない|意気地のない
transom,明かり窓|横木
huckster,行商人|押し売り
perfunctorily,おざなりに|形だけで
kingpin,中心人物|要
rehear,再審する|リハーサルする
expostulation,諫言|忠告
hibernate,冬眠する
spry,元気な|活発な
negligee,ネグリジェ（女性用の軽装寝間着）
saleable,売り物になる|販売可能な
illusive,錯覚の|幻想的な
recalculate,再計算する
guardhouse,衛兵詰所|留置所
pinnate,羽状の|羽根のような形の
munition,軍需品|武器弾薬
superfine,非常に上質な
coadjutor,補佐役|助手
monocle,片眼鏡
rookery,（鳥の）集団営巣地|スラム街（古）
akimbo,手を腰に当てた姿勢
waterman,船頭|漁師|水に関係する労働者
metaphysician,形而上学者
plotter,陰謀者|プロッター（描画装置）
cogeneration,熱電併給|コージェネレーション
wampum,ワンパム（装飾用ビーズ）|通貨的価値のある貝ビーズ
bleakly,わびしく|荒涼として
mismanage,誤って管理する|経営を誤る
polytechnic,工業専門学校|理工系の
suffragette,婦人参政権運動家
blandishment,お世辞|甘言
footing,足場|立場|基盤
macromolecule,高分子|巨大分子
tarn,山の湖|氷河湖
bankroll,資金を提供する|財源
contralto,コントラルト（女性の最低音域）
congruency,一致|合同（数学）
heliocentric,太陽中心の|地動説の
spyware,スパイウェア
circumlocution,婉曲表現|回りくどい言い回し
frond,（シダなどの）葉|葉状体
packer,荷造り作業員|詰める人
toasty,暖かくて心地よい|トーストのような
newscaster,ニュースキャスター
cogitation,熟考|深い思索
airspeed,対気速度（航空機の）
jabber,早口でしゃべる|わけのわからないおしゃべり
kudos,称賛|栄誉
cuteness,可愛らしさ
dilatory,遅れがちな|のろい
astrophysicist,天体物理学者
lefty,左利き|左翼の人（口語）
amputate,切断する（主に手足）
durum,デュラム小麦
retroviral,レトロウイルスの
windstorm,暴風
acceptation,一般的な意味|容認
directorial,監督の
antihistamine,抗ヒスタミン剤
polythene,ポリエチレン
enzymatically,酵素的に
wallflower,壁の花|内気な人
prioress,女子修道院長
leguminous,マメ科の
anthracite,無煙炭
oaf,不格好な人|まぬけ
rood,十字架
excommunicate,破門する
graceless,優雅さに欠ける
architrave,上枠
parlay,増やす|賭け金
upturn,上昇|好転
overpayment,過払い
carbocation,カーボカチオン
cockade,帽章
sidle,こそこそ歩く
corticosterone,コルチコステロン
cyanobacterial,シアノバクテリアの
trioxide,三酸化物
immunoreactive,免疫反応性のある
periwinkle,ツルニチニチソウ
gravedigger,墓掘り人
antineoplastic,抗腫瘍性の
amniocentesis,羊水穿刺
banditry,盗賊行為
buckboard,バックボード馬車
hatter,帽子職人
cognizable,認識可能な
daredevil,向こう見ずな人
manhunt,捜索|人狩り
sonny,坊や
creationism,創造論
spasmodically,断続的に
torah,トーラー|モーセ五書
appendectomy,虫垂切除
seneschal,家令
hitchhike,ヒッチハイクする
rhabdomyosarcoma,横紋筋肉腫
caesura,中間休止
metalanguage,メタ言語
secant,割線
trophoblast,栄養膜
cagey,用心深い
ineradicable,根絶できない
sublet,又貸しする
wrack,破壊する
metaphase,中期（細胞分裂）
mouthpart,口器
dipstick,測定棒
hawker,露天商人
vasectomy,精管切除
gonad,性腺
anorexic,拒食症の
tracing,写し取り|追跡
undertow,引き波
escutcheon,盾形紋章
neutropenic,好中球減少の
bandstand,演奏台
theist,有神論者
blackbody,黒体
coherency,一貫性
lunchbox,弁当箱
wingless,翼のない
prodigality,浪費
bawl,大声で泣く|叫ぶ
rhinestone,ラインストーン
aeronautics,航空学
craftily,ずる賢く
cockney,コックニー（ロンドン訛り）
carpool,相乗り
semolina,セモリナ粉
calligraphic,書道の|美しい筆記の
dietician,栄養士
geocentric,地球中心の
proofreader,校正者
ablution,洗浄
scallion,青ねぎ
repaint,塗り直す
paraplegia,対麻痺
punchline,オチ
mailman,郵便配達人
woodwind,木管楽器
endocrinologist,内分泌科医
brucellosis,ブルセラ症
madwoman,狂った女
microsome,ミクロソーム
ubiquitination,ユビキチン化
oligo,オリゴ（少数の〜）
ragtime,ラグタイム音楽
tuneful,メロディーのある
fistfight,殴り合い
entrain,引き込む
elderberry,ニワトコの実
flagellum,鞭毛
meddlesome,おせっかいな
radiometer,放射計
modeler,模型作成者
porno,ポルノ
masterwork,傑作
catlike,猫のような
workgroup,作業グループ
coleslaw,コールスロー
thusly,このように
overheat,過熱する
deerskin,鹿革
gamely,勇敢に
tonsil,扁桃腺
monkish,修道士のような
quickie,手早いもの|短時間の行為
saddlebag,サドルバッグ
punctate,点状の
freckle,そばかす
aneuploidy,異数性
simian,猿のような
chignon,髪のまとめ髪
grandmaster,グランドマスター
altimeter,高度計
cowherd,牛飼い
regurgitate,吐き戻す
tonsure,剃髪
concupiscence,情欲
entomology,昆虫学
oceanography,海洋学
hotelier,ホテル経営者
chirrup,さえずり
sherd,破片（陶器などの）
beggarly,みすぼらしい
loony,気が狂った|変人
geniality,親しみやすさ
twit,ばか者|からかう
minster,大聖堂
dingo,ディンゴ
erotically,官能的に
antinomy,矛盾律
envelopment,包囲
gerontology,老年学
mainmast,主柱（メインマスト）
semipermeable,半透性の
popsicle,アイスキャンディー
retch,吐きそうになる
launder,洗濯する
sensationalist,扇情主義の
stooge,引き立て役|手先
hist,しっ（静かにの意）
fakir,修行僧（イスラム教）
catechist,教理教師
pulsate,鼓動する
chemiluminescence,化学発光
cheekily,生意気に
mannerism,癖|マンネリ
complaisance,愛想のよさ
rosin,松脂
neurotoxin,神経毒
asphyxiation,窒息
veld,（南アの）草原
flowerpot,植木鉢
saxophonist,サックス奏者
spyglass,小型望遠鏡
welt,みみずばれ
electioneer,選挙運動をする
pyridoxine,ピリドキシン（ビタミンB6）
spectrophotometry,分光光度法
mirthful,陽気な
anthracis,炭疽菌
placer,砂金採取地
curdle,凝固する
hunky,魅力的な男性
employable,雇用可能な
charnel,納骨所
lovebird,ラブバード|愛し合うカップル
marginalia,余白注
callously,冷淡に
mesophilic,中温性の
tutelary,守護の
submersion,水没
esplanade,遊歩道
fortnightly,隔週の
spinoff,派生品
miscibility,混和性
encase,包む
hygroscopic,吸湿性の
housing,住宅
postern,裏門
bleep,ピー音
tern,アジサシ（鳥）
hyssop,ヒソップ（薬草）
airfare,航空運賃
semiannual,年2回の
occidental,西洋の
sherbet,シャーベット
conjoin,結合する
daffodil,ラッパスイセン
commensurable,比例する
prowler,うろつく者
vaunt,自慢する
manioc,キャッサバ
snooty,偉そうな
stockman,牧夫
bivalent,二価の
notepaper,便箋
painterly,画家風の
biz,ビジネス（俗語）
gullibility,だまされやすさ
erst,以前は
woodsy,森のような
ravish,うっとりさせる|強姦する
realpolitik,現実政治
rematch,再試合
poetess,女流詩人
windless,無風の
oriole,コウライウグイス
ineluctable,避けられない
loftiness,高尚さ|高さ
millinery,婦人帽子製造
refract,屈折させる
macaw,コンゴウインコ
genealogist,系譜学者
tendentious,偏向的な
trainable,訓練可能な
baldly,あからさまに
dukedom,公爵領
respectably,きちんと|まともに
sunder,引き裂く
signor,〜氏（伊語の敬称）
abuzz,騒がしい
bodega,小さな食料雑貨店
geodetic,測地の
recuse,忌避する
doldrums,不振|無風状態
haulage,輸送（特に陸路）
mirthless,笑いのない|むなしい
ventriloquist,腹話術師
beachhead,上陸拠点
fez,フェズ帽
crudity,粗さ
presto,プレスト（急速に）
solubilized,溶解された
overdress,着飾りすぎる
underarm,わきの下の
choleric,怒りっぽい
prof,教授（略）
milkmaid,乳搾り娘
slanderer,中傷者
inculcation,教え込み
cubical,立方体の
nifty,しゃれた|便利な
tabu,タブー（禁忌）
alphanumeric,英数字の
billowy,うねるような
jollity,陽気さ
unlettered,無学な
sere,枯れた
roundish,やや丸い
victimize,犠牲にする
dickens,こいつめ|悪魔
mistrustful,疑い深い
paleontology,古生物学
homologue,相同体
cultivable,耕作可能な
tradespeople,商人たち
hematology,血液学
insensate,無感覚な
knick,小さな切れ目
serovar,血清型
cornflower,ヤグルマギク
globule,小球
unflappable,冷静な
regatta,ボートレース
boogie,ブギ（音楽・ダンス）
cornflour,コーンスターチ
hyperbola,双曲線
sciatica,坐骨神経痛
chaparral,低木地帯
malachite,マラカイト（孔雀石）
congeal,凝固する
chromate,クロム酸塩
inelegant,不格好な
sago,サゴ（デンプン）
retry,再試行する
craftiness,ずる賢さ
incarcerate,投獄する
maintainability,保守性
sunless,日陰の
synonymy,同義語関係
aviary,鳥小屋
recondite,難解な
wattage,ワット数
gouty,痛風の
interminably,果てしなく
physio,理学療法士［physiotherapistの略語］
malate,リンゴ酸塩
sanitarium,療養所
vacillate,揺れる|迷う
impound,差し押さえる
cordless,コードレスの
grandad,おじいちゃん（口語）
cour,裁判所［courtの古綴または省略語］
osprey,ミサゴ
bolo,ボロ紐|投げ縄
antediluvian,非常に古い
receivership,管財人管理
anthropoid,類人猿の
prance,跳ね回る
peddle,行商する
distractor,気を散らすもの
printing,印刷
flamethrower,火炎放射器
ascertainment,確認
nosey,詮索好きな
hematoxylin,ヘマトキシリン（染色剤）
lope,ゆったり走る
uncounted,数えられていない
transliterate,音訳する
undergarment,下着
bacteriological,細菌学の
cadaverous,死体のような
gloaming,夕暮れ
drivel,たわごと
astound,仰天させる
hertz,ヘルツ（周波数単位）
geostationary,静止衛星の
stamen,おしべ
doughty,勇敢な
earthbound,地上の
deist,理神論者
dreariness,陰うつさ
embryonal,胚の
herniate,ヘルニアになる
mesenchyme,間葉組織
unworldly,世間知らずの
hajj,ハッジ（イスラム教の巡礼）
prestressed,予応力のある
flycatcher,ムシクイ科の鳥
rial,リアル（通貨単位）
starlet,新人女優
tuberculin,ツベルクリン
cabby,タクシー運転手（口語）
