plotz	(俗)驚く|カッとなる|頭に血が上る|驚いて卒倒する
unconscionably	非良心的に|不謹慎にも|不当に|不合理に
horselaugh	(無礼な)高笑い
premonitory	(不吉な)前触れとなる|警告的な
altruistically	利他的に
tangibility	触知できること;明白|確実
irresolution	不決断|優柔不断
denotative	表示的な|指示的な(〜を)表示する《+『of』+『名』》|(論理学で)外延の
noncooperation	協力しないこと;(政府に対する)非協力
submicroscopic	(顕微鏡では見えないほど)極微小の
excoriate	の皮膚をすりむく|の表皮をむく|激しく非難する
shirtsleeve	ワイシャツのそで
hemophiliac	血友病患者(の)
algebraist	代数学者
jewelweed	(北米産の)ツリフネソウ
preponderate	(数量・勢力・重要性などにおいて)(〜より)優位を占める《+『over』+『名』》
analogize	類推する|(〜と)類似している《+『with』(『to』)+『名』》|〜'を'類推する
frenetically	逆上して;熱狂的に
benignant	(特に目下の人に)優しい|親切な|ためになる|有益な
garishly	派手に|けばけばしく
cockscomb	(おんどりの)とさか|(また『coxcomb』)《文》(道化師の)とんがり帽子|ケイトウ(赤紫色の花の一年草)
arraign	(法廷に呼び出して)〈被告〉‘に'起訴事実の認否を問う|《文》〈言動など〉'を'とがめる|糾弾(きゅうだん)する;(〜に関して)〈人〉'を'とがめる|非難する《+『名』+『for』+『名』》
ineluctably	避けられないで
layabout	なまけ者
purvey	まかなう|調達する|伝える
convoke	〈会議など〉'を'召集する
concubinage	同棲|内縁関係
lifework	一生をかけた仕事|ライフワーク
reparable	(誤りが)修正できる|直せる
ophthalmia	眼炎(目が赤くはれる炎症)
gallivant	(刺激・楽しみを求めて)ぶらつく|ほっつき歩く(gad)
deafen	聴覚を奪う
disfranchise	〈人〉‘から'公民権(選挙権)を奪う|〈都市〉‘から'特権を取り上げる
abjection	卑しさ|卑劣|下劣
folding	折り畳みの
victual	飲食物|食料(provisions)|〈多人数〉‘に'食物を供給する|〈船など〉‘に'食糧を積み込む
prognosticate	(知識・経験に基づいて)〜‘を'予知する|予測する;〈〜であること〉‘を'予知する《+『that節』》|〜‘の'前兆となる
addle	〈卵〉'を'腐らせる|《話》〈人|人の頭など〉'を'混乱させる|〈卵が〉腐る|《話》〈人|人の頭などが〉混乱する
agglutinate	〜'を'膠着(こうちゃく)させる|膠着する
benignity	仁慈　優しさ　親切な行為　恩恵　慈悲　温暖　親切温情
ouzel	クビワツグミ(全体が黒く胸に白い輪のある鳥)
rentier	不労所得生活者
coxcomb	しゃれ者|だて男|=cockscomb2
underquote	(特定の競争相手よりも)〜‘に'安い値をつける|‘を'安く見積もる(underbid)
floury	粉だらけの|粉のついた|粉っぽい|粉状の
congest	(〜で)〈道路・乗り物など〉'を'混雑させる|いっぱいにする《+『名』+『with』+『名』》|〜'を'うっ血(充血)させる|混雑する|いっぱいになる;うっ血(充血)する
zelkova	欅(ケヤキ) (ニレ elm の近縁種)
stateliness	荘重|威厳
landslip	=landslide1|2
delectably	快く|楽しく
unbuckle	〜‘の'留め金をはずす
smoothbore	(鉄砲が)滑腔(かっこう)の(施条の付いていないこと)|滑腔銃
jerkiness	急に動くこと|けいれんすること|愚かなこと
reinsure	〜‘を'再保証する|〜‘に'再保険をかける
yonks	長期間|長い間
peaky	峰のようにとがった|衰えた|やつれた|《話》気分が悪い
limbless	手足(翼)のない
cannily	慎重で抜け目なく
schuss	(スキーの)直滑降|直滑降する
aflutter	(旗などが)はためいて|ひらひらして
goddaughter	名付け娘|教女
naysayer	反対論者|反対|否定する人
plainspoken	遠慮なく(率直に)言った
catgut	腸線|ガット(小羊などの腸で作った強いひも・糸で弦楽器の弦|テニスのラケット|外科用縫合糸などに用いる)
cacodylate	カコジル酸塩
asterism	〈U〉星状光彩(結晶した鉱物に見られる星形の光の反射)|〈C〉星群;星座
hawser	(停泊･曳航(エイコウ)用などの)大綱|大索
underexposure	(写真)露出不足
leading	先導する|主要な|主な|優れた
embezzler	横領者
staging	上演できる|上演|駅馬車業|集結
cion	=scion
fluster	騒がす|あたふた|あわてる様子
suffuse	満たす
kinswoman	親類の女
saleslady	女店員
transship	〈乗客・貨物〉‘を'他の船(列車など)に移す|積み換える
taximeter	タクシーの料金メーター
fervency	熱烈|激情|熱意|白熱|熱さ|ほてり
refutable	論破できる|反証の余地のある
internee	抑留されている人|監禁されている人
bethink	(〜について)〈自分〉‘に'考えさせる|思い出させる《+one『self』 『of』+『名』(『wh-節』)》
tsarina	=czarina
potsherd	(特に考古学的価値のある)陶器片
priggish	気取った|口やかましい
serried	密集［林立］した(crowded)
wherefrom	[そこから]〜するところの(from which)
careworn	(人・顔などが)苦労でやつれた
charlock	ノハラガシ(黄色い花の咲くアブラナ属の植物)
tonsure	剃髪(ていはつ)(司祭職に就くため|または修道士になるため頭髪全部またはその一部をそること)|頭髪をそり落とした部分|〜を剃髪する
frolicsome	はね回る
overrate	過大評価する
patriotically	愛国的に
haziness	かすんだ状態|ぼんやりした様子
ritualism	《しばしば軽べつして》儀式[尊重]主義|形式主義
redistrict	(選挙などのために)〈区域〉‘を'分割(区画)し直す
phyletic	系統発生の
vinegary	酢のような|すっぱい|(人が)意地悪い|気むずかしい
strangulate	〈腸・血管など〉‘を'くくる|縛る;〈血行など〉‘を'縛って止める
roving	移動する|常駐しない|放浪する
hexameter	六歩格(ギリシア・ラテン叙事詩などの韻律);〈C〉六歩格の詩行
rowdiness	乱暴・騒々しさ
sinuosity	〈U〉曲がりくねり|湾曲|〈C〉(川・道路などの)湾曲部
seriatim	相次いで|順次
parricide	〈C〉近親者(特に父親)殺しの犯人|尊属殺人者|〈U〉尊属殺人
ullage	(たる・びんなどで液体の蒸発・漏出などによる)不足量|目減り量
disembowel	(動物から)内臓を抜き出す
grandness	雄大[さ]|壮大[さ]|堂々としていること
splotchy	汚れ(しみ)のついた;大きな斑点のある
allurement	〈U〉そそのかし|誘惑|〈C〉誘惑する物(事)
straggle	ばらばらに広がる|散在する|列などからはぐれる|落伍する|締まりがない
recreant	不実(忠)な;おく病な|裏切り者|おく病者
adrenalectomized	副腎を切除された
incontrovertibly	議論の余地がなく|明らかに
reportorial	記者の|報告者(記録係)の|報告(的)の|記録の
imputable	負わせられる|帰せられる;(〜を)負わせられる《+『to』+『名』》
castoff	解雇された人|脱ぎ捨てた|捨てられた人(物)
annelid	環形動物(ミミズなど)|環形動物の
candelabrum	枝付き燭台
bareness	裸|むき出し
browning	褐色化
shamefaced	恥じた|恥じ入った|はにかむ|内気な
spoilsport	他人の楽しみをだいなしにする人
photostatic	フォトスタットの|複写写真[機]の
perspicuity	(言葉などの)明快さ|理解しやすさ
visitant	《文》幽霊|亡霊|(またvisitor)渡り鳥
voracity	大食|猛烈な食欲;どん欲さ
telemeter	テレメーター|遠隔計器(温度・放射能などを護定し遠く離れた受信地に送る電気装置)
fadeless	しおれない|衰えない;色あせない|不朽の
judder	震える|きしむ(vibrate)
orrisroot	ニオイアヤメの根茎(香料などに用いる)
puckish	いたずら好きの
permissibly	許されて|差し支えなく
dogcart	(背中合わせの2座席がある)軽二輪馬車|犬に引かせる二輪車
topdress	〈土の表面〉に追肥をする(肥料|石灰などをまくこと) = top-dress
jocund	陽気な|快活な|楽しそうな(cheerful|gay)
unutterably	言語に絶するほどに|非常に
steamfitter	スチームパイプ(蒸気管)
inextinguishable	(火・感情が)消すことのできない;抑えきれない
cretinism	クレチン病(甲状腺障害で幼児期に発育が止まる)
embrocation	〈U〉(ローション・塗り薬などを)すりこむこと|塗布すること|〈C〉塗り薬
betoken	予示する
lysogenic	溶原性|ウイルス(Phage)が感染し|細胞膜を破壊された細菌がphageの形質を持つようになることをいう
merchantman	商船
peccadillo	ちょっとした過ち
cubbyhole	こぢんまりして(暖かくて)気持ちのよい部屋･場所
clericalism	聖職権[拡張]主義;聖職者の政治勢力
foeman	敵|敵兵
confute	論破する
muezzin	イスラム教徒の祈とう時報係(イスラム教寺院の尖塔から|定刻に大声で合図の言葉を唱える)
unexpectedness	思いがけないこと|不意|意外
fusty	かび臭い
rathskeller	(通例地下にある)ドイツ風レストラン
enfranchise	〜‘に'参政権(選挙権|自治権)を与える|〈奴隷(どれい)など〉‘を'解放する|自由にする
incertitude	確信(自信)のないこと|不確実|不安定
requital	返礼|報償|仕返し|報復(revenge)
capful	帽子1杯[の量]
drub	(棒などで)〜‘を'強く打つ|(試合などで)〈相手〉‘を'決定的に負かす
cognomen	名字|姓;家名|名称;あだ名
jackboot	ひざの上までくる長靴
miscalculate	計算違いをする
extenuate	軽くする|酌量のする|軽くみなす|酌量する|軽減する
aquacade	水上ショー(音楽に合わせて飛込み・水中ショーなどを見せる)
disinherit	〈相続人〉‘から'相続権を奪う;〜‘を'勘当する
wangle	を策略で手にいれる|をごまかす|ごまかし
roughen	〜‘を'粗くする|ざらざらにする|粗くなる|ざらざらになる
towline	(船・車などの)引き綱
plutocratic	金権政治[家]の
calomel	塩化第一水銀(下剤・殺菌剤用の白色の粉末)
muddler	物事を台なしにする人|マドラー(飲み物を混ざ合わせる棒)
bagful	(〜の)袋1杯[の量]《+『of』+『名』》
disquietude	不安|不穏
stingo	強いビール
calculative	計算の|打算的な;慎重な|抜け目のない
bundler	包み(束)を作る人|荷物をまとめる人
careerism	立身出世主義
nightrider	(特に南北戦争後の)夜の騎馬暴力団員
highfalutin	もったいぶった|大げさな
anile	老婆の[ような];もうろくした
artilleryman	砲兵|砲手
pessimistically	悲観的に|厭世的に
refection	〈U〉(特に飲食物による)元気回復|〈C〉軽食
semiprofessional	半職業的な|(選手など)セミプロの・半職業人|セミプロ選手
mismanage	〜‘の'管理(経営|取り扱い)を誤る
bigamist	重婚者
precessional	(地球の自転の)歳差[運動]の
compendious	簡潔な|簡明な
aleatory	偶然で決まる|偶然の
waylay	〈人〉‘を'持ち伏せする|〈人〉‘を'持ち受けて呼び止める
manometric	流体圧力測定器の(で測った)
putdown	〈U〉制圧|〈C〉《米話》相手をばかにした言葉(ふるまい)|ちゃかし|いじわる
fruiterer	果物屋|果実商
shirtwaist	カラーとカフスのついたワイシャツ型の婦人用ブラウス(ワンピース)
chrysalid	=chrysalis
cogitate	(〜について)熟考する《+『on』(『about』|『over』)+『名』》
hyperosmolar	高浸透圧性
thinking	思考力のある|理性的な|考え深い|思考|意見|思案|考え
overproduce	〜‘を'過剰生産する
propinquity	(時・場所・関係の)近接
countervail	に相等する|に対抗する|補償する|相殺する|埋め合わせる
calisthenic	美容体操の
chloromycetin	クロロマイセチナ(抗生物質の一種;商標名)
spermatozoon	精子|精虫
striation	〈C〉細い溝(筋)にはいった状態|筋を付けること|〈C〉細い溝(筋)に一本(stria)
phthisis	(特に重症の)肺結核
archaism	古語|古風な表現|〈U〉古文体|擬古体
lacerate	(lˈæsərèɪt)引き裂く|引き裂かれた|裂けた
seclude	(〜から)〈人〉‘を'引き離す|孤立させる《+『名』〈人〉+『from』+『名』》
ninefold	9倍の|九重の|9倍に|九重に
horsewoman	女騎手|婦人乗馬者
canonize	列聖する|敬う
disentanglement	もつれを解きほぐすこと
tenderhearted	心の優しい|思いやりのある
resoluteness	決心の固さ
eleemosynary	施し物の|慈善による
unbolt	〈戸・門など〉‘の'かんぬきをはずす|‘を'あける
veritably	ほんとうに|真に
extraditable	(犯罪者が)引き渡せる;(国外・州外逃亡犯人が)引き渡し可能な
protract	(時間的に)〜‘を'長引かせる
highjack	=hijack
disconcert	(人)の落ちつきを失わせる|当惑させる|混乱させる|くつがえす|(計画など)の裏をかく
coccus	球菌|個々の細胞の形状が球形の原核生物(真正細菌及び古細菌)のこと|桿菌(bacillus)|らせん菌(spirillum)と併せ|原核生物を形態で分類する場合の用語
choler	《まれ》かんしゃく|怒気
untidiness	だらしないこと;無精;乱雑
saintliness	(聖人のような)気高さ|こうごうしさ
hatless	帽子をかぶっていない
umbel	散形花序
epigrammatic	警句(風刺詩)の|警句ふうの|風刺的な;(人が)警句好きの
coachwork	自動車の外側車体
papule	丘疹(きゅうしん)|(皮被にできる)小さな吹き出物
granduncle	大おじ(親のおじ)
souse	(水などに)〜‘を'入れる|突っ込む《+『名』+『in』(『into』)+『名』〈水など〉》|〜‘を'ずぶぬれにする|〜‘を'酢(塩水)につける|《米》〜‘を'酔わせる|水につかる|ずぶぬれになる|《米》酔っ払う|(豚の足などの)塩づけ|(つけ物の)塩づけ汁|塩水|《米》大酒飲み|酔っ払い
conflictive	矛盾する|相反する
vassalage	(封建時代の)封臣(領臣)の身分|(家臣に要求される)忠誠心|(君主から与えられた)封土|従属|隷属(れいぞく)
overcall	=overbid
pastern	繋(けい)(牛・馬などの脚のくるぶしとひづめとの間の部分)
endotoxic	内毒素
snivel	鼻水(をたらす)|泣き言(を言う)|鼻をすする|鼻声
pectic	ペクチンの|膠素(こうそ)の
underclothing	=underclothes
designedly	計画的に|故意に
underpay	〈労働者など〉‘に'賃金を十分に支払わない|不当に安い給料を払う
whensoever	wheneverの強調形
engraft	(他の木に)〜‘を'接ぎ木する《+『名』+『on』(『upon』)+『名』》|(人の心などに)〈主義・考えなど〉‘を'しっかりと植え付ける《+『名』+『in』+『名』》
fellowman	(人類の)仲間|同胞
immolate	いけにえにする|犠牲にする
yowl	長く悲しそうに叫ぶ|遠吠えする|物悲しい鳴き声
periphrastic	回りくどい|遠回しの
onanism	オナニー|手淫|性交中絶
penurious	貧乏な;(〜が)欠乏した《+『of』+『名』》|けちな
caesura	中間休止(詩行の中間で意味の切れによる休止)
shipload	船1隻の積荷量
unlatch	〈戸など〉‘の'掛け金をはずす
obbligato	助奏(普通の伴奏以外につける装飾的伴奏)|(伴奏などが)不可欠の|省略できない
upperclassman	(大学・高校の)上級生(3年生または4年生)
syllabification	=syllabication
ortolan	キノドアオジ(ホオジロ属の鳥)
ebullience	幸福感と喜びに満ちあふれること
janissary	トルコ近衛(このえ)兵(1826年廃止);(一般に)トルコ兵
bonzer	非常に大きい|すばらしい|みごとな
protraction	(〜を)長引かせること《+『of』+『名』》
contumely	(言葉・態度の)ごう慢|無礼;(それによって受けた)恥辱
capriole	カプリオール(前脚を引いて飛び上がり|後脚をけり上げる)馬の跳躍)
mysid	アミ類(小型のエビ類)
achene	痩果(そうか)(タンポポ・キンポウゲの類の果実)
horridly	ひどく
cogwheel	[はめば]歯車
protuberant	突き出した|隆起した
perfunctorily	おざなりに
kibitz	(トランプなどゲームをそばで見物して)余計な口出しをする
jejune	《文》(特に書かれたものが)おもしろみのない|無味乾燥な|未熟な|《米》子供っぽい
sickbed	病床
shrillness	(声の)甲高さ|鋭さ
coping	(塀などの頂部の)笠木|笠石
scenically	風光明美に|舞台的に
mishandle	の取り扱いを誤る|へたにいじくる|まずく処理する|虐待する|手荒く取り扱う
surd	無理数(ルート3など)
wadge	(〜の)ぎゅっとつめた束《+of+名》　塊（かたまり）　ケーキ一切れ
piquancy	ぴりっとかる良い味|痛快;しんらつ
cresset	かがり(かがり火を燃やす金属製のかご)
inflexibly	不屈に|がんこに
unpremeditated	前もって考えてない|故意でない
paradisiacal	天国の[ような]
conge	(公株の)退去|(突然の)免職|解任
sermonize	小言を言う|説教する|説法する
forepaw	(犬や猫など爪のある哺(ほ)乳動物の)前足
bigamous	重婚罪の|同時に2人の夫(妻)を持った
draggy	無気力の|不活発な|非常に退屈な
dizzily	目まいがして;目がくらむほど
copout	(決断すべき事の)放棄|断念;破約
servicewoman	(電話などの)女性の修理人(係)
pauperism	(救済の必要な)貧窮状態|赤貧
maltreat	〜‘を'虐待する|酷使する
diaminobenzidine	ジアミノベンジジン(化学的に安定な合成繊維の名称)
oviparous	(生物が)卵生の
kummel	キュンメル酒(北ドイツ産の強い酒)
peroration	(講演などの)結論|熱のこもった演説
anisette	アニス入りのリキュール酒
disfranchisement	公民権(選挙権)はく奪
suspiciousness	疑惑|不審
bedspring	寝台のマットレスを支えている床座のスプリング
nonrigid	堅くない|柔軟な|(飛行船が)軟式の
bereave	(bereft|bereaved)(生命･財産など)を奪う|失わせる
shootdown	シュートダウン|撃ち落す|(人を)撃ち殺す
collaborationist	敵に協力する人|敵に協力的な
leisured	暇のある|有閑の;ゆっくりした
prolixity	冗長
humidify	〜‘を'湿らす|ぬらす
intermit	〜‘を'一時中断する|一時中断する
planetesimal	微惑星体(太陽系生成時に互いとの衝突・合体によって原始惑星に成長する小天体)
hydropathy	=hydrotherapy
buskin	(一種の)編み上げ半長靴|(古典悲劇役者がはく)半長靴|《the~》悲劇(tragedy)
chaffer	値切り|掛け合い|値切る|値を掛け合う
roughrider	ロデオに出す馬の調教師|荒馬を乗りこなす人
coarsen	あらくなる|粗雑になる|〜'を'あらくする|粗雑にする
expostulate	(〜について人を)いさめる|訓戒する《+『with』+『名』+『about』(『on|for』)+『名』(do『ing』)》
attaint	(法律上)〈人〉‘の'私権を剥奪(はくだつ)する|《古》〈名誉など〉'を'汚す|私権喪失|《古》汚名
dybbuk	(人に取り付くというユダヤ民俗の)悪霊(りょう)|死人の霊
staysail	支索帆(両マスト間の三角帆など)
clearway	停車禁止道路[区間]
perjure	偽誓する
betroth	(〜と)〜'を'婚約させる《+『名』+『to』+『名』》
ladyfinger	指状のカステラ風の菓子
prudery	淑女ぶり
strongpoint	長所|強み
eclectically	取捨選択して|折衷して
vasopressor	昇圧剤
outdistance	(競技などで)〈相手〉‘を'はるかに引き離す
atonality	(音楽の)無調[性]|(作曲上の)無調様式
posthaste	《文》大急ぎで
nosecone	ノーズコーン(ロケット先端の円錐(えんすい)形部分)
vicissitude	(人生・境遇などの)変化|変動|浮沈
scurf	(頭の)ふけ|あか|(一般に)薄くてうろこ状にはげ落ちるもの
underdress	〈人〉‘に'場所(状況)にそぐわない服装をさせる　略式（簡単）すぎる服装をする　くだけすぎた服装をする
swelter	暑さでまいる|汗だくになる
gluey	にかわ質(状)の|にかわのようにねとねとする
tragedian	悲劇作家|悲劇俳優
nitre	=niter
massiveness	どっしりとしていること
immodesty	慎みなさ|みだら;無遠慮|うぬぼれ
dissuasion	(説得して)思いとどまらせること
goodhearted	親切な|やさしい(kind)
commonalty	一般民衆|庶民|民衆団体
overcrowd	混雑さ
distend	膨張させる|広げる|膨脹させる|誇張する|膨らませる
clearheaded	頭の冴えた
correlogram	相関曲線
indorse	=endorse
sluttish	(女が)だらしのない|(女が)身持ちの悪い
dishearten	落胆させる
shagbark	ヒッコリー(北米産のクルミ科の木);|その木材
noncontributory	(年金が)雇用者負担の
individuate	〜‘を'個別化する|〜‘に'個性を与える
exurb	準郊外(郊外のさらに外部にあり|富裕階級が住む地域)
oversleep	寝過ごす|寝坊をする
murkiness	暗さ;陰気;曇っていること
berkelium	バーケリウム(超ウラン元素;化学記号はBk)
hypothecate	〜‘を'仮定する;〜‘と'いう仮説を作る《+『that節』》|仮説を立てる
consolatory	慰めの|慰問の
typing	typewriting
placode	(発生学)母組織|原基|プラコード
oozy	にじり出る|じくじくする|どろどろした|泥のような
thighbone	大腿(だいたい)骨
ligate	(強く)縛る|ligate the artery動脈を結紮(ケッサツ)する
cerumen	耳あか
alienist	《古》精神病医(特に法廷での証言を専門とする)
thermocycler	サーモサイクラー|生物学や医学の実験で|ポリメラーゼ連鎖反応(PCR)によりDNA断片を複製させる機器
drupe	核果|石果(さくらんぼ・梅・桃など)
fraudulence	詐欺|いかさま|不正
afforest	〈荒地・畑など〉'を'山林にする;〈土地〉‘に'造林する|植林する
choky	監獄
thieve	盗む|どろぼうを働く
eulogize	賞賛する|ほめたたえる|賛美する|の賛辞を述べる
tetchy	気難しい|怒りっぽい
civvies	(軍服に対して)平服|背広
treacly	糖みつの[ような];(飲食物)が甘ったるい|(声・言葉などが)甘ったるい
aboveboard	公明正大な|隠すことのない|公明正大に|隠しごとをせずに
pugilistic	＜pugilist|ボクシングの|ボクサーの|ボクシング|ボクサーに関する
earsplitting	(音・声が)耳をつんざくような
popinjay	しゃれ者|気取り屋
transfuse	〈血液〉‘を'輸血する:transfuse blood 輸血する
veracious	(人が)真実を語る|正直な|(話などが)正確な|ほんとうの
anywise	どうしても|なんとしても
unguent	軟こう;こう薬
overtax	重税をかける
loudmouthed	大声の|やかましい
squally	突風の吹く|荒れ模様の|《話》形勢が悪い;不穏な
frontbench	大臣|野党の幹部(議会で正面に近い席につくことから)
busywork	忙しいが価値のない仕事
spiritualistic	唯心論的; 心霊術（的）
sideway	横道|歩道|脇道
speechify	演説をぶつ|長談義をする
appositive	同格の(語･句･節)
incorruptibility	買収されないこと|清廉潔白|腐敗しないこと
blighter	いやなやつ|男|やつ
xpost	(発音krɔ'ːspóust)|(=x-post)|クロスポストする(同一内容のＥメールを複数のメーリングリストに投稿する)
contumacy	権威無視|命令服従
chromatically	彩色を施して|彩色的に|半音階に
cumbrous	=cumbersome
labium	くちびる;くちびる状の物|《複数形で》陰唇
convect	〈熱・流体〉'を'対流によって移動させる
carbocation	カルボカチオン(正に帯電した炭素を含む化合物)
repoint	〈壁のれんがの間〉‘に'モルタルを塗り直す
ubiquitylation	ユビキチン化 
kedge	〈船〉‘を'錨(いかり)綱をたぐって動かす|〈船が〉錨綱のたぐりで動く|(船を移動させる)小錨
superlatively	最上に|最高に
bloodcurdling	血も凍もような|ぞっとするような
waspish	スズメバチのような|怒りっぽい|短気な
execration	〈U〉憎悪|〈C〉のろいの言葉|〈C〉のろうべき相手(物)
comestible	食料品
uncoil	〈巻いたもの〉‘を'ほどく|解く|ほどける|解ける
ratiocination	推論|推理
prearrangement	前もっての打ち合わせ
kicky	おしゃれな|面白い|蹴り癖のある|すてきな|シックな|活気のある|元気な|最新の|刺激的な|ワクワクする
belike	どうも〜らしい|おそらく|たぶん
tardily	のろのろと
smoulder	くすぶる|煙
depopulate	〈戦争・悪疫などが〉〜‘の'人口を減らす
shrewish	口やかましい;意地の悪い
unversed	(〜を)経験していない|(〜に)熟達していない《+in+名》
nonaligned	(国家が)非同盟の|中立の
superabundant	(物・愛情などが)過多の|あり余る;(〜が)あり余っている《+in+名》
hypercritical	酷評の|あら捜しする(overcritical)
obduracy	強情|がん固;冷酷
lifebuoy	救命用浮き袋|救命ブイ
delouse	〜‘から'シラミを駆除する
