acute	鋭い|激しい|緊急の|急性の|ひどい|重大な
surely	確実に|確かに
wooden	木製の|木でできた|不器用な|無表情な|ぎこちない
elite	エリート(層)|精鋭|精粋|選ばれた人びと|選良
racial	人種上の|人種の|民族の|民族間の
legislation	法律制定|法規|法律|法
democratic	民主主義の|庶民的な|民主的な
maintenance	メインテナンス|維持|主張|整備|保守管理
sale	販売|売上高|需要|特売
glory	繁栄|栄光|誇り|壮観|荘厳
fix	固定する|修理する|整える|元の状態に戻す|(口)麻薬の注射|(応急的)処置|八百長
realm	範囲|領域|部門|王国|国土
web	インターネット|クモの巣|(水鳥の)水かき
fiber	繊維(質･組織)|素質|気質|ひげ根(植物)
react	反応する|反発する
analyze	分析する|解析する|分解する
northern	北部出身の|北の|北から吹く|北部方言
faint	気絶する|卒倒する|弱々しい|ぼんやりした|弱い|かすかな|淡い|気の弱い
whisper	ささやく|内緒話(をする)|ざわめく|ささやき声|さわさわという音(をたてる)
minor	より小さい|小さい方の|比較的重要でない|副専攻の|年少の|未成年者
loop	環状をなす折返し点|輪|中心点|に巻き付ける|輪になる|宙返り飛行する|ループ|を輪にする
award	を与える|授与する|賞金|賞
disaster	天災|大災害|災難
classical	古典の|古典的な|古典主義の|最高級の|一流の
weakness	弱さ|弱点|衰弱|不十分
diet	国会|議会|正式会議|食品|食餌療法|規定食|ダイエット
essay	随筆
excuse	言い訳
royal	国王の|女王の|王立の|気高い|壮麗な|特製の
pump	ポンプ|揚水機|心臓|汲む|水を揚げる|ポンプでくみだす|パンプス(女性用のヒモのない靴)
shade	陰|光(熱)をさえぎるもの|陰影|わずかな違い|を陰にする|サングラス
frequent	しばしば起こる|多い|頻繁な|たびたびの
elsewhere	他の場所に|他のところで|他のどこかで
motivation	動機づけ|刺激|やる気
discharge	放電する|降ろす|放出(する)|開放(する)|解雇(する)
uncle	おじ
lord	君主|貴族|(大文字で)～卿|支配者|神|領主|主人|権威|威張る|おやまあ
cooperation	協力
undergo	経験する|(試験･手術などを)受ける|(災難などを)被る
shame	残念|恥かしさ|恥|不名誉|残念なこと|を恥じさせる
crown	王にする|栄誉|王冠|(clownは別綴り)
fairly	相当に|公平に|正しく|かなり|完全に|全く
transmission	変速機|送信|伝達|伝染|伝導|発信
fracture	骨折する|骨折|破砕する|割れ|砕け|破砕(する)|破る
hang	掛ける|つるす|絞首刑する･になる
musical	音楽の|音楽的な|音楽好きの|ミュージカル映画
migration	移住|移住者の群れ
prime	首位の|根本的な|一流の|最上の|青春|全盛|火薬を詰める|準備する
dimension	容積|寸法|面積|次元
comprehensive	理解力のある|包括的な|総合的な|広範囲にわたる
pipe	パイプ|導管|きせる|1服分|導管で導かれる|を吹く
valley	谷|谷間|渓谷|大河の流域|くぼみ|みぞ
interact	互いに作用･影響しあう
ritual	慣習の|儀式(の)|礼拝式|儀式的な行事
neighborhood	近所の人々|近所|付近
poetry	詩歌|詩|韻文|詩集|作風
paragraph	節にわける|段落|小記事(を書く)|を段落に分ける
meeting	会合|集合|出会い|会議
mad	怒った
cousin	いとこ
flower	花
propose	提案する|申し込む
oral	口頭の|会話の|口の|経口(の)
fortune	社会的地位|富|財産|運|運勢|運命|幸運
beer	ビール
orientation	適応指導|方向(性)
suspect	ではないかと疑う(suppose)|(人･もの)を疑う|容疑者|疑わしいもの
nearby	すぐ近くの|すぐ近くに|すぐ隣に
employ	を雇う|(方法･言葉など)を用いる|use
confirm	確かめる|確実にする|強固にする|強化する
plenty	たくさん|豊富|多数|多量|豊富さ|十分に|たっぷり
favour	favorの英国綴り
pause	休止(する)|小休止|躊躇|ちょっと止まる|ためらう
inform	知らせる
graph	グラフ|図式
anxious	心配している|しきりに～したがって|切望して
raw	原料のままの|すり傷|生の|生焼けの|未加工の|ひりひり痛む
intent	一心に向けた
emphasize	を強調する
predict	を予言する|を予報する
confusion	混乱|混同|当惑
forehead	ひたい|額|前面|前部
pop	ぽんと音がする|破裂する|発砲する|銃声|とうちゃん|おじさん|per purchase(1回の買物につき)|サイダー|はじける音
mess	乱雑|会食|混乱|失敗|散らかす|台なしにする
steam	蒸気の|蒸気|水蒸気|スチーム|霧|もや|力
normally	普通に|順当に|標準的に|正常に|正規に|普段は
draft	草案|為替手形|設計図|下書き|図面|徴兵(conscription)|ドラフト|通風
successfully	首尾よく|まんまと|具合よく|幸運にも
slope	傾斜する|坂|傾斜(する)|に勾配をつける
para	前に|…を経て|の意味|落下傘部隊の兵士|経産婦|ブラジルの地名 他
prediction	予言|予想|予測|予報
multi	マルチ(の)
withdraw	取り消す|撤退する|回収する|を退場させる|閉じこもる
fist	こぶし|拳固
glow	燃えるような色|輝く|ほてり|ここちよい満足|熱情|光を放つ
fancy	空想する|空想(力)|錯覚|気まぐれ|思いつき|好み|嗜好(しこう)
velocity	速さ|速力|速度|迅速さ
initially	初めに|はじめ(のうち)は
seal	印鑑|封印|密閉|捺印する|クラックなどをふさぐ|鰭脚類(ききゃくるい)アザラシ|アシカ|オットセイ類の総称|海軍特殊部隊
giant	巨大な|巨人|巨漢|才能･知力などを備えた人
divide	割る|分割する
virus	ウイルス|ビールス|病原体|病毒|害悪
item	品目|項目|条項|細目|種目|アイテム
manifest	明白な|明らかな|明らかにする|乗客名簿
organizational	組織的な
stupid	愚かな|ばかな
guidance	手引き|案内|指導
mask	マスク|仮面をかぶる|仮面|覆い隠すもの|仮面で覆う|隠す
leap	ぴょんと飛ぶ|跳ぶ|はねる|を跳び越える|飛躍|急激な変化
chicken	鶏|ニワトリ|(俗)憶病者
lovely	うっとりするほど|美しい|かわいらしい|楽しい|美しい女|美しいもの
boundary	境|境界(線)
expensive	高価な
courage	勇気
empirical	経験的な|経験によって立証できる|経験主義の|実験に基づいた
decade	10年間|10年
inequality	でこぼこ|不同|不等|不均等|不適当
venture	冒険(性)|危険|冒険的事業|投機|思惑|を危険にさらす|を賭ける|に敢然と望む
talent	才能|天分|素質|手腕
whenever	ときはいつも|いつであろうと|時はいつでも|いつ～しようとも|いったいいつ
crystal	水晶の|結晶
boss	支配する|社長|親分|突起|雌牛
shit	排便行為|(俗)くそ|たわごと|くだらないもの(奴)
tribe	部族|種族|一族
emerge	現れる|台頭する
western	西部地方の|西の|西へ|西からの|西部の|西部劇
email	e-mail
routine	決まりきった仕事|日課|機械的なやり方|ルーチン
prospect	予想|候補者|見晴らし|観察|を調査する
medication	薬物(療法･処理･適用)|投薬
pot	壷|はち|びん|植木鉢|壷に入れる|猟をする|撃つ|(俗)マリファナ
vital	きわめて重大な|致命的な|生命の|生命維持に必要な|活気のある
administrative	行政上の|経営上の
jurisdiction	支配権|司法権|管轄権
professor	教授|教師|先生|師匠
guilty	罪の意識がある|有罪の|罪を犯した|犯罪的な
passenger	旅客|乗客|船客|足手まとい
rear	を育てる|を築く|起こす|背面|背後|尻|臀部
sport	スポーツ
engineer	技術系社員|(陰謀など)をたくらむ|設計されている
grin	歯を見せて笑う|にっと笑う
requirement	要求されるもの|必要条件
partly	部分的に|一部は|ある程度は|少しは|いくぶん
threshold	敷居|発端|始め|出発点|入り口
excitement	刺激|興奮
shower	に水を注ぐ|にわか雨|夕立
effectiveness	有効
hint	ヒント|てがかり|手引き|ほのめかす|遠回しに言う
prominent	目立った|重要な|著名な|突出した|浮き彫りの
sensation	興奮|感覚|のような感じ|センセーション
exit	出口
blade	刃|(俗)ナイフ|羽根|タービン翼|(草の)葉
adequate	適した|適当な|適切な|十分な
cream	クリーム|乳脂|最良の部分
rational	道理にかなった|合理的な|理性的な|推理の|推論の
art	芸術|美術|技能
pleasant	心地よい|楽しい|愉快な|好ましい|晴れて心地好い
totally	すっかり|全く|entirely
invite	を招待する
faculty	能力|才能|教授団|機能
knock	たたく(音)|酷評する|トントン叩く|強打する|(野球)ノック
yesterday	きのう
sub	潜水艦|補欠
ion	イオン
essentially	本質的に|元来|本来の|実質的に
powder	パウダー|粉
spite	にもかかわらず|悪意|恨み
spare	スペア|貯え|手放す(to treat mercifully)|勘弁する|容赦する|出し惜しむ|を取っておく|を使わない
distress	苦しめる|苦痛|苦悩|困窮|遭難
slice	ひと切れ|一枚|を薄く切る|薄切り1枚|部分|を薄く1枚切り取る
convey	を伝える|を運ぶ
denote	示す|表示する|のしるしである|意味する
magazine	雑誌|火薬庫
enzyme	酵素
unusual	異常な|一風変わった|珍しい|見かけない
rage	激怒|逆上|大荒れ|猛威|激情|熱狂(する)
render	(人にあることを)する|にならしめる|与える|払う(give)|報いる|仕返す|翻訳する
inquiry	問い合わせ|問合せ|質問
mystery	推理小説|神秘|秘密|謎|ミステリー|手工芸
magnetic	磁気の|磁性の|魅力ある|磁石の|魅力的な
convince	を納得させる|確信させる
awake	目覚めさせる|悟らせる|起きる|気づく|起こす
treaty	協定|条約(国家･政府間で締結される合意)|約束
sacred	神聖な
pour	注ぐ|液体をつぐ|光を放射する|弾丸を浴びせる|殺到する
sustainable	支えられる|持続可能な
vein	調子|静脈|血管|葉脈|木目|鉱脈|地下水脈|筋をつける
everyday	毎日の
laboratory	研究室(所)|実験室|試験室
protocol	プロトコル(対話に必要な通信規約)|議定書|外交儀礼
pilot	パイロット|水先案内人|を導く|を通す|試験的な|(ガスの)口火
duration	持続|持続期間|所要時間
cap	帽子･ふた 2|山羊座(Capricornの略)
bid	提案|入札|要求|努力|企て|(挨拶など)を述べる|の値をつける|に命じる|proposal
dialogue	(UK英語|US英語はdialog)対話
deck	デッキ|甲板
drift	漂流する|押し流す|ドリフト|趣旨
grateful	ありがたくおもう|感謝して|楽しい
voltage	電圧
crash	衝突|墜落|ガチャンと壊す|一時的な熱中|盗みに押し入る
honour	honorの英国綴り
farmer	農場主
soldier	軍人|軍人になる|兵士|兵役につく
essence	本質
liberty	気まま|自由|解放|勝手|特権
configuration	形状|配列|認識|(天文)星座|(IT)機器構成
rescue	救う|救出|救済|不法釈放
bathroom	バスルーム|トイレ
wing	翼|羽|党派|飛行隊|を飛ばす|フェンダー|即興で何かをする
von	の|からの
bell	鈴をつける|鈴
ghost	幽霊|亡霊|二重映像|影
thrust	を突き刺す
setting	セットする|背景|設定|配列
molecular	(化)分子の
tank	タンク|水槽|戦車
panic	パニック|恐慌|をうろたえさせる|うろたえる
resolve	疑問を解決する|に決心させる|決定させる|を決心する|を分解する|を解析する|を変化させる|決意|決断
chase	を追う|を追跡する|を追い払う|追撃|狩り
cave	陥没する|ほら穴|横穴を掘る
calculate	計算する|を計算する|予測する|見積もる|想像する|適合させる
pink	(色)ピンク|桃色(の)|ピンク色
compromise	妥協(する)|譲歩(する)|和解(する)|(名誉･体面)を損なう|危うくする|歩み寄り|示談
recover	回復する|取り戻す
luck	運|幸運
laughter	笑い(声)
selling	販売
interpret	を解釈する|を通訳する
remote	人里離れた|遠い|遠く離れた|隔たって|関係の薄い|へんぴな
pen	ペン
instruction	教授|教育|指令|指図|使用説明書
systematic	手順のよい|組織的な|系統的な|体系的な
province	分野|州|地方|国|県|田舎|地域|省|範囲
methodology	方法論
acquire	を習得する|を獲得する
summary	手短な|要約
psychology	心理学|心理|性格|心理状態
disappear	見えなくなる|うせる|消滅する
mutual	互いの|お互いの|相互の|共通の
reserve	を取っておく|を予約する|蓄え|遠慮
factory	工場|代理店
instantly	ただちに
partnership	協同経営|協力|提携|共同|協調
carriage	乗り物|運搬|態度|4輪馬車
discrimination	人種差別|識別
fiction	想像|小説
accompany	に同伴する|おともする|に付随する
ongoing	継続中の|(現在)進行中の|現行の|発達中の
acquisition	習得
shelter	避難場所|避難所|保護|を保護する|避難する
radiation	放射線|放射|輻射|放熱
newly	新たに|最近|再び
worthy	値する|尊敬に値する
pound	ポンド|16 ounce|453|6g|100 pence|(駐車違反車の)留め置き場|(馬の)囲い|ドンドン打つ|つき砕く
accordance	一致|授与
synthesis	総合|統合|合成|組み立て
remarkable	注目すべき|珍しい|驚くべき
utility	ユーティリティ|役に立つこと|役に立つもの
county	郡|州
clause	条項|個条|箇条|(文法)節
succeed	成功する|あとを継ぐ|続く|継承する
historian	歴史家
format	型|構成|判型|体裁|書式|形式
detect	検出する|発見する|見破る|検波する
handsome	均整の取れた|ハンサムな
diagram	図解
cure	を治療する|(悪い習慣など)を直す|治療法
arrow	矢
ultimate	根本的な|究極|最終の|究極の|究極点
trick	こつ|策略|いたずら|迷い|トリックの|を計略でだます|(俗)女の子|娼婦の客
simultaneously	同時に|いっせいに
complaint	不平|グチ|不満|(民事の)告訴|病気
pregnancy	妊娠|豊富
enormous	莫大な|非常に大きい|巨大な|極悪な
treasure	大切にする|(思い出など)を取っておく|宝|財産|富|重要な物
trauma	精神的外傷|精神的ショック|(日常生活に支障を生じるような)深い心の傷
rice	米|こめ
chart	チャート
profession	専門的職業|職業(医師|弁護士など知的な専門職)
assembly	議会|下院|会合|集める|集会|集合|組み立て(部品)
bomb	爆撃する|爆弾
declare	を宣言する|を明言する|を申告する
horror	恐ろしさ|恐怖|憎悪|嫌悪|ホラー映画
naked	ありのままの|裸の|むき出しの|無防備の
episode	挿話
appointment	取決め|(人と会う)約束|地位|選定|指定|任命
ownership	所有権|所有
regulatory	規定する|取り締まる
removal	除去|移動
roar	吠える|唸る|大笑いする|怒鳴る(声)|どよめき|ウォー|猛獣の鳴き声
occasionally	たまに|時折
unlike	〜とは違った
clock	掛時計
chin	あご|あご先
tender	差し向ける|を提出する|を申し出る|入札する|支払う|気を使う|柔らかい|もろい|虚弱な|感じやすい|提供|(機関車の)炭水車
constitutional	保健のための|構成上の|体格の|体質の|生まれつきの|憲法上の|合法的な
innocent	無垢な|あどけない|無罪の
nobody	誰も(一人も)～ない|(特に地位や財産のない)とるに足りない人
undertake	引き受ける|約束する|保証する|企てる
philosopher	哲学者|哲人|賢人
temporary	一時的な|はかない|仮の|当座の|臨時の
drag	を引く|畑をならす|だらだら進む
technological	技術の
equality	等しいこと|平等|同等
assistant	援助する|補助の|店員|助手
brow	額|ひたい|(複数形で)眉･眉毛
partial	一部分の|不完全な|一部(分)の|不公平な|とても好きな
acceptance	受け入れ|容認|支持
sweat	汗水たらして働く|汗をかく|湿気をおびる|汗|湿気|(俗)ぞうさなく|簡単に(easily)
ad	広告
utter	口に出す|言う|(叫び声･うめき声)を出す|全くの
settle	を置く|を落ち着かせる|を清算する|定住する|据える
poison	毒|毒薬|毒物|弊害|に毒を盛る|を毒する
conviction	信念|有罪判決
thread	細い線|糸|繊維|細いもの|スレッド|寿命|を貫く
coverage	新聞報道|範囲|事件の報道|報道範囲|取材|保険
grey	灰色になる|灰色の
lean	もたれる|曲げる|かがむ|(～に)傾く|頼る|収穫の少ない|やせた|やせている|乏しい|やせた部分|赤身の
council	評議会|会議
stimulate	を刺激する|を元気づける
mate	仲間|友達|連れ合い|片方|番わせる
philosophical	理性的な|哲学の|賢明な
briefly	ちょっと|簡単に|短く
resemble	に似ている
coin	鋳造する|貨幣|小銭
min	分
queen	女王として君臨する|王妃|女王|女帝|皇后
commit	(罪など)を犯す|をゆだねる|委任する
publisher	出版業者|出版社|発行人|発行者
compound	複合の|合成の|化合した|複合物|化合物|(成分など)を混合する|(文法)重文の
conservative	保守的な(派･党の)|伝統的な
impose	課す|押しつける
optimal	最良の|最適の
upset	ひっくり返す|転覆させる|負かす|混乱させる
lecture	小言を言う|講演|講義する|講義|説教
weapon	対抗手段|武器|兵器
owner	オーナー|所有者|持ち主|船主
rope	投げなわ|ロープ|なわ|一連
abstract	理論的な|抽出する|抽象的な|難解な
waist	腰のくびれ|ウエスト|胴着|ブラウス
conversion	転換|換算|転向|交換
retain	を実行しつづける|雇っておく|抱える|を保つ|保持する|持ちつづける|維持する
earn	(金)をもうける|かせぐ|(評判･尊敬など)を得る
ex	先夫|先妻|前任者|かつての|前の|から(from)|落ち
devil	悪魔(=daemon, Satan, fiend)
regularly	規則正しく|きちんと|正規に|まったく|正式に
dimensional	次元の
personnel	人事の|職員|全職員|人事課(部)
kick	蹴る|はね返る|蹴ること|コカインなどのドラッグから刺激を得る|(俗)楽しみ|興奮
violation	違反|侵害|妨害|暴行|強姦
sail	帆|帆船|帆走|帆走する|(～を)航海する|出帆する
thermal	熱の|温度の|熱による|温泉の|暖かい
occupation	仕事|従事|占有|居住
urge	強く迫る|説得する
extraordinary	異常な|突飛な|臨時の|奇妙な|驚くべき|特別な
